"plh0033","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Full Time","Female","318","0.168895723799176","0.150724169169105","0.187067278429246"
"Big worries","1984","Full Time","Male","790","0.180515917858752","0.168566835128008","0.192465000589496"
"Big worries","1984","Not Working","Female","671","0.175851769214891","0.162857117205409","0.188846421224373"
"Big worries","1984","Not Working","Male","300","0.185223860213463","0.164065557635219","0.206382162791707"
"Big worries","1984","Part Time","Female","267","0.199964215555053","0.177529472117443","0.222398958992662"
"Big worries","1984","Part Time","Male","182","0.262249257488989","0.228356421350443","0.296142093627534"
"No worries","1984","Full Time","Female","576","0.373404026586288","0.349943470773715","0.396864582398861"
"No worries","1984","Full Time","Male","1383","0.366977630673758","0.352003697875088","0.381951563472427"
"No worries","1984","Not Working","Female","1288","0.440876427347768","0.423929110151239","0.457823744544298"
"No worries","1984","Not Working","Male","513","0.448001731856277","0.420917163989482","0.475086299723073"
"No worries","1984","Part Time","Female","388","0.333837533684968","0.307386178911615","0.360288888458322"
"No worries","1984","Part Time","Male","172","0.273580873096862","0.239230421444587","0.307931324749136"
"Some worries","1984","Full Time","Female","739","0.457700249614536","0.433536447217989","0.481864052011084"
"Some worries","1984","Full Time","Male","1807","0.452506451467491","0.437042928430735","0.467969974504246"
"Some worries","1984","Not Working","Female","1338","0.38327180343734","0.366676356428963","0.399867250445718"
"Some worries","1984","Not Working","Male","482","0.36677440793026","0.340526665930789","0.393022149929731"
"Some worries","1984","Part Time","Female","566","0.466198250759979","0.438217099758212","0.494179401761745"
"Some worries","1984","Part Time","Male","293","0.46416986941415","0.425741851094016","0.502597887734284"
"Big worries","1985","Full Time","Female","250","0.152382539088217","0.133722686478213","0.17104239169822"
"Big worries","1985","Full Time","Male","636","0.17168393563097","0.159197775091265","0.184170096170674"
"Big worries","1985","Not Working","Female","600","0.181423758175551","0.167453310255006","0.195394206096095"
"Big worries","1985","Not Working","Male","329","0.227920869001531","0.20437204677508","0.251469691227982"
"Big worries","1985","Part Time","Female","227","0.190202477441703","0.167838346554657","0.212566608328749"
"Big worries","1985","Part Time","Male","203","0.266645106742777","0.232985019830429","0.300305193655126"
"No worries","1985","Full Time","Female","481","0.347860973837197","0.323131572185898","0.372590375488495"
"No worries","1985","Full Time","Male","1201","0.364079087620805","0.348147264985155","0.380010910256455"
"No worries","1985","Not Working","Female","1104","0.416252297665029","0.398382295821276","0.434122299508783"
"No worries","1985","Not Working","Male","459","0.4285256471633","0.400745597347476","0.456305696979124"
"No worries","1985","Part Time","Female","358","0.312784304038893","0.286364795804515","0.339203812273272"
"No worries","1985","Part Time","Male","175","0.305339248687827","0.270282710787605","0.340395786588049"
"Some worries","1985","Full Time","Female","694","0.499756487074587","0.473796132991355","0.525716841157818"
"Some worries","1985","Full Time","Male","1667","0.464236976748225","0.44772411764671","0.48074983584974"
"Some worries","1985","Not Working","Female","1219","0.40232394415942","0.384547104626614","0.420100783692226"
"Some worries","1985","Not Working","Male","431","0.343553483835169","0.316894530738195","0.370212436932143"
"Some worries","1985","Part Time","Female","598","0.497013218519404","0.468521544007011","0.525504893031797"
"Some worries","1985","Part Time","Male","285","0.428015644569396","0.390352790830516","0.465678498308276"
"Big worries","1986","Full Time","Female","231","0.149118516650897","0.130419574933078","0.167817458368717"
"Big worries","1986","Full Time","Male","576","0.146640834023429","0.134760759662504","0.158520908384354"
"Big worries","1986","Not Working","Female","445","0.139157336941799","0.126087678409687","0.15222699547391"
"Big worries","1986","Not Working","Male","253","0.173814018755093","0.152053640534494","0.195574396975692"
"Big worries","1986","Part Time","Female","214","0.170936446077501","0.14951163536911","0.192361256785892"
"Big worries","1986","Part Time","Male","156","0.227216075715003","0.194338153536497","0.260093997893508"
"No worries","1986","Full Time","Female","513","0.393010812486776","0.367371319610961","0.41865030536259"
"No worries","1986","Full Time","Male","1317","0.415083708195822","0.398535900236697","0.431631516154946"
"No worries","1986","Not Working","Female","1207","0.498652379677065","0.479771695738861","0.517533063615269"
"No worries","1986","Not Working","Male","516","0.509164474429405","0.480457847204866","0.537871101653944"
"No worries","1986","Part Time","Female","431","0.375118978969963","0.347564707519848","0.402673250420078"
"No worries","1986","Part Time","Male","199","0.352912628827131","0.315417844656523","0.390407412997739"
"Some worries","1986","Full Time","Female","650","0.457870670862327","0.431716583596513","0.484024758128141"
"Some worries","1986","Full Time","Male","1513","0.43827545778075","0.421612156574106","0.454938758987393"
"Some worries","1986","Not Working","Female","1042","0.362190283381136","0.344040842167893","0.38033972459438"
"Some worries","1986","Not Working","Male","396","0.317021506815502","0.290301718983657","0.343741294647347"
"Some worries","1986","Part Time","Female","541","0.453944574952536","0.425609424386571","0.482279725518502"
"Some worries","1986","Part Time","Male","269","0.419871295457866","0.381147665080006","0.458594925835726"
"Big worries","1987","Full Time","Female","243","0.159853508794034","0.140691169545218","0.17901584804285"
