"plh0189","year","e11103","n","percent","lower_confidence","upper_confidence"
"True entirely","1992","Full Time","354","0.0716108205503143","0.0646893542323386","0.07853228686829"
"True entirely","1992","Part Time","156","0.0725580171768059","0.0615259495978203","0.0835900847557916"
"True entirely","1992","Not Working","323","0.10604971457768","0.0958983072541015","0.116201121901258"
"Tends to agree","1992","Full Time","396","0.0845177029070145","0.0770507645241394","0.0919846412898896"
"Tends to agree","1992","Part Time","243","0.116810516432735","0.103150892230678","0.130470140634791"
"Tends to agree","1992","Not Working","517","0.169191753339314","0.156830718988277","0.181552787690351"
"Rather not true","1992","Full Time","1472","0.285189844286959","0.273069746191282","0.297309942382635"
"Rather not true","1992","Part Time","611","0.304427668346612","0.284857973905174","0.323997362788049"
"Rather not true","1992","Not Working","964","0.26470132593534","0.250155956100249","0.279246695770431"
"Totally disagree","1992","Full Time","3109","0.558681632255713","0.545352497825521","0.572010766685904"
"Totally disagree","1992","Part Time","1114","0.506203798043848","0.484941636812048","0.527465959275647"
"Totally disagree","1992","Not Working","1730","0.460057206147666","0.443625047775259","0.476489364520074"
"True entirely","1993","Full Time","399","0.068224283916694","0.0619690120957486","0.0744795557376394"
"True entirely","1993","Part Time","160","0.0661994456907409","0.0563583807370384","0.0760405106444434"
"True entirely","1993","Not Working","425","0.121485739888128","0.111837202255624","0.131134277520633"
"Tends to agree","1993","Full Time","622","0.107284467324042","0.0996065051184836","0.114962429529599"
"Tends to agree","1993","Part Time","358","0.15149871257842","0.137307530180592","0.165689894976248"
"Tends to agree","1993","Not Working","666","0.166518080286306","0.15551528012184","0.177520880450773"
"Rather not true","1993","Full Time","1722","0.289452556483141","0.278201165018039","0.300703947948243"
"Rather not true","1993","Part Time","702","0.305935439339499","0.287696369468782","0.324174509210216"
"Rather not true","1993","Not Working","1213","0.27218288462416","0.259037721669423","0.285328047578896"
"Totally disagree","1993","Full Time","3498","0.535038692276123","0.522664353497674","0.547413031054573"
"Totally disagree","1993","Part Time","1232","0.47636640239134","0.456597972720999","0.496134832061681"
"Totally disagree","1993","Not Working","2100","0.439813295201406","0.42515359761738","0.454472992785431"
"True entirely","1994","Full Time","","","",""
"True entirely","1994","Part Time","","","",""
"True entirely","1994","Not Working","","","",""
"Tends to agree","1994","Full Time","","","",""
"Tends to agree","1994","Part Time","","","",""
"Tends to agree","1994","Not Working","","","",""
"Rather not true","1994","Full Time","","","",""
"Rather not true","1994","Part Time","","","",""
"Rather not true","1994","Not Working","","","",""
"Totally disagree","1994","Full Time","","","",""
"Totally disagree","1994","Part Time","","","",""
"Totally disagree","1994","Not Working","","","",""
"True entirely","1995","Full Time","300","0.057223014136279","0.0512953231158192","0.0631507051567388"
"True entirely","1995","Part Time","165","0.0737457916095569","0.0636823135858022","0.0838092696333115"
