"plh0189","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","Schleswig-Holstein","West Germany","","","",""
"True entirely","1990","Schleswig-Holstein","East Germany","","","",""
"True entirely","1990","Hamburg","West Germany","","","",""
"True entirely","1990","Hamburg","East Germany","","","",""
"True entirely","1990","Lower Saxony","West Germany","","","",""
"True entirely","1990","Lower Saxony","East Germany","","","",""
"True entirely","1990","Bremen","West Germany","","","",""
"True entirely","1990","Bremen","East Germany","","","",""
"True entirely","1990","North Rhine-Westphalia","West Germany","","","",""
"True entirely","1990","North Rhine-Westphalia","East Germany","","","",""
"True entirely","1990","Hesse","West Germany","","","",""
"True entirely","1990","Hesse","East Germany","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","West Germany","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","East Germany","","","",""
"True entirely","1990","Baden-Württemberg","West Germany","","","",""
"True entirely","1990","Baden-Württemberg","East Germany","","","",""
"True entirely","1990","Bavaria","West Germany","","","",""
"True entirely","1990","Bavaria","East Germany","","","",""
"True entirely","1990","Berlin","West Germany","","","",""
"True entirely","1990","Berlin","East Germany","41","0.177047363661734","0.133489232774651","0.220605494548817"
"True entirely","1990","Brandenburg","West Germany","","","",""
"True entirely","1990","Brandenburg","East Germany","82","0.11727544837627","0.093935342865368","0.140615553887172"
"True entirely","1990","Mecklenburg-Western Pomerania","West Germany","","","",""
"True entirely","1990","Mecklenburg-Western Pomerania","East Germany","21","","",""
"True entirely","1990","Saxony","West Germany","","","",""
"True entirely","1990","Saxony","East Germany","119","0.0898506195315515","0.0744933907023149","0.105207848360788"
"True entirely","1990","Saxony-Anhalt","West Germany","","","",""
"True entirely","1990","Saxony-Anhalt","East Germany","64","0.0863751531697081","0.0670175226357528","0.105732783703663"
"True entirely","1990","Thuringia","West Germany","","","",""
"True entirely","1990","Thuringia","East Germany","57","0.0887398713019066","0.0682650759996864","0.109214666604127"
"Tends to agree","1990","Schleswig-Holstein","West Germany","","","",""
"Tends to agree","1990","Schleswig-Holstein","East Germany","","","",""
"Tends to agree","1990","Hamburg","West Germany","","","",""
"Tends to agree","1990","Hamburg","East Germany","","","",""
"Tends to agree","1990","Lower Saxony","West Germany","","","",""
"Tends to agree","1990","Lower Saxony","East Germany","","","",""
"Tends to agree","1990","Bremen","West Germany","","","",""
"Tends to agree","1990","Bremen","East Germany","","","",""
"Tends to agree","1990","North Rhine-Westphalia","West Germany","","","",""
"Tends to agree","1990","North Rhine-Westphalia","East Germany","","","",""
"Tends to agree","1990","Hesse","West Germany","","","",""
"Tends to agree","1990","Hesse","East Germany","","","",""
"Tends to agree","1990","Rhineland-Palatinate,Saarland","West Germany","","","",""
"Tends to agree","1990","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Tends to agree","1990","Baden-Württemberg","West Germany","","","",""
"Tends to agree","1990","Baden-Württemberg","East Germany","","","",""
"Tends to agree","1990","Bavaria","West Germany","","","",""
"Tends to agree","1990","Bavaria","East Germany","","","",""
"Tends to agree","1990","Berlin","West Germany","","","",""
"Tends to agree","1990","Berlin","East Germany","27","","",""
"Tends to agree","1990","Brandenburg","West Germany","","","",""
"Tends to agree","1990","Brandenburg","East Germany","58","0.0889123036906308","0.0682657446097676","0.109558862771494"
"Tends to agree","1990","Mecklenburg-Western Pomerania","West Germany","","","",""
"Tends to agree","1990","Mecklenburg-Western Pomerania","East Germany","45","0.0938294637615597","0.0683976703112237","0.119261257211896"
"Tends to agree","1990","Saxony","West Germany","","","",""
"Tends to agree","1990","Saxony","East Germany","129","0.116390877012587","0.0991687993036405","0.133612954721534"
"Tends to agree","1990","Saxony-Anhalt","West Germany","","","",""
"Tends to agree","1990","Saxony-Anhalt","East Germany","77","0.106633842442417","0.0853653793511631","0.12790230553367"
"Tends to agree","1990","Thuringia","West Germany","","","",""
"Tends to agree","1990","Thuringia","East Germany","60","0.0827489427858708","0.06291247577024","0.102585409801502"
"Rather not true","1990","Schleswig-Holstein","West Germany","","","",""
