"plh0189","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","Schleswig-Holstein","1-pers.-HH","","","",""
"True entirely","1990","Schleswig-Holstein","(Married) couple without C. ","","","",""
"True entirely","1990","Schleswig-Holstein","Single parent ","","","",""
"True entirely","1990","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"True entirely","1990","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"True entirely","1990","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"True entirely","1990","Hamburg","1-pers.-HH","","","",""
"True entirely","1990","Hamburg","(Married) couple without C. ","","","",""
"True entirely","1990","Hamburg","Single parent ","","","",""
"True entirely","1990","Hamburg","Couple + C. LE 16 ","","","",""
"True entirely","1990","Hamburg","Couple + C. GT 16 ","","","",""
"True entirely","1990","Hamburg","Couple + C. LE and GT 16","","","",""
"True entirely","1990","Lower Saxony","1-pers.-HH","","","",""
"True entirely","1990","Lower Saxony","(Married) couple without C. ","","","",""
"True entirely","1990","Lower Saxony","Single parent ","","","",""
"True entirely","1990","Lower Saxony","Couple + C. LE 16 ","","","",""
"True entirely","1990","Lower Saxony","Couple + C. GT 16 ","","","",""
"True entirely","1990","Lower Saxony","Couple + C. LE and GT 16","","","",""
"True entirely","1990","Bremen","1-pers.-HH","","","",""
"True entirely","1990","Bremen","(Married) couple without C. ","","","",""
"True entirely","1990","Bremen","Single parent ","","","",""
"True entirely","1990","Bremen","Couple + C. LE 16 ","","","",""
"True entirely","1990","Bremen","Couple + C. GT 16 ","","","",""
"True entirely","1990","Bremen","Couple + C. LE and GT 16","","","",""
"True entirely","1990","North Rhine-Westphalia","1-pers.-HH","","","",""
"True entirely","1990","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"True entirely","1990","North Rhine-Westphalia","Single parent ","","","",""
"True entirely","1990","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"True entirely","1990","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"True entirely","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"True entirely","1990","Hesse","1-pers.-HH","","","",""
"True entirely","1990","Hesse","(Married) couple without C. ","","","",""
"True entirely","1990","Hesse","Single parent ","","","",""
"True entirely","1990","Hesse","Couple + C. LE 16 ","","","",""
"True entirely","1990","Hesse","Couple + C. GT 16 ","","","",""
"True entirely","1990","Hesse","Couple + C. LE and GT 16","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
