"plh0189","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence","value"
"Rather not true","1990","66 and older","Lower Saxony","","","","","3"
"Rather not true","1990","66 and older","Bremen","","","","","3"
"Rather not true","1990","16-34 y.","North Rhine-Westphalia","","","","","3"
"Rather not true","1990","66 and older","Mecklenburg-Western Pomerania","8","","","","3"
"Rather not true","1990","16-34 y.","Hesse","","","","","3"
"Rather not true","1990","16-34 y.","Bremen","","","","","3"
"Rather not true","1990","66 and older","Baden-Württemberg","","","","","3"
"Rather not true","1990","16-34 y.","Schleswig-Holstein","","","","","3"
"Rather not true","1990","16-34 y.","Lower Saxony","","","","","3"
"Rather not true","1990","16-34 y.","Baden-Württemberg","","","","","3"
"Rather not true","1990","16-34 y.","Berlin","29","","","","3"
"Rather not true","1990","16-34 y.","Brandenburg","75","0.273461710124681","0.22180311504478","0.325120305204582","3"
"Rather not true","1990","16-34 y.","Bavaria","","","","","3"
"Rather not true","1990","35-65 y.","Mecklenburg-Western Pomerania","56","0.206751586144814","0.157992654049047","0.255510518240581","3"
"Rather not true","1990","35-65 y.","Saxony","125","0.178826763395394","0.150438898972091","0.207214627818697","3"
"Rather not true","1990","35-65 y.","Thuringia","73","0.200144121089646","0.159968472863493","0.240319769315798","3"
"Rather not true","1990","66 and older","Schleswig-Holstein","","","","","3"
"Rather not true","1990","66 and older","Hamburg","","","","","3"
"Rather not true","1990","16-34 y.","Hamburg","","","","","3"
"Rather not true","1990","66 and older","Berlin","1","","","","3"
"Rather not true","1990","66 and older","Brandenburg","16","","","","3"
"Rather not true","1990","16-34 y.","Rhineland-Palatinate,Saarland","","","","","3"
"Rather not true","1990","66 and older","Saxony-Anhalt","16","","","","3"
"Rather not true","1990","66 and older","Thuringia","8","","","","3"
"Rather not true","1990","66 and older","North Rhine-Westphalia","","","","","3"
"Rather not true","1990","66 and older","Hesse","","","","","3"
"Rather not true","1990","66 and older","Rhineland-Palatinate,Saarland","","","","","3"
"Rather not true","1990","66 and older","Bavaria","","","","","3"
"Rather not true","1990","16-34 y.","Mecklenburg-Western Pomerania","51","0.220359575975706","0.164030897544139","0.276688254407273","3"
"Rather not true","1990","16-34 y.","Saxony","116","0.244808008338475","0.206580899358034","0.283035117318915","3"
"Rather not true","1990","16-34 y.","Saxony-Anhalt","62","0.201320089315997","0.155562090726675","0.247078087905319","3"
"Rather not true","1990","16-34 y.","Thuringia","55","0.181412154978152","0.136828776101001","0.225995533855303","3"
"Rather not true","1990","35-65 y.","Schleswig-Holstein","","","","","3"
"Rather not true","1990","35-65 y.","Hamburg","","","","","3"
"Rather not true","1990","35-65 y.","Hesse","","","","","3"
"Rather not true","1990","35-65 y.","Rhineland-Palatinate,Saarland","","","","","3"
"Rather not true","1990","35-65 y.","Baden-Württemberg","","","","","3"
"Rather not true","1990","35-65 y.","Bavaria","","","","","3"
"Rather not true","1990","35-65 y.","Berlin","20","","","","3"
"Rather not true","1990","35-65 y.","Brandenburg","64","0.181947024029866","0.143054566707513","0.220839481352219","3"
"Rather not true","1990","35-65 y.","Saxony-Anhalt","73","0.164154347770034","0.128559211120761","0.199749484419307","3"
"Rather not true","1990","66 and older","Saxony","39","0.27417558211835","0.201815035738602","0.346536128498099","3"
"Rather not true","1990","35-65 y.","Lower Saxony","","","","","3"
"Rather not true","1990","35-65 y.","Bremen","","","","","3"
"Rather not true","1990","35-65 y.","North Rhine-Westphalia","","","","","3"
"Tends to agree","1990","16-34 y.","Hamburg","","","","","2"
"Tends to agree","1990","16-34 y.","Hesse","","","","","2"
"Tends to agree","1990","16-34 y.","Lower Saxony","","","","","2"
"Tends to agree","1990","16-34 y.","Bremen","","","","","2"
"Tends to agree","1990","16-34 y.","Schleswig-Holstein","","","","","2"
"Tends to agree","1990","16-34 y.","Bavaria","","","","","2"
"Tends to agree","1990","35-65 y.","Hamburg","","","","","2"
"Tends to agree","1990","16-34 y.","North Rhine-Westphalia","","","","","2"
"Tends to agree","1990","16-34 y.","Baden-Württemberg","","","","","2"
"Tends to agree","1990","16-34 y.","Brandenburg","16","","","","2"
"Tends to agree","1990","16-34 y.","Mecklenburg-Western Pomerania","21","","","","2"
"Tends to agree","1990","16-34 y.","Saxony-Anhalt","24","","","","2"
"Tends to agree","1990","16-34 y.","Rhineland-Palatinate,Saarland","","","","","2"
"Tends to agree","1990","66 and older","Thuringia","15","","","","2"
"Tends to agree","1990","16-34 y.","Berlin","10","","","","2"
"Tends to agree","1990","16-34 y.","Saxony","51","0.120112387144763","0.0912097508790107","0.149015023410516","2"
"Tends to agree","1990","16-34 y.","Thuringia","23","","","","2"
"Tends to agree","1990","35-65 y.","Schleswig-Holstein","","","","","2"
"Tends to agree","1990","35-65 y.","Lower Saxony","","","","","2"
"Tends to agree","1990","35-65 y.","Bremen","","","","","2"
"Tends to agree","1990","35-65 y.","Hesse","","","","","2"
"Tends to agree","1990","35-65 y.","Rhineland-Palatinate,Saarland","","","","","2"
"Tends to agree","1990","66 and older","Bavaria","","","","","2"
"Tends to agree","1990","66 and older","Mecklenburg-Western Pomerania","2","","","","2"
"Tends to agree","1990","66 and older","Saxony","24","","","","2"
"Tends to agree","1990","66 and older","Saxony-Anhalt","19","","","","2"
"Tends to agree","1990","35-65 y.","North Rhine-Westphalia","","","","","2"
"Tends to agree","1990","35-65 y.","Baden-Württemberg","","","","","2"
"Tends to agree","1990","35-65 y.","Brandenburg","33","0.0939541236813324","0.0645414023511548","0.12336684501151","2"
"Tends to agree","1990","35-65 y.","Mecklenburg-Western Pomerania","22","","","","2"
"Tends to agree","1990","66 and older","Lower Saxony","","","","","2"
"Tends to agree","1990","66 and older","Bremen","","","","","2"
"Tends to agree","1990","66 and older","Hesse","","","","","2"
"Tends to agree","1990","66 and older","Rhineland-Palatinate,Saarland","","","","","2"
"Tends to agree","1990","66 and older","Baden-Württemberg","","","","","2"
"Tends to agree","1990","66 and older","Berlin","3","","","","2"
"Tends to agree","1990","66 and older","Brandenburg","9","","","","2"
"Tends to agree","1990","35-65 y.","Bavaria","","","","","2"
"Tends to agree","1990","35-65 y.","Berlin","14","","","","2"
"Tends to agree","1990","35-65 y.","Saxony","54","0.0929815806992753","0.0714683523603111","0.11449480903824","2"
"Tends to agree","1990","35-65 y.","Thuringia","22","","","","2"
"Tends to agree","1990","66 and older","Schleswig-Holstein","","","","","2"
"Tends to agree","1990","66 and older","Hamburg","","","","","2"
"Tends to agree","1990","66 and older","North Rhine-Westphalia","","","","","2"
"Tends to agree","1990","35-65 y.","Saxony-Anhalt","34","0.0808353299977103","0.0546415186696448","0.107029141325776","2"
"Totally disagree","1990","16-34 y.","Schleswig-Holstein","","","","","4"
"Totally disagree","1990","16-34 y.","Hamburg","","","","","4"
"Totally disagree","1990","16-34 y.","Bremen","","","","","4"
"Totally disagree","1990","16-34 y.","North Rhine-Westphalia","","","","","4"
"Totally disagree","1990","16-34 y.","Hesse","","","","","4"
"Totally disagree","1990","35-65 y.","Lower Saxony","","","","","4"
"Totally disagree","1990","35-65 y.","Bremen","","","","","4"
"Totally disagree","1990","16-34 y.","Lower Saxony","","","","","4"
"Totally disagree","1990","35-65 y.","Hesse","","","","","4"
"Totally disagree","1990","35-65 y.","Rhineland-Palatinate,Saarland","","","","","4"
"Totally disagree","1990","35-65 y.","Baden-Württemberg","","","","","4"
"Totally disagree","1990","35-65 y.","Bavaria","","","","","4"
"Totally disagree","1990","35-65 y.","Berlin","94","0.568898530996246","0.489909502038089","0.647887559954403","4"
"Totally disagree","1990","35-65 y.","Brandenburg","241","0.605014310531417","0.555733743606573","0.654294877456262","4"
"Totally disagree","1990","35-65 y.","Mecklenburg-Western Pomerania","176","0.662818761937961","0.605900156469915","0.719737367406007","4"
"Totally disagree","1990","35-65 y.","Saxony","461","0.642973108768384","0.607479844714943","0.678466372821825","4"
"Totally disagree","1990","16-34 y.","Saxony","275","0.549958370043343","0.505727935214998","0.594188804871687","4"
"Totally disagree","1990","16-34 y.","Saxony-Anhalt","193","0.658474261079789","0.604359193559748","0.712589328599829","4"
"Totally disagree","1990","16-34 y.","Thuringia","188","0.673097842047953","0.618828427624668","0.727367256471238","4"
"Totally disagree","1990","35-65 y.","Schleswig-Holstein","","","","","4"
"Totally disagree","1990","35-65 y.","Hamburg","","","","","4"
"Totally disagree","1990","35-65 y.","North Rhine-Westphalia","","","","","4"
"Totally disagree","1990","16-34 y.","Rhineland-Palatinate,Saarland","","","","","4"
"Totally disagree","1990","16-34 y.","Baden-Württemberg","","","","","4"
"Totally disagree","1990","16-34 y.","Bavaria","","","","","4"
"Totally disagree","1990","16-34 y.","Berlin","75","0.56529268510668","0.479077971970471","0.651507398242888","4"
"Totally disagree","1990","16-34 y.","Brandenburg","161","0.550076449263404","0.492420256175401","0.607732642351406","4"
"Totally disagree","1990","16-34 y.","Mecklenburg-Western Pomerania","129","0.655326327628641","0.590738706763918","0.719913948493363","4"
"Totally disagree","1990","35-65 y.","Saxony-Anhalt","273","0.666249301283042","0.620935457743384","0.7115631448227","4"
"Totally disagree","1990","35-65 y.","Thuringia","261","0.663578593805492","0.616135434895497","0.711021752715486","4"
"Totally disagree","1990","66 and older","Schleswig-Holstein","","","","","4"
"Totally disagree","1990","66 and older","Hamburg","","","","","4"
"Totally disagree","1990","66 and older","Lower Saxony","","","","","4"
"Totally disagree","1990","66 and older","Bremen","","","","","4"
"Totally disagree","1990","66 and older","North Rhine-Westphalia","","","","","4"
"Totally disagree","1990","66 and older","Hesse","","","","","4"
"Totally disagree","1990","66 and older","Rhineland-Palatinate,Saarland","","","","","4"
"Totally disagree","1990","66 and older","Baden-Württemberg","","","","","4"
"Totally disagree","1990","66 and older","Bavaria","","","","","4"
"Totally disagree","1990","66 and older","Berlin","8","","","","4"
"Totally disagree","1990","66 and older","Brandenburg","33","0.534203527673423","0.413858653658246","0.654548401688599","4"
"Totally disagree","1990","66 and older","Mecklenburg-Western Pomerania","19","","","","4"
"Totally disagree","1990","66 and older","Saxony","68","0.436911867197502","0.356456175873358","0.517367558521646","4"
"Totally disagree","1990","66 and older","Saxony-Anhalt","51","0.480281448328841","0.381365329244684","0.579197567412998","4"
"Totally disagree","1990","66 and older","Thuringia","39","0.54456353011266","0.430321782079402","0.658805278145918","4"
"True entirely","1990","16-34 y.","Schleswig-Holstein","","","","","1"
"True entirely","1990","16-34 y.","Hamburg","","","","","1"
"True entirely","1990","16-34 y.","Lower Saxony","","","","","1"
"True entirely","1990","16-34 y.","Bremen","","","","","1"
"True entirely","1990","16-34 y.","North Rhine-Westphalia","","","","","1"
"True entirely","1990","16-34 y.","Hesse","","","","","1"
"True entirely","1990","16-34 y.","Rhineland-Palatinate,Saarland","","","","","1"
"True entirely","1990","16-34 y.","Baden-Württemberg","","","","","1"
"True entirely","1990","16-34 y.","Bavaria","","","","","1"
"True entirely","1990","16-34 y.","Berlin","13","","","","1"
"True entirely","1990","16-34 y.","Brandenburg","34","0.118071317408125","0.0806728321386263","0.155469802677624","1"
"True entirely","1990","16-34 y.","Mecklenburg-Western Pomerania","7","","","","1"
"True entirely","1990","16-34 y.","Saxony","44","0.085121234473419","0.0603110103834611","0.109931458563377","1"
"True entirely","1990","16-34 y.","Saxony-Anhalt","16","","","","1"
"True entirely","1990","16-34 y.","Thuringia","21","","","","1"
"True entirely","1990","35-65 y.","Schleswig-Holstein","","","","","1"
"True entirely","1990","35-65 y.","Hamburg","","","","","1"
