"plh0189","year","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","384","0.0943680852690791","0.0857419002246201","0.102994270313538"
"Tends to agree","1990","396","0.101776338707835","0.0928546719690291","0.110698005446642"
"Rather not true","1990","887","0.20047510389862","0.188661659038032","0.212288548759208"
"Totally disagree","1990","2745","0.603380472124465","0.588945597670205","0.617815346578725"
"True entirely","1991","333","0.0842721055351604","0.0758314849755511","0.0927127260947697"
"Tends to agree","1991","383","0.110035187418435","0.100526918749553","0.119543456087317"
"Rather not true","1991","1003","0.250609138634614","0.237441682466237","0.263776594802991"
"Totally disagree","1991","2442","0.55508356841179","0.5399838919596","0.570183244863981"
"True entirely","1992","833","0.0850044084894048","0.0797900698807872","0.0902187470980225"
"Tends to agree","1992","1156","0.122800231481274","0.116663772278078","0.12893669068447"
"Rather not true","1992","3047","0.280758517618875","0.2723567079611","0.28916032727665"
"Totally disagree","1992","5953","0.511436842410446","0.502090851241749","0.520782833579143"
"True entirely","1993","984","0.0887280676743381","0.0838582053214637","0.0935979300272126"
"Tends to agree","1993","1646","0.13833848391317","0.132425563526915","0.144251404299425"
"Rather not true","1993","3637","0.285614683831428","0.277878643904121","0.293350723758735"
"Totally disagree","1993","6830","0.487318764581064","0.478758396172216","0.495879132989912"
"True entirely","1994","","","",""
"Tends to agree","1994","","","",""
"Rather not true","1994","","","",""
"Totally disagree","1994","","","",""
"True entirely","1995","925","0.0876436094290723","0.0828360131855995","0.092451205672545"
"Tends to agree","1995","1693","0.144362573278674","0.138387299698444","0.150337846858904"
"Rather not true","1995","4256","0.325646228798118","0.317679087446906","0.333613370149331"
"Totally disagree","1995","6416","0.442347588494135","0.433903569046851","0.45079160794142"
"True entirely","1996","821","0.0752195363043617","0.0707001541172651","0.0797389184914584"
"Tends to agree","1996","1639","0.142841832670839","0.136845957109197","0.148837708232481"
"Rather not true","1996","4315","0.333442281199124","0.325363913152558","0.341520649245691"
"Totally disagree","1996","6308","0.448496349825675","0.439974221444394","0.457018478206956"
"True entirely","1997","824","0.0841669158440836","0.0793641082212099","0.0889697234669573"
"Tends to agree","1997","1478","0.133313308503372","0.127433216279683","0.13919340072706"
"Rather not true","1997","3983","0.305966655877123","0.297995091854582","0.313938219899664"
"Totally disagree","1997","6552","0.476553119775422","0.467913228312014","0.485193011238829"
"True entirely","1998","","","",""
"Tends to agree","1998","","","",""
"Rather not true","1998","","","",""
"Totally disagree","1998","","","",""
"True entirely","1999","","","",""
"Tends to agree","1999","","","",""
"Rather not true","1999","","","",""
"Totally disagree","1999","","","",""
"True entirely","2000","","","",""
"Tends to agree","2000","","","",""
"Rather not true","2000","","","",""
"Totally disagree","2000","","","",""
"True entirely","2001","","","",""
"Tends to agree","2001","","","",""
"Rather not true","2001","","","",""
"Totally disagree","2001","","","",""
"True entirely","2002","","","",""
"Tends to agree","2002","","","",""
"Rather not true","2002","","","",""
"Totally disagree","2002","","","",""
"True entirely","2003","","","",""
"Tends to agree","2003","","","",""
"Rather not true","2003","","","",""
"Totally disagree","2003","","","",""
"True entirely","2004","","","",""
"Tends to agree","2004","","","",""
"Rather not true","2004","","","",""
"Totally disagree","2004","","","",""
"True entirely","2005","","","",""
"Tends to agree","2005","","","",""
"Rather not true","2005","","","",""
"Totally disagree","2005","","","",""
"True entirely","2006","","","",""
"Tends to agree","2006","","","",""
"Rather not true","2006","","","",""
"Totally disagree","2006","","","",""
"True entirely","2007","","","",""
"Tends to agree","2007","","","",""
"Rather not true","2007","","","",""
"Totally disagree","2007","","","",""
"True entirely","2008","1203","0.0763736807323953","0.0726320554200835","0.080115306044707"
"Tends to agree","2008","2592","0.154047882256282","0.14896229580454","0.159133468708023"
"Rather not true","2008","7530","0.39132698762363","0.384451520538625","0.398202454708636"
"Totally disagree","2008","8031","0.378251449387693","0.371419604845295","0.38508329393009"
"True entirely","2009","","","",""
"Tends to agree","2009","","","",""
"Rather not true","2009","","","",""
"Totally disagree","2009","","","",""
"True entirely","2010","","","",""
"Tends to agree","2010","","","",""
"Rather not true","2010","","","",""
"Totally disagree","2010","","","",""
"True entirely","2011","","","",""
"Tends to agree","2011","","","",""
"Rather not true","2011","","","",""
"Totally disagree","2011","","","",""
"True entirely","2012","","","",""
"Tends to agree","2012","","","",""
"Rather not true","2012","","","",""
"Totally disagree","2012","","","",""
"True entirely","2013","891","0.0532152969664045","0.0500151307229372","0.0564154632098719"
"Tends to agree","2013","2133","0.124034297194312","0.119334889487624","0.128733704900999"
"Rather not true","2013","7445","0.404588763621778","0.397591244398117","0.411586282845439"
"Totally disagree","2013","8430","0.418161642217506","0.411129268385228","0.425194016049785"
"True entirely","2014","","","",""
"Tends to agree","2014","","","",""
"Rather not true","2014","","","",""
"Totally disagree","2014","","","",""
"True entirely","2015","","","",""
"Tends to agree","2015","","","",""
"Rather not true","2015","","","",""
"Totally disagree","2015","","","",""
"True entirely","2016","","","",""
"Tends to agree","2016","","","",""
"Rather not true","2016","","","",""
"Totally disagree","2016","","","",""
"True entirely","2017","","","",""
"Tends to agree","2017","","","",""
"Rather not true","2017","","","",""
"Totally disagree","2017","","","",""
"True entirely","2018","1349","0.0573235203475562","0.0544787729876946","0.0601682677074178"
"Tends to agree","2018","3371","0.142186748854663","0.137912873243711","0.146460624465616"
"Rather not true","2018","9541","0.382003389749252","0.376057421367023","0.387949358131482"
"Totally disagree","2018","11390","0.418486341048528","0.412449405426068","0.424523276670988"
