"plh0171","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","1-pers.-HH","Urban Area","29","","","","0"
"0 Completely dissatisfied","1985","1-pers.-HH","Rural Area","4","","","","0"
"0 Completely dissatisfied","1985","(Married) couple without C. ","Urban Area","60","0.0329693270660806","0.0249846092087055","0.0409540449234558","0"
"0 Completely dissatisfied","1985","(Married) couple without C. ","Rural Area","13","","","","0"
"0 Completely dissatisfied","1985","Single parent ","Urban Area","11","","","","0"
"0 Completely dissatisfied","1985","Single parent ","Rural Area","5","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","Urban Area","26","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE 16 ","Rural Area","10","","","","0"
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","Urban Area","23","","","","0"
"0 Completely dissatisfied","1985","Couple + C. GT 16 ","Rural Area","11","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","Urban Area","18","","","","0"
"0 Completely dissatisfied","1985","Couple + C. LE and GT 16","Rural Area","4","","","","0"
"1 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","8","","","","1"
"1 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","16","","","","1"
"1 on Scale 1 to 10","1985","Single parent ","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","15","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","10","","","","1"
"1 on Scale 1 to 10","1985","Single parent ","Urban Area","3","","","","1"
"1 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","4","","","","1"
"1 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","32","0.0188680669627543","0.0127837501685951","0.0249523837569134","1"
"1 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","13","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","14","","","","1"
"1 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","2","","","","1"
"10 Completely satisfied","1985","1-pers.-HH","Urban Area","165","0.152284062526078","0.129992771518644","0.174575353533513","10"
"10 Completely satisfied","1985","1-pers.-HH","Rural Area","24","","","","10"
"10 Completely satisfied","1985","(Married) couple without C. ","Urban Area","247","0.125550692477231","0.110733658257415","0.140367726697047","10"
"10 Completely satisfied","1985","(Married) couple without C. ","Rural Area","69","0.130828140971151","0.101151778545386","0.160504503396916","10"
"10 Completely satisfied","1985","Single parent ","Urban Area","74","0.171024779404091","0.13522717866274","0.206822380145442","10"
"10 Completely satisfied","1985","Single parent ","Rural Area","26","","","","10"
"10 Completely satisfied","1985","Couple + C. LE 16 ","Urban Area","403","0.172966133642044","0.156896555901469","0.189035711382619","10"
"10 Completely satisfied","1985","Couple + C. LE 16 ","Rural Area","108","0.180274756341257","0.148030424424668","0.212519088257845","10"
"10 Completely satisfied","1985","Couple + C. GT 16 ","Urban Area","327","0.185923689579219","0.167088996943666","0.204758382214773","10"
"10 Completely satisfied","1985","Couple + C. GT 16 ","Rural Area","53","0.12390778078195","0.0910393750223455","0.156776186541555","10"
"10 Completely satisfied","1985","Couple + C. LE and GT 16","Urban Area","257","0.203647635699967","0.180392751857396","0.226902519542538","10"
"10 Completely satisfied","1985","Couple + C. LE and GT 16","Rural Area","76","0.190286893234003","0.147936139556742","0.232637646911264","10"
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","31","0.0128698827497333","0.00808097164351014","0.0176587938559565","2"
"2 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","7","","","","2"
"2 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","42","0.0457196993742022","0.032760669746915","0.0586787290014893","2"
"2 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","69","0.0390732314726962","0.0304082184548117","0.0477382444905807","2"
"2 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","17","","","","2"
"2 on Scale 1 to 10","1985","Single parent ","Urban Area","17","","","","2"
"2 on Scale 1 to 10","1985","Single parent ","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","6","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","37","0.0216352551743055","0.0145917307902138","0.0286787795583972","2"
"2 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","6","","","","2"
"2 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","30","0.0189146864571254","0.0110483084489266","0.0267810644653241","2"
"2 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","4","","","","2"
"3 on Scale 1 to 10","1985","Single parent ","Rural Area","","","","","3"
"3 on Scale 1 to 10","1985","Single parent ","Urban Area","14","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","53","0.0223042754260588","0.0160300777591008","0.0285784730930167","3"
"3 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","44","0.0508593606873715","0.0372281775327668","0.0644905438419761","3"
"3 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","90","0.0472455256695318","0.0377579500630245","0.0567331012760391","3"
"3 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","27","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","11","","","","3"
"3 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","16","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","14","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","53","0.0336490935159465","0.0249191239843158","0.0423790630475773","3"
"3 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","16","","","","3"
"3 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","41","0.0302228792946404","0.0203367625038621","0.0401089960854187","3"
"4 on Scale 1 to 10","1985","Couple + C. LE 16 ","Urban Area","81","0.0378531449655864","0.0297447677333905","0.0459615221977824","4"
"4 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","6","","","","4"
"4 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","62","0.0685686113601053","0.052889518502875","0.0842477042173356","4"
"4 on Scale 1 to 10","1985","Single parent ","Urban Area","25","","","","4"
"4 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","23","","","","4"
"4 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","101","0.0562511609952557","0.0459478129842289","0.0665545090062825","4"
"4 on Scale 1 to 10","1985","Single parent ","Rural Area","7","","","","4"
"4 on Scale 1 to 10","1985","Couple + C. LE 16 ","Rural Area","21","","","","4"
"4 on Scale 1 to 10","1985","Couple + C. GT 16 ","Rural Area","16","","","","4"
"4 on Scale 1 to 10","1985","Couple + C. GT 16 ","Urban Area","80","0.0481203499904038","0.0377590553426806","0.0584816446381271","4"
"4 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Rural Area","10","","","","4"
"4 on Scale 1 to 10","1985","Couple + C. LE and GT 16","Urban Area","42","0.0388644863675703","0.0277038070406238","0.0500251656945168","4"
"5 on Scale 1 to 10","1985","1-pers.-HH","Rural Area","33","0.184219362023244","0.127108884496115","0.241329839550372","5"
"5 on Scale 1 to 10","1985","(Married) couple without C. ","Urban Area","364","0.189496090384436","0.171970926305563","0.207021254463308","5"
"5 on Scale 1 to 10","1985","1-pers.-HH","Urban Area","152","0.16570452490083","0.14263652460079","0.188772525200871","5"
"5 on Scale 1 to 10","1985","(Married) couple without C. ","Rural Area","82","0.174885535390673","0.141455156522724","0.208315914258623","5"
