"plh0171","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","West Germany","Male","175","0.0319715559533245","0.0275153073868145","0.0364278045198346","0"
"0 Completely dissatisfied","1984","West Germany","Female","199","0.0377613132589084","0.0330252974626031","0.0424973290552138","0"
"0 Completely dissatisfied","1984","East Germany","Male","","","","","0"
"0 Completely dissatisfied","1984","East Germany","Female","","","","","0"
"1 on Scale 1 to 10","1984","West Germany","Male","77","0.0144428780327303","0.0114207613091443","0.0174649947563163","1"
"1 on Scale 1 to 10","1984","West Germany","Female","98","0.0198430380992747","0.0163780632377471","0.0233080129608022","1"
"1 on Scale 1 to 10","1984","East Germany","Male","","","","","1"
"1 on Scale 1 to 10","1984","East Germany","Female","","","","","1"
"10 Completely satisfied","1984","West Germany","Male","1430","0.210715754306749","0.200385555429382","0.221045953184116","10"
"10 Completely satisfied","1984","West Germany","Female","1350","0.194026970791036","0.184201813839724","0.203852127742347","10"
"10 Completely satisfied","1984","East Germany","Male","","","","","10"
"10 Completely satisfied","1984","East Germany","Female","","","","","10"
"2 on Scale 1 to 10","1984","West Germany","Male","166","0.0281522807351551","0.0239624221583852","0.032342139311925","2"
"2 on Scale 1 to 10","1984","West Germany","Female","199","0.034059700695879","0.0295531553353373","0.0385662460564206","2"
"2 on Scale 1 to 10","1984","East Germany","Male","","","","","2"
"2 on Scale 1 to 10","1984","East Germany","Female","","","","","2"
"3 on Scale 1 to 10","1984","West Germany","Male","210","0.0373632906114591","0.0325593544175992","0.0421672268053191","3"
"3 on Scale 1 to 10","1984","West Germany","Female","283","0.0490333515633907","0.0436682663621981","0.0543984367645833","3"
"3 on Scale 1 to 10","1984","East Germany","Male","","","","","3"
"3 on Scale 1 to 10","1984","East Germany","Female","","","","","3"
"4 on Scale 1 to 10","1984","West Germany","Male","228","0.0417622780939221","0.0366950298123151","0.046829526375529","4"
"4 on Scale 1 to 10","1984","West Germany","Female","275","0.0465712768169894","0.041335858613666","0.0518066950203128","4"
"4 on Scale 1 to 10","1984","East Germany","Female","","","","","4"
"4 on Scale 1 to 10","1984","East Germany","Male","","","","","4"
"5 on Scale 1 to 10","1984","West Germany","Male","752","0.134553840263296","0.125909904352603","0.143197776173989","5"
"5 on Scale 1 to 10","1984","West Germany","Female","1021","0.173069738100687","0.163670488091592","0.182468988109783","5"
"5 on Scale 1 to 10","1984","East Germany","Male","","","","","5"
"5 on Scale 1 to 10","1984","East Germany","Female","","","","","5"
"6 on Scale 1 to 10","1984","West Germany","Female","418","0.0670446059756589","0.0608307590296236","0.0732584529216941","6"
"6 on Scale 1 to 10","1984","East Germany","Male","","","","","6"
"6 on Scale 1 to 10","1984","East Germany","Female","","","","","6"
"6 on Scale 1 to 10","1984","West Germany","Male","381","0.0648341532490686","0.0585969527878758","0.0710713537102613","6"
"7 on Scale 1 to 10","1984","West Germany","Female","697","0.116681026215021","0.108704623177711","0.12465742925233","7"
"7 on Scale 1 to 10","1984","West Germany","Male","713","0.123005700943627","0.114686062230264","0.13132533965699","7"
"7 on Scale 1 to 10","1984","East Germany","Male","","","","","7"
"7 on Scale 1 to 10","1984","East Germany","Female","","","","","7"
"8 on Scale 1 to 10","1984","West Germany","Male","1103","0.188874654762691","0.178960075486339","0.198789234039042","8"
"8 on Scale 1 to 10","1984","West Germany","Female","1049","0.16697854277564","0.157712237197769","0.17624484835351","8"
"8 on Scale 1 to 10","1984","East Germany","Male","","","","","8"
"8 on Scale 1 to 10","1984","East Germany","Female","","","","","8"
"9 on Scale 1 to 10","1984","West Germany","Female","634","0.094930435707516","0.0876477442974759","0.102213127117556","9"
"9 on Scale 1 to 10","1984","West Germany","Male","752","0.124323613047978","0.115965810767595","0.132681415328361","9"
"9 on Scale 1 to 10","1984","East Germany","Male","","","","","9"
"9 on Scale 1 to 10","1984","East Germany","Female","","","","","9"
"0 Completely dissatisfied","1985","West Germany","Male","109","0.0230885343116397","0.0190928242636663","0.0270842443596131","0"
"0 Completely dissatisfied","1985","West Germany","Female","121","0.0242448855795289","0.0202182644315104","0.0282715067275475","0"
"0 Completely dissatisfied","1985","East Germany","Male","","","","","0"
"0 Completely dissatisfied","1985","East Germany","Female","","","","","0"
"1 on Scale 1 to 10","1985","West Germany","Male","62","0.0129486724970077","0.00994086060531353","0.0159564843887018","1"
"1 on Scale 1 to 10","1985","West Germany","Female","71","0.0147447441615505","0.01158935242817","0.0179001358949311","1"
"1 on Scale 1 to 10","1985","East Germany","Male","","","","","1"
"1 on Scale 1 to 10","1985","East Germany","Female","","","","","1"
"10 Completely satisfied","1985","West Germany","Male","1000","0.163499976462459","0.153660771529751","0.173339181395167","10"
"10 Completely satisfied","1985","West Germany","Female","934","0.153173449414449","0.143744804901846","0.162602093927051","10"
"10 Completely satisfied","1985","East Germany","Male","","","","","10"
"10 Completely satisfied","1985","East Germany","Female","","","","","10"
"2 on Scale 1 to 10","1985","West Germany","Male","138","0.0260774468020409","0.0218374754155659","0.0303174181885158","2"
