"plh0171","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","1-pers.-HH","no migration background","53","0.0501677087942332","0.0372027915313279","0.0631326260571384","0"
"0 Completely dissatisfied","1984","1-pers.-HH","direct migration background","10","","","","0"
"0 Completely dissatisfied","1984","1-pers.-HH","indirect migration background","","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","no migration background","89","0.0435026549893944","0.0350363204460857","0.0519689895327031","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","direct migration background","17","","","","0"
"0 Completely dissatisfied","1984","(Married) couple without C. ","indirect migration background","","","","","0"
"0 Completely dissatisfied","1984","Single parent ","no migration background","16","","","","0"
"0 Completely dissatisfied","1984","Single parent ","direct migration background","4","","","","0"
"0 Completely dissatisfied","1984","Single parent ","indirect migration background","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","no migration background","27","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","direct migration background","30","0.0310816628521975","0.0212176671597839","0.040945658544611","0"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","indirect migration background","","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","no migration background","39","0.0291809054271895","0.0205561961579587","0.0378056146964204","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","direct migration background","11","","","","0"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","indirect migration background","1","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","no migration background","14","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","direct migration background","14","","","","0"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1984","1-pers.-HH","no migration background","29","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","direct migration background","2","","","","1"
"1 on Scale 1 to 10","1984","1-pers.-HH","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","no migration background","39","0.0194463737953173","0.0137151066890697","0.025177640901565","1"
"1 on Scale 1 to 10","1984","Single parent ","no migration background","9","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","direct migration background","3","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","direct migration background","7","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","no migration background","20","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","no migration background","7","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","direct migration background","13","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","direct migration background","8","","","","1"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1984","Single parent ","indirect migration background","1","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","no migration background","11","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","direct migration background","8","","","","1"
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"10 Completely satisfied","1984","1-pers.-HH","direct migration background","53","0.158697380794639","0.112275726555604","0.205119035033674","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","no migration background","485","0.254372929646407","0.234607559476102","0.274138299816711","10"
"10 Completely satisfied","1984","1-pers.-HH","no migration background","187","0.161769023342608","0.13989827285693","0.183639773828285","10"
"10 Completely satisfied","1984","1-pers.-HH","indirect migration background","1","","","","10"
"10 Completely satisfied","1984","(Married) couple without C. ","no migration background","343","0.148029675246244","0.133290191019975","0.162769159472513","10"
"10 Completely satisfied","1984","(Married) couple without C. ","direct migration background","104","0.222204290186485","0.184377621787251","0.260030958585719","10"
"10 Completely satisfied","1984","(Married) couple without C. ","indirect migration background","","","","","10"
"10 Completely satisfied","1984","Single parent ","no migration background","101","0.220856052466406","0.182227384616484","0.259484720316327","10"
"10 Completely satisfied","1984","Single parent ","direct migration background","35","0.285787185759891","0.207520255397654","0.364054116122128","10"
"10 Completely satisfied","1984","Single parent ","indirect migration background","2","","","","10"
"10 Completely satisfied","1984","Couple + C. LE 16 ","direct migration background","359","0.298428742116953","0.272420357311029","0.324437126922877","10"
