"plh0171","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","in school","1","","","","0"
"0 Completely dissatisfied","1984","inadequately","38","0.0502592104608895","0.0368448066649484","0.0636736142568306","0"
"0 Completely dissatisfied","1984","general elemantary","121","0.0435594667903114","0.0367603136487906","0.0503586199318322","0"
"0 Completely dissatisfied","1984","middle vocational","173","0.0340758937644712","0.0293722426213921","0.0387795449075503","0"
"0 Completely dissatisfied","1984","vocational + Abi","6","","","","0"
"0 Completely dissatisfied","1984","higher vocational","20","","","","0"
"0 Completely dissatisfied","1984","higher education","10","","","","0"
"1 on Scale 1 to 10","1984","in school","1","","","","1"
"1 on Scale 1 to 10","1984","inadequately","24","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","66","0.025707774756092","0.0204359444697255","0.0309796050424586","1"
"1 on Scale 1 to 10","1984","middle vocational","66","0.0138627828934895","0.0108314484144711","0.0168941173725079","1"
"1 on Scale 1 to 10","1984","vocational + Abi","3","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","10","","","","1"
"1 on Scale 1 to 10","1984","higher education","5","","","","1"
"10 Completely satisfied","1984","in school","77","0.393391849694837","0.323376366990354","0.46340733239932","10"
"10 Completely satisfied","1984","inadequately","238","0.227584965939737","0.201842026033555","0.253327905845919","10"
"10 Completely satisfied","1984","general elemantary","787","0.182168340918196","0.169310946400936","0.195025735435456","10"
"10 Completely satisfied","1984","middle vocational","1273","0.206354364718302","0.195862320327174","0.21684640910943","10"
"10 Completely satisfied","1984","vocational + Abi","79","0.215061126570614","0.169471118289748","0.260651134851479","10"
"10 Completely satisfied","1984","higher vocational","124","0.172787194986297","0.143900387595232","0.201674002377362","10"
"10 Completely satisfied","1984","higher education","185","0.215390907274943","0.18676061039506","0.244021204154826","10"
"2 on Scale 1 to 10","1984","general elemantary","132","0.0459216273899081","0.0389491804168984","0.0528940743629178","2"
"2 on Scale 1 to 10","1984","inadequately","54","0.0452179294644666","0.0324603447011606","0.0579755142277726","2"
"2 on Scale 1 to 10","1984","in school","3","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","12","","","","2"
"2 on Scale 1 to 10","1984","higher education","18","","","","2"
"2 on Scale 1 to 10","1984","vocational + Abi","3","","","","2"
"2 on Scale 1 to 10","1984","middle vocational","140","0.0258522290203474","0.021737877523745","0.0299665805169499","2"
"3 on Scale 1 to 10","1984","inadequately","52","0.0488672735493076","0.0356302416295502","0.0621043054690651","3"
"3 on Scale 1 to 10","1984","general elemantary","171","0.0561854387791016","0.0485146542378863","0.0638562233203168","3"
"3 on Scale 1 to 10","1984","middle vocational","204","0.0389597963898824","0.0339430852996803","0.0439765074800845","3"
"3 on Scale 1 to 10","1984","vocational + Abi","12","","","","3"
"3 on Scale 1 to 10","1984","higher vocational","27","","","","3"
"3 on Scale 1 to 10","1984","higher education","23","","","","3"
"3 on Scale 1 to 10","1984","in school","3","","","","3"
"4 on Scale 1 to 10","1984","in school","2","","","","4"
