"plh0171","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Employed","Female","48","0.0168409030142845","0.012146347100289","0.0215354589282801","0"
"0 Completely dissatisfied","1984","Employed","Male","83","0.0182820014810402","0.0144396693966225","0.0221243335654578","0"
"0 Completely dissatisfied","1984","Not Employed","Female","151","0.0524011297776069","0.0448405938743948","0.059961665680819","0"
"0 Completely dissatisfied","1984","Not Employed","Male","92","0.0689374678900938","0.0552547525346013","0.0826201832455862","0"
"1 on Scale 1 to 10","1984","Employed","Female","22","","","","1"
"1 on Scale 1 to 10","1984","Employed","Male","30","0.00598972436301206","0.00377668822219167","0.00820276050383245","1"
"1 on Scale 1 to 10","1984","Not Employed","Female","76","0.0286005505483152","0.0229452445238783","0.0342558565727521","1"
"1 on Scale 1 to 10","1984","Not Employed","Male","47","0.037268933824058","0.0270388031534888","0.0474990644946272","1"
"10 Completely satisfied","1984","Employed","Female","687","0.236512962622145","0.221009516807842","0.252016408436448","10"
"10 Completely satisfied","1984","Employed","Male","1172","0.22841115565101","0.216370745636526","0.240451565665494","10"
"10 Completely satisfied","1984","Not Employed","Female","663","0.164295855686245","0.151723705224878","0.176868006147612","10"
"10 Completely satisfied","1984","Not Employed","Male","258","0.162932851722001","0.142987592647329","0.182878110796674","10"
"2 on Scale 1 to 10","1984","Employed","Female","57","0.0192447820046727","0.0142324856687752","0.0242570783405702","2"
"2 on Scale 1 to 10","1984","Employed","Male","103","0.0201828956098214","0.0161496571858736","0.0242161340337691","2"
"2 on Scale 1 to 10","1984","Not Employed","Female","142","0.0444269778593099","0.037436203035962","0.0514177526826578","2"
"2 on Scale 1 to 10","1984","Not Employed","Male","63","0.0496720160435406","0.0379379681613295","0.0614060639257518","2"
"3 on Scale 1 to 10","1984","Employed","Female","118","0.0378245082558715","0.0308644364818428","0.0447845800299002","3"
"3 on Scale 1 to 10","1984","Employed","Male","137","0.0284995469890186","0.0237272206597025","0.0332718733183347","3"
"3 on Scale 1 to 10","1984","Not Employed","Male","73","0.0612980626919242","0.0483429130103522","0.0742532123734961","3"
"3 on Scale 1 to 10","1984","Not Employed","Female","165","0.0568771465698051","0.0490189475767913","0.0647353455628189","3"
"4 on Scale 1 to 10","1984","Employed","Female","124","0.0409918260788426","0.0337581390496026","0.0482255131080826","4"
"4 on Scale 1 to 10","1984","Employed","Male","166","0.0368651184032515","0.0314607988174118","0.0422694379890911","4"
"4 on Scale 1 to 10","1984","Not Employed","Female","151","0.0504757000155056","0.043047831545901","0.0579035684851102","4"
"4 on Scale 1 to 10","1984","Not Employed","Male","62","0.0549860812667814","0.0426748726419717","0.0672972898915911","4"
"5 on Scale 1 to 10","1984","Employed","Male","563","0.126522106439248","0.116987586821246","0.13605662605725","5"
"5 on Scale 1 to 10","1984","Not Employed","Female","570","0.185862540957733","0.17266433833559","0.199060743579876","5"
"5 on Scale 1 to 10","1984","Not Employed","Male","189","0.156241935799234","0.136632595766305","0.175851275832163","5"
"5 on Scale 1 to 10","1984","Employed","Female","451","0.154788724564338","0.141592423061399","0.167985026067277","5"
"6 on Scale 1 to 10","1984","Employed","Male","302","0.0635938671964103","0.0565949735646389","0.0705927608281816","6"
"6 on Scale 1 to 10","1984","Employed","Female","183","0.0606469605578897","0.0519389515378492","0.0693549695779301","6"
"6 on Scale 1 to 10","1984","Not Employed","Female","235","0.0715215906032381","0.0627783088361137","0.0802648723703625","6"
"6 on Scale 1 to 10","1984","Not Employed","Male","79","0.0681832984014396","0.0545701226326754","0.0817964741702037","6"
"7 on Scale 1 to 10","1984","Employed","Female","338","0.121611354143964","0.109687124082988","0.133535584204939","7"
"7 on Scale 1 to 10","1984","Employed","Male","601","0.135617534622555","0.125797781995449","0.14543728724966","7"
"7 on Scale 1 to 10","1984","Not Employed","Female","359","0.113230850266617","0.102479632469299","0.123982068063934","7"
"7 on Scale 1 to 10","1984","Not Employed","Male","112","0.088949959094592","0.0735755229916917","0.104324395197492","7"
"8 on Scale 1 to 10","1984","Employed","Male","903","0.202603837176165","0.191075927775819","0.21413174657651","8"
"8 on Scale 1 to 10","1984","Employed","Female","530","0.188961393522151","0.174678794852889","0.203243992191413","8"
"8 on Scale 1 to 10","1984","Not Employed","Female","519","0.151595244947168","0.139427381584829","0.163763108309507","8"
"8 on Scale 1 to 10","1984","Not Employed","Male","200","0.151801735473182","0.132422249138046","0.171181221808318","8"
"9 on Scale 1 to 10","1984","Employed","Female","328","0.115248099687299","0.103598055670464","0.126898143704134","9"
"9 on Scale 1 to 10","1984","Employed","Male","610","0.133432212068468","0.123679592929675","0.143184831207262","9"
"9 on Scale 1 to 10","1984","Not Employed","Female","306","0.0807124127684567","0.0714704151825639","0.0899544103543496","9"
"9 on Scale 1 to 10","1984","Not Employed","Male","142","0.0997276577931536","0.083544995645959","0.115910319940348","9"
"0 Completely dissatisfied","1985","Employed","Female","34","0.0140005359299589","0.00950504790284092","0.0184960239570769","0"
"0 Completely dissatisfied","1985","Employed","Male","43","0.0094124916430669","0.00649153171357713","0.0123334515725567","0"
"0 Completely dissatisfied","1985","Not Employed","Female","87","0.0316754771139973","0.025388539499295","0.0379624147286997","0"
"0 Completely dissatisfied","1985","Not Employed","Male","66","0.0582716460794863","0.0451748937106092","0.0713683984483634","0"
"1 on Scale 1 to 10","1985","Employed","Female","16","","","","1"
"1 on Scale 1 to 10","1985","Employed","Male","34","0.00840271843616755","0.00564147661037561","0.0111639602619595","1"
"1 on Scale 1 to 10","1985","Not Employed","Female","55","0.0224980231440932","0.0171745127692228","0.0278215335189636","1"
"1 on Scale 1 to 10","1985","Not Employed","Male","28","","","","1"
"10 Completely satisfied","1985","Employed","Female","455","0.178812327039463","0.164150566779001","0.193474087299926","10"
"10 Completely satisfied","1985","Employed","Male","806","0.175516571726794","0.16400917984618","0.187023963607408","10"
"10 Completely satisfied","1985","Not Employed","Female","479","0.134576658641918","0.122325807135586","0.14682751014825","10"
"10 Completely satisfied","1985","Not Employed","Male","194","0.132585974181257","0.113626156287057","0.151545792075457","10"
"2 on Scale 1 to 10","1985","Employed","Male","77","0.0160054621854892","0.012209190134621","0.0198017342363574","2"
"2 on Scale 1 to 10","1985","Not Employed","Female","120","0.0468329510840185","0.0392484437506225","0.0544174584174146","2"
