"plh0171","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Full Time","in school","","","","","0"
"0 Completely dissatisfied","1984","Full Time","inadequately","10","","","","0"
"0 Completely dissatisfied","1984","Full Time","general elemantary","17","","","","0"
"0 Completely dissatisfied","1984","Full Time","middle vocational","45","0.0155449468837035","0.0110824031848571","0.0200074905825498","0"
"0 Completely dissatisfied","1984","Full Time","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","1984","Full Time","higher vocational","4","","","","0"
"0 Completely dissatisfied","1984","Full Time","higher education","2","","","","0"
"0 Completely dissatisfied","1984","Part Time","in school","","","","","0"
"0 Completely dissatisfied","1984","Part Time","inadequately","3","","","","0"
"0 Completely dissatisfied","1984","Part Time","general elemantary","15","","","","0"
"0 Completely dissatisfied","1984","Part Time","middle vocational","20","","","","0"
"0 Completely dissatisfied","1984","Part Time","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","Part Time","higher vocational","5","","","","0"
"0 Completely dissatisfied","1984","Part Time","higher education","4","","","","0"
"0 Completely dissatisfied","1984","Not Working","in school","1","","","","0"
"0 Completely dissatisfied","1984","Not Working","inadequately","25","","","","0"
"0 Completely dissatisfied","1984","Not Working","general elemantary","89","0.059390923360208","0.0483361343899761","0.0704457123304399","0"
"0 Completely dissatisfied","1984","Not Working","middle vocational","108","0.0616057353383996","0.050751589338336","0.0724598813384632","0"
"0 Completely dissatisfied","1984","Not Working","vocational + Abi","4","","","","0"
"0 Completely dissatisfied","1984","Not Working","higher vocational","11","","","","0"
"0 Completely dissatisfied","1984","Not Working","higher education","4","","","","0"
"1 on Scale 1 to 10","1984","Not Working","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","Not Working","middle vocational","44","0.0275401802726926","0.0201524397036179","0.0349279208417673","1"
"1 on Scale 1 to 10","1984","Not Working","higher education","2","","","","1"
"1 on Scale 1 to 10","1984","Full Time","general elemantary","13","","","","1"
"1 on Scale 1 to 10","1984","Not Working","higher vocational","6","","","","1"
"1 on Scale 1 to 10","1984","Full Time","middle vocational","15","","","","1"
"1 on Scale 1 to 10","1984","Full Time","vocational + Abi","2","","","","1"
"1 on Scale 1 to 10","1984","Full Time","in school","","","","","1"
"1 on Scale 1 to 10","1984","Full Time","inadequately","4","","","","1"
"1 on Scale 1 to 10","1984","Full Time","higher vocational","4","","","","1"
"1 on Scale 1 to 10","1984","Full Time","higher education","2","","","","1"
"1 on Scale 1 to 10","1984","Part Time","in school","","","","","1"
"1 on Scale 1 to 10","1984","Part Time","inadequately","3","","","","1"
"1 on Scale 1 to 10","1984","Part Time","general elemantary","1","","","","1"
"1 on Scale 1 to 10","1984","Part Time","middle vocational","7","","","","1"
"1 on Scale 1 to 10","1984","Part Time","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","Part Time","higher vocational","","","","","1"
"1 on Scale 1 to 10","1984","Part Time","higher education","1","","","","1"
"1 on Scale 1 to 10","1984","Not Working","in school","1","","","","1"
"1 on Scale 1 to 10","1984","Not Working","inadequately","17","","","","1"
"1 on Scale 1 to 10","1984","Not Working","general elemantary","52","0.0369730487938305","0.0281473787293344","0.0457987188583266","1"
"10 Completely satisfied","1984","Not Working","higher education","33","0.186182046034687","0.125867698735899","0.246496393333476","10"
"10 Completely satisfied","1984","Not Working","middle vocational","350","0.166486492038166","0.1496698904087","0.183303093667633","10"
"10 Completely satisfied","1984","Not Working","vocational + Abi","21","","","","10"
"10 Completely satisfied","1984","Not Working","higher vocational","25","","","","10"
"10 Completely satisfied","1984","Full Time","in school","","","","","10"
"10 Completely satisfied","1984","Full Time","inadequately","137","0.271875490257509","0.233523255651634","0.310227724863384","10"
"10 Completely satisfied","1984","Full Time","general elemantary","314","0.251691394213169","0.226717075510833","0.276665712915506","10"
"10 Completely satisfied","1984","Full Time","middle vocational","722","0.232719594743462","0.217476138652474","0.247963050834449","10"
"10 Completely satisfied","1984","Full Time","vocational + Abi","43","0.199615235957875","0.141222598985087","0.258007872930664","10"
"10 Completely satisfied","1984","Full Time","higher vocational","71","0.187941814099158","0.1478637310977","0.228019897100617","10"
"10 Completely satisfied","1984","Full Time","higher education","111","0.216872236783761","0.179494935566964","0.254249538000558","10"
"10 Completely satisfied","1984","Part Time","in school","3","","","","10"
"10 Completely satisfied","1984","Part Time","inadequately","22","","","","10"
"10 Completely satisfied","1984","Part Time","general elemantary","142","0.23901980590017","0.203246803541965","0.274792808258374","10"
"10 Completely satisfied","1984","Part Time","middle vocational","201","0.224601219337478","0.196997382939645","0.252205055735311","10"
"10 Completely satisfied","1984","Part Time","vocational + Abi","15","","","","10"
"10 Completely satisfied","1984","Part Time","higher vocational","28","","","","10"
"10 Completely satisfied","1984","Part Time","higher education","41","0.244523537688299","0.178942705538289","0.310104369838309","10"
"10 Completely satisfied","1984","Not Working","in school","74","0.394549304848508","0.322748696781967","0.46634991291505","10"
"10 Completely satisfied","1984","Not Working","inadequately","79","0.188389336079577","0.149074332201042","0.227704339958112","10"
"10 Completely satisfied","1984","Not Working","general elemantary","331","0.140340548406087","0.124094765662039","0.156586331150135","10"
"2 on Scale 1 to 10","1984","Not Working","higher vocational","7","","","","2"
"2 on Scale 1 to 10","1984","Not Working","inadequately","26","","","","2"
"2 on Scale 1 to 10","1984","Not Working","vocational + Abi","1","","","","2"
"2 on Scale 1 to 10","1984","Full Time","middle vocational","63","0.0213834755092616","0.0161650999240029","0.0266018510945204","2"
"2 on Scale 1 to 10","1984","Full Time","vocational + Abi","2","","","","2"
"2 on Scale 1 to 10","1984","Full Time","higher vocational","5","","","","2"
"2 on Scale 1 to 10","1984","Part Time","higher vocational","","","","","2"
"2 on Scale 1 to 10","1984","Part Time","vocational + Abi","","","","","2"
"2 on Scale 1 to 10","1984","Not Working","middle vocational","64","0.0350084083476021","0.0267110401701866","0.0433057765250175","2"
"2 on Scale 1 to 10","1984","Not Working","in school","3","","","","2"
"2 on Scale 1 to 10","1984","Full Time","in school","","","","","2"
"2 on Scale 1 to 10","1984","Full Time","inadequately","22","","","","2"
"2 on Scale 1 to 10","1984","Full Time","general elemantary","23","","","","2"
"2 on Scale 1 to 10","1984","Part Time","in school","","","","","2"
"2 on Scale 1 to 10","1984","Part Time","middle vocational","13","","","","2"
"2 on Scale 1 to 10","1984","Not Working","general elemantary","93","0.0608911833055891","0.0497065692891174","0.0720757973220608","2"
"2 on Scale 1 to 10","1984","Part Time","higher education","3","","","","2"
"2 on Scale 1 to 10","1984","Full Time","higher education","7","","","","2"
"2 on Scale 1 to 10","1984","Part Time","inadequately","6","","","","2"
"2 on Scale 1 to 10","1984","Part Time","general elemantary","16","","","","2"
"2 on Scale 1 to 10","1984","Not Working","higher education","8","","","","2"
"3 on Scale 1 to 10","1984","Full Time","vocational + Abi","5","","","","3"
"3 on Scale 1 to 10","1984","Full Time","middle vocational","87","0.0305347755688463","0.0243281806982256","0.036741370439467","3"
"3 on Scale 1 to 10","1984","Full Time","in school","","","","","3"
"3 on Scale 1 to 10","1984","Full Time","inadequately","31","0.0490521019946591","0.0304350894159461","0.067669114573372","3"
"3 on Scale 1 to 10","1984","Full Time","general elemantary","51","0.0456700843938673","0.0336561772078198","0.0576839915799149","3"
"3 on Scale 1 to 10","1984","Full Time","higher vocational","12","","","","3"
"3 on Scale 1 to 10","1984","Full Time","higher education","11","","","","3"
"3 on Scale 1 to 10","1984","Part Time","general elemantary","20","","","","3"
"3 on Scale 1 to 10","1984","Part Time","middle vocational","24","","","","3"
"3 on Scale 1 to 10","1984","Part Time","higher education","3","","","","3"
"3 on Scale 1 to 10","1984","Not Working","in school","3","","","","3"
"3 on Scale 1 to 10","1984","Not Working","inadequately","16","","","","3"
"3 on Scale 1 to 10","1984","Not Working","middle vocational","93","0.0539917512376434","0.0437893222066318","0.064194180268655","3"
"3 on Scale 1 to 10","1984","Not Working","higher education","9","","","","3"
"3 on Scale 1 to 10","1984","Part Time","inadequately","5","","","","3"
"3 on Scale 1 to 10","1984","Part Time","vocational + Abi","4","","","","3"
"3 on Scale 1 to 10","1984","Part Time","higher vocational","2","","","","3"
"3 on Scale 1 to 10","1984","Not Working","vocational + Abi","3","","","","3"
"3 on Scale 1 to 10","1984","Not Working","higher vocational","13","","","","3"
"3 on Scale 1 to 10","1984","Part Time","in school","","","","","3"
"3 on Scale 1 to 10","1984","Not Working","general elemantary","100","0.0652684300272694","0.0537157997724674","0.0768210602820713","3"
"4 on Scale 1 to 10","1984","Full Time","middle vocational","112","0.0366001972579127","0.0298263577301621","0.0433740367856633","4"
"4 on Scale 1 to 10","1984","Full Time","general elemantary","30","0.022885137221581","0.0142797846915095","0.0314904897516526","4"
"4 on Scale 1 to 10","1984","Not Working","higher education","7","","","","4"
"4 on Scale 1 to 10","1984","Not Working","middle vocational","79","0.046112315234526","0.0366445060022506","0.0555801244668015","4"
"4 on Scale 1 to 10","1984","Not Working","vocational + Abi","5","","","","4"
"4 on Scale 1 to 10","1984","Not Working","higher vocational","8","","","","4"
"4 on Scale 1 to 10","1984","Full Time","in school","","","","","4"
"4 on Scale 1 to 10","1984","Full Time","inadequately","27","","","","4"
"4 on Scale 1 to 10","1984","Full Time","vocational + Abi","8","","","","4"
"4 on Scale 1 to 10","1984","Full Time","higher vocational","12","","","","4"
"4 on Scale 1 to 10","1984","Full Time","higher education","11","","","","4"
"4 on Scale 1 to 10","1984","Part Time","in school","","","","","4"
"4 on Scale 1 to 10","1984","Part Time","inadequately","9","","","","4"
"4 on Scale 1 to 10","1984","Part Time","general elemantary","25","","","","4"
"4 on Scale 1 to 10","1984","Part Time","middle vocational","45","0.0550396740918721","0.0399546660019447","0.0701246821817995","4"
"4 on Scale 1 to 10","1984","Part Time","vocational + Abi","1","","","","4"
"4 on Scale 1 to 10","1984","Part Time","higher vocational","2","","","","4"
"4 on Scale 1 to 10","1984","Part Time","higher education","6","","","","4"
"4 on Scale 1 to 10","1984","Not Working","in school","2","","","","4"
"4 on Scale 1 to 10","1984","Not Working","inadequately","17","","","","4"
"4 on Scale 1 to 10","1984","Not Working","general elemantary","94","0.0632893707767926","0.0519012005980583","0.0746775409555269","4"
"5 on Scale 1 to 10","1984","Full Time","in school","","","","","5"
"5 on Scale 1 to 10","1984","Part Time","inadequately","28","","","","5"
"5 on Scale 1 to 10","1984","Part Time","general elemantary","94","0.180358846060653","0.14810864907169","0.212609043049615","5"
"5 on Scale 1 to 10","1984","Not Working","middle vocational","315","0.179211782880227","0.161898028562237","0.196525537198216","5"
"5 on Scale 1 to 10","1984","Not Working","vocational + Abi","11","","","","5"
"5 on Scale 1 to 10","1984","Full Time","inadequately","83","0.150440185824339","0.119623798026962","0.181256573621717","5"
"5 on Scale 1 to 10","1984","Full Time","general elemantary","171","0.177117241259763","0.1551478260204","0.199086656499126","5"
"5 on Scale 1 to 10","1984","Full Time","middle vocational","372","0.130143242999126","0.118005872828673","0.142280613169579","5"
"5 on Scale 1 to 10","1984","Full Time","vocational + Abi","21","","","","5"
"5 on Scale 1 to 10","1984","Full Time","higher vocational","53","0.14834165281606","0.111877517518624","0.184805788113496","5"
"5 on Scale 1 to 10","1984","Full Time","higher education","39","0.0833313498116186","0.0582644832886757","0.108398216334561","5"
"5 on Scale 1 to 10","1984","Part Time","in school","","","","","5"
"5 on Scale 1 to 10","1984","Part Time","middle vocational","115","0.140143000758889","0.117181532535873","0.163104468981906","5"
"5 on Scale 1 to 10","1984","Part Time","vocational + Abi","3","","","","5"
"5 on Scale 1 to 10","1984","Part Time","higher vocational","20","","","","5"
"5 on Scale 1 to 10","1984","Part Time","higher education","13","","","","5"
"5 on Scale 1 to 10","1984","Not Working","in school","9","","","","5"
"5 on Scale 1 to 10","1984","Not Working","inadequately","53","0.116371758167422","0.0841302844532767","0.148613231881567","5"
"5 on Scale 1 to 10","1984","Not Working","general elemantary","306","0.18991681757088","0.171571199181166","0.208262435960594","5"
