"plb0196_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1986","1-pers.-HH","(0) in school","","","",""
"Yes","1986","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","1986","1-pers.-HH","(1b) general elementary school","","","",""
"Yes","1986","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Yes","1986","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Yes","1986","1-pers.-HH","(2a) intermediate vocational","","","",""
"Yes","1986","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Yes","1986","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","1-pers.-HH","(3a) lower tertiary education","","","",""
"Yes","1986","1-pers.-HH","(3b) higher tertiary education","","","",""
"Yes","1986","(Married) couple without C. ","(0) in school","","","",""
"Yes","1986","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Yes","1986","(Married) couple without C. ","(1b) general elementary school","","","",""
"Yes","1986","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Yes","1986","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Yes","1986","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Yes","1986","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Yes","1986","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Yes","1986","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Yes","1986","Single parent ","(0) in school","","","",""
"Yes","1986","Single parent ","(1a) inadequately completed","","","",""
"Yes","1986","Single parent ","(1b) general elementary school","","","",""
"Yes","1986","Single parent ","(1c) basic vocational qualification","","","",""
"Yes","1986","Single parent ","(2b) intermediate general qualification","","","",""
"Yes","1986","Single parent ","(2a) intermediate vocational","","","",""
"Yes","1986","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Single parent ","(3a) lower tertiary education","","","",""
"Yes","1986","Single parent ","(3b) higher tertiary education","","","",""
"Yes","1986","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1986","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Yes","1986","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"Yes","1986","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"Yes","1986","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Yes","1986","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"Yes","1986","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Yes","1986","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"Yes","1986","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1986","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Yes","1986","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"Yes","1986","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"Yes","1986","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"Yes","1986","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"Yes","1986","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Yes","1986","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Yes","1986","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","1986","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","1986","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"Yes","1986","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"Yes","1986","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Yes","1986","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Yes","1986","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Yes","1986","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"No","1986","1-pers.-HH","(0) in school","","","",""
"No","1986","1-pers.-HH","(1a) inadequately completed","29","","",""
"No","1986","1-pers.-HH","(1b) general elementary school","59","1","1","1"
"No","1986","1-pers.-HH","(1c) basic vocational qualification","92","1","1","1"
"No","1986","1-pers.-HH","(2b) intermediate general qualification","8","","",""
"No","1986","1-pers.-HH","(2a) intermediate vocational","52","1","1","1"
"No","1986","1-pers.-HH","(2c_gen) general maturity certificate","22","","",""
"No","1986","1-pers.-HH","(2c_voc) vocational maturity certificate","25","","",""
"No","1986","1-pers.-HH","(3a) lower tertiary education","12","","",""
"No","1986","1-pers.-HH","(3b) higher tertiary education","25","","",""
"No","1986","(Married) couple without C. ","(0) in school","","","",""
"No","1986","(Married) couple without C. ","(1a) inadequately completed","48","1","1","1"
"No","1986","(Married) couple without C. ","(1b) general elementary school","157","1","1","1"
"No","1986","(Married) couple without C. ","(1c) basic vocational qualification","344","1","1","1"
"No","1986","(Married) couple without C. ","(2b) intermediate general qualification","23","","",""
"No","1986","(Married) couple without C. ","(2a) intermediate vocational","152","1","1","1"
"No","1986","(Married) couple without C. ","(2c_gen) general maturity certificate","12","","",""
"No","1986","(Married) couple without C. ","(2c_voc) vocational maturity certificate","40","1","1","1"
"No","1986","(Married) couple without C. ","(3a) lower tertiary education","26","","",""
"No","1986","(Married) couple without C. ","(3b) higher tertiary education","47","1","1","1"
"No","1986","Single parent ","(0) in school","2","","",""
"No","1986","Single parent ","(1a) inadequately completed","21","","",""
"No","1986","Single parent ","(1b) general elementary school","63","1","1","1"
"No","1986","Single parent ","(1c) basic vocational qualification","75","1","1","1"
"No","1986","Single parent ","(2b) intermediate general qualification","6","","",""
"No","1986","Single parent ","(2a) intermediate vocational","26","","",""
"No","1986","Single parent ","(2c_gen) general maturity certificate","6","","",""
"No","1986","Single parent ","(2c_voc) vocational maturity certificate","10","","",""
"No","1986","Single parent ","(3a) lower tertiary education","","","",""
"No","1986","Single parent ","(3b) higher tertiary education","10","","",""
"No","1986","Couple + C. LE 16 ","(0) in school","","","",""
"No","1986","Couple + C. LE 16 ","(1a) inadequately completed","119","1","1","1"
"No","1986","Couple + C. LE 16 ","(1b) general elementary school","214","1","1","1"
"No","1986","Couple + C. LE 16 ","(1c) basic vocational qualification","423","1","1","1"
"No","1986","Couple + C. LE 16 ","(2b) intermediate general qualification","12","","",""
"No","1986","Couple + C. LE 16 ","(2a) intermediate vocational","144","1","1","1"
"No","1986","Couple + C. LE 16 ","(2c_gen) general maturity certificate","17","","",""
"No","1986","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","40","1","1","1"
"No","1986","Couple + C. LE 16 ","(3a) lower tertiary education","31","1","1","1"
"No","1986","Couple + C. LE 16 ","(3b) higher tertiary education","92","1","1","1"
"No","1986","Couple + C. GT 16 ","(0) in school","1","","",""
"No","1986","Couple + C. GT 16 ","(1a) inadequately completed","73","1","1","1"
"No","1986","Couple + C. GT 16 ","(1b) general elementary school","229","1","1","1"
"No","1986","Couple + C. GT 16 ","(1c) basic vocational qualification","346","1","1","1"
"No","1986","Couple + C. GT 16 ","(2b) intermediate general qualification","62","1","1","1"
"No","1986","Couple + C. GT 16 ","(2a) intermediate vocational","95","1","1","1"
"No","1986","Couple + C. GT 16 ","(2c_gen) general maturity certificate","46","1","1","1"
"No","1986","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","21","","",""
"No","1986","Couple + C. GT 16 ","(3a) lower tertiary education","18","","",""
"No","1986","Couple + C. GT 16 ","(3b) higher tertiary education","30","1","1","1"
"No","1986","Couple + C. LE and GT 16","(0) in school","2","","",""
"No","1986","Couple + C. LE and GT 16","(1a) inadequately completed","78","1","1","1"
"No","1986","Couple + C. LE and GT 16","(1b) general elementary school","176","1","1","1"
"No","1986","Couple + C. LE and GT 16","(1c) basic vocational qualification","212","1","1","1"
"No","1986","Couple + C. LE and GT 16","(2b) intermediate general qualification","51","1","1","1"
"No","1986","Couple + C. LE and GT 16","(2a) intermediate vocational","47","1","1","1"
"No","1986","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","17","","",""
