"plb0196_h","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Not Employed","West Germany","","","",""
"Yes","1986","Not Employed","East Germany","","","",""
"Yes","1986","Employed","West Germany","","","",""
"Yes","1986","Employed","East Germany","","","",""
"No","1986","Not Employed","West Germany","120","1","1","1"
"No","1986","Not Employed","East Germany","","","",""
"No","1986","Employed","West Germany","4210","1","1","1"
"No","1986","Employed","East Germany","","","",""
"Yes","1987","Not Employed","West Germany","","","",""
"Yes","1987","Not Employed","East Germany","","","",""
"Yes","1987","Employed","West Germany","","","",""
"Yes","1987","Employed","East Germany","","","",""
"No","1987","Not Employed","West Germany","","","",""
"No","1987","Not Employed","East Germany","","","",""
"No","1987","Employed","West Germany","","","",""
"No","1987","Employed","East Germany","","","",""
"Yes","1988","Not Employed","West Germany","","","",""
"Yes","1988","Not Employed","East Germany","","","",""
"Yes","1988","Employed","West Germany","","","",""
"Yes","1988","Employed","East Germany","","","",""
"No","1988","Not Employed","West Germany","86","1","1","1"
"No","1988","Not Employed","East Germany","","","",""
"No","1988","Employed","West Germany","3941","1","1","1"
"No","1988","Employed","East Germany","","","",""
"Yes","1989","Not Employed","West Germany","","","",""
"Yes","1989","Not Employed","East Germany","","","",""
"Yes","1989","Employed","West Germany","","","",""
"Yes","1989","Employed","East Germany","","","",""
"No","1989","Not Employed","West Germany","90","1","1","1"
"No","1989","Not Employed","East Germany","","","",""
"No","1989","Employed","West Germany","3766","1","1","1"
"No","1989","Employed","East Germany","","","",""
"Yes","1990","Not Employed","West Germany","","","",""
"Yes","1990","Not Employed","East Germany","","","",""
"Yes","1990","Employed","West Germany","","","",""
"Yes","1990","Employed","East Germany","","","",""
"No","1990","Not Employed","West Germany","85","1","1","1"
"No","1990","Not Employed","East Germany","","","",""
"No","1990","Employed","West Germany","3629","1","1","1"
"No","1990","Employed","East Germany","","","",""
"Yes","1991","Not Employed","West Germany","","","",""
"Yes","1991","Not Employed","East Germany","","","",""
"Yes","1991","Employed","West Germany","","","",""
"Yes","1991","Employed","East Germany","","","",""
"No","1991","Not Employed","West Germany","111","1","1","1"
"No","1991","Not Employed","East Germany","","","",""
"No","1991","Employed","West Germany","3561","1","1","1"
"No","1991","Employed","East Germany","","","",""
"Yes","1992","Not Employed","West Germany","","","",""
"Yes","1992","Not Employed","East Germany","","","",""
"Yes","1992","Employed","West Germany","","","",""
"Yes","1992","Employed","East Germany","","","",""
"No","1992","Not Employed","West Germany","70","1","1","1"
"No","1992","Not Employed","East Germany","31","1","1","1"
