"plb0196_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1986","lower secondary degree","in school","","","",""
"Yes","1986","lower secondary degree","inadequately","","","",""
"Yes","1986","lower secondary degree","general elemantary","","","",""
"Yes","1986","lower secondary degree","middle vocational","","","",""
"Yes","1986","lower secondary degree","vocational + Abi","","","",""
"Yes","1986","lower secondary degree","higher vocational","","","",""
"Yes","1986","lower secondary degree","higher education","","","",""
"Yes","1986","secondary school degree","in school","","","",""
"Yes","1986","secondary school degree","inadequately","","","",""
"Yes","1986","secondary school degree","general elemantary","","","",""
"Yes","1986","secondary school degree","middle vocational","","","",""
"Yes","1986","secondary school degree","vocational + Abi","","","",""
"Yes","1986","secondary school degree","higher vocational","","","",""
"Yes","1986","secondary school degree","higher education","","","",""
"Yes","1986","college entrance qualification","in school","","","",""
"Yes","1986","college entrance qualification","inadequately","","","",""
"Yes","1986","college entrance qualification","general elemantary","","","",""
"Yes","1986","college entrance qualification","middle vocational","","","",""
"Yes","1986","college entrance qualification","vocational + Abi","","","",""
"Yes","1986","college entrance qualification","higher vocational","","","",""
"Yes","1986","college entrance qualification","higher education","","","",""
"Yes","1986","Other degree","in school","","","",""
"Yes","1986","Other degree","inadequately","","","",""
"Yes","1986","Other degree","general elemantary","","","",""
"Yes","1986","Other degree","middle vocational","","","",""
"Yes","1986","Other degree","vocational + Abi","","","",""
"Yes","1986","Other degree","higher vocational","","","",""
"Yes","1986","Other degree","higher education","","","",""
"Yes","1986","no degree/no degree yet","in school","","","",""
"Yes","1986","no degree/no degree yet","inadequately","","","",""
"Yes","1986","no degree/no degree yet","general elemantary","","","",""
"Yes","1986","no degree/no degree yet","middle vocational","","","",""
"Yes","1986","no degree/no degree yet","vocational + Abi","","","",""
"Yes","1986","no degree/no degree yet","higher vocational","","","",""
"Yes","1986","no degree/no degree yet","higher education","","","",""
"No","1986","lower secondary degree","in school","","","",""
"No","1986","lower secondary degree","inadequately","","","",""
"No","1986","lower secondary degree","general elemantary","623","1","1","1"
