"plb0196_h","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Not Employed","120","1","1","1","2"
"No","1986","Employed","4210","1","1","1","2"
"Yes","1986","Not Employed","","","","","1"
"Yes","1986","Employed","","","","","1"
"No","1987","Not Employed","","","","","2"
"No","1987","Employed","","","","","2"
"Yes","1987","Not Employed","","","","","1"
"Yes","1987","Employed","","","","","1"
"No","1988","Not Employed","86","1","1","1","2"
"No","1988","Employed","3941","1","1","1","2"
"Yes","1988","Not Employed","","","","","1"
"Yes","1988","Employed","","","","","1"
"No","1989","Not Employed","90","1","1","1","2"
"No","1989","Employed","3766","1","1","1","2"
"Yes","1989","Not Employed","","","","","1"
"Yes","1989","Employed","","","","","1"
"No","1990","Not Employed","85","1","1","1","2"
"No","1990","Employed","3629","1","1","1","2"
"Yes","1990","Not Employed","","","","","1"
"Yes","1990","Employed","","","","","1"
"No","1991","Not Employed","111","1","1","1","2"
"No","1991","Employed","3561","1","1","1","2"
"Yes","1991","Not Employed","","","","","1"
"Yes","1991","Employed","","","","","1"
"No","1992","Not Employed","101","1","1","1","2"
"No","1992","Employed","4937","1","1","1","2"
"Yes","1992","Not Employed","","","","","1"
"Yes","1992","Employed","","","","","1"
"No","1993","Not Employed","148","1","1","1","2"
"No","1993","Employed","4815","1","1","1","2"
"Yes","1993","Not Employed","","","","","1"
"Yes","1993","Employed","","","","","1"
"No","1994","Not Employed","131","1","1","1","2"
"No","1994","Employed","4473","1","1","1","2"
"Yes","1994","Not Employed","","","","","1"
"Yes","1994","Employed","","","","","1"
"No","1995","Not Employed","152","1","1","1","2"
"No","1995","Employed","4448","1","1","1","2"
"Yes","1995","Not Employed","","","","","1"
"Yes","1995","Employed","","","","","1"
"No","1996","Not Employed","121","1","1","1","2"
"No","1996","Employed","4344","1","1","1","2"
"Yes","1996","Not Employed","","","","","1"
"Yes","1996","Employed","","","","","1"
"No","1997","Not Employed","20","","","","2"
"No","1997","Employed","1406","1","1","1","2"
"Yes","1997","Not Employed","","","","","1"
"Yes","1997","Employed","","","","","1"
"No","1998","Not Employed","23","","","","2"
"No","1998","Employed","1482","1","1","1","2"
"Yes","1998","Not Employed","","","","","1"
"Yes","1998","Employed","","","","","1"
"No","1999","Not Employed","17","","","","2"
"No","1999","Employed","1396","1","1","1","2"
"Yes","1999","Not Employed","","","","","1"
"Yes","1999","Employed","","","","","1"
"No","2000","Not Employed","38","1","1","1","2"
"No","2000","Employed","2484","1","1","1","2"
"Yes","2000","Not Employed","","","","","1"
"Yes","2000","Employed","","","","","1"
"No","2001","Not Employed","","","","","2"
"No","2001","Employed","","","","","2"
"Yes","2001","Not Employed","","","","","1"
"Yes","2001","Employed","","","","","1"
"No","2002","Not Employed","33","0.544306196996971","0.415015027481482","0.673597366512459","2"
"No","2002","Employed","2308","0.305346356047151","0.295187962096868","0.315504749997434","2"
"Yes","2002","Not Employed","24","","","","1"
"Yes","2002","Employed","5588","0.694653643952849","0.684495250002566","0.704812037903132","1"
"No","2003","Not Employed","34","0.524458892517647","0.403052606991139","0.645865178044154","2"
"No","2003","Employed","2229","0.301120085077771","0.290748270584442","0.3114918995711","2"
"Yes","2003","Not Employed","31","0.475541107482353","0.354134821955846","0.596947393008861","1"
"Yes","2003","Employed","5286","0.698879914922229","0.6885081004289","0.709251729415558","1"
"No","2004","Not Employed","22","","","","2"
"No","2004","Employed","2094","0.299288964321689","0.28875057725611","0.309827351387268","2"
"Yes","2004","Not Employed","22","","","","1"
"Yes","2004","Employed","5160","0.700711035678311","0.690172648612732","0.71124942274389","1"
"No","2005","Not Employed","17","","","","2"
"No","2005","Employed","1938","0.300003568904788","0.289051887959636","0.31095524984994","2"
"Yes","2005","Not Employed","24","","","","1"
"Yes","2005","Employed","4788","0.699996431095211","0.68904475015006","0.710948112040363","1"
"No","2006","Not Employed","24","","","","2"
"No","2006","Employed","1987","0.27680523962705","0.266612560807476","0.286997918446625","2"
"Yes","2006","Not Employed","40","0.637813275986682","0.520060502517734","0.755566049455631","1"
"Yes","2006","Employed","5415","0.72319476037295","0.713002081553375","0.733387439192524","1"
"No","2007","Not Employed","29","","","","2"
"No","2007","Employed","1772","0.254427499058933","0.244138938328767","0.264716059789099","2"
"Yes","2007","Not Employed","44","0.596770288418982","0.48424075455585","0.709299822282115","1"
"Yes","2007","Employed","5112","0.745572500941067","0.735283940210901","0.755861061671233","1"
"No","2008","Not Employed","26","","","","2"
"No","2008","Employed","1840","0.276508828158769","0.265859247399961","0.287158408917577","2"
"Yes","2008","Not Employed","39","0.520514082207692","0.399064623685462","0.641963540729921","1"
"Yes","2008","Employed","4936","0.723491171841231","0.712841591082423","0.734140752600039","1"
"No","2009","Not Employed","17","","","","2"
"No","2009","Employed","1743","0.292846942000891","0.281352422114495","0.304341461887288","2"
"Yes","2009","Not Employed","14","","","","1"
"Yes","2009","Employed","4278","0.707153057999109","0.695658538112712","0.718647577885505","1"
"No","2010","Not Employed","63","0.553852332254009","0.469371423189373","0.638333241318645","2"
"No","2010","Employed","2524","0.317118394445116","0.307070055781934","0.327166733108299","2"
"Yes","2010","Not Employed","70","0.446147667745991","0.361666758681355","0.530628576810627","1"
"Yes","2010","Employed","5715","0.682881605554884","0.672833266891701","0.692929944218066","1"
"No","2011","Not Employed","45","0.361069625278651","0.279745774098155","0.442393476459148","2"
"No","2011","Employed","2585","0.257661839418782","0.249092570215547","0.266231108622016","2"
"Yes","2011","Not Employed","89","0.638930374721349","0.557606523540852","0.720254225901845","1"
"Yes","2011","Employed","7421","0.742338160581218","0.733768891377984","0.750907429784453","1"
"No","2012","Not Employed","85","0.425382954741049","0.358987617156892","0.491778292325207","2"
"No","2012","Employed","2842","0.281496226855152","0.272743194874834","0.290249258835469","2"
"Yes","2012","Not Employed","128","0.574617045258951","0.508221707674793","0.641012382843108","1"
"Yes","2012","Employed","7299","0.718503773144848","0.709750741164531","0.727256805125166","1"
"No","2013","Not Employed","579","0.304986995995807","0.283944640529166","0.326029351462448","2"
"No","2013","Employed","2446","0.270571513352532","0.261478255631943","0.279664771073121","2"
"Yes","2013","Not Employed","1260","0.695013004004193","0.673970648537552","0.716055359470834","1"
"Yes","2013","Employed","6723","0.729428486647468","0.720335228926879","0.738521744368057","1"
"No","2014","Not Employed","88","0.481217551418939","0.417199341072616","0.545235761765262","2"
"No","2014","Employed","2705","0.266762751457165","0.257983592561949","0.27554191035238","2"
"Yes","2014","Not Employed","146","0.518782448581061","0.454764238234738","0.582800658927384","1"
"Yes","2014","Employed","7044","0.733237248542835","0.72445808964762","0.742016407438051","1"
"No","2015","Not Employed","193","0.299973430236913","0.26435964053048","0.335587219943346","2"
"No","2015","Employed","2055","0.234548890487027","0.225741480652767","0.243356300321287","2"
"Yes","2015","Not Employed","443","0.700026569763087","0.664412780056654","0.73564035946952","1"
"Yes","2015","Employed","6836","0.765451109512973","0.756643699678713","0.774258519347233","1"
"No","2016","Not Employed","46","0.386915875527241","0.307089137626732","0.466742613427751","2"
"No","2016","Employed","2110","0.234531557948247","0.225733275473449","0.243329840423045","2"
"Yes","2016","Not Employed","97","0.613084124472759","0.533257386572249","0.692910862373268","1"
"Yes","2016","Employed","6799","0.765468442051753","0.756670159576955","0.774266724526552","1"
"No","2017","Not Employed","76","0.326716000445683","0.264740349149972","0.388691651741394","2"
"No","2017","Employed","2289","0.237024747268436","0.228507326657704","0.245542167879168","2"
"Yes","2017","Not Employed","144","0.673283999554317","0.611308348258605","0.735259650850028","1"
"Yes","2017","Employed","7287","0.762975252731564","0.754457832120832","0.771492673342297","1"
"No","2018","Not Employed","97","0.358052835547605","0.304597377847063","0.411508293248146","2"
"No","2018","Employed","2629","0.247598319050889","0.239110722303029","0.256085915798748","2"
"Yes","2018","Not Employed","212","0.641947164452395","0.588491706751854","0.695402622152937","1"
"Yes","2018","Employed","7305","0.752401680949111","0.743914084201251","0.760889277696971","1"
"No","2019","Not Employed","96","0.417062645154721","0.359308831799481","0.474816458509961","2"
"No","2019","Employed","2145","0.228332038233747","0.219663284386959","0.237000792080535","2"
"Yes","2019","Not Employed","184","0.582937354845279","0.525183541490039","0.640691168200519","1"
"Yes","2019","Employed","6862","0.771667961766253","0.762999207919465","0.780336715613041","1"
