"plb0196_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1986","16-34 y.","Urban Area","","","",""
"Yes","1986","16-34 y.","Rural Area","","","",""
"Yes","1986","35-65 y.","Urban Area","","","",""
"Yes","1986","35-65 y.","Rural Area","","","",""
"Yes","1986","66 and older","Urban Area","","","",""
"Yes","1986","66 and older","Rural Area","","","",""
"No","1986","16-34 y.","Urban Area","1428","1","1","1"
"No","1986","16-34 y.","Rural Area","388","1","1","1"
"No","1986","35-65 y.","Urban Area","2006","1","1","1"
"No","1986","35-65 y.","Rural Area","479","1","1","1"
"No","1986","66 and older","Urban Area","24","","",""
"No","1986","66 and older","Rural Area","5","","",""
"Yes","1987","16-34 y.","Urban Area","","","",""
"Yes","1987","16-34 y.","Rural Area","","","",""
"Yes","1987","35-65 y.","Urban Area","","","",""
"Yes","1987","35-65 y.","Rural Area","","","",""
"Yes","1987","66 and older","Urban Area","","","",""
"Yes","1987","66 and older","Rural Area","","","",""
"No","1987","16-34 y.","Urban Area","","","",""
"No","1987","16-34 y.","Rural Area","","","",""
"No","1987","35-65 y.","Urban Area","","","",""
"No","1987","35-65 y.","Rural Area","","","",""
"No","1987","66 and older","Urban Area","","","",""
"No","1987","66 and older","Rural Area","","","",""
"Yes","1988","16-34 y.","Urban Area","","","",""
"Yes","1988","16-34 y.","Rural Area","","","",""
"Yes","1988","35-65 y.","Urban Area","","","",""
"Yes","1988","35-65 y.","Rural Area","","","",""
"Yes","1988","66 and older","Urban Area","","","",""
"Yes","1988","66 and older","Rural Area","","","",""
"No","1988","16-34 y.","Urban Area","1340","1","1","1"
"No","1988","16-34 y.","Rural Area","323","1","1","1"
"No","1988","35-65 y.","Urban Area","1846","1","1","1"
"No","1988","35-65 y.","Rural Area","487","1","1","1"
"No","1988","66 and older","Urban Area","25","","",""
"No","1988","66 and older","Rural Area","6","","",""
"Yes","1989","16-34 y.","Urban Area","","","",""
"Yes","1989","16-34 y.","Rural Area","","","",""
"Yes","1989","35-65 y.","Urban Area","","","",""
"Yes","1989","35-65 y.","Rural Area","","","",""
"Yes","1989","66 and older","Urban Area","","","",""
"Yes","1989","66 and older","Rural Area","","","",""
"No","1989","16-34 y.","Urban Area","1325","1","1","1"
"No","1989","16-34 y.","Rural Area","310","1","1","1"
"No","1989","35-65 y.","Urban Area","1748","1","1","1"
"No","1989","35-65 y.","Rural Area","441","1","1","1"
"No","1989","66 and older","Urban Area","22","","",""
"No","1989","66 and older","Rural Area","10","","",""
"Yes","1990","16-34 y.","Urban Area","","","",""
"Yes","1990","16-34 y.","Rural Area","","","",""
"Yes","1990","35-65 y.","Urban Area","","","",""
"Yes","1990","35-65 y.","Rural Area","","","",""
"Yes","1990","66 and older","Urban Area","","","",""
"Yes","1990","66 and older","Rural Area","","","",""
"No","1990","16-34 y.","Urban Area","1253","1","1","1"
"No","1990","16-34 y.","Rural Area","315","1","1","1"
"No","1990","35-65 y.","Urban Area","1673","1","1","1"
"No","1990","35-65 y.","Rural Area","446","1","1","1"
"No","1990","66 and older","Urban Area","20","","",""
"No","1990","66 and older","Rural Area","7","","",""
"Yes","1991","16-34 y.","Urban Area","","","",""
"Yes","1991","16-34 y.","Rural Area","","","",""
"Yes","1991","35-65 y.","Urban Area","","","",""
