"plb0196_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1991","35-65 y.","Rural Area","","","",""
"Yes","1991","66 and older","Urban Area","","","",""
"Yes","1991","66 and older","Rural Area","","","",""
"No","1991","16-34 y.","Urban Area","1491","1","1","1"
"No","1991","16-34 y.","Rural Area","836","1","1","1"
"No","1991","35-65 y.","Urban Area","2060","1","1","1"
"No","1991","35-65 y.","Rural Area","1199","1","1","1"
"No","1991","66 and older","Urban Area","20","","",""
"No","1991","66 and older","Rural Area","16","","",""
"Yes","1992","16-34 y.","Urban Area","","","",""
"Yes","1992","16-34 y.","Rural Area","","","",""
"Yes","1992","35-65 y.","Urban Area","","","",""
"Yes","1992","35-65 y.","Rural Area","","","",""
"Yes","1992","66 and older","Urban Area","","","",""
"Yes","1992","66 and older","Rural Area","","","",""
"No","1992","16-34 y.","Urban Area","1340","1","1","1"
"No","1992","16-34 y.","Rural Area","658","1","1","1"
"No","1992","35-65 y.","Urban Area","1969","1","1","1"
"No","1992","35-65 y.","Rural Area","997","1","1","1"
"No","1992","66 and older","Urban Area","17","","",""
"No","1992","66 and older","Rural Area","7","","",""
"Yes","1993","16-34 y.","Urban Area","","","",""
"Yes","1993","16-34 y.","Rural Area","","","",""
"Yes","1993","35-65 y.","Urban Area","","","",""
"Yes","1993","35-65 y.","Rural Area","","","",""
"Yes","1993","66 and older","Urban Area","","","",""
"Yes","1993","66 and older","Rural Area","","","",""
"No","1993","16-34 y.","Urban Area","1397","1","1","1"
"No","1993","16-34 y.","Rural Area","671","1","1","1"
"No","1993","35-65 y.","Urban Area","1954","1","1","1"
"No","1993","35-65 y.","Rural Area","915","1","1","1"
"No","1993","66 and older","Urban Area","17","","",""
"No","1993","66 and older","Rural Area","9","","",""
"Yes","1994","16-34 y.","Urban Area","","","",""
"Yes","1994","16-34 y.","Rural Area","","","",""
"Yes","1994","35-65 y.","Urban Area","","","",""
"Yes","1994","35-65 y.","Rural Area","","","",""
"Yes","1994","66 and older","Urban Area","","","",""
"Yes","1994","66 and older","Rural Area","","","",""
"No","1994","16-34 y.","Urban Area","1261","1","1","1"
"No","1994","16-34 y.","Rural Area","608","1","1","1"
"No","1994","35-65 y.","Urban Area","1820","1","1","1"
"No","1994","35-65 y.","Rural Area","890","1","1","1"
"No","1994","66 and older","Urban Area","17","","",""
"No","1994","66 and older","Rural Area","8","","",""
"Yes","1995","16-34 y.","Urban Area","","","",""
"Yes","1995","16-34 y.","Rural Area","","","",""
"Yes","1995","35-65 y.","Urban Area","","","",""
"Yes","1995","35-65 y.","Rural Area","","","",""
"Yes","1995","66 and older","Urban Area","","","",""
"Yes","1995","66 and older","Rural Area","","","",""
"No","1995","16-34 y.","Urban Area","1192","1","1","1"
"No","1995","16-34 y.","Rural Area","636","1","1","1"
"No","1995","35-65 y.","Urban Area","1791","1","1","1"
"No","1995","35-65 y.","Rural Area","950","1","1","1"
"No","1995","66 and older","Urban Area","23","","",""
"No","1995","66 and older","Rural Area","8","","",""
"Yes","1996","16-34 y.","Urban Area","","","",""
"Yes","1996","16-34 y.","Rural Area","","","",""
"Yes","1996","35-65 y.","Urban Area","","","",""
"Yes","1996","35-65 y.","Rural Area","","","",""
"Yes","1996","66 and older","Urban Area","","","",""
"Yes","1996","66 and older","Rural Area","","","",""
"No","1996","16-34 y.","Urban Area","1145","1","1","1"
"No","1996","16-34 y.","Rural Area","604","1","1","1"
"No","1996","35-65 y.","Urban Area","1758","1","1","1"
"No","1996","35-65 y.","Rural Area","922","1","1","1"
"No","1996","66 and older","Urban Area","27","","",""
"No","1996","66 and older","Rural Area","9","","",""
"Yes","1997","16-34 y.","Urban Area","","","",""
"Yes","1997","16-34 y.","Rural Area","","","",""
"Yes","1997","35-65 y.","Urban Area","","","",""
"Yes","1997","35-65 y.","Rural Area","","","",""
"Yes","1997","66 and older","Urban Area","","","",""
"Yes","1997","66 and older","Rural Area","","","",""
"No","1997","16-34 y.","Urban Area","399","1","1","1"
"No","1997","16-34 y.","Rural Area","232","1","1","1"
"No","1997","35-65 y.","Urban Area","475","1","1","1"
"No","1997","35-65 y.","Rural Area","320","1","1","1"
"No","1997","66 and older","Urban Area","","","",""
"No","1997","66 and older","Rural Area","","","",""
"Yes","1998","16-34 y.","Urban Area","","","",""
"Yes","1998","16-34 y.","Rural Area","","","",""
"Yes","1998","35-65 y.","Urban Area","","","",""
"Yes","1998","35-65 y.","Rural Area","","","",""
"Yes","1998","66 and older","Urban Area","","","",""
"Yes","1998","66 and older","Rural Area","","","",""
"No","1998","16-34 y.","Urban Area","359","1","1","1"
"No","1998","16-34 y.","Rural Area","250","1","1","1"
"No","1998","35-65 y.","Urban Area","529","1","1","1"
"No","1998","35-65 y.","Rural Area","365","1","1","1"
"No","1998","66 and older","Urban Area","2","","",""
"No","1998","66 and older","Rural Area","","","",""
"Yes","1999","16-34 y.","Urban Area","","","",""
"Yes","1999","16-34 y.","Rural Area","","","",""
"Yes","1999","35-65 y.","Urban Area","","","",""
"Yes","1999","35-65 y.","Rural Area","","","",""
"Yes","1999","66 and older","Urban Area","","","",""
"Yes","1999","66 and older","Rural Area","","","",""
"No","1999","16-34 y.","Urban Area","338","1","1","1"
"No","1999","16-34 y.","Rural Area","227","1","1","1"
"No","1999","35-65 y.","Urban Area","506","1","1","1"
"No","1999","35-65 y.","Rural Area","339","1","1","1"
"No","1999","66 and older","Urban Area","2","","",""
"No","1999","66 and older","Rural Area","1","","",""
"Yes","2000","16-34 y.","Urban Area","","","",""
"Yes","2000","16-34 y.","Rural Area","","","",""
"Yes","2000","35-65 y.","Urban Area","","","",""
"Yes","2000","35-65 y.","Rural Area","","","",""
"Yes","2000","66 and older","Urban Area","","","",""
"Yes","2000","66 and older","Rural Area","","","",""
"No","2000","16-34 y.","Urban Area","517","1","1","1"
"No","2000","16-34 y.","Rural Area","329","1","1","1"
"No","2000","35-65 y.","Urban Area","1080","1","1","1"
"No","2000","35-65 y.","Rural Area","594","1","1","1"
"No","2000","66 and older","Urban Area","1","","",""
"No","2000","66 and older","Rural Area","1","","",""
"Yes","2001","16-34 y.","Urban Area","","","",""
"Yes","2001","16-34 y.","Rural Area","","","",""
"Yes","2001","35-65 y.","Urban Area","","","",""
"Yes","2001","35-65 y.","Rural Area","","","",""
"Yes","2001","66 and older","Urban Area","","","",""
"Yes","2001","66 and older","Rural Area","","","",""
"No","2001","16-34 y.","Urban Area","496","1","1","1"
"No","2001","16-34 y.","Rural Area","300","1","1","1"
"No","2001","35-65 y.","Urban Area","985","1","1","1"
"No","2001","35-65 y.","Rural Area","573","1","1","1"
"No","2001","66 and older","Urban Area","3","","",""
"No","2001","66 and older","Rural Area","2","","",""
"Yes","2002","16-34 y.","Urban Area","1116","0.735109387348215","0.71309869460776","0.757120080088671"
"Yes","2002","16-34 y.","Rural Area","548","0.65520388416802","0.623080631981481","0.68732713635456"
"Yes","2002","35-65 y.","Urban Area","2705","0.693704667836231","0.67895134130148","0.708457994370983"
"Yes","2002","35-65 y.","Rural Area","1237","0.665491980696984","0.643749780629219","0.687234180764749"
"Yes","2002","66 and older","Urban Area","4","","",""
"Yes","2002","66 and older","Rural Area","2","","",""
"No","2002","16-34 y.","Urban Area","428","0.264890612651785","0.24287991991133","0.28690130539224"
"No","2002","16-34 y.","Rural Area","293","0.34479611583198","0.31267286364544","0.376919368018519"
"No","2002","35-65 y.","Urban Area","1045","0.306295332163769","0.291542005629017","0.32104865869852"
"No","2002","35-65 y.","Rural Area","572","0.334508019303016","0.312765819235251","0.356250219370781"
"No","2002","66 and older","Urban Area","3","","",""
"No","2002","66 and older","Rural Area","","","",""
"Yes","2003","16-34 y.","Urban Area","1049","0.719746857205668","0.697071371454738","0.742422342956598"
"Yes","2003","16-34 y.","Rural Area","520","0.652662649243271","0.619270628803523","0.686054669683018"
"Yes","2003","35-65 y.","Urban Area","2556","0.707254686839403","0.692244239653923","0.722265134024883"
"Yes","2003","35-65 y.","Rural Area","1188","0.675112505321695","0.653195164031246","0.697029846612145"
"Yes","2003","66 and older","Urban Area","3","","",""
"Yes","2003","66 and older","Rural Area","1","","",""
"No","2003","16-34 y.","Urban Area","458","0.280253142794332","0.257577657043402","0.302928628545262"
"No","2003","16-34 y.","Rural Area","261","0.347337350756729","0.313945330316982","0.380729371196477"
"No","2003","35-65 y.","Urban Area","974","0.292745313160597","0.277734865975118","0.307755760346077"
"No","2003","35-65 y.","Rural Area","566","0.324887494678305","0.302970153387855","0.346804835968754"
"No","2003","66 and older","Urban Area","3","","",""
"No","2003","66 and older","Rural Area","1","","",""
"Yes","2004","16-34 y.","Urban Area","976","0.712458632781522","0.688429939358602","0.736487326204441"
"Yes","2004","16-34 y.","Rural Area","467","0.639762124360053","0.604768986206914","0.674755262513191"
"Yes","2004","35-65 y.","Urban Area","2511","0.702924612212449","0.687761605834963","0.718087618589934"
"Yes","2004","35-65 y.","Rural Area","1221","0.710912408565555","0.689438110169341","0.732386706961769"
"Yes","2004","66 and older","Urban Area","6","","",""
"Yes","2004","66 and older","Rural Area","1","","",""
"No","2004","16-34 y.","Urban Area","387","0.287541367218478","0.263512673795558","0.311570060641398"
"No","2004","16-34 y.","Rural Area","256","0.360237875639947","0.325244737486809","0.395231013793086"
"No","2004","35-65 y.","Urban Area","978","0.297075387787551","0.281912381410066","0.312238394165037"
"No","2004","35-65 y.","Rural Area","491","0.289087591434445","0.267613293038232","0.310561889830659"
"No","2004","66 and older","Urban Area","4","","",""
"No","2004","66 and older","Rural Area","","","",""
"Yes","2005","16-34 y.","Urban Area","946","0.717388641776943","0.692902770064773","0.741874513489112"
"Yes","2005","16-34 y.","Rural Area","419","0.641521365085816","0.604655144819711","0.678387585351921"
"Yes","2005","35-65 y.","Urban Area","2349","0.716297806788018","0.7006691064919","0.731926507084136"
"Yes","2005","35-65 y.","Rural Area","1090","0.669443016279994","0.646479121491675","0.692406911068314"
"Yes","2005","66 and older","Urban Area","5","","",""
"Yes","2005","66 and older","Rural Area","3","","",""
"No","2005","16-34 y.","Urban Area","353","0.282611358223058","0.258125486510888","0.307097229935227"
"No","2005","16-34 y.","Rural Area","231","0.358478634914184","0.321612414648079","0.395344855180289"
"No","2005","35-65 y.","Urban Area","847","0.283702193211982","0.268073492915864","0.2993308935081"
"No","2005","35-65 y.","Rural Area","522","0.330556983720006","0.307593088931686","0.353520878508326"
"No","2005","66 and older","Urban Area","","","",""
"No","2005","66 and older","Rural Area","2","","",""
"Yes","2006","16-34 y.","Urban Area","967","0.714181016328598","0.689668238924378","0.738693793732817"
"Yes","2006","16-34 y.","Rural Area","492","0.691147716933387","0.656872419940853","0.725423013925922"
"Yes","2006","35-65 y.","Urban Area","2745","0.748342553325512","0.734250521378734","0.762434585272289"
"Yes","2006","35-65 y.","Rural Area","1238","0.685780338265394","0.664329626737653","0.707231049793136"
"Yes","2006","66 and older","Urban Area","8","","",""
"Yes","2006","66 and older","Rural Area","5","","",""
"No","2006","16-34 y.","Urban Area","338","0.285818983671402","0.261306206267183","0.310331761075621"
"No","2006","16-34 y.","Rural Area","206","0.308852283066612","0.274576986074078","0.343127580059147"
"No","2006","35-65 y.","Urban Area","898","0.251657446674488","0.237565414727711","0.265749478621266"
"No","2006","35-65 y.","Rural Area","561","0.314219661734606","0.292768950206864","0.335670373262347"
"No","2006","66 and older","Urban Area","5","","",""
"No","2006","66 and older","Rural Area","3","","",""
"Yes","2007","16-34 y.","Urban Area","922","0.78922686084357","0.766121669120137","0.812332052567004"
"Yes","2007","16-34 y.","Rural Area","446","0.653824886581731","0.617474101964866","0.690175671198595"
"Yes","2007","35-65 y.","Urban Area","2553","0.762164315869041","0.747742558664499","0.776586073073582"
"Yes","2007","35-65 y.","Rural Area","1220","0.705267283858673","0.6837894440272","0.726745123690147"
"Yes","2007","66 and older","Urban Area","8","","",""
"Yes","2007","66 and older","Rural Area","7","","",""
"No","2007","16-34 y.","Urban Area","275","0.21077313915643","0.187667947432996","0.233878330879863"
"No","2007","16-34 y.","Rural Area","212","0.346175113418269","0.309824328801405","0.382525898035134"
"No","2007","35-65 y.","Urban Area","795","0.23783568413096","0.223413926926418","0.252257441335501"
"No","2007","35-65 y.","Rural Area","511","0.294732716141327","0.273254876309854","0.3162105559728"
"No","2007","66 and older","Urban Area","2","","",""
"No","2007","66 and older","Rural Area","6","","",""
"Yes","2008","16-34 y.","Urban Area","906","0.755994306246766","0.73167344642699","0.780315166066542"
"Yes","2008","16-34 y.","Rural Area","435","0.666135469438493","0.629541950678481","0.702728988198505"
"Yes","2008","35-65 y.","Urban Area","2447","0.746377037125037","0.731503246640573","0.761250827609501"
"Yes","2008","35-65 y.","Rural Area","1176","0.659429864048277","0.636902456428849","0.681957271667705"
"Yes","2008","66 and older","Urban Area","7","","",""
"Yes","2008","66 and older","Rural Area","4","","",""
"No","2008","16-34 y.","Urban Area","292","0.244005693753234","0.219684833933458","0.26832655357301"
"No","2008","16-34 y.","Rural Area","203","0.333864530561507","0.297271011801495","0.370458049321519"
"No","2008","35-65 y.","Urban Area","840","0.253622962874963","0.238749172390499","0.268496753359427"
"No","2008","35-65 y.","Rural Area","524","0.340570135951723","0.318042728332295","0.363097543571151"
"No","2008","66 and older","Urban Area","3","","",""
"No","2008","66 and older","Rural Area","4","","",""
"Yes","2009","16-34 y.","Urban Area","769","0.736519110236526","0.709937062609008","0.763101157864044"
"Yes","2009","16-34 y.","Rural Area","375","0.637054438499622","0.59737024515914","0.676738631840105"
"Yes","2009","35-65 y.","Urban Area","2075","0.734795246864288","0.718554136544752","0.751036357183825"
"Yes","2009","35-65 y.","Rural Area","1057","0.652350034211532","0.628823542631611","0.675876525791454"
"Yes","2009","66 and older","Urban Area","13","","",""
"Yes","2009","66 and older","Rural Area","3","","",""
"No","2009","16-34 y.","Urban Area","286","0.263480889763474","0.236898842135956","0.290062937390992"
"No","2009","16-34 y.","Rural Area","189","0.362945561500378","0.323261368159895","0.40262975484086"
"No","2009","35-65 y.","Urban Area","763","0.265204753135712","0.248963642816175","0.281445863455248"
"No","2009","35-65 y.","Rural Area","517","0.347649965788468","0.324123474208546","0.371176457368389"
"No","2009","66 and older","Urban Area","1","","",""
"No","2009","66 and older","Rural Area","4","","",""
"Yes","2010","16-34 y.","Urban Area","1035","0.703052173096941","0.67989095757254","0.726213388621342"
"Yes","2010","16-34 y.","Rural Area","590","0.617402653907748","0.584632765752302","0.650172542063194"
"Yes","2010","35-65 y.","Urban Area","2780","0.704904874221096","0.690620111715706","0.719189636726486"
"Yes","2010","35-65 y.","Rural Area","1362","0.636169615056713","0.615533934895294","0.656805295218131"
"Yes","2010","66 and older","Urban Area","13","","",""
"Yes","2010","66 and older","Rural Area","5","","",""
"No","2010","16-34 y.","Urban Area","460","0.296947826903059","0.273786611378658","0.320109042427459"
"No","2010","16-34 y.","Rural Area","255","0.382597346092252","0.349827457936806","0.415367234247698"
"No","2010","35-65 y.","Urban Area","1136","0.295095125778904","0.280810363273514","0.309379888284294"
"No","2010","35-65 y.","Rural Area","726","0.363830384943287","0.343194704781869","0.384466065104706"
"No","2010","66 and older","Urban Area","5","","",""
"No","2010","66 and older","Rural Area","5","","",""
"Yes","2011","16-34 y.","Urban Area","1250","0.781979577837365","0.761934830676971","0.802024324997759"
"Yes","2011","16-34 y.","Rural Area","653","0.700026569111241","0.670463746495439","0.729589391727042"
"Yes","2011","35-65 y.","Urban Area","3670","0.758000701887096","0.745932098476107","0.770069305298086"
"Yes","2011","35-65 y.","Rural Area","1923","0.689123752866643","0.671739074894177","0.70650843083911"
"Yes","2011","66 and older","Urban Area","10","","",""
"Yes","2011","66 and older","Rural Area","4","","",""
"No","2011","16-34 y.","Urban Area","380","0.218020422162635","0.197975675002241","0.238065169323029"
"No","2011","16-34 y.","Rural Area","270","0.299973430888759","0.270410608272958","0.329536253504561"
"No","2011","35-65 y.","Urban Area","1168","0.241999298112904","0.229930694701914","0.254067901523893"
"No","2011","35-65 y.","Rural Area","800","0.310876247133357","0.29349156916089","0.328260925105823"
"No","2011","66 and older","Urban Area","8","","",""
"No","2011","66 and older","Rural Area","4","","",""
"Yes","2012","16-34 y.","Urban Area","1169","0.734708619833846","0.712946495200936","0.756470744466756"
"Yes","2012","16-34 y.","Rural Area","645","0.745427820195859","0.716711404752629","0.774144235639089"
"Yes","2012","35-65 y.","Urban Area","3614","0.723225542609752","0.71081567381165","0.735635411407853"
"Yes","2012","35-65 y.","Rural Area","1978","0.68097912857444","0.663870077154384","0.698088179994495"
"Yes","2012","66 and older","Urban Area","21","","",""
"Yes","2012","66 and older","Rural Area","","","",""
"No","2012","16-34 y.","Urban Area","412","0.265291380166154","0.243529255533244","0.287053504799064"
"No","2012","16-34 y.","Rural Area","239","0.254572179804141","0.225855764360911","0.283288595247371"
"No","2012","35-65 y.","Urban Area","1379","0.276774457390248","0.264364588592147","0.28918432618835"
"No","2012","35-65 y.","Rural Area","873","0.31902087142556","0.301911820005505","0.336129922845616"
"No","2012","66 and older","Urban Area","12","","",""
"No","2012","66 and older","Rural Area","12","","",""
"Yes","2013","16-34 y.","Urban Area","1449","0.747942980852131","0.728626902128408","0.767259059575853"
"Yes","2013","16-34 y.","Rural Area","644","0.662621282072933","0.63206885547829","0.693173708667576"
"Yes","2013","35-65 y.","Urban Area","3886","0.740980991251873","0.729179810166526","0.752782172337221"
"Yes","2013","35-65 y.","Rural Area","1988","0.703773787196663","0.686927745436329","0.720619828956996"
"Yes","2013","66 and older","Urban Area","12","","",""
"Yes","2013","66 and older","Rural Area","4","","",""
"No","2013","16-34 y.","Urban Area","492","0.25205701914787","0.232740940424147","0.271373097871592"
"No","2013","16-34 y.","Rural Area","276","0.337378717927067","0.306826291332424","0.36793114452171"
"No","2013","35-65 y.","Urban Area","1408","0.259019008748127","0.247217827662779","0.270820189833475"
"No","2013","35-65 y.","Rural Area","834","0.296226212803337","0.279380171043004","0.313072254563671"
"No","2013","66 and older","Urban Area","8","","",""
"No","2013","66 and older","Rural Area","7","","",""
"Yes","2014","16-34 y.","Urban Area","1242","0.756936244088475","0.736407077807107","0.777465410369844"
"Yes","2014","16-34 y.","Rural Area","580","0.703856812149945","0.672357261659954","0.735356362639936"
"Yes","2014","35-65 y.","Urban Area","3512","0.745719723826331","0.733416202285708","0.758023245366955"
"Yes","2014","35-65 y.","Rural Area","1836","0.685529831436477","0.667828643409296","0.703231019463658"
"Yes","2014","66 and older","Urban Area","16","","",""
"Yes","2014","66 and older","Rural Area","4","","",""
"No","2014","16-34 y.","Urban Area","435","0.243063755911525","0.222534589630156","0.263592922192893"
"No","2014","16-34 y.","Rural Area","227","0.296143187850055","0.264643637360064","0.327642738340046"
"No","2014","35-65 y.","Urban Area","1300","0.254280276173669","0.241976754633045","0.266583797714292"
"No","2014","35-65 y.","Rural Area","807","0.314470168563523","0.296768980536342","0.332171356590704"
"No","2014","66 and older","Urban Area","12","","",""
"No","2014","66 and older","Rural Area","12","","",""
"Yes","2015","16-34 y.","Urban Area","1241","0.754505997560229","0.733651091747432","0.775360903373025"
"Yes","2015","16-34 y.","Rural Area","583","0.769758620428092","0.740604442295844","0.79891279856034"
"Yes","2015","35-65 y.","Urban Area","3515","0.783104060857084","0.771053276078304","0.795154845635864"
"Yes","2015","35-65 y.","Rural Area","1914","0.737629057401638","0.720550937853413","0.754707176949863"
"Yes","2015","66 and older","Urban Area","18","","",""
"Yes","2015","66 and older","Rural Area","8","","",""
"No","2015","16-34 y.","Urban Area","395","0.245494002439771","0.224639096626975","0.266348908252568"
"No","2015","16-34 y.","Rural Area","218","0.230241379571908","0.20108720143966","0.259395557704156"
"No","2015","35-65 y.","Urban Area","978","0.216895939142916","0.204845154364136","0.228946723921696"
"No","2015","35-65 y.","Rural Area","635","0.262370942598362","0.245292823050137","0.279449062146587"
"No","2015","66 and older","Urban Area","9","","",""
"No","2015","66 and older","Rural Area","13","","",""
"Yes","2016","16-34 y.","Urban Area","1093","0.776149227373633","0.754522638809889","0.797775815937377"
"Yes","2016","16-34 y.","Rural Area","542","0.732808987028894","0.700214978203634","0.765402995854154"
"Yes","2016","35-65 y.","Urban Area","3414","0.777845036335645","0.765578981776162","0.790111090895129"
"Yes","2016","35-65 y.","Rural Area","1812","0.733197508432548","0.715712631395574","0.750682385469522"
"Yes","2016","66 and older","Urban Area","19","","",""
"Yes","2016","66 and older","Rural Area","16","","",""
"No","2016","16-34 y.","Urban Area","334","0.223850772626367","0.202224184062623","0.245477361190111"
"No","2016","16-34 y.","Rural Area","166","0.267191012971106","0.234597004145846","0.299785021796366"
"No","2016","35-65 y.","Urban Area","998","0.222154963664355","0.209888909104871","0.234421018223838"
"No","2016","35-65 y.","Rural Area","646","0.266802491567452","0.249317614530478","0.284287368604426"
"No","2016","66 and older","Urban Area","8","","",""
"No","2016","66 and older","Rural Area","4","","",""
"Yes","2017","16-34 y.","Urban Area","1219","0.784560118743539","0.764249559040097","0.804870678446982"
"Yes","2017","16-34 y.","Rural Area","629","0.787443639229408","0.759338698024627","0.81554858043419"
"Yes","2017","35-65 y.","Urban Area","3575","0.767806270600698","0.755669045997537","0.779943495203859"
"Yes","2017","35-65 y.","Rural Area","1974","0.726142651675096","0.709325247116262","0.74296005623393"
"Yes","2017","66 and older","Urban Area","16","","",""
"Yes","2017","66 and older","Rural Area","18","","",""
"No","2017","16-34 y.","Urban Area","355","0.215439881256461","0.195129321553018","0.235750440959903"
"No","2017","16-34 y.","Rural Area","185","0.212556360770592","0.18445141956581","0.240661301975373"
"No","2017","35-65 y.","Urban Area","1074","0.232193729399302","0.220056504796141","0.244330954002463"
"No","2017","35-65 y.","Rural Area","727","0.273857348324904","0.25703994376607","0.290674752883738"
"No","2017","66 and older","Urban Area","14","","",""
"No","2017","66 and older","Rural Area","10","","",""
"Yes","2018","16-34 y.","Urban Area","1299","0.784274037847742","0.764840906659781","0.803707169035703"
"Yes","2018","16-34 y.","Rural Area","656","0.748442949787875","0.719443052278782","0.777442847296968"
"Yes","2018","35-65 y.","Urban Area","3584","0.75921436512605","0.747167674003274","0.771261056248826"
"Yes","2018","35-65 y.","Rural Area","1943","0.714859958162828","0.697991963053638","0.731727953272019"
"Yes","2018","66 and older","Urban Area","24","","",""
"Yes","2018","66 and older","Rural Area","11","","",""
"No","2018","16-34 y.","Urban Area","422","0.215725962152258","0.196292830964297","0.235159093340219"
"No","2018","16-34 y.","Rural Area","204","0.251557050212125","0.222557152703032","0.280556947721218"
"No","2018","35-65 y.","Urban Area","1255","0.24078563487395","0.228738943751174","0.252832325996726"
"No","2018","35-65 y.","Rural Area","809","0.285140041837172","0.268272046727981","0.302008036946363"
"No","2018","66 and older","Urban Area","20","","",""
"No","2018","66 and older","Rural Area","16","","",""
"Yes","2019","16-34 y.","Urban Area","1087","0.820145860832814","0.800041982305502","0.840249739360125"
"Yes","2019","16-34 y.","Rural Area","546","0.730423827478218","0.698101172579831","0.762746482376604"
"Yes","2019","35-65 y.","Urban Area","3091","0.770875168337334","0.757955661871045","0.783794674803623"
"Yes","2019","35-65 y.","Rural Area","1875","0.741787229939292","0.724590279578647","0.758984180299937"
"Yes","2019","66 and older","Urban Area","32","0.735084923160455","0.610246128229659","0.859923718091251"
"Yes","2019","66 and older","Rural Area","22","","",""
"No","2019","16-34 y.","Urban Area","315","0.179854139167186","0.159750260639875","0.199958017694498"
"No","2019","16-34 y.","Rural Area","178","0.269576172521782","0.237253517623396","0.301898827420169"
"No","2019","35-65 y.","Urban Area","974","0.229124831662666","0.216205325196377","0.242044338128955"
"No","2019","35-65 y.","Rural Area","613","0.258212770060708","0.241015819700063","0.275409720421353"
"No","2019","66 and older","Urban Area","16","","",""
"No","2019","66 and older","Rural Area","7","","",""
