"plb0196_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1986","1-pers.-HH","no migration background","","","",""
"Yes","1986","1-pers.-HH","direct migration background","","","",""
"Yes","1986","1-pers.-HH","indirect migration background","","","",""
"Yes","1986","(Married) couple without C. ","no migration background","","","",""
"Yes","1986","(Married) couple without C. ","direct migration background","","","",""
"Yes","1986","(Married) couple without C. ","indirect migration background","","","",""
"Yes","1986","Single parent ","no migration background","","","",""
"Yes","1986","Single parent ","direct migration background","","","",""
"Yes","1986","Single parent ","indirect migration background","","","",""
"Yes","1986","Couple + C. LE 16 ","no migration background","","","",""
"Yes","1986","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","1986","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","1986","Couple + C. GT 16 ","no migration background","","","",""
"Yes","1986","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","1986","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","1986","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","1986","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","1986","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","1986","1-pers.-HH","no migration background","231","1","1","1"
"No","1986","1-pers.-HH","direct migration background","92","1","1","1"
"No","1986","1-pers.-HH","indirect migration background","6","","",""
"No","1986","(Married) couple without C. ","no migration background","645","1","1","1"
"No","1986","(Married) couple without C. ","direct migration background","213","1","1","1"
"No","1986","(Married) couple without C. ","indirect migration background","4","","",""
"No","1986","Single parent ","no migration background","155","1","1","1"
"No","1986","Single parent ","direct migration background","58","1","1","1"
"No","1986","Single parent ","indirect migration background","8","","",""
"No","1986","Couple + C. LE 16 ","no migration background","657","1","1","1"
"No","1986","Couple + C. LE 16 ","direct migration background","447","1","1","1"
"No","1986","Couple + C. LE 16 ","indirect migration background","5","","",""
"No","1986","Couple + C. GT 16 ","no migration background","651","1","1","1"
"No","1986","Couple + C. GT 16 ","direct migration background","254","1","1","1"
"No","1986","Couple + C. GT 16 ","indirect migration background","28","","",""
"No","1986","Couple + C. LE and GT 16","no migration background","327","1","1","1"
"No","1986","Couple + C. LE and GT 16","direct migration background","285","1","1","1"
"No","1986","Couple + C. LE and GT 16","indirect migration background","19","","",""
"Yes","1987","1-pers.-HH","no migration background","","","",""
"Yes","1987","1-pers.-HH","direct migration background","","","",""
"Yes","1987","1-pers.-HH","indirect migration background","","","",""
"Yes","1987","(Married) couple without C. ","no migration background","","","",""
"Yes","1987","(Married) couple without C. ","direct migration background","","","",""
"Yes","1987","(Married) couple without C. ","indirect migration background","","","",""
"Yes","1987","Single parent ","no migration background","","","",""
"Yes","1987","Single parent ","direct migration background","","","",""
"Yes","1987","Single parent ","indirect migration background","","","",""
"Yes","1987","Couple + C. LE 16 ","no migration background","","","",""
"Yes","1987","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","1987","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","1987","Couple + C. GT 16 ","no migration background","","","",""
"Yes","1987","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","1987","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","1987","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","1987","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","1987","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","1987","1-pers.-HH","no migration background","","","",""
"No","1987","1-pers.-HH","direct migration background","","","",""
"No","1987","1-pers.-HH","indirect migration background","","","",""
"No","1987","(Married) couple without C. ","no migration background","","","",""
"No","1987","(Married) couple without C. ","direct migration background","","","",""
"No","1987","(Married) couple without C. ","indirect migration background","","","",""
