"plb0196_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Not Employed","Female","71","1","1","1","2"
"No","1986","Employed","Female","1812","1","1","1","2"
"No","1986","Not Employed","Male","49","1","1","1","2"
"No","1986","Employed","Male","2398","1","1","1","2"
"Yes","1986","Not Employed","Male","","","","","1"
"Yes","1986","Not Employed","Female","","","","","1"
"Yes","1986","Employed","Male","","","","","1"
"Yes","1986","Employed","Female","","","","","1"
"No","1987","Not Employed","Female","","","","","2"
"No","1987","Employed","Female","","","","","2"
"No","1987","Not Employed","Male","","","","","2"
"No","1987","Employed","Male","","","","","2"
"Yes","1987","Not Employed","Male","","","","","1"
"Yes","1987","Not Employed","Female","","","","","1"
"Yes","1987","Employed","Male","","","","","1"
"Yes","1987","Employed","Female","","","","","1"
"No","1988","Not Employed","Female","53","1","1","1","2"
"No","1988","Employed","Female","1686","1","1","1","2"
"No","1988","Not Employed","Male","33","1","1","1","2"
"No","1988","Employed","Male","2255","1","1","1","2"
"Yes","1988","Not Employed","Female","","","","","1"
"Yes","1988","Employed","Male","","","","","1"
"Yes","1988","Employed","Female","","","","","1"
"Yes","1988","Not Employed","Male","","","","","1"
"No","1989","Not Employed","Male","42","1","1","1","2"
"No","1989","Not Employed","Female","48","1","1","1","2"
"No","1989","Employed","Female","1637","1","1","1","2"
"No","1989","Employed","Male","2129","1","1","1","2"
"Yes","1989","Not Employed","Female","","","","","1"
"Yes","1989","Employed","Male","","","","","1"
"Yes","1989","Employed","Female","","","","","1"
"Yes","1989","Not Employed","Male","","","","","1"
"No","1990","Employed","Female","1637","1","1","1","2"
"No","1990","Not Employed","Male","37","1","1","1","2"
"No","1990","Not Employed","Female","48","1","1","1","2"
"No","1990","Employed","Male","1992","1","1","1","2"
"Yes","1990","Not Employed","Female","","","","","1"
"Yes","1990","Not Employed","Male","","","","","1"
"Yes","1990","Employed","Male","","","","","1"
"Yes","1990","Employed","Female","","","","","1"
"No","1991","Employed","Female","1631","1","1","1","2"
"No","1991","Not Employed","Male","46","1","1","1","2"
"No","1991","Not Employed","Female","65","1","1","1","2"
"No","1991","Employed","Male","1930","1","1","1","2"
"Yes","1991","Not Employed","Female","","","","","1"
"Yes","1991","Employed","Female","","","","","1"
"Yes","1991","Not Employed","Male","","","","","1"
"Yes","1991","Employed","Male","","","","","1"
"No","1992","Not Employed","Male","38","1","1","1","2"
"No","1992","Not Employed","Female","63","1","1","1","2"
"No","1992","Employed","Male","2685","1","1","1","2"
"No","1992","Employed","Female","2252","1","1","1","2"
"Yes","1992","Not Employed","Female","","","","","1"
"Yes","1992","Employed","Female","","","","","1"
"Yes","1992","Not Employed","Male","","","","","1"
"Yes","1992","Employed","Male","","","","","1"
"No","1993","Not Employed","Male","45","1","1","1","2"
"No","1993","Not Employed","Female","103","1","1","1","2"
"No","1993","Employed","Male","2629","1","1","1","2"
"No","1993","Employed","Female","2186","1","1","1","2"
"Yes","1993","Not Employed","Female","","","","","1"
"Yes","1993","Employed","Female","","","","","1"
"Yes","1993","Not Employed","Male","","","","","1"
"Yes","1993","Employed","Male","","","","","1"
"No","1994","Not Employed","Male","51","1","1","1","2"
"No","1994","Not Employed","Female","80","1","1","1","2"
"No","1994","Employed","Male","2406","1","1","1","2"
"No","1994","Employed","Female","2067","1","1","1","2"
"Yes","1994","Not Employed","Female","","","","","1"
"Yes","1994","Employed","Female","","","","","1"
"Yes","1994","Not Employed","Male","","","","","1"
"Yes","1994","Employed","Male","","","","","1"
"No","1995","Not Employed","Female","91","1","1","1","2"
"No","1995","Employed","Male","2372","1","1","1","2"
"No","1995","Employed","Female","2076","1","1","1","2"
"No","1995","Not Employed","Male","61","1","1","1","2"
"Yes","1995","Not Employed","Male","","","","","1"
"Yes","1995","Not Employed","Female","","","","","1"
"Yes","1995","Employed","Female","","","","","1"
"Yes","1995","Employed","Male","","","","","1"
"No","1996","Not Employed","Female","79","1","1","1","2"
"No","1996","Employed","Male","2309","1","1","1","2"
"No","1996","Employed","Female","2035","1","1","1","2"
"No","1996","Not Employed","Male","42","1","1","1","2"
"Yes","1996","Employed","Female","","","","","1"
"Yes","1996","Not Employed","Male","","","","","1"
"Yes","1996","Not Employed","Female","","","","","1"
"Yes","1996","Employed","Male","","","","","1"
"No","1997","Not Employed","Female","11","","","","2"
"No","1997","Not Employed","Male","9","","","","2"
"No","1997","Employed","Male","828","1","1","1","2"
"No","1997","Employed","Female","578","1","1","1","2"
"Yes","1997","Employed","Female","","","","","1"
"Yes","1997","Not Employed","Male","","","","","1"
"Yes","1997","Not Employed","Female","","","","","1"
"Yes","1997","Employed","Male","","","","","1"
"No","1998","Not Employed","Female","12","","","","2"
"No","1998","Employed","Female","630","1","1","1","2"
"No","1998","Not Employed","Male","11","","","","2"
"No","1998","Employed","Male","852","1","1","1","2"
"Yes","1998","Not Employed","Male","","","","","1"
"Yes","1998","Not Employed","Female","","","","","1"
"Yes","1998","Employed","Male","","","","","1"
"Yes","1998","Employed","Female","","","","","1"
"No","1999","Not Employed","Female","12","","","","2"
"No","1999","Employed","Female","590","1","1","1","2"
"No","1999","Not Employed","Male","5","","","","2"
"No","1999","Employed","Male","806","1","1","1","2"
"Yes","1999","Not Employed","Male","","","","","1"
"Yes","1999","Not Employed","Female","","","","","1"
"Yes","1999","Employed","Male","","","","","1"
"Yes","1999","Employed","Female","","","","","1"
"No","2000","Not Employed","Female","21","","","","2"
"No","2000","Employed","Female","1067","1","1","1","2"
"No","2000","Not Employed","Male","17","","","","2"
"No","2000","Employed","Male","1417","1","1","1","2"
"Yes","2000","Not Employed","Male","","","","","1"
"Yes","2000","Not Employed","Female","","","","","1"
"Yes","2000","Employed","Male","","","","","1"
"Yes","2000","Employed","Female","","","","","1"
"No","2001","Not Employed","Female","","","","","2"
"No","2001","Employed","Female","","","","","2"
"No","2001","Not Employed","Male","","","","","2"
"No","2001","Employed","Male","","","","","2"
"Yes","2001","Not Employed","Female","","","","","1"
"Yes","2001","Employed","Male","","","","","1"
"Yes","2001","Employed","Female","","","","","1"
"Yes","2001","Not Employed","Male","","","","","1"
"No","2002","Not Employed","Male","12","","","","2"
"No","2002","Not Employed","Female","21","","","","2"
"No","2002","Employed","Female","998","0.31412196679626","0.298297285944812","0.329946647647708","2"
"No","2002","Employed","Male","1310","0.299450607323261","0.286201810982757","0.312699403663766","2"
"Yes","2002","Not Employed","Female","14","","","","1"
"Yes","2002","Employed","Male","3281","0.700549392676739","0.687300596336234","0.713798189017243","1"
"Yes","2002","Employed","Female","2307","0.68587803320374","0.670053352352292","0.701702714055188","1"
"Yes","2002","Not Employed","Male","10","","","","1"
"No","2003","Employed","Female","1060","0.318697399101215","0.302699417468991","0.334695380733439","2"
"No","2003","Not Employed","Male","9","","","","2"
"No","2003","Not Employed","Female","25","","","","2"
"No","2003","Employed","Male","1169","0.288751323754195","0.275136249668423","0.302366397839966","2"
"Yes","2003","Not Employed","Female","22","","","","1"
"Yes","2003","Not Employed","Male","9","","","","1"
"Yes","2003","Employed","Male","3087","0.711248676245805","0.697633602160034","0.724863750331577","1"
"Yes","2003","Employed","Female","2199","0.681302600898785","0.665304619266561","0.697300582531009","1"
"No","2004","Employed","Female","985","0.329221162292354","0.312786996230331","0.345655328354376","2"
"No","2004","Not Employed","Male","9","","","","2"
"No","2004","Not Employed","Female","13","","","","2"
"No","2004","Employed","Male","1109","0.278077961874432","0.264385007156105","0.29177091659276","2"
"Yes","2004","Not Employed","Female","13","","","","1"
"Yes","2004","Employed","Female","2156","0.670778837707646","0.654344671645624","0.687213003769668","1"
"Yes","2004","Not Employed","Male","9","","","","1"
"Yes","2004","Employed","Male","3004","0.721922038125568","0.70822908340724","0.735614992843896","1"
"No","2005","Not Employed","Male","4","","","","2"
"No","2005","Not Employed","Female","13","","","","2"
"No","2005","Employed","Male","1010","0.28149570232941","0.267168357335676","0.295823047323144","2"
"No","2005","Employed","Female","928","0.325684258958856","0.308747488095604","0.342621029822107","2"
"Yes","2005","Not Employed","Female","8","","","","1"
"Yes","2005","Employed","Female","2013","0.674315741041144","0.657378970177893","0.691252511904396","1"
"Yes","2005","Not Employed","Male","16","","","","1"
"Yes","2005","Employed","Male","2775","0.71850429767059","0.704176952676856","0.732831642664324","1"
"No","2006","Not Employed","Male","7","","","","2"
"No","2006","Not Employed","Female","17","","","","2"
"No","2006","Employed","Male","999","0.263045560660812","0.249455429839943","0.276635691481681","2"
"No","2006","Employed","Female","988","0.295451935242281","0.280047993294399","0.310855877190164","2"
"Yes","2006","Not Employed","Female","18","","","","1"
"Yes","2006","Employed","Female","2382","0.704548064757718","0.689144122809836","0.719952006705601","1"
"Yes","2006","Not Employed","Male","22","","","","1"
"Yes","2006","Employed","Male","3033","0.736954439339188","0.723364308518319","0.750544570160057","1"
"No","2007","Not Employed","Male","7","","","","2"
"No","2007","Not Employed","Female","22","","","","2"
"No","2007","Employed","Male","894","0.235346085175921","0.221877729896143","0.248814440455699","2"
"No","2007","Employed","Female","878","0.280264407967196","0.264384891466621","0.29614392446777","2"
"Yes","2007","Not Employed","Female","26","","","","1"
"Yes","2007","Employed","Female","2195","0.719735592032804","0.70385607553223","0.735615108533379","1"
"Yes","2007","Not Employed","Male","18","","","","1"
"Yes","2007","Employed","Male","2917","0.764653914824079","0.751185559544301","0.778122270103857","1"
"No","2008","Not Employed","Female","15","","","","2"
"No","2008","Employed","Male","928","0.258085664631397","0.243932434210072","0.272238895052721","2"
"No","2008","Employed","Female","912","0.300773204978154","0.284640178827133","0.316906231129174","2"
"No","2008","Not Employed","Male","11","","","","2"
"Yes","2008","Not Employed","Male","15","","","","1"
"Yes","2008","Not Employed","Female","24","","","","1"
"Yes","2008","Employed","Female","2192","0.699226795021846","0.683093768870826","0.715359821172867","1"
"Yes","2008","Employed","Male","2744","0.741914335368603","0.727761104947279","0.756067565789928","1"
"No","2009","Not Employed","Female","12","","","","2"
"No","2009","Employed","Male","914","0.278074774853711","0.2626279465026","0.293521603204822","2"
"No","2009","Employed","Female","829","0.311612581561699","0.29442369331161","0.328801469811787","2"
"No","2009","Not Employed","Male","5","","","","2"
"Yes","2009","Employed","Female","1960","0.688387418438301","0.671198530188213","0.70557630668839","1"
"Yes","2009","Not Employed","Male","9","","","","1"
"Yes","2009","Not Employed","Female","5","","","","1"
"Yes","2009","Employed","Male","2318","0.721925225146289","0.706478396795178","0.7373720534974","1"
"No","2010","Not Employed","Female","47","0.599786869521445","0.504706218056738","0.694867520986152","2"
"No","2010","Not Employed","Male","16","","","","2"
"No","2010","Employed","Male","1334","0.303934860504964","0.290567272171558","0.31730244883837","2"
"No","2010","Employed","Female","1190","0.332921494291013","0.317718278505243","0.348124710076782","2"
"Yes","2010","Employed","Female","2501","0.667078505708987","0.651875289923218","0.682281721494757","1"
"Yes","2010","Not Employed","Male","15","","","","1"
"Yes","2010","Not Employed","Female","55","0.400213130478555","0.305132479013848","0.495293781943262","1"
"Yes","2010","Employed","Male","3214","0.696065139495036","0.68269755116163","0.709432727828442","1"
"No","2011","Not Employed","Female","32","0.269873434823506","0.184561348117649","0.355185521529363","2"
"No","2011","Employed","Female","1302","0.281683273915133","0.26873630627487","0.294630241555395","2"
"No","2011","Not Employed","Male","13","","","","2"
"No","2011","Employed","Male","1283","0.238336316493064","0.226939642509608","0.24973299047652","2"
"Yes","2011","Not Employed","Male","17","","","","1"
"Yes","2011","Not Employed","Female","72","0.730126565176494","0.644814478470638","0.815438651882351","1"
"Yes","2011","Employed","Male","4086","0.761663683506936","0.75026700952348","0.773060357490392","1"
"Yes","2011","Employed","Female","3335","0.718316726084868","0.705369758444605","0.73126369372513","1"
"No","2012","Not Employed","Female","46","0.421448661756491","0.333099840651707","0.509797482861275","2"
"No","2012","Employed","Female","1457","0.294273126091255","0.281458292676399","0.30708795950611","2"
"No","2012","Not Employed","Male","39","0.428162552597684","0.327597461047793","0.528727644147574","2"
"No","2012","Employed","Male","1385","0.271217087901922","0.259228572639311","0.283205603164533","2"
"Yes","2012","Not Employed","Male","54","0.571837447402316","0.471272355852426","0.672402538952207","1"
"Yes","2012","Not Employed","Female","74","0.578551338243509","0.490202517138725","0.666900159348293","1"
"Yes","2012","Employed","Male","3898","0.728782912098078","0.716794396835467","0.740771427360689","1"
"Yes","2012","Employed","Female","3401","0.705726873908745","0.69291204049389","0.7185417073236","1"
"No","2013","Not Employed","Female","237","0.298815575695552","0.266463461496392","0.331167689894712","2"
"No","2013","Employed","Female","1264","0.277824641496469","0.264674407277251","0.290974875715688","2"
"No","2013","Not Employed","Male","342","0.308548733007437","0.280873016439952","0.336224449574923","2"
"No","2013","Employed","Male","1182","0.26458521135539","0.251990320373379","0.277180102337402","2"
"Yes","2013","Not Employed","Male","728","0.691451266992563","0.663775550425078","0.719126983560048","1"
"Yes","2013","Not Employed","Female","532","0.701184424304448","0.668832310105288","0.733536538503607","1"
"Yes","2013","Employed","Male","3530","0.73541478864461","0.722819897662598","0.748009679626621","1"
"Yes","2013","Employed","Female","3193","0.722175358503531","0.709025124284312","0.73532559272275","1"
"No","2014","Not Employed","Female","50","0.477817903716763","0.38989957041228","0.565736237021246","2"
"No","2014","Employed","Female","1435","0.27660059889856","0.263858246996087","0.289342950801034","2"
"No","2014","Not Employed","Male","38","0.483590214126196","0.390202932871168","0.576977495381224","2"
"No","2014","Employed","Male","1270","0.258577270246464","0.246458996925361","0.270695543567568","2"
"Yes","2014","Not Employed","Female","74","0.522182096283237","0.434263762978754","0.61010042958772","1"
"Yes","2014","Employed","Male","3745","0.741422729753536","0.729304456432432","0.753541003074639","1"
"Yes","2014","Employed","Female","3299","0.72339940110144","0.710657049198966","0.736141753003913","1"
"Yes","2014","Not Employed","Male","72","0.516409785873804","0.423022504618776","0.609797067128832","1"
"No","2015","Not Employed","Male","108","0.276326549610728","0.231365243410222","0.321287855811233","2"
"No","2015","Not Employed","Female","85","0.334564251445689","0.276765169589533","0.392363333301844","2"
"No","2015","Employed","Female","1022","0.229082894340206","0.216564331607598","0.241601457072813","2"
"No","2015","Employed","Male","1033","0.239095701023059","0.226718531102908","0.251472870943211","2"
"Yes","2015","Not Employed","Female","171","0.665435748554311","0.607636666698156","0.723234830410467","1"
"Yes","2015","Employed","Male","3529","0.760904298976941","0.748527129056789","0.773281468897092","1"
"Yes","2015","Employed","Female","3307","0.770917105659794","0.758398542927187","0.783435668392402","1"
"Yes","2015","Not Employed","Male","272","0.723673450389272","0.678712144188767","0.768634756589778","1"
"No","2016","Employed","Female","1125","0.244330323276832","0.231701316137286","0.256959330416377","2"
"No","2016","Not Employed","Male","17","","","","2"
"No","2016","Not Employed","Female","29","","","","2"
"No","2016","Employed","Male","985","0.226143094417946","0.213868552184883","0.238417636651009","2"
"Yes","2016","Not Employed","Female","55","0.646450070981513","0.544214666650011","0.748685475313014","1"
"Yes","2016","Not Employed","Male","42","0.570811809138946","0.444514981548382","0.697108636729511","1"
"Yes","2016","Employed","Male","3477","0.773856905582054","0.761582363348991","0.786131447815117","1"
"Yes","2016","Employed","Female","3322","0.755669676723168","0.743040669583623","0.768298683862714","1"
"No","2017","Employed","Female","1176","0.246850366060315","0.234544314928019","0.259156417192612","2"
"No","2017","Not Employed","Male","39","0.202759969687395","0.134172183912112","0.271347755462678","2"
"No","2017","Not Employed","Female","37","0.409953847416526","0.307195471969416","0.512712222863636","2"
"No","2017","Employed","Male","1113","0.228798253064923","0.216988513761029","0.240607992368817","2"
"Yes","2017","Not Employed","Female","51","0.590046152583474","0.487287777136364","0.692804528030584","1"
"Yes","2017","Employed","Female","3540","0.753149633939685","0.740843582807388","0.765455685071981","1"
"Yes","2017","Not Employed","Male","93","0.797240030312605","0.728652244537322","0.865827816087889","1"
"Yes","2017","Employed","Male","3747","0.771201746935077","0.759392007631183","0.783011486238971","1"
"No","2018","Not Employed","Male","63","0.277798773480919","0.216030326939593","0.339567220022244","2"
"No","2018","Not Employed","Female","34","0.438171346863668","0.344160030970875","0.532182662756461","2"
"No","2018","Employed","Male","1277","0.235514012608677","0.223811057405813","0.247216967811542","2"
"No","2018","Employed","Female","1352","0.262122480385527","0.249788463534394","0.27445649723666","2"
"Yes","2018","Not Employed","Female","73","0.561828653136332","0.46781733724354","0.655839969029125","1"
"Yes","2018","Employed","Female","3532","0.737877519614473","0.72554350276334","0.750211536465606","1"
"Yes","2018","Not Employed","Male","139","0.722201226519081","0.660432779977756","0.783969673060407","1"
"Yes","2018","Employed","Male","3773","0.764485987391323","0.752783032188458","0.776188942594187","1"
"No","2019","Not Employed","Male","54","0.507115934953947","0.428154733441207","0.586077136466687","2"
"No","2019","Not Employed","Female","42","0.332711017493385","0.250110331728181","0.41531170325859","2"
"No","2019","Employed","Male","1048","0.225231421460069","0.213120129335717","0.237342713584421","2"
"No","2019","Employed","Female","1096","0.231889784896561","0.219470262312288","0.244309307480835","2"
"Yes","2019","Not Employed","Female","83","0.667288982506615","0.58468829674141","0.749889668271819","1"
"Yes","2019","Employed","Female","3340","0.768110215103439","0.755690692519165","0.780529737687712","1"
"Yes","2019","Not Employed","Male","100","0.492884065046053","0.413922863533313","0.571845266558794","1"
"Yes","2019","Employed","Male","3522","0.774768578539931","0.762657286415579","0.786879870664283","1"
