"plb0196_h","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Schleswig-Holstein","(Married) couple without C. ","23","","","","2"
"No","1986","Bremen","Couple + C. LE and GT 16","3","","","","2"
"No","1986","Bremen","1-pers.-HH","4","","","","2"
"No","1986","Rhineland-Palatinate,Saarland","1-pers.-HH","15","","","","2"
"No","1986","Schleswig-Holstein","1-pers.-HH","14","","","","2"
"No","1986","Bremen","(Married) couple without C. ","8","","","","2"
"No","1986","Bremen","Couple + C. GT 16 ","8","","","","2"
"No","1986","Schleswig-Holstein","Single parent ","9","","","","2"
"No","1986","Lower Saxony","Couple + C. LE and GT 16","57","1","1","1","2"
"No","1986","Bremen","Single parent ","1","","","","2"
"No","1986","Hesse","Single parent ","22","","","","2"
"No","1986","Hesse","(Married) couple without C. ","85","1","1","1","2"
"No","1986","Schleswig-Holstein","Couple + C. GT 16 ","25","","","","2"
"No","1986","Schleswig-Holstein","Couple + C. LE and GT 16","13","","","","2"
"No","1986","Hamburg","(Married) couple without C. ","21","","","","2"
"No","1986","Hamburg","Couple + C. LE and GT 16","10","","","","2"
"No","1986","Lower Saxony","1-pers.-HH","23","","","","2"
"No","1986","Lower Saxony","(Married) couple without C. ","93","1","1","1","2"
"No","1986","Lower Saxony","Single parent ","20","","","","2"
"No","1986","Lower Saxony","Couple + C. LE 16 ","86","1","1","1","2"
"No","1986","Lower Saxony","Couple + C. GT 16 ","87","1","1","1","2"
"No","1986","Hamburg","1-pers.-HH","16","","","","2"
"No","1986","Bremen","Couple + C. LE 16 ","10","","","","2"
"No","1986","North Rhine-Westphalia","1-pers.-HH","93","1","1","1","2"
"No","1986","North Rhine-Westphalia","(Married) couple without C. ","241","1","1","1","2"
"No","1986","North Rhine-Westphalia","Single parent ","46","1","1","1","2"
"No","1986","North Rhine-Westphalia","Couple + C. LE and GT 16","160","1","1","1","2"
"No","1986","Hesse","1-pers.-HH","37","1","1","1","2"
"No","1986","Hesse","Couple + C. LE 16 ","111","1","1","1","2"
"No","1986","Hesse","Couple + C. GT 16 ","78","1","1","1","2"
"No","1986","Hesse","Couple + C. LE and GT 16","71","1","1","1","2"
"No","1986","Rhineland-Palatinate,Saarland","(Married) couple without C. ","61","1","1","1","2"
"No","1986","Schleswig-Holstein","Couple + C. LE 16 ","35","1","1","1","2"
"No","1986","North Rhine-Westphalia","Couple + C. GT 16 ","254","1","1","1","2"
