"plb0196_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1986","West Germany","Female","1883","1","1","1","2"
"No","1986","East Germany","Female","","","","","2"
"No","1986","West Germany","Male","2447","1","1","1","2"
"No","1986","East Germany","Male","","","","","2"
"Yes","1986","West Germany","Male","","","","","1"
"Yes","1986","West Germany","Female","","","","","1"
"Yes","1986","East Germany","Male","","","","","1"
"Yes","1986","East Germany","Female","","","","","1"
"No","1987","West Germany","Female","","","","","2"
"No","1987","East Germany","Female","","","","","2"
"No","1987","West Germany","Male","","","","","2"
"No","1987","East Germany","Male","","","","","2"
"Yes","1987","West Germany","Male","","","","","1"
"Yes","1987","West Germany","Female","","","","","1"
"Yes","1987","East Germany","Male","","","","","1"
"Yes","1987","East Germany","Female","","","","","1"
"No","1988","West Germany","Female","1739","1","1","1","2"
"No","1988","East Germany","Female","","","","","2"
"No","1988","West Germany","Male","2288","1","1","1","2"
"No","1988","East Germany","Male","","","","","2"
"Yes","1988","West Germany","Female","","","","","1"
"Yes","1988","East Germany","Male","","","","","1"
"Yes","1988","East Germany","Female","","","","","1"
"Yes","1988","West Germany","Male","","","","","1"
"No","1989","West Germany","Male","2171","1","1","1","2"
"No","1989","West Germany","Female","1685","1","1","1","2"
"No","1989","East Germany","Female","","","","","2"
"No","1989","East Germany","Male","","","","","2"
"Yes","1989","West Germany","Female","","","","","1"
"Yes","1989","East Germany","Male","","","","","1"
"Yes","1989","East Germany","Female","","","","","1"
"Yes","1989","West Germany","Male","","","","","1"
"No","1990","East Germany","Female","","","","","2"
"No","1990","West Germany","Male","2029","1","1","1","2"
"No","1990","West Germany","Female","1685","1","1","1","2"
"No","1990","East Germany","Male","","","","","2"
"Yes","1990","West Germany","Female","","","","","1"
"Yes","1990","West Germany","Male","","","","","1"
"Yes","1990","East Germany","Male","","","","","1"
"Yes","1990","East Germany","Female","","","","","1"
"No","1991","East Germany","Female","954","1","1","1","2"
"No","1991","West Germany","Male","1984","1","1","1","2"
"No","1991","West Germany","Female","1702","1","1","1","2"
"No","1991","East Germany","Male","1021","1","1","1","2"
"Yes","1991","West Germany","Female","","","","","1"
"Yes","1991","East Germany","Female","","","","","1"
"Yes","1991","West Germany","Male","","","","","1"
"Yes","1991","East Germany","Male","","","","","1"
"No","1992","West Germany","Male","1991","1","1","1","2"
"No","1992","West Germany","Female","1612","1","1","1","2"
"No","1992","East Germany","Male","732","1","1","1","2"
"No","1992","East Germany","Female","703","1","1","1","2"
"Yes","1992","West Germany","Female","","","","","1"
"Yes","1992","East Germany","Female","","","","","1"
"Yes","1992","West Germany","Male","","","","","1"
"Yes","1992","East Germany","Male","","","","","1"
"No","1993","West Germany","Male","2025","1","1","1","2"
"No","1993","West Germany","Female","1680","1","1","1","2"
"No","1993","East Germany","Male","649","1","1","1","2"
"No","1993","East Germany","Female","609","1","1","1","2"
"Yes","1993","West Germany","Female","","","","","1"
"Yes","1993","East Germany","Female","","","","","1"
"Yes","1993","West Germany","Male","","","","","1"
"Yes","1993","East Germany","Male","","","","","1"
"No","1994","West Germany","Male","1858","1","1","1","2"
"No","1994","West Germany","Female","1569","1","1","1","2"
"No","1994","East Germany","Male","599","1","1","1","2"
"No","1994","East Germany","Female","578","1","1","1","2"
"Yes","1994","West Germany","Female","","","","","1"
"Yes","1994","East Germany","Female","","","","","1"
"Yes","1994","West Germany","Male","","","","","1"
"Yes","1994","East Germany","Male","","","","","1"
"No","1995","West Germany","Female","1579","1","1","1","2"
"No","1995","East Germany","Male","597","1","1","1","2"
"No","1995","East Germany","Female","588","1","1","1","2"
"No","1995","West Germany","Male","1836","1","1","1","2"
"Yes","1995","West Germany","Male","","","","","1"
"Yes","1995","West Germany","Female","","","","","1"
"Yes","1995","East Germany","Female","","","","","1"
"Yes","1995","East Germany","Male","","","","","1"
"No","1996","West Germany","Female","1525","1","1","1","2"
"No","1996","East Germany","Male","573","1","1","1","2"
"No","1996","East Germany","Female","589","1","1","1","2"
"No","1996","West Germany","Male","1778","1","1","1","2"
"Yes","1996","East Germany","Female","","","","","1"
"Yes","1996","West Germany","Male","","","","","1"
"Yes","1996","West Germany","Female","","","","","1"
"Yes","1996","East Germany","Male","","","","","1"
"No","1997","West Germany","Female","401","1","1","1","2"
"No","1997","West Germany","Male","584","1","1","1","2"
"No","1997","East Germany","Male","253","1","1","1","2"
"No","1997","East Germany","Female","188","1","1","1","2"
"Yes","1997","East Germany","Female","","","","","1"
"Yes","1997","West Germany","Male","","","","","1"
"Yes","1997","West Germany","Female","","","","","1"
"Yes","1997","East Germany","Male","","","","","1"
"No","1998","West Germany","Female","434","1","1","1","2"
"No","1998","East Germany","Female","208","1","1","1","2"
"No","1998","West Germany","Male","580","1","1","1","2"
"No","1998","East Germany","Male","283","1","1","1","2"
"Yes","1998","West Germany","Male","","","","","1"
"Yes","1998","West Germany","Female","","","","","1"
"Yes","1998","East Germany","Male","","","","","1"
"Yes","1998","East Germany","Female","","","","","1"
"No","1999","West Germany","Female","403","1","1","1","2"
"No","1999","East Germany","Female","199","1","1","1","2"
"No","1999","West Germany","Male","544","1","1","1","2"
"No","1999","East Germany","Male","267","1","1","1","2"
"Yes","1999","West Germany","Male","","","","","1"
"Yes","1999","West Germany","Female","","","","","1"
"Yes","1999","East Germany","Male","","","","","1"
"Yes","1999","East Germany","Female","","","","","1"
"No","2000","West Germany","Female","778","1","1","1","2"
"No","2000","East Germany","Female","310","1","1","1","2"
"No","2000","West Germany","Male","1063","1","1","1","2"
"No","2000","East Germany","Male","371","1","1","1","2"
"Yes","2000","West Germany","Male","","","","","1"
"Yes","2000","West Germany","Female","","","","","1"
"Yes","2000","East Germany","Male","","","","","1"
"Yes","2000","East Germany","Female","","","","","1"
"No","2001","West Germany","Female","","","","","2"
"No","2001","East Germany","Female","","","","","2"
"No","2001","West Germany","Male","","","","","2"
"No","2001","East Germany","Male","","","","","2"
"Yes","2001","West Germany","Female","","","","","1"
"Yes","2001","East Germany","Male","","","","","1"
"Yes","2001","East Germany","Female","","","","","1"
"Yes","2001","West Germany","Male","","","","","1"
"No","2002","West Germany","Male","970","0.291545329678602","0.276591054649639","0.306499604707565","2"
"No","2002","West Germany","Female","732","0.31173765608858","0.293347222703566","0.330128089473595","2"
"No","2002","East Germany","Female","287","0.342528799878017","0.311576627941293","0.373480971814741","2"
"No","2002","East Germany","Male","352","0.342491962098045","0.313991689622374","0.370992234573715","2"
"Yes","2002","West Germany","Female","1705","0.68826234391142","0.669871910526405","0.706652777296434","1"
"Yes","2002","East Germany","Male","713","0.657508037901955","0.629007765426285","0.686008310377626","1"
"Yes","2002","East Germany","Female","616","0.657471200121983","0.626519028185259","0.688423372058707","1"
"Yes","2002","West Germany","Male","2578","0.708454670321398","0.693500395292435","0.723408945350361","1"
"No","2003","East Germany","Female","287","0.328353078145129","0.29734311878008","0.359363037510177","2"
"No","2003","West Germany","Male","881","0.280128873269834","0.264788903901491","0.295468842638176","2"
"No","2003","West Germany","Female","798","0.321036856317599","0.302454843018547","0.339618869616651","2"
"No","2003","East Germany","Male","297","0.333546212290584","0.304057529484241","0.363034895096928","2"
"Yes","2003","West Germany","Female","1627","0.678963143682401","0.660381130383349","0.697545156981453","1"
"Yes","2003","West Germany","Male","2411","0.719871126730166","0.704531157361824","0.735211096098509","1"
"Yes","2003","East Germany","Male","685","0.666453787709416","0.636965104903072","0.695942470515759","1"
"Yes","2003","East Germany","Female","594","0.671646921854871","0.640636962489823","0.70265688121992","1"
"No","2004","East Germany","Female","265","0.325088804244413","0.293927720664293","0.356249887824532","2"
"No","2004","West Germany","Male","828","0.272207042333436","0.256758965022611","0.28765511964426","2"
"No","2004","West Germany","Female","733","0.331569068824015","0.312325133910289","0.35081300373774","2"
"No","2004","East Germany","Male","290","0.310635357815607","0.281084330348219","0.340186385282996","2"
"Yes","2004","West Germany","Female","1566","0.668430931175985","0.64918699626226","0.687674866089711","1"
"Yes","2004","East Germany","Female","603","0.674911195755587","0.643750112175468","0.706072279335707","1"
"Yes","2004","West Germany","Male","2361","0.727792957666564","0.71234488035574","0.743241034977389","1"
"Yes","2004","East Germany","Male","652","0.689364642184393","0.659813614717004","0.718915669651781","1"
"No","2005","West Germany","Male","719","0.268025236065618","0.251918374709696","0.284132097421539","2"
"No","2005","West Germany","Female","698","0.327603911616032","0.307861267917048","0.347346555315016","2"
"No","2005","East Germany","Male","295","0.346027686592974","0.314949051152377","0.377106322033571","2"
"No","2005","East Germany","Female","243","0.324926266075079","0.292287940936662","0.357564591213496","2"
"Yes","2005","West Germany","Female","1473","0.672396088383968","0.652653444684984","0.692138732082952","1"
"Yes","2005","East Germany","Female","548","0.675073733924922","0.642435408786505","0.707712059063339","1"
"Yes","2005","West Germany","Male","2186","0.731974763934382","0.715867902578461","0.748081625290304","1"
"Yes","2005","East Germany","Male","605","0.653972313407026","0.622893677966429","0.685050948847623","1"
"No","2006","West Germany","Male","733","0.250641500794663","0.235468555051077","0.265814446538249","2"
"No","2006","West Germany","Female","746","0.298147211873403","0.280262158617814","0.316032265128993","2"
"No","2006","East Germany","Male","273","0.325758594291848","0.295589388687516","0.355927799896181","2"
"No","2006","East Germany","Female","259","0.288593282763253","0.258858295707653","0.318328269818853","2"
"Yes","2006","West Germany","Female","1767","0.701852788126597","0.683967734871007","0.719737841382186","1"
"Yes","2006","East Germany","Female","633","0.711406717236747","0.681671730181147","0.741141704292347","1"
"Yes","2006","West Germany","Male","2401","0.749358499205337","0.734185553461751","0.764531444948924","1"
"Yes","2006","East Germany","Male","654","0.674241405708152","0.644072200103819","0.704410611312484","1"
"No","2007","West Germany","Male","633","0.21501589338482","0.200129940383084","0.229901846386557","2"
"No","2007","West Germany","Female","633","0.282223557936306","0.263634596372599","0.300812519500013","2"
"No","2007","East Germany","Male","268","0.332412733050811","0.301805769754361","0.363019696347261","2"
"No","2007","East Germany","Female","267","0.289482753567919","0.259329313753663","0.319636193382175","2"
"Yes","2007","West Germany","Female","1619","0.717776442063694","0.699187480499987","0.736365403627401","1"
"Yes","2007","East Germany","Female","602","0.710517246432081","0.680363806617825","0.740670686246337","1"
"Yes","2007","West Germany","Male","2293","0.78498410661518","0.770098153613443","0.799870059616916","1"
"Yes","2007","East Germany","Male","642","0.667587266949189","0.636980303652739","0.698194230245639","1"
"No","2008","West Germany","Female","673","0.300843609727592","0.282076000788717","0.319611218666467","2"
"No","2008","East Germany","Male","268","0.334703575202206","0.303684061785052","0.365723088619359","2"
"No","2008","East Germany","Female","254","0.307135171091063","0.276105063604045","0.338165278578081","2"
"No","2008","West Germany","Male","671","0.245632158222016","0.229713501529235","0.261550814914797","2"
"Yes","2008","West Germany","Male","2138","0.754367841777984","0.738449185085203","0.770286498470765","1"
"Yes","2008","West Germany","Female","1621","0.699156390272408","0.680388781333533","0.717923999211283","1"
"Yes","2008","East Germany","Female","595","0.692864828908937","0.661834721421919","0.723894936395954","1"
"Yes","2008","East Germany","Male","621","0.665296424797794","0.634276911380641","0.696315938214948","1"
"No","2009","West Germany","Female","611","0.311244776495808","0.291118525233245","0.331371027758371","2"
"No","2009","East Germany","Male","254","0.320818265961792","0.288451653815175","0.353184878108409","2"
"No","2009","East Germany","Female","230","0.327641330608692","0.294554269839603","0.36072839137778","2"
"No","2009","West Germany","Male","665","0.268181061311331","0.250628238003889","0.285733884618772","2"
"Yes","2009","East Germany","Female","543","0.672358669391309","0.63927160862222","0.705445730160397","1"
"Yes","2009","West Germany","Male","1782","0.731818938688669","0.714266115381228","0.749371761996111","1"
"Yes","2009","West Germany","Female","1422","0.688755223504192","0.668628972241629","0.708881474766755","1"
"Yes","2009","East Germany","Male","545","0.679181734038208","0.646815121891591","0.711548346184825","1"
"No","2010","West Germany","Female","952","0.34295325766455","0.325559045559056","0.360347469770044","2"
"No","2010","West Germany","Male","1013","0.289677878863546","0.274825021078446","0.304530736648647","2"
"No","2010","East Germany","Male","337","0.374062694590609","0.344011894542684","0.404113494638535","2"
"No","2010","East Germany","Female","285","0.308988647178594","0.279322989046481","0.338654305310707","2"
"Yes","2010","East Germany","Female","647","0.691011352821406","0.661345694689293","0.720677010953519","1"
"Yes","2010","West Germany","Male","2570","0.710322121136454","0.695469263351353","0.725174978921554","1"
"Yes","2010","West Germany","Female","1909","0.65704674233545","0.639652530229956","0.674440954440944","1"
"Yes","2010","East Germany","Male","659","0.625937305409391","0.595886505361465","0.655988105457316","1"
"No","2011","West Germany","Female","1006","0.281516866511663","0.26685211836149","0.296181614661836","2"
"No","2011","East Germany","Female","328","0.2814589114452","0.255215103745488","0.307702719144913","2"
"No","2011","West Germany","Male","948","0.225498257479745","0.212935489663548","0.238061025295942","2"
"No","2011","East Germany","Male","348","0.309546510441983","0.282803683268841","0.336289337615124","2"
"Yes","2011","West Germany","Male","3303","0.774501742520255","0.761938974704058","0.787064510336452","1"
"Yes","2011","West Germany","Female","2607","0.718483133488337","0.703818385338164","0.73314788163851","1"
"Yes","2011","East Germany","Male","800","0.690453489558017","0.663710662384876","0.717196316731159","1"
"Yes","2011","East Germany","Female","800","0.7185410885548","0.692297280855087","0.744784896254512","1"
"No","2012","West Germany","Female","1166","0.292440939006516","0.278055392321884","0.306826485691149","2"
"No","2012","East Germany","Female","337","0.314221757950651","0.287239528154857","0.341203987746445","2"
"No","2012","West Germany","Male","1071","0.261087934297183","0.247885888247091","0.274289980347275","2"
"No","2012","East Germany","Male","353","0.335936519474145","0.30832448905085","0.36354854989744","2"
"Yes","2012","West Germany","Male","3181","0.738912065702817","0.725710019652725","0.752114111752909","1"
"Yes","2012","West Germany","Female","2675","0.707559060993484","0.693173514308851","0.721944607678116","1"
"Yes","2012","East Germany","Male","771","0.664063480525855","0.63645145010256","0.69167551094915","1"
"Yes","2012","East Germany","Female","800","0.685778242049349","0.658796012253555","0.712760471845143","1"
"No","2013","West Germany","Female","1196","0.282579633229982","0.268831087504962","0.296328178955002","2"
"No","2013","East Germany","Female","305","0.265875453967288","0.239838239377727","0.291912668556848","2"
"No","2013","West Germany","Male","1197","0.258145379905627","0.245666237870613","0.270624521940642","2"
"No","2013","East Germany","Male","327","0.322628885955842","0.294459964573795","0.350797807337888","2"
"Yes","2013","West Germany","Male","3527","0.741854620094373","0.729375478059359","0.754333762129387","1"
"Yes","2013","West Germany","Female","2924","0.717420366770018","0.703671821044998","0.731168912495038","1"
"Yes","2013","East Germany","Male","731","0.677371114044158","0.649202192662112","0.705540035426205","1"
"Yes","2013","East Germany","Female","801","0.734124546032712","0.708087331443152","0.760161760622273","1"
"No","2014","West Germany","Female","1196","0.275890091625249","0.261775274730768","0.290004908519729","2"
"No","2014","East Germany","Female","289","0.297772211827021","0.269514942588268","0.326029481065773","2"
"No","2014","West Germany","Male","1022","0.252382693110318","0.239139739834551","0.265625646386085","2"
"No","2014","East Germany","Male","286","0.311961747109991","0.283131443290829","0.340792050929152","2"
"Yes","2014","West Germany","Female","2656","0.724109908374751","0.709995091480271","0.738224725269232","1"
"Yes","2014","East Germany","Male","706","0.688038252890009","0.659207949070848","0.716868556709171","1"
"Yes","2014","East Germany","Female","717","0.702227788172979","0.673970518934227","0.730485057411732","1"
"Yes","2014","West Germany","Male","3111","0.747617306889682","0.734374353613915","0.760860260165449","1"
"No","2015","West Germany","Male","888","0.227272011586947","0.214338386152411","0.240205637021483","2"
"No","2015","West Germany","Female","878","0.230871169473095","0.217147878713172","0.244594460233019","2"
"No","2015","East Germany","Female","229","0.237353018078628","0.210481382285981","0.264224653871275","2"
"No","2015","East Germany","Male","253","0.303747422371077","0.273851919849438","0.333642924892717","2"
"Yes","2015","West Germany","Female","2744","0.769128830526905","0.755405539766982","0.782852121286828","1"
"Yes","2015","East Germany","Male","656","0.696252577628922","0.666357075107283","0.726148080150562","1"
"Yes","2015","East Germany","Female","734","0.762646981921372","0.735775346128725","0.789518617714019","1"
"Yes","2015","West Germany","Male","3145","0.772727988413053","0.759794362978517","0.785661613847589","1"
"No","2016","East Germany","Female","247","0.269847711015765","0.241591754267067","0.298103667764464","2"
"No","2016","West Germany","Male","774","0.218950142867202","0.205517862544683","0.232382423189721","2"
"No","2016","West Germany","Female","907","0.241102897493732","0.227096793420257","0.255109001567206","2"
"No","2016","East Germany","Male","228","0.273486686393622","0.244035917465054","0.302937455322191","2"
"Yes","2016","West Germany","Female","2676","0.758897102506268","0.744890998432794","0.772903206579743","1"
"Yes","2016","West Germany","Male","2867","0.781049857132798","0.767617576810279","0.794482137455317","1"
"Yes","2016","East Germany","Male","652","0.726513313606378","0.697062544677809","0.755964082534946","1"
"Yes","2016","East Germany","Female","701","0.730152288984235","0.701896332235536","0.758408245732933","1"
"No","2017","East Germany","Female","287","0.249456028078074","0.22296668241862","0.275945373737528","2"
"No","2017","West Germany","Male","901","0.227238678902438","0.214297698602041","0.240179659202836","2"
"No","2017","West Germany","Female","926","0.249701430303651","0.235901171871388","0.263501688735915","2"
"No","2017","East Germany","Male","251","0.234993416593813","0.208228246472481","0.261758586715145","2"
"Yes","2017","West Germany","Female","2853","0.750298569696349","0.736498311264085","0.764098828128612","1"
"Yes","2017","East Germany","Female","738","0.750543971921926","0.724054626262472","0.77703331758138","1"
"Yes","2017","West Germany","Male","3127","0.772761321097561","0.759820340797164","0.785702301397959","1"
"Yes","2017","East Germany","Male","713","0.765006583406187","0.738241413284855","0.791771753527519","1"
"No","2018","West Germany","Male","1037","0.228571360479629","0.215903618742187","0.24123910221707","2"
"No","2018","West Germany","Female","1061","0.258984253471982","0.245339964896913","0.272628542047052","2"
"No","2018","East Germany","Male","303","0.274072498637437","0.246845603868923","0.30129939340595","2"
