"plb0196_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1989","vocational + Abi","East Germany","","","",""
"Yes","1989","higher vocational","West Germany","","","",""
"Yes","1989","higher vocational","East Germany","","","",""
"Yes","1989","higher education","West Germany","","","",""
"Yes","1989","higher education","East Germany","","","",""
"No","1989","in school","West Germany","10","","",""
"No","1989","in school","East Germany","","","",""
"No","1989","inadequately","West Germany","261","1","1","1"
"No","1989","inadequately","East Germany","","","",""
"No","1989","general elemantary","West Germany","1018","1","1","1"
"No","1989","general elemantary","East Germany","","","",""
"No","1989","middle vocational","West Germany","1884","1","1","1"
"No","1989","middle vocational","East Germany","","","",""
"No","1989","vocational + Abi","West Germany","108","1","1","1"
"No","1989","vocational + Abi","East Germany","","","",""
"No","1989","higher vocational","West Germany","212","1","1","1"
"No","1989","higher vocational","East Germany","","","",""
"No","1989","higher education","West Germany","296","1","1","1"
"No","1989","higher education","East Germany","","","",""
"Yes","1990","in school","West Germany","","","",""
"Yes","1990","in school","East Germany","","","",""
"Yes","1990","inadequately","West Germany","","","",""
"Yes","1990","inadequately","East Germany","","","",""
"Yes","1990","general elemantary","West Germany","","","",""
"Yes","1990","general elemantary","East Germany","","","",""
"Yes","1990","middle vocational","West Germany","","","",""
"Yes","1990","middle vocational","East Germany","","","",""
"Yes","1990","vocational + Abi","West Germany","","","",""
"Yes","1990","vocational + Abi","East Germany","","","",""
"Yes","1990","higher vocational","West Germany","","","",""
"Yes","1990","higher vocational","East Germany","","","",""
"Yes","1990","higher education","West Germany","","","",""
"Yes","1990","higher education","East Germany","","","",""
"No","1990","in school","West Germany","6","","",""
"No","1990","in school","East Germany","","","",""
"No","1990","inadequately","West Germany","271","1","1","1"
"No","1990","inadequately","East Germany","","","",""
"No","1990","general elemantary","West Germany","961","1","1","1"
"No","1990","general elemantary","East Germany","","","",""
"No","1990","middle vocational","West Germany","1827","1","1","1"
"No","1990","middle vocational","East Germany","","","",""
"No","1990","vocational + Abi","West Germany","107","1","1","1"
"No","1990","vocational + Abi","East Germany","","","",""
"No","1990","higher vocational","West Germany","197","1","1","1"
"No","1990","higher vocational","East Germany","","","",""
"No","1990","higher education","West Germany","267","1","1","1"
"No","1990","higher education","East Germany","","","",""
"Yes","1991","in school","West Germany","","","",""
"Yes","1991","in school","East Germany","","","",""
"Yes","1991","inadequately","West Germany","","","",""
"Yes","1991","inadequately","East Germany","","","",""
"Yes","1991","general elemantary","West Germany","","","",""
"Yes","1991","general elemantary","East Germany","","","",""
"Yes","1991","middle vocational","West Germany","","","",""
"Yes","1991","middle vocational","East Germany","","","",""
"Yes","1991","vocational + Abi","West Germany","","","",""
"Yes","1991","vocational + Abi","East Germany","","","",""
"Yes","1991","higher vocational","West Germany","","","",""
"Yes","1991","higher vocational","East Germany","","","",""
"Yes","1991","higher education","West Germany","","","",""
"Yes","1991","higher education","East Germany","","","",""
"No","1991","in school","West Germany","7","","",""
"No","1991","in school","East Germany","10","","",""
"No","1991","inadequately","West Germany","272","1","1","1"
"No","1991","inadequately","East Germany","2","","",""
"No","1991","general elemantary","West Germany","949","1","1","1"
"No","1991","general elemantary","East Germany","144","1","1","1"
"No","1991","middle vocational","West Germany","1765","1","1","1"
"No","1991","middle vocational","East Germany","1184","1","1","1"
"No","1991","vocational + Abi","West Germany","120","1","1","1"
"No","1991","vocational + Abi","East Germany","40","1","1","1"
"No","1991","higher vocational","West Germany","204","1","1","1"
"No","1991","higher vocational","East Germany","143","1","1","1"
"No","1991","higher education","West Germany","285","1","1","1"
"No","1991","higher education","East Germany","444","1","1","1"
"Yes","1992","in school","West Germany","","","",""
"Yes","1992","in school","East Germany","","","",""
"Yes","1992","inadequately","West Germany","","","",""
"Yes","1992","inadequately","East Germany","","","",""
"Yes","1992","general elemantary","West Germany","","","",""
"Yes","1992","general elemantary","East Germany","","","",""
"Yes","1992","middle vocational","West Germany","","","",""
"Yes","1992","middle vocational","East Germany","","","",""
"Yes","1992","vocational + Abi","West Germany","","","",""
"Yes","1992","vocational + Abi","East Germany","","","",""
"Yes","1992","higher vocational","West Germany","","","",""
"Yes","1992","higher vocational","East Germany","","","",""
"Yes","1992","higher education","West Germany","","","",""
"Yes","1992","higher education","East Germany","","","",""
"No","1992","in school","West Germany","9","","",""
"No","1992","in school","East Germany","8","","",""
"No","1992","inadequately","West Germany","229","1","1","1"
"No","1992","inadequately","East Germany","8","","",""
"No","1992","general elemantary","West Germany","911","1","1","1"
"No","1992","general elemantary","East Germany","129","1","1","1"
"No","1992","middle vocational","West Germany","1756","1","1","1"
"No","1992","middle vocational","East Germany","828","1","1","1"
"No","1992","vocational + Abi","West Germany","116","1","1","1"
"No","1992","vocational + Abi","East Germany","22","","",""
"No","1992","higher vocational","West Germany","225","1","1","1"
"No","1992","higher vocational","East Germany","102","1","1","1"
"No","1992","higher education","West Germany","283","1","1","1"
"No","1992","higher education","East Germany","330","1","1","1"
"Yes","1993","in school","West Germany","","","",""
"Yes","1993","in school","East Germany","","","",""
"Yes","1993","inadequately","West Germany","","","",""
"Yes","1993","inadequately","East Germany","","","",""
"Yes","1993","general elemantary","West Germany","","","",""
"Yes","1993","general elemantary","East Germany","","","",""
"Yes","1993","middle vocational","West Germany","","","",""
"Yes","1993","middle vocational","East Germany","","","",""
"Yes","1993","vocational + Abi","West Germany","","","",""
"Yes","1993","vocational + Abi","East Germany","","","",""
"Yes","1993","higher vocational","West Germany","","","",""
"Yes","1993","higher vocational","East Germany","","","",""
"Yes","1993","higher education","West Germany","","","",""
"Yes","1993","higher education","East Germany","","","",""
"No","1993","in school","West Germany","3","","",""
"No","1993","in school","East Germany","6","","",""
"No","1993","inadequately","West Germany","242","1","1","1"
"No","1993","inadequately","East Germany","4","","",""
"No","1993","general elemantary","West Germany","889","1","1","1"
"No","1993","general elemantary","East Germany","104","1","1","1"
"No","1993","middle vocational","West Germany","1824","1","1","1"
"No","1993","middle vocational","East Germany","734","1","1","1"
"No","1993","vocational + Abi","West Germany","135","1","1","1"
"No","1993","vocational + Abi","East Germany","22","","",""
"No","1993","higher vocational","West Germany","229","1","1","1"
"No","1993","higher vocational","East Germany","91","1","1","1"
"No","1993","higher education","West Germany","295","1","1","1"
"No","1993","higher education","East Germany","287","1","1","1"
"Yes","1994","in school","West Germany","","","",""
"Yes","1994","in school","East Germany","","","",""
"Yes","1994","inadequately","West Germany","","","",""
"Yes","1994","inadequately","East Germany","","","",""
"Yes","1994","general elemantary","West Germany","","","",""
"Yes","1994","general elemantary","East Germany","","","",""
"Yes","1994","middle vocational","West Germany","","","",""
"Yes","1994","middle vocational","East Germany","","","",""
"Yes","1994","vocational + Abi","West Germany","","","",""
"Yes","1994","vocational + Abi","East Germany","","","",""
"Yes","1994","higher vocational","West Germany","","","",""
"Yes","1994","higher vocational","East Germany","","","",""
"Yes","1994","higher education","West Germany","","","",""
"Yes","1994","higher education","East Germany","","","",""
"No","1994","in school","West Germany","2","","",""
"No","1994","in school","East Germany","8","","",""
"No","1994","inadequately","West Germany","217","1","1","1"
"No","1994","inadequately","East Germany","2","","",""
"No","1994","general elemantary","West Germany","734","1","1","1"
"No","1994","general elemantary","East Germany","110","1","1","1"
"No","1994","middle vocational","West Germany","1714","1","1","1"
"No","1994","middle vocational","East Germany","664","1","1","1"
"No","1994","vocational + Abi","West Germany","113","1","1","1"
"No","1994","vocational + Abi","East Germany","19","","",""
"No","1994","higher vocational","West Germany","224","1","1","1"
"No","1994","higher vocational","East Germany","99","1","1","1"
"No","1994","higher education","West Germany","324","1","1","1"
"No","1994","higher education","East Germany","268","1","1","1"
"Yes","1995","in school","West Germany","","","",""
"Yes","1995","in school","East Germany","","","",""
"Yes","1995","inadequately","West Germany","","","",""
"Yes","1995","inadequately","East Germany","","","",""
"Yes","1995","general elemantary","West Germany","","","",""
"Yes","1995","general elemantary","East Germany","","","",""
"Yes","1995","middle vocational","West Germany","","","",""
"Yes","1995","middle vocational","East Germany","","","",""
"Yes","1995","vocational + Abi","West Germany","","","",""
"Yes","1995","vocational + Abi","East Germany","","","",""
"Yes","1995","higher vocational","West Germany","","","",""
"Yes","1995","higher vocational","East Germany","","","",""
"Yes","1995","higher education","West Germany","","","",""
"Yes","1995","higher education","East Germany","","","",""
"No","1995","in school","West Germany","5","","",""
"No","1995","in school","East Germany","5","","",""
"No","1995","inadequately","West Germany","180","1","1","1"
"No","1995","inadequately","East Germany","4","","",""
"No","1995","general elemantary","West Germany","705","1","1","1"
"No","1995","general elemantary","East Germany","103","1","1","1"
"No","1995","middle vocational","West Germany","1720","1","1","1"
"No","1995","middle vocational","East Germany","674","1","1","1"
"No","1995","vocational + Abi","West Germany","143","1","1","1"
"No","1995","vocational + Abi","East Germany","23","","",""
"No","1995","higher vocational","West Germany","206","1","1","1"
"No","1995","higher vocational","East Germany","91","1","1","1"
"No","1995","higher education","West Germany","359","1","1","1"
"No","1995","higher education","East Germany","278","1","1","1"
"Yes","1996","in school","West Germany","","","",""
"Yes","1996","in school","East Germany","","","",""
"Yes","1996","inadequately","West Germany","","","",""
"Yes","1996","inadequately","East Germany","","","",""
"Yes","1996","general elemantary","West Germany","","","",""
"Yes","1996","general elemantary","East Germany","","","",""
"Yes","1996","middle vocational","West Germany","","","",""
"Yes","1996","middle vocational","East Germany","","","",""
"Yes","1996","vocational + Abi","West Germany","","","",""
"Yes","1996","vocational + Abi","East Germany","","","",""
"Yes","1996","higher vocational","West Germany","","","",""
"Yes","1996","higher vocational","East Germany","","","",""
"Yes","1996","higher education","West Germany","","","",""
"Yes","1996","higher education","East Germany","","","",""
"No","1996","in school","West Germany","3","","",""
"No","1996","in school","East Germany","2","","",""
"No","1996","inadequately","West Germany","166","1","1","1"
"No","1996","inadequately","East Germany","5","","",""
"No","1996","general elemantary","West Germany","696","1","1","1"
"No","1996","general elemantary","East Germany","104","1","1","1"
"No","1996","middle vocational","West Germany","1675","1","1","1"
"No","1996","middle vocational","East Germany","641","1","1","1"
"No","1996","vocational + Abi","West Germany","139","1","1","1"
"No","1996","vocational + Abi","East Germany","25","","",""
"No","1996","higher vocational","West Germany","190","1","1","1"
"No","1996","higher vocational","East Germany","93","1","1","1"
"No","1996","higher education","West Germany","349","1","1","1"
"No","1996","higher education","East Germany","279","1","1","1"
"Yes","1997","in school","West Germany","","","",""
"Yes","1997","in school","East Germany","","","",""
"Yes","1997","inadequately","West Germany","","","",""
"Yes","1997","inadequately","East Germany","","","",""
"Yes","1997","general elemantary","West Germany","","","",""
"Yes","1997","general elemantary","East Germany","","","",""
"Yes","1997","middle vocational","West Germany","","","",""
"Yes","1997","middle vocational","East Germany","","","",""
"Yes","1997","vocational + Abi","West Germany","","","",""
"Yes","1997","vocational + Abi","East Germany","","","",""
"Yes","1997","higher vocational","West Germany","","","",""
"Yes","1997","higher vocational","East Germany","","","",""
"Yes","1997","higher education","West Germany","","","",""
"Yes","1997","higher education","East Germany","","","",""
"No","1997","in school","West Germany","1","","",""
"No","1997","in school","East Germany","1","","",""
"No","1997","inadequately","West Germany","33","1","1","1"
"No","1997","inadequately","East Germany","1","","",""
"No","1997","general elemantary","West Germany","168","1","1","1"
"No","1997","general elemantary","East Germany","34","1","1","1"
"No","1997","middle vocational","West Germany","527","1","1","1"
"No","1997","middle vocational","East Germany","265","1","1","1"
"No","1997","vocational + Abi","West Germany","53","1","1","1"
"No","1997","vocational + Abi","East Germany","8","","",""
"No","1997","higher vocational","West Germany","74","1","1","1"
"No","1997","higher vocational","East Germany","33","1","1","1"
"No","1997","higher education","West Germany","101","1","1","1"
"No","1997","higher education","East Germany","93","1","1","1"
"Yes","1998","in school","West Germany","","","",""
"Yes","1998","in school","East Germany","","","",""
"Yes","1998","inadequately","West Germany","","","",""
"Yes","1998","inadequately","East Germany","","","",""
"Yes","1998","general elemantary","West Germany","","","",""
"Yes","1998","general elemantary","East Germany","","","",""
"Yes","1998","middle vocational","West Germany","","","",""
"Yes","1998","middle vocational","East Germany","","","",""
"Yes","1998","vocational + Abi","West Germany","","","",""
"Yes","1998","vocational + Abi","East Germany","","","",""
"Yes","1998","higher vocational","West Germany","","","",""
"Yes","1998","higher vocational","East Germany","","","",""
"Yes","1998","higher education","West Germany","","","",""
"Yes","1998","higher education","East Germany","","","",""
"No","1998","in school","West Germany","","","",""
"No","1998","in school","East Germany","1","","",""
"No","1998","inadequately","West Germany","29","","",""
"No","1998","inadequately","East Germany","","","",""
"No","1998","general elemantary","West Germany","186","1","1","1"
"No","1998","general elemantary","East Germany","35","1","1","1"
"No","1998","middle vocational","West Germany","543","1","1","1"
"No","1998","middle vocational","East Germany","295","1","1","1"
"No","1998","vocational + Abi","West Germany","40","1","1","1"
"No","1998","vocational + Abi","East Germany","6","","",""
"No","1998","higher vocational","West Germany","66","1","1","1"
"No","1998","higher vocational","East Germany","42","1","1","1"
"No","1998","higher education","West Germany","112","1","1","1"
"No","1998","higher education","East Germany","103","1","1","1"
"Yes","1999","in school","West Germany","","","",""
"Yes","1999","in school","East Germany","","","",""
"Yes","1999","inadequately","West Germany","","","",""
"Yes","1999","inadequately","East Germany","","","",""
"Yes","1999","general elemantary","West Germany","","","",""
"Yes","1999","general elemantary","East Germany","","","",""
"Yes","1999","middle vocational","West Germany","","","",""
"Yes","1999","middle vocational","East Germany","","","",""
"Yes","1999","vocational + Abi","West Germany","","","",""
"Yes","1999","vocational + Abi","East Germany","","","",""
"Yes","1999","higher vocational","West Germany","","","",""
"Yes","1999","higher vocational","East Germany","","","",""
"Yes","1999","higher education","West Germany","","","",""
"Yes","1999","higher education","East Germany","","","",""
"No","1999","in school","West Germany","1","","",""
"No","1999","in school","East Germany","","","",""
"No","1999","inadequately","West Germany","22","","",""
"No","1999","inadequately","East Germany","","","",""
"No","1999","general elemantary","West Germany","144","1","1","1"
"No","1999","general elemantary","East Germany","37","1","1","1"
"No","1999","middle vocational","West Germany","550","1","1","1"
"No","1999","middle vocational","East Germany","281","1","1","1"
"No","1999","vocational + Abi","West Germany","35","1","1","1"
"No","1999","vocational + Abi","East Germany","10","","",""
"No","1999","higher vocational","West Germany","68","1","1","1"
"No","1999","higher vocational","East Germany","35","1","1","1"
"No","1999","higher education","West Germany","111","1","1","1"
"No","1999","higher education","East Germany","96","1","1","1"
"Yes","2000","in school","West Germany","","","",""
"Yes","2000","in school","East Germany","","","",""
"Yes","2000","inadequately","West Germany","","","",""
"Yes","2000","inadequately","East Germany","","","",""
"Yes","2000","general elemantary","West Germany","","","",""
"Yes","2000","general elemantary","East Germany","","","",""
"Yes","2000","middle vocational","West Germany","","","",""
"Yes","2000","middle vocational","East Germany","","","",""
"Yes","2000","vocational + Abi","West Germany","","","",""
"Yes","2000","vocational + Abi","East Germany","","","",""
"Yes","2000","higher vocational","West Germany","","","",""
"Yes","2000","higher vocational","East Germany","","","",""
"Yes","2000","higher education","West Germany","","","",""
"Yes","2000","higher education","East Germany","","","",""
"No","2000","in school","West Germany","2","","",""
"No","2000","in school","East Germany","1","","",""
"No","2000","inadequately","West Germany","18","","",""
"No","2000","inadequately","East Germany","","","",""
"No","2000","general elemantary","West Germany","215","1","1","1"
"No","2000","general elemantary","East Germany","37","1","1","1"
"No","2000","middle vocational","West Germany","1041","1","1","1"
"No","2000","middle vocational","East Germany","408","1","1","1"
"No","2000","vocational + Abi","West Germany","119","1","1","1"
"No","2000","vocational + Abi","East Germany","18","","",""
"No","2000","higher vocational","West Germany","171","1","1","1"
"No","2000","higher vocational","East Germany","59","1","1","1"
"No","2000","higher education","West Germany","273","1","1","1"
"No","2000","higher education","East Germany","158","1","1","1"
"Yes","2001","in school","West Germany","","","",""
"Yes","2001","in school","East Germany","","","",""
"Yes","2001","inadequately","West Germany","","","",""
"Yes","2001","inadequately","East Germany","","","",""
"Yes","2001","general elemantary","West Germany","","","",""
"Yes","2001","general elemantary","East Germany","","","",""
"Yes","2001","middle vocational","West Germany","","","",""
"Yes","2001","middle vocational","East Germany","","","",""
"Yes","2001","vocational + Abi","West Germany","","","",""
"Yes","2001","vocational + Abi","East Germany","","","",""
"Yes","2001","higher vocational","West Germany","","","",""
"Yes","2001","higher vocational","East Germany","","","",""
"Yes","2001","higher education","West Germany","","","",""
"Yes","2001","higher education","East Germany","","","",""
"No","2001","in school","West Germany","4","","",""
"No","2001","in school","East Germany","3","","",""
"No","2001","inadequately","West Germany","15","","",""
"No","2001","inadequately","East Germany","","","",""
"No","2001","general elemantary","West Germany","183","1","1","1"
"No","2001","general elemantary","East Germany","32","1","1","1"
"No","2001","middle vocational","West Germany","969","1","1","1"
"No","2001","middle vocational","East Germany","372","1","1","1"
"No","2001","vocational + Abi","West Germany","126","1","1","1"
"No","2001","vocational + Abi","East Germany","18","","",""
"No","2001","higher vocational","West Germany","153","1","1","1"
"No","2001","higher vocational","East Germany","61","1","1","1"
"No","2001","higher education","West Germany","269","1","1","1"
"No","2001","higher education","East Germany","148","1","1","1"
"Yes","2002","in school","West Germany","13","","",""
"Yes","2002","in school","East Germany","1","","",""
"Yes","2002","inadequately","West Germany","18","","",""
"Yes","2002","inadequately","East Germany","","","",""
"Yes","2002","general elemantary","West Germany","239","0.548869748581808","0.499735354717362","0.598004142446254"
"Yes","2002","general elemantary","East Germany","37","0.604580413238203","0.490850412446797","0.718310414029608"
"Yes","2002","middle vocational","West Germany","1993","0.675811152145523","0.658865749435412","0.692756554855635"
"Yes","2002","middle vocational","East Germany","634","0.629160289282176","0.599282049853637","0.659038528710714"
"Yes","2002","vocational + Abi","West Germany","323","0.7154682100143","0.673594520302398","0.757341899726202"
"Yes","2002","vocational + Abi","East Germany","47","0.626063548489325","0.509333078611661","0.74279401836699"
"Yes","2002","higher vocational","West Germany","437","0.735924125478188","0.700047219884708","0.771801031071667"
"Yes","2002","higher vocational","East Germany","111","0.647917683771705","0.57590868677473","0.71992668076868"
"Yes","2002","higher education","West Germany","1243","0.800860284924506","0.781036692828123","0.820683877020889"
"Yes","2002","higher education","East Germany","498","0.747406598500019","0.713900697841507","0.780912499158532"
"No","2002","in school","West Germany","8","","",""
"No","2002","in school","East Germany","4","","",""
"No","2002","inadequately","West Germany","10","","",""
"No","2002","inadequately","East Germany","1","","",""
"No","2002","general elemantary","West Germany","155","0.451130251418192","0.401995857553746","0.500264645282638"
"No","2002","general elemantary","East Germany","34","0.395419586761798","0.281689585970392","0.509149587553203"
"No","2002","middle vocational","West Germany","938","0.324188847854477","0.307243445144365","0.341134250564588"
"No","2002","middle vocational","East Germany","370","0.370839710717824","0.340961471289286","0.400717950146363"
"No","2002","vocational + Abi","West Germany","123","0.2845317899857","0.242658100273798","0.326405479697602"
"No","2002","vocational + Abi","East Germany","19","","",""
"No","2002","higher vocational","West Germany","143","0.264075874521812","0.228198968928333","0.299952780115292"
"No","2002","higher vocational","East Germany","58","0.352082316228295","0.28007331923132","0.42409131322527"
"No","2002","higher education","West Germany","316","0.199139715075494","0.179316122979111","0.218963307171877"
"No","2002","higher education","East Germany","148","0.252593401499981","0.219087500841468","0.286099302158493"
"Yes","2003","in school","West Germany","2","","",""
"Yes","2003","in school","East Germany","","","",""
"Yes","2003","inadequately","West Germany","18","","",""
"Yes","2003","inadequately","East Germany","1","","",""
"Yes","2003","general elemantary","West Germany","231","0.600518843575119","0.551077657026501","0.649960030123738"
"Yes","2003","general elemantary","East Germany","41","0.548901293926519","0.434752959507337","0.663049628345702"
"Yes","2003","middle vocational","West Germany","1895","0.670578104887035","0.653292290861422","0.687863918912648"
"Yes","2003","middle vocational","East Germany","613","0.645633676035465","0.614825789446761","0.676441562624169"
"Yes","2003","vocational + Abi","West Germany","327","0.689598698773296","0.64699385537941","0.732203542167183"
"Yes","2003","vocational + Abi","East Germany","47","0.745041097106159","0.642204250436005","0.847877943776312"
"Yes","2003","higher vocational","West Germany","426","0.768134853867405","0.733087360317344","0.803182347417466"
"Yes","2003","higher vocational","East Germany","104","0.6173324055532","0.544483938655589","0.690180872450811"
"Yes","2003","higher education","West Germany","1114","0.803338837960469","0.782672680482542","0.824004995438396"
"Yes","2003","higher education","East Germany","464","0.747825686637511","0.713335935762909","0.782315437512113"
"No","2003","in school","West Germany","1","","",""
"No","2003","in school","East Germany","1","","",""
"No","2003","inadequately","West Germany","11","","",""
"No","2003","inadequately","East Germany","","","",""
"No","2003","general elemantary","West Germany","146","0.399481156424881","0.350039969876262","0.448922342973499"
"No","2003","general elemantary","East Germany","32","0.451098706073481","0.336950371654298","0.565247040492663"
"No","2003","middle vocational","West Germany","945","0.329421895112965","0.312136081087352","0.346707709138578"
"No","2003","middle vocational","East Germany","313","0.354366323964535","0.323558437375831","0.385174210553239"
"No","2003","vocational + Abi","West Germany","126","0.310401301226704","0.267796457832817","0.35300614462059"
"No","2003","vocational + Abi","East Germany","22","","",""
"No","2003","higher vocational","West Germany","131","0.231865146132595","0.196817652582534","0.266912639682656"
"No","2003","higher vocational","East Germany","67","0.3826675944468","0.309819127549189","0.455516061344411"
"No","2003","higher education","West Germany","307","0.196661162039531","0.175995004561604","0.217327319517458"
"No","2003","higher education","East Germany","145","0.252174313362489","0.217684562487887","0.286664064237092"
"Yes","2004","in school","West Germany","4","","",""
"Yes","2004","in school","East Germany","","","",""
"Yes","2004","inadequately","West Germany","16","","",""
"Yes","2004","inadequately","East Germany","","","",""
"Yes","2004","general elemantary","West Germany","232","0.597124330502286","0.547548263242228","0.646700397762344"
"Yes","2004","general elemantary","East Germany","32","0.575525764283477","0.447213338407826","0.703838190159127"
"Yes","2004","middle vocational","West Germany","1854","0.675059995334401","0.657258286247671","0.692861704421131"
"Yes","2004","middle vocational","East Germany","594","0.659331776880596","0.628556163404536","0.690107390356655"
"Yes","2004","vocational + Abi","West Germany","308","0.741734575992425","0.700461806350281","0.783007345634568"
"Yes","2004","vocational + Abi","East Germany","46","0.455686339084981","0.342214040381922","0.56915863778804"
"Yes","2004","higher vocational","West Germany","419","0.798143803452276","0.764537601891901","0.831750005012651"
"Yes","2004","higher vocational","East Germany","127","0.736770958339539","0.670571142541084","0.802970774137993"
"Yes","2004","higher education","West Germany","1063","0.750396518104239","0.727742522652534","0.773050513555943"
"Yes","2004","higher education","East Germany","452","0.762187500406115","0.727834052236172","0.796540948576058"
"No","2004","in school","West Germany","2","","",""
"No","2004","in school","East Germany","1","","",""
"No","2004","inadequately","West Germany","7","","",""
"No","2004","inadequately","East Germany","1","","",""
"No","2004","general elemantary","West Germany","144","0.402875669497714","0.353299602237656","0.452451736757772"
"No","2004","general elemantary","East Germany","25","","",""
"No","2004","middle vocational","West Germany","805","0.324940004665599","0.307138295578869","0.342741713752329"
"No","2004","middle vocational","East Germany","317","0.340668223119404","0.309892609643345","0.371443836595464"
"No","2004","vocational + Abi","West Germany","124","0.258265424007575","0.216992654365432","0.299538193649719"
"No","2004","vocational + Abi","East Germany","28","","",""
"No","2004","higher vocational","West Germany","129","0.201856196547724","0.168249994987349","0.235462398108098"
"No","2004","higher vocational","East Germany","43","0.263229041660461","0.197029225862007","0.329428857458916"
"No","2004","higher education","West Germany","339","0.249603481895761","0.226949486444056","0.272257477347466"
"No","2004","higher education","East Germany","138","0.237812499593885","0.203459051423942","0.272165947763828"
"Yes","2005","in school","West Germany","1","","",""
"Yes","2005","in school","East Germany","1","","",""
"Yes","2005","inadequately","West Germany","18","","",""
"Yes","2005","inadequately","East Germany","2","","",""
"Yes","2005","general elemantary","West Germany","221","0.664276717245166","0.614731627039119","0.713821807451213"
