"plb0196_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Yes","1986","16-34 y.","","","",""
"Yes","1986","35-65 y.","","","",""
"Yes","1986","66 and older","","","",""
"No","1986","16-34 y.","1816","1","1","1"
"No","1986","35-65 y.","2485","1","1","1"
"No","1986","66 and older","29","","",""
"Yes","1987","16-34 y.","","","",""
"Yes","1987","35-65 y.","","","",""
"Yes","1987","66 and older","","","",""
"No","1987","16-34 y.","","","",""
"No","1987","35-65 y.","","","",""
"No","1987","66 and older","","","",""
"Yes","1988","16-34 y.","","","",""
"Yes","1988","35-65 y.","","","",""
"Yes","1988","66 and older","","","",""
"No","1988","16-34 y.","1663","1","1","1"
"No","1988","35-65 y.","2333","1","1","1"
"No","1988","66 and older","31","1","1","1"
"Yes","1989","16-34 y.","","","",""
"Yes","1989","35-65 y.","","","",""
"Yes","1989","66 and older","","","",""
"No","1989","16-34 y.","1635","1","1","1"
"No","1989","35-65 y.","2189","1","1","1"
"No","1989","66 and older","32","1","1","1"
"Yes","1990","16-34 y.","","","",""
"Yes","1990","35-65 y.","","","",""
"Yes","1990","66 and older","","","",""
"No","1990","16-34 y.","1568","1","1","1"
"No","1990","35-65 y.","2119","1","1","1"
"No","1990","66 and older","27","","",""
"Yes","1991","16-34 y.","","","",""
"Yes","1991","35-65 y.","","","",""
"Yes","1991","66 and older","","","",""
"No","1991","16-34 y.","2343","1","1","1"
"No","1991","35-65 y.","3282","1","1","1"
"No","1991","66 and older","36","1","1","1"
"Yes","1992","16-34 y.","","","",""
"Yes","1992","35-65 y.","","","",""
"Yes","1992","66 and older","","","",""
"No","1992","16-34 y.","2026","1","1","1"
"No","1992","35-65 y.","2988","1","1","1"
"No","1992","66 and older","24","","",""
"Yes","1993","16-34 y.","","","",""
"Yes","1993","35-65 y.","","","",""
"Yes","1993","66 and older","","","",""
"No","1993","16-34 y.","2068","1","1","1"
"No","1993","35-65 y.","2869","1","1","1"
"No","1993","66 and older","26","","",""
"Yes","1994","16-34 y.","","","",""
"Yes","1994","35-65 y.","","","",""
"Yes","1994","66 and older","","","",""
"No","1994","16-34 y.","1869","1","1","1"
"No","1994","35-65 y.","2710","1","1","1"
"No","1994","66 and older","25","","",""
"Yes","1995","16-34 y.","","","",""
"Yes","1995","35-65 y.","","","",""
"Yes","1995","66 and older","","","",""
"No","1995","16-34 y.","1828","1","1","1"
"No","1995","35-65 y.","2741","1","1","1"
"No","1995","66 and older","31","1","1","1"
"Yes","1996","16-34 y.","","","",""
"Yes","1996","35-65 y.","","","",""
"Yes","1996","66 and older","","","",""
"No","1996","16-34 y.","1749","1","1","1"
"No","1996","35-65 y.","2680","1","1","1"
"No","1996","66 and older","36","1","1","1"
"Yes","1997","16-34 y.","","","",""
"Yes","1997","35-65 y.","","","",""
"Yes","1997","66 and older","","","",""
"No","1997","16-34 y.","631","1","1","1"
"No","1997","35-65 y.","795","1","1","1"
"No","1997","66 and older","","","",""
"Yes","1998","16-34 y.","","","",""
"Yes","1998","35-65 y.","","","",""
"Yes","1998","66 and older","","","",""
"No","1998","16-34 y.","609","1","1","1"
"No","1998","35-65 y.","894","1","1","1"
"No","1998","66 and older","2","","",""
"Yes","1999","16-34 y.","","","",""
"Yes","1999","35-65 y.","","","",""
"Yes","1999","66 and older","","","",""
"No","1999","16-34 y.","565","1","1","1"
"No","1999","35-65 y.","845","1","1","1"
"No","1999","66 and older","3","","",""
"Yes","2000","16-34 y.","","","",""
"Yes","2000","35-65 y.","","","",""
"Yes","2000","66 and older","","","",""
"No","2000","16-34 y.","846","1","1","1"
"No","2000","35-65 y.","1674","1","1","1"
"No","2000","66 and older","2","","",""
"Yes","2001","16-34 y.","","","",""
"Yes","2001","35-65 y.","","","",""
"Yes","2001","66 and older","","","",""
"No","2001","16-34 y.","796","1","1","1"
"No","2001","35-65 y.","1558","1","1","1"
"No","2001","66 and older","5","","",""
"Yes","2002","16-34 y.","1664","0.70825857356478","0.690015463826304","0.726501683303256"
"Yes","2002","35-65 y.","3942","0.685158366867362","0.672949051408103","0.697367682326621"
"Yes","2002","66 and older","6","","",""
"No","2002","16-34 y.","721","0.29174142643522","0.273498316696744","0.309984536173696"
"No","2002","35-65 y.","1617","0.314841633132638","0.302632317673379","0.327050948591897"
"No","2002","66 and older","3","","",""
"Yes","2003","16-34 y.","1569","0.698149961958559","0.679339907289833","0.716960016627286"
"Yes","2003","35-65 y.","3744","0.697055990389475","0.684665693778602","0.709446287000348"
"Yes","2003","66 and older","4","","",""
"No","2003","16-34 y.","719","0.301850038041441","0.283039983372715","0.320660092710167"
"No","2003","35-65 y.","1540","0.302944009610525","0.290553712999652","0.315334306221398"
"No","2003","66 and older","4","","",""
"Yes","2004","16-34 y.","1443","0.688900257082071","0.669033867924715","0.708766646239427"
"Yes","2004","35-65 y.","3732","0.705308577578448","0.692918386773771","0.717698768383124"
"Yes","2004","66 and older","7","","",""
