"plb0196_h","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1986","in school","","","",""
"Yes","1986","inadequately","","","",""
"Yes","1986","general elemantary","","","",""
"Yes","1986","middle vocational","","","",""
"Yes","1986","vocational + Abi","","","",""
"Yes","1986","higher vocational","","","",""
"Yes","1986","higher education","","","",""
"No","1986","in school","4","","",""
"No","1986","inadequately","359","1","1","1"
"No","1986","general elemantary","1109","1","1","1"
"No","1986","middle vocational","2124","1","1","1"
"No","1986","vocational + Abi","118","1","1","1"
"No","1986","higher vocational","233","1","1","1"
"No","1986","higher education","324","1","1","1"
"Yes","1987","in school","","","",""
"Yes","1987","inadequately","","","",""
"Yes","1987","general elemantary","","","",""
"Yes","1987","middle vocational","","","",""
"Yes","1987","vocational + Abi","","","",""
"Yes","1987","higher vocational","","","",""
"Yes","1987","higher education","","","",""
"No","1987","in school","","","",""
"No","1987","inadequately","","","",""
"No","1987","general elemantary","","","",""
"No","1987","middle vocational","","","",""
"No","1987","vocational + Abi","","","",""
"No","1987","higher vocational","","","",""
"No","1987","higher education","","","",""
"Yes","1988","in school","","","",""
"Yes","1988","inadequately","","","",""
"Yes","1988","general elemantary","","","",""
"Yes","1988","middle vocational","","","",""
"Yes","1988","vocational + Abi","","","",""
"Yes","1988","higher vocational","","","",""
"Yes","1988","higher education","","","",""
"No","1988","in school","5","","",""
"No","1988","inadequately","295","1","1","1"
"No","1988","general elemantary","1054","1","1","1"
"No","1988","middle vocational","1971","1","1","1"
"No","1988","vocational + Abi","110","1","1","1"
"No","1988","higher vocational","213","1","1","1"
"No","1988","higher education","310","1","1","1"
"Yes","1989","in school","","","",""
"Yes","1989","inadequately","","","",""
"Yes","1989","general elemantary","","","",""
"Yes","1989","middle vocational","","","",""
"Yes","1989","vocational + Abi","","","",""
"Yes","1989","higher vocational","","","",""
"Yes","1989","higher education","","","",""
"No","1989","in school","10","","",""
"No","1989","inadequately","261","1","1","1"
"No","1989","general elemantary","1018","1","1","1"
