"plb0196_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1986","16-34 y.","West Germany","1816","1","1","1","2"
"No","1986","16-34 y.","East Germany","","","","","2"
"No","1986","35-65 y.","East Germany","","","","","2"
"No","1986","35-65 y.","West Germany","2485","1","1","1","2"
"No","1986","66 and older","West Germany","29","","","","2"
"No","1986","66 and older","East Germany","","","","","2"
"Yes","1986","16-34 y.","West Germany","","","","","1"
"Yes","1986","16-34 y.","East Germany","","","","","1"
"Yes","1986","35-65 y.","West Germany","","","","","1"
"Yes","1986","35-65 y.","East Germany","","","","","1"
"Yes","1986","66 and older","West Germany","","","","","1"
"Yes","1986","66 and older","East Germany","","","","","1"
"No","1987","16-34 y.","West Germany","","","","","2"
"No","1987","16-34 y.","East Germany","","","","","2"
"No","1987","35-65 y.","East Germany","","","","","2"
"No","1987","35-65 y.","West Germany","","","","","2"
"No","1987","66 and older","West Germany","","","","","2"
"No","1987","66 and older","East Germany","","","","","2"
"Yes","1987","16-34 y.","West Germany","","","","","1"
"Yes","1987","16-34 y.","East Germany","","","","","1"
"Yes","1987","35-65 y.","West Germany","","","","","1"
"Yes","1987","35-65 y.","East Germany","","","","","1"
"Yes","1987","66 and older","West Germany","","","","","1"
"Yes","1987","66 and older","East Germany","","","","","1"
"No","1988","16-34 y.","West Germany","1663","1","1","1","2"
"No","1988","16-34 y.","East Germany","","","","","2"
"No","1988","35-65 y.","West Germany","2333","1","1","1","2"
"No","1988","35-65 y.","East Germany","","","","","2"
"No","1988","66 and older","West Germany","31","1","1","1","2"
"No","1988","66 and older","East Germany","","","","","2"
"Yes","1988","16-34 y.","West Germany","","","","","1"
"Yes","1988","16-34 y.","East Germany","","","","","1"
"Yes","1988","35-65 y.","West Germany","","","","","1"
"Yes","1988","35-65 y.","East Germany","","","","","1"
"Yes","1988","66 and older","West Germany","","","","","1"
"Yes","1988","66 and older","East Germany","","","","","1"
"No","1989","16-34 y.","West Germany","1635","1","1","1","2"
"No","1989","16-34 y.","East Germany","","","","","2"
"No","1989","35-65 y.","West Germany","2189","1","1","1","2"
"No","1989","35-65 y.","East Germany","","","","","2"
"No","1989","66 and older","West Germany","32","1","1","1","2"
"No","1989","66 and older","East Germany","","","","","2"
"Yes","1989","16-34 y.","West Germany","","","","","1"
"Yes","1989","16-34 y.","East Germany","","","","","1"
"Yes","1989","35-65 y.","West Germany","","","","","1"
"Yes","1989","35-65 y.","East Germany","","","","","1"
"Yes","1989","66 and older","West Germany","","","","","1"
"Yes","1989","66 and older","East Germany","","","","","1"
"No","1990","16-34 y.","West Germany","1568","1","1","1","2"
"No","1990","16-34 y.","East Germany","","","","","2"
"No","1990","35-65 y.","West Germany","2119","1","1","1","2"
"No","1990","35-65 y.","East Germany","","","","","2"
"No","1990","66 and older","West Germany","27","","","","2"
"No","1990","66 and older","East Germany","","","","","2"
"Yes","1990","16-34 y.","West Germany","","","","","1"
"Yes","1990","16-34 y.","East Germany","","","","","1"
"Yes","1990","35-65 y.","West Germany","","","","","1"
"Yes","1990","35-65 y.","East Germany","","","","","1"
"Yes","1990","66 and older","West Germany","","","","","1"
"Yes","1990","66 and older","East Germany","","","","","1"
"No","1991","16-34 y.","West Germany","1544","1","1","1","2"
"No","1991","16-34 y.","East Germany","799","1","1","1","2"
"No","1991","35-65 y.","West Germany","2112","1","1","1","2"
"No","1991","35-65 y.","East Germany","1170","1","1","1","2"
"No","1991","66 and older","West Germany","30","1","1","1","2"
"No","1991","66 and older","East Germany","6","","","","2"
"Yes","1991","16-34 y.","West Germany","","","","","1"
"Yes","1991","16-34 y.","East Germany","","","","","1"
"Yes","1991","35-65 y.","West Germany","","","","","1"
"Yes","1991","35-65 y.","East Germany","","","","","1"
"Yes","1991","66 and older","West Germany","","","","","1"
"Yes","1991","66 and older","East Germany","","","","","1"
"No","1992","16-34 y.","West Germany","1459","1","1","1","2"
"No","1992","16-34 y.","East Germany","567","1","1","1","2"
"No","1992","35-65 y.","West Germany","2124","1","1","1","2"
"No","1992","35-65 y.","East Germany","864","1","1","1","2"
"No","1992","66 and older","West Germany","20","","","","2"
"No","1992","66 and older","East Germany","4","","","","2"
"Yes","1992","16-34 y.","West Germany","","","","","1"
"Yes","1992","16-34 y.","East Germany","","","","","1"
"Yes","1992","35-65 y.","West Germany","","","","","1"
"Yes","1992","35-65 y.","East Germany","","","","","1"
"Yes","1992","66 and older","West Germany","","","","","1"
"Yes","1992","66 and older","East Germany","","","","","1"
"No","1993","16-34 y.","West Germany","1536","1","1","1","2"
"No","1993","16-34 y.","East Germany","532","1","1","1","2"
"No","1993","35-65 y.","West Germany","2146","1","1","1","2"
"No","1993","35-65 y.","East Germany","723","1","1","1","2"
"No","1993","66 and older","West Germany","23","","","","2"
"No","1993","66 and older","East Germany","3","","","","2"
"Yes","1993","16-34 y.","West Germany","","","","","1"
"Yes","1993","16-34 y.","East Germany","","","","","1"
"Yes","1993","35-65 y.","West Germany","","","","","1"
"Yes","1993","35-65 y.","East Germany","","","","","1"
"Yes","1993","66 and older","West Germany","","","","","1"
"Yes","1993","66 and older","East Germany","","","","","1"
"No","1994","16-34 y.","West Germany","1402","1","1","1","2"
"No","1994","16-34 y.","East Germany","467","1","1","1","2"
"No","1994","35-65 y.","West Germany","2001","1","1","1","2"
"No","1994","35-65 y.","East Germany","709","1","1","1","2"
"No","1994","66 and older","West Germany","24","","","","2"
"No","1994","66 and older","East Germany","1","","","","2"
"Yes","1994","16-34 y.","West Germany","","","","","1"
"Yes","1994","16-34 y.","East Germany","","","","","1"
"Yes","1994","35-65 y.","West Germany","","","","","1"
"Yes","1994","35-65 y.","East Germany","","","","","1"
"Yes","1994","66 and older","West Germany","","","","","1"
"Yes","1994","66 and older","East Germany","","","","","1"
"No","1995","16-34 y.","West Germany","1375","1","1","1","2"
"No","1995","16-34 y.","East Germany","453","1","1","1","2"
"No","1995","35-65 y.","West Germany","2010","1","1","1","2"
"No","1995","35-65 y.","East Germany","731","1","1","1","2"
"No","1995","66 and older","West Germany","30","1","1","1","2"
"No","1995","66 and older","East Germany","1","","","","2"
"Yes","1995","16-34 y.","West Germany","","","","","1"
"Yes","1995","16-34 y.","East Germany","","","","","1"
"Yes","1995","35-65 y.","West Germany","","","","","1"
"Yes","1995","35-65 y.","East Germany","","","","","1"
"Yes","1995","66 and older","West Germany","","","","","1"
"Yes","1995","66 and older","East Germany","","","","","1"
"No","1996","16-34 y.","West Germany","1310","1","1","1","2"
"No","1996","16-34 y.","East Germany","439","1","1","1","2"
"No","1996","35-65 y.","West Germany","1959","1","1","1","2"
"No","1996","35-65 y.","East Germany","721","1","1","1","2"
"No","1996","66 and older","West Germany","34","1","1","1","2"
"No","1996","66 and older","East Germany","2","","","","2"
"Yes","1996","16-34 y.","West Germany","","","","","1"
"Yes","1996","16-34 y.","East Germany","","","","","1"
"Yes","1996","35-65 y.","West Germany","","","","","1"
"Yes","1996","35-65 y.","East Germany","","","","","1"
"Yes","1996","66 and older","West Germany","","","","","1"
"Yes","1996","66 and older","East Germany","","","","","1"
"No","1997","16-34 y.","West Germany","466","1","1","1","2"
"No","1997","16-34 y.","East Germany","165","1","1","1","2"
"No","1997","35-65 y.","West Germany","519","1","1","1","2"
"No","1997","35-65 y.","East Germany","276","1","1","1","2"
"No","1997","66 and older","West Germany","","","","","2"
"No","1997","66 and older","East Germany","","","","","2"
"Yes","1997","16-34 y.","West Germany","","","","","1"
"Yes","1997","16-34 y.","East Germany","","","","","1"
"Yes","1997","35-65 y.","West Germany","","","","","1"
"Yes","1997","35-65 y.","East Germany","","","","","1"
"Yes","1997","66 and older","West Germany","","","","","1"
"Yes","1997","66 and older","East Germany","","","","","1"
"No","1998","16-34 y.","West Germany","412","1","1","1","2"
"No","1998","16-34 y.","East Germany","197","1","1","1","2"
"No","1998","35-65 y.","West Germany","600","1","1","1","2"
"No","1998","35-65 y.","East Germany","294","1","1","1","2"
"No","1998","66 and older","West Germany","2","","","","2"
"No","1998","66 and older","East Germany","","","","","2"
"Yes","1998","16-34 y.","West Germany","","","","","1"
"Yes","1998","16-34 y.","East Germany","","","","","1"
"Yes","1998","35-65 y.","West Germany","","","","","1"
"Yes","1998","35-65 y.","East Germany","","","","","1"
"Yes","1998","66 and older","West Germany","","","","","1"
"Yes","1998","66 and older","East Germany","","","","","1"
"No","1999","16-34 y.","West Germany","382","1","1","1","2"
"No","1999","16-34 y.","East Germany","183","1","1","1","2"
"No","1999","66 and older","West Germany","2","","","","2"
"No","1999","35-65 y.","West Germany","563","1","1","1","2"
"No","1999","35-65 y.","East Germany","282","1","1","1","2"
"No","1999","66 and older","East Germany","1","","","","2"
"Yes","1999","16-34 y.","West Germany","","","","","1"
"Yes","1999","16-34 y.","East Germany","","","","","1"
"Yes","1999","35-65 y.","West Germany","","","","","1"
"Yes","1999","35-65 y.","East Germany","","","","","1"
"Yes","1999","66 and older","West Germany","","","","","1"
"Yes","1999","66 and older","East Germany","","","","","1"
"No","2000","16-34 y.","West Germany","614","1","1","1","2"
"No","2000","16-34 y.","East Germany","232","1","1","1","2"
"No","2000","66 and older","West Germany","2","","","","2"
"No","2000","35-65 y.","West Germany","1225","1","1","1","2"
"No","2000","35-65 y.","East Germany","449","1","1","1","2"
"No","2000","66 and older","East Germany","","","","","2"
"Yes","2000","16-34 y.","West Germany","","","","","1"
"Yes","2000","35-65 y.","West Germany","","","","","1"
"Yes","2000","16-34 y.","East Germany","","","","","1"
"Yes","2000","35-65 y.","East Germany","","","","","1"
"Yes","2000","66 and older","West Germany","","","","","1"
"Yes","2000","66 and older","East Germany","","","","","1"
"No","2001","16-34 y.","West Germany","","","","","2"
"No","2001","16-34 y.","East Germany","","","","","2"
"No","2001","66 and older","West Germany","","","","","2"
"No","2001","35-65 y.","West Germany","","","","","2"
"No","2001","35-65 y.","East Germany","","","","","2"
"No","2001","66 and older","East Germany","","","","","2"
"Yes","2001","16-34 y.","West Germany","","","","","1"
"Yes","2001","35-65 y.","West Germany","","","","","1"
"Yes","2001","16-34 y.","East Germany","","","","","1"
"Yes","2001","35-65 y.","East Germany","","","","","1"
"Yes","2001","66 and older","West Germany","","","","","1"
"Yes","2001","66 and older","East Germany","","","","","1"
"No","2002","16-34 y.","West Germany","510","0.282433883038492","0.261532087201764","0.30333567887522","2"
"No","2002","16-34 y.","East Germany","211","0.331925338081196","0.294339681753968","0.369510994408424","2"
"No","2002","66 and older","West Germany","2","","","","2"
"No","2002","35-65 y.","West Germany","1190","0.307366284196424","0.293405485055275","0.321327083337573","2"
"No","2002","35-65 y.","East Germany","427","0.347480992264778","0.322201853542038","0.372760130987517","2"
"No","2002","66 and older","East Germany","1","","","","2"
"Yes","2002","16-34 y.","West Germany","1272","0.717566116961508","0.69666432112478","0.738467912798236","1"
"Yes","2002","35-65 y.","West Germany","3006","0.692633715803576","0.678672916662427","0.706594514944725","1"
"Yes","2002","16-34 y.","East Germany","392","0.668074661918804","0.630489005591576","0.705660318246032","1"
"Yes","2002","35-65 y.","East Germany","936","0.652519007735222","0.627239869012483","0.677798146457962","1"
"Yes","2002","66 and older","West Germany","5","","","","1"
"Yes","2002","66 and older","East Germany","1","","","","1"
"No","2003","16-34 y.","West Germany","533","0.289553041694152","0.268143402144728","0.310962681243577","2"
"No","2003","16-34 y.","East Germany","186","0.361566401560547","0.321914826828218","0.401217976292877","2"
"No","2003","35-65 y.","West Germany","1142","0.299416265029349","0.285196197866242","0.313636332192456","2"
"No","2003","66 and older","West Germany","4","","","","2"
"No","2003","35-65 y.","East Germany","398","0.318233719374616","0.292903767090331","0.343563671658902","2"
"No","2003","66 and older","East Germany","","","","","2"
"Yes","2003","16-34 y.","West Germany","1191","0.710446958305848","0.689037318756423","0.731856597855272","1"
"Yes","2003","35-65 y.","West Germany","2843","0.700583734970651","0.686363667807544","0.714803802133758","1"
"Yes","2003","35-65 y.","East Germany","901","0.681766280625384","0.656436328341098","0.707096232909669","1"
"Yes","2003","16-34 y.","East Germany","378","0.638433598439453","0.598782023707123","0.678085173171782","1"
"Yes","2003","66 and older","West Germany","4","","","","1"
"Yes","2003","66 and older","East Germany","","","","","1"
"No","2004","16-34 y.","West Germany","450","0.299389435905037","0.276625913192629","0.322152958617444","2"
"No","2004","16-34 y.","East Germany","193","0.366677593574878","0.325689714771733","0.407665472378023","2"
"No","2004","35-65 y.","West Germany","1108","0.294453774894616","0.280192613622118","0.308714936167113","2"
"No","2004","66 and older","West Germany","3","","","","2"
"No","2004","35-65 y.","East Germany","361","0.295789935263346","0.270757940893161","0.32082192963353","2"
"No","2004","66 and older","East Germany","1","","","","2"
"Yes","2004","16-34 y.","West Germany","1105","0.700610564094963","0.677847041382556","0.723374086807371","1"
"Yes","2004","35-65 y.","West Germany","2816","0.705546225105384","0.691285063832887","0.719807386377882","1"
"Yes","2004","35-65 y.","East Germany","916","0.704210064736654","0.67917807036647","0.729242059106839","1"
"Yes","2004","16-34 y.","East Germany","338","0.633322406425122","0.592334527621977","0.674310285228267","1"
"Yes","2004","66 and older","West Germany","6","","","","1"
"Yes","2004","66 and older","East Germany","1","","","","1"
"No","2005","16-34 y.","West Germany","403","0.287622122679182","0.264291286719094","0.31095295863927","2"
"No","2005","16-34 y.","East Germany","181","0.395135432714185","0.352411998159699","0.437858867268671","2"
"No","2005","35-65 y.","West Germany","1012","0.295668429762217","0.280802746993864","0.31053411253057","2"
"No","2005","66 and older","West Germany","2","","","","2"
"No","2005","35-65 y.","East Germany","357","0.309812072807446","0.283517100452198","0.336107045162694","2"
