"plb0196_h","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Full Time","lower secondary degree","","","",""
"Yes","1986","Full Time","secondary school degree","","","",""
"Yes","1986","Full Time","college entrance qualification","","","",""
"Yes","1986","Full Time","Other degree","","","",""
"Yes","1986","Full Time","no degree/no degree yet","","","",""
"Yes","1986","Part Time","lower secondary degree","","","",""
"Yes","1986","Part Time","secondary school degree","","","",""
"Yes","1986","Part Time","college entrance qualification","","","",""
"Yes","1986","Part Time","Other degree","","","",""
"Yes","1986","Part Time","no degree/no degree yet","","","",""
"Yes","1986","Not Working","lower secondary degree","","","",""
"Yes","1986","Not Working","secondary school degree","","","",""
"Yes","1986","Not Working","college entrance qualification","","","",""
"Yes","1986","Not Working","Other degree","","","",""
"Yes","1986","Not Working","no degree/no degree yet","","","",""
"No","1986","Full Time","lower secondary degree","1384","1","1","1"
"No","1986","Full Time","secondary school degree","499","1","1","1"
"No","1986","Full Time","college entrance qualification","285","1","1","1"
"No","1986","Full Time","Other degree","545","1","1","1"
"No","1986","Full Time","no degree/no degree yet","315","1","1","1"
"No","1986","Part Time","lower secondary degree","558","1","1","1"
"No","1986","Part Time","secondary school degree","227","1","1","1"
"No","1986","Part Time","college entrance qualification","161","1","1","1"
"No","1986","Part Time","Other degree","99","1","1","1"
"No","1986","Part Time","no degree/no degree yet","68","1","1","1"
"No","1986","Not Working","lower secondary degree","65","1","1","1"
"No","1986","Not Working","secondary school degree","17","","",""
"No","1986","Not Working","college entrance qualification","16","","",""
"No","1986","Not Working","Other degree","7","","",""
"No","1986","Not Working","no degree/no degree yet","12","","",""
"Yes","1987","Full Time","lower secondary degree","","","",""
"Yes","1987","Full Time","secondary school degree","","","",""
"Yes","1987","Full Time","college entrance qualification","","","",""
"Yes","1987","Full Time","Other degree","","","",""
"Yes","1987","Full Time","no degree/no degree yet","","","",""
"Yes","1987","Part Time","lower secondary degree","","","",""
"Yes","1987","Part Time","secondary school degree","","","",""
"Yes","1987","Part Time","college entrance qualification","","","",""
"Yes","1987","Part Time","Other degree","","","",""
"Yes","1987","Part Time","no degree/no degree yet","","","",""
"Yes","1987","Not Working","lower secondary degree","","","",""
"Yes","1987","Not Working","secondary school degree","","","",""
"Yes","1987","Not Working","college entrance qualification","","","",""
"Yes","1987","Not Working","Other degree","","","",""
"Yes","1987","Not Working","no degree/no degree yet","","","",""
"No","1987","Full Time","lower secondary degree","","","",""
"No","1987","Full Time","secondary school degree","","","",""
