"plb0196_h","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","1986","16-34 y.","Full Time","","","",""
"Yes","1986","16-34 y.","Part Time","","","",""
"Yes","1986","16-34 y.","Not Working","","","",""
"Yes","1986","35-65 y.","Full Time","","","",""
"Yes","1986","35-65 y.","Part Time","","","",""
"Yes","1986","35-65 y.","Not Working","","","",""
"Yes","1986","66 and older","Full Time","","","",""
"Yes","1986","66 and older","Part Time","","","",""
"Yes","1986","66 and older","Not Working","","","",""
"No","1986","16-34 y.","Full Time","1222","1","1","1"
"No","1986","16-34 y.","Part Time","518","1","1","1"
"No","1986","16-34 y.","Not Working","76","1","1","1"
"No","1986","35-65 y.","Full Time","1846","1","1","1"
"No","1986","35-65 y.","Part Time","598","1","1","1"
"No","1986","35-65 y.","Not Working","41","1","1","1"
"No","1986","66 and older","Full Time","10","","",""
"No","1986","66 and older","Part Time","16","","",""
"No","1986","66 and older","Not Working","3","","",""
"Yes","1987","16-34 y.","Full Time","","","",""
"Yes","1987","16-34 y.","Part Time","","","",""
"Yes","1987","16-34 y.","Not Working","","","",""
"Yes","1987","35-65 y.","Full Time","","","",""
"Yes","1987","35-65 y.","Part Time","","","",""
"Yes","1987","35-65 y.","Not Working","","","",""
"Yes","1987","66 and older","Full Time","","","",""
"Yes","1987","66 and older","Part Time","","","",""
"Yes","1987","66 and older","Not Working","","","",""
"No","1987","16-34 y.","Full Time","","","",""
"No","1987","16-34 y.","Part Time","","","",""
"No","1987","16-34 y.","Not Working","","","",""
"No","1987","35-65 y.","Full Time","","","",""
"No","1987","35-65 y.","Part Time","","","",""
"No","1987","35-65 y.","Not Working","","","",""
"No","1987","66 and older","Full Time","","","",""
"No","1987","66 and older","Part Time","","","",""
"No","1987","66 and older","Not Working","","","",""
"Yes","1988","16-34 y.","Full Time","","","",""
"Yes","1988","16-34 y.","Part Time","","","",""
"Yes","1988","16-34 y.","Not Working","","","",""
"Yes","1988","35-65 y.","Full Time","","","",""
"Yes","1988","35-65 y.","Part Time","","","",""
"Yes","1988","35-65 y.","Not Working","","","",""
"Yes","1988","66 and older","Full Time","","","",""
"Yes","1988","66 and older","Part Time","","","",""
"Yes","1988","66 and older","Not Working","","","",""
"No","1988","16-34 y.","Full Time","1156","1","1","1"
"No","1988","16-34 y.","Part Time","448","1","1","1"
"No","1988","16-34 y.","Not Working","59","1","1","1"
"No","1988","35-65 y.","Full Time","1715","1","1","1"
"No","1988","35-65 y.","Part Time","591","1","1","1"
"No","1988","35-65 y.","Not Working","27","","",""
"No","1988","66 and older","Full Time","11","","",""
"No","1988","66 and older","Part Time","20","","",""
"No","1988","66 and older","Not Working","","","",""
"Yes","1989","16-34 y.","Full Time","","","",""
"Yes","1989","16-34 y.","Part Time","","","",""
"Yes","1989","16-34 y.","Not Working","","","",""
"Yes","1989","35-65 y.","Full Time","","","",""
"Yes","1989","35-65 y.","Part Time","","","",""
"Yes","1989","35-65 y.","Not Working","","","",""
"Yes","1989","66 and older","Full Time","","","",""
"Yes","1989","66 and older","Part Time","","","",""
"Yes","1989","66 and older","Not Working","","","",""
"No","1989","16-34 y.","Full Time","1118","1","1","1"
"No","1989","16-34 y.","Part Time","455","1","1","1"
"No","1989","16-34 y.","Not Working","62","1","1","1"
"No","1989","35-65 y.","Full Time","1601","1","1","1"
"No","1989","35-65 y.","Part Time","561","1","1","1"
"No","1989","35-65 y.","Not Working","27","","",""
"No","1989","66 and older","Full Time","15","","",""
"No","1989","66 and older","Part Time","16","","",""
