"plb0196_h","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1986","(0) in school","in school","","","",""
"Yes","1986","(0) in school","inadequately","","","",""
"Yes","1986","(0) in school","general elemantary","","","",""
"Yes","1986","(0) in school","middle vocational","","","",""
"Yes","1986","(0) in school","vocational + Abi","","","",""
"Yes","1986","(0) in school","higher vocational","","","",""
"Yes","1986","(0) in school","higher education","","","",""
"Yes","1986","(1a) inadequately completed","in school","","","",""
"Yes","1986","(1a) inadequately completed","inadequately","","","",""
"Yes","1986","(1a) inadequately completed","general elemantary","","","",""
"Yes","1986","(1a) inadequately completed","middle vocational","","","",""
"Yes","1986","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","1986","(1a) inadequately completed","higher vocational","","","",""
"Yes","1986","(1a) inadequately completed","higher education","","","",""
"Yes","1986","(1b) general elementary school","in school","","","",""
"Yes","1986","(1b) general elementary school","inadequately","","","",""
"Yes","1986","(1b) general elementary school","general elemantary","","","",""
"Yes","1986","(1b) general elementary school","middle vocational","","","",""
"Yes","1986","(1b) general elementary school","vocational + Abi","","","",""
"Yes","1986","(1b) general elementary school","higher vocational","","","",""
"Yes","1986","(1b) general elementary school","higher education","","","",""
"Yes","1986","(1c) basic vocational qualification","in school","","","",""
"Yes","1986","(1c) basic vocational qualification","inadequately","","","",""
"Yes","1986","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","1986","(1c) basic vocational qualification","middle vocational","","","",""
"Yes","1986","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","1986","(1c) basic vocational qualification","higher vocational","","","",""
"Yes","1986","(1c) basic vocational qualification","higher education","","","",""
"Yes","1986","(2b) intermediate general qualification","in school","","","",""
"Yes","1986","(2b) intermediate general qualification","inadequately","","","",""
"Yes","1986","(2b) intermediate general qualification","general elemantary","","","",""
"Yes","1986","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","1986","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","1986","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","1986","(2b) intermediate general qualification","higher education","","","",""
"Yes","1986","(2a) intermediate vocational","in school","","","",""
"Yes","1986","(2a) intermediate vocational","inadequately","","","",""
"Yes","1986","(2a) intermediate vocational","general elemantary","","","",""
"Yes","1986","(2a) intermediate vocational","middle vocational","","","",""
"Yes","1986","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","1986","(2a) intermediate vocational","higher vocational","","","",""
"Yes","1986","(2a) intermediate vocational","higher education","","","",""
"Yes","1986","(2c_gen) general maturity certificate","in school","","","",""
"Yes","1986","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","1986","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","1986","(2c_gen) general maturity certificate","middle vocational","","","",""
"Yes","1986","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","1986","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","1986","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","1986","(3a) lower tertiary education","in school","","","",""
"Yes","1986","(3a) lower tertiary education","inadequately","","","",""
"Yes","1986","(3a) lower tertiary education","general elemantary","","","",""
