"plb0196_h","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1986","1-pers.-HH","Male","186","1","1","1","2"
"No","1986","1-pers.-HH","Female","143","1","1","1","2"
"No","1986","(Married) couple without C. ","Male","450","1","1","1","2"
"No","1986","Single parent ","Male","79","1","1","1","2"
"No","1986","(Married) couple without C. ","Female","412","1","1","1","2"
"No","1986","Couple + C. LE 16 ","Female","445","1","1","1","2"
"No","1986","Single parent ","Female","142","1","1","1","2"
"No","1986","Couple + C. GT 16 ","Male","531","1","1","1","2"
"No","1986","Couple + C. LE 16 ","Male","664","1","1","1","2"
"No","1986","Couple + C. GT 16 ","Female","402","1","1","1","2"
"No","1986","Couple + C. LE and GT 16","Male","391","1","1","1","2"
"No","1986","Couple + C. LE and GT 16","Female","240","1","1","1","2"
"Yes","1986","1-pers.-HH","Male","","","","","1"
"Yes","1986","1-pers.-HH","Female","","","","","1"
"Yes","1986","(Married) couple without C. ","Male","","","","","1"
"Yes","1986","(Married) couple without C. ","Female","","","","","1"
"Yes","1986","Single parent ","Male","","","","","1"
"Yes","1986","Single parent ","Female","","","","","1"
"Yes","1986","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1986","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1986","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1986","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1986","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1986","Couple + C. LE and GT 16","Female","","","","","1"
"No","1987","1-pers.-HH","Female","","","","","2"
"No","1987","1-pers.-HH","Male","","","","","2"
"No","1987","(Married) couple without C. ","Male","","","","","2"
"No","1987","(Married) couple without C. ","Female","","","","","2"
"No","1987","Single parent ","Male","","","","","2"
"No","1987","Couple + C. LE 16 ","Female","","","","","2"
"No","1987","Single parent ","Female","","","","","2"
"No","1987","Couple + C. GT 16 ","Male","","","","","2"
"No","1987","Couple + C. LE 16 ","Male","","","","","2"
"No","1987","Couple + C. GT 16 ","Female","","","","","2"
"No","1987","Couple + C. LE and GT 16","Male","","","","","2"
"No","1987","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","1987","1-pers.-HH","Male","","","","","1"
"Yes","1987","1-pers.-HH","Female","","","","","1"
"Yes","1987","(Married) couple without C. ","Male","","","","","1"
"Yes","1987","(Married) couple without C. ","Female","","","","","1"
"Yes","1987","Single parent ","Male","","","","","1"
"Yes","1987","Single parent ","Female","","","","","1"
"Yes","1987","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1987","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1987","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1987","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1987","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1987","Couple + C. LE and GT 16","Female","","","","","1"
"No","1988","1-pers.-HH","Male","187","1","1","1","2"
"No","1988","(Married) couple without C. ","Female","371","1","1","1","2"
"No","1988","1-pers.-HH","Female","143","1","1","1","2"
"No","1988","(Married) couple without C. ","Male","422","1","1","1","2"
"No","1988","Single parent ","Female","132","1","1","1","2"
"No","1988","Couple + C. LE 16 ","Female","400","1","1","1","2"
"No","1988","Single parent ","Male","82","1","1","1","2"
"No","1988","Couple + C. LE 16 ","Male","579","1","1","1","2"
"No","1988","Couple + C. GT 16 ","Male","565","1","1","1","2"
"No","1988","Couple + C. GT 16 ","Female","395","1","1","1","2"
"No","1988","Couple + C. LE and GT 16","Male","317","1","1","1","2"
"No","1988","Couple + C. LE and GT 16","Female","189","1","1","1","2"
"Yes","1988","Single parent ","Male","","","","","1"
"Yes","1988","Single parent ","Female","","","","","1"
"Yes","1988","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1988","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1988","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1988","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1988","1-pers.-HH","Male","","","","","1"
"Yes","1988","1-pers.-HH","Female","","","","","1"
"Yes","1988","(Married) couple without C. ","Male","","","","","1"
"Yes","1988","(Married) couple without C. ","Female","","","","","1"
"Yes","1988","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1988","Couple + C. LE and GT 16","Female","","","","","1"
"No","1989","1-pers.-HH","Male","185","1","1","1","2"
"No","1989","Couple + C. LE 16 ","Female","382","1","1","1","2"
"No","1989","1-pers.-HH","Female","133","1","1","1","2"
"No","1989","(Married) couple without C. ","Female","389","1","1","1","2"
"No","1989","(Married) couple without C. ","Male","407","1","1","1","2"
"No","1989","Single parent ","Male","84","1","1","1","2"
"No","1989","Single parent ","Female","128","1","1","1","2"
"No","1989","Couple + C. LE 16 ","Male","570","1","1","1","2"
"No","1989","Couple + C. GT 16 ","Male","520","1","1","1","2"
"No","1989","Couple + C. GT 16 ","Female","368","1","1","1","2"
"No","1989","Couple + C. LE and GT 16","Male","272","1","1","1","2"
"No","1989","Couple + C. LE and GT 16","Female","189","1","1","1","2"
"Yes","1989","Single parent ","Male","","","","","1"
"Yes","1989","Single parent ","Female","","","","","1"
"Yes","1989","Couple + C. LE 16 ","Male","","","","","1"
"Yes","1989","Couple + C. LE 16 ","Female","","","","","1"
"Yes","1989","Couple + C. GT 16 ","Male","","","","","1"
"Yes","1989","Couple + C. GT 16 ","Female","","","","","1"
"Yes","1989","1-pers.-HH","Male","","","","","1"
"Yes","1989","1-pers.-HH","Female","","","","","1"
"Yes","1989","(Married) couple without C. ","Male","","","","","1"
"Yes","1989","(Married) couple without C. ","Female","","","","","1"
"Yes","1989","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","1989","Couple + C. LE and GT 16","Female","","","","","1"
"No","1990","1-pers.-HH","Male","167","1","1","1","2"
"No","1990","1-pers.-HH","Female","133","1","1","1","2"
"No","1990","Couple + C. LE 16 ","Female","413","1","1","1","2"
"No","1990","(Married) couple without C. ","Female","392","1","1","1","2"
"No","1990","(Married) couple without C. ","Male","393","1","1","1","2"
"No","1990","Single parent ","Male","85","1","1","1","2"
"No","1990","Single parent ","Female","114","1","1","1","2"
"No","1990","Couple + C. LE 16 ","Male","529","1","1","1","2"
"No","1990","Couple + C. GT 16 ","Male","478","1","1","1","2"
"No","1990","Couple + C. GT 16 ","Female","359","1","1","1","2"
"No","1990","Couple + C. LE and GT 16","Male","227","1","1","1","2"
"No","1990","Couple + C. LE and GT 16","Female","173","1","1","1","2"
"Yes","1990","1-pers.-HH","Male","","","","","1"
