"plb0196_h","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Not Employed","Full Time","","","",""
"Yes","1986","Not Employed","Part Time","","","",""
"Yes","1986","Not Employed","Not Working","","","",""
"Yes","1986","Employed","Full Time","","","",""
"Yes","1986","Employed","Part Time","","","",""
"Yes","1986","Employed","Not Working","","","",""
"No","1986","Not Employed","Full Time","","","",""
"No","1986","Not Employed","Part Time","","","",""
"No","1986","Not Employed","Not Working","120","1","1","1"
"No","1986","Employed","Full Time","3078","1","1","1"
"No","1986","Employed","Part Time","1132","1","1","1"
"No","1986","Employed","Not Working","","","",""
"Yes","1987","Not Employed","Full Time","","","",""
"Yes","1987","Not Employed","Part Time","","","",""
"Yes","1987","Not Employed","Not Working","","","",""
"Yes","1987","Employed","Full Time","","","",""
"Yes","1987","Employed","Part Time","","","",""
"Yes","1987","Employed","Not Working","","","",""
"No","1987","Not Employed","Full Time","","","",""
"No","1987","Not Employed","Part Time","","","",""
"No","1987","Not Employed","Not Working","","","",""
"No","1987","Employed","Full Time","","","",""
"No","1987","Employed","Part Time","","","",""
"No","1987","Employed","Not Working","","","",""
"Yes","1988","Not Employed","Full Time","","","",""
"Yes","1988","Not Employed","Part Time","","","",""
"Yes","1988","Not Employed","Not Working","","","",""
"Yes","1988","Employed","Full Time","","","",""
"Yes","1988","Employed","Part Time","","","",""
"Yes","1988","Employed","Not Working","","","",""
"No","1988","Not Employed","Full Time","","","",""
"No","1988","Not Employed","Part Time","","","",""
"No","1988","Not Employed","Not Working","86","1","1","1"
"No","1988","Employed","Full Time","2882","1","1","1"
"No","1988","Employed","Part Time","1059","1","1","1"
"No","1988","Employed","Not Working","","","",""
"Yes","1989","Not Employed","Full Time","","","",""
"Yes","1989","Not Employed","Part Time","","","",""
"Yes","1989","Not Employed","Not Working","","","",""
"Yes","1989","Employed","Full Time","","","",""
"Yes","1989","Employed","Part Time","","","",""
"Yes","1989","Employed","Not Working","","","",""
"No","1989","Not Employed","Full Time","","","",""
"No","1989","Not Employed","Part Time","","","",""
"No","1989","Not Employed","Not Working","90","1","1","1"
"No","1989","Employed","Full Time","2734","1","1","1"
"No","1989","Employed","Part Time","1032","1","1","1"
"No","1989","Employed","Not Working","","","",""
"Yes","1990","Not Employed","Full Time","","","",""
"Yes","1990","Not Employed","Part Time","","","",""
"Yes","1990","Not Employed","Not Working","","","",""
"Yes","1990","Employed","Full Time","","","",""
"Yes","1990","Employed","Part Time","","","",""
"Yes","1990","Employed","Not Working","","","",""
"No","1990","Not Employed","Full Time","","","",""
"No","1990","Not Employed","Part Time","","","",""
"No","1990","Not Employed","Not Working","85","1","1","1"
"No","1990","Employed","Full Time","2567","1","1","1"
"No","1990","Employed","Part Time","1062","1","1","1"
"No","1990","Employed","Not Working","","","",""
"Yes","1991","Not Employed","Full Time","","","",""
"Yes","1991","Not Employed","Part Time","","","",""
"Yes","1991","Not Employed","Not Working","","","",""
"Yes","1991","Employed","Full Time","","","",""
"Yes","1991","Employed","Part Time","","","",""
"Yes","1991","Employed","Not Working","","","",""
"No","1991","Not Employed","Full Time","","","",""
"No","1991","Not Employed","Part Time","","","",""
"No","1991","Not Employed","Not Working","111","1","1","1"
"No","1991","Employed","Full Time","2488","1","1","1"
"No","1991","Employed","Part Time","1073","1","1","1"
"No","1991","Employed","Not Working","","","",""
"Yes","1992","Not Employed","Full Time","","","",""
"Yes","1992","Not Employed","Part Time","","","",""
"Yes","1992","Not Employed","Not Working","","","",""
"Yes","1992","Employed","Full Time","","","",""
"Yes","1992","Employed","Part Time","","","",""
"Yes","1992","Employed","Not Working","","","",""
"No","1992","Not Employed","Full Time","","","",""
"No","1992","Not Employed","Part Time","","","",""
"No","1992","Not Employed","Not Working","101","1","1","1"
"No","1992","Employed","Full Time","3595","1","1","1"
"No","1992","Employed","Part Time","1342","1","1","1"
"No","1992","Employed","Not Working","","","",""
"Yes","1993","Not Employed","Full Time","","","",""
"Yes","1993","Not Employed","Part Time","","","",""
"Yes","1993","Not Employed","Not Working","","","",""
"Yes","1993","Employed","Full Time","","","",""
"Yes","1993","Employed","Part Time","","","",""
"Yes","1993","Employed","Not Working","","","",""
"No","1993","Not Employed","Full Time","","","",""
"No","1993","Not Employed","Part Time","","","",""
"No","1993","Not Employed","Not Working","148","1","1","1"
"No","1993","Employed","Full Time","3516","1","1","1"
"No","1993","Employed","Part Time","1299","1","1","1"
"No","1993","Employed","Not Working","","","",""
"Yes","1994","Not Employed","Full Time","","","",""
"Yes","1994","Not Employed","Part Time","","","",""
"Yes","1994","Not Employed","Not Working","","","",""
"Yes","1994","Employed","Full Time","","","",""
"Yes","1994","Employed","Part Time","","","",""
"Yes","1994","Employed","Not Working","","","",""
"No","1994","Not Employed","Full Time","","","",""
"No","1994","Not Employed","Part Time","","","",""
"No","1994","Not Employed","Not Working","131","1","1","1"
"No","1994","Employed","Full Time","3219","1","1","1"
"No","1994","Employed","Part Time","1254","1","1","1"
"No","1994","Employed","Not Working","","","",""
"Yes","1995","Not Employed","Full Time","","","",""
"Yes","1995","Not Employed","Part Time","","","",""
"Yes","1995","Not Employed","Not Working","","","",""
"Yes","1995","Employed","Full Time","","","",""
"Yes","1995","Employed","Part Time","","","",""
"Yes","1995","Employed","Not Working","","","",""
"No","1995","Not Employed","Full Time","","","",""
"No","1995","Not Employed","Part Time","","","",""
"No","1995","Not Employed","Not Working","152","1","1","1"
"No","1995","Employed","Full Time","3018","1","1","1"
"No","1995","Employed","Part Time","1430","1","1","1"
"No","1995","Employed","Not Working","","","",""
"Yes","1996","Not Employed","Full Time","","","",""
"Yes","1996","Not Employed","Part Time","","","",""
"Yes","1996","Not Employed","Not Working","","","",""
"Yes","1996","Employed","Full Time","","","",""
"Yes","1996","Employed","Part Time","","","",""
"Yes","1996","Employed","Not Working","","","",""
"No","1996","Not Employed","Full Time","","","",""
"No","1996","Not Employed","Part Time","","","",""
"No","1996","Not Employed","Not Working","121","1","1","1"
"No","1996","Employed","Full Time","2838","1","1","1"
"No","1996","Employed","Part Time","1506","1","1","1"
"No","1996","Employed","Not Working","","","",""
"Yes","1997","Not Employed","Full Time","","","",""
"Yes","1997","Not Employed","Part Time","","","",""
"Yes","1997","Not Employed","Not Working","","","",""
"Yes","1997","Employed","Full Time","","","",""
"Yes","1997","Employed","Part Time","","","",""
"Yes","1997","Employed","Not Working","","","",""
"No","1997","Not Employed","Full Time","","","",""
"No","1997","Not Employed","Part Time","","","",""
"No","1997","Not Employed","Not Working","20","","",""
"No","1997","Employed","Full Time","1051","1","1","1"
"No","1997","Employed","Part Time","355","1","1","1"
"No","1997","Employed","Not Working","","","",""
"Yes","1998","Not Employed","Full Time","","","",""
"Yes","1998","Not Employed","Part Time","","","",""
"Yes","1998","Not Employed","Not Working","","","",""
"Yes","1998","Employed","Full Time","","","",""
"Yes","1998","Employed","Part Time","","","",""
"Yes","1998","Employed","Not Working","","","",""
"No","1998","Not Employed","Full Time","","","",""
"No","1998","Not Employed","Part Time","","","",""
"No","1998","Not Employed","Not Working","23","","",""
"No","1998","Employed","Full Time","1050","1","1","1"
"No","1998","Employed","Part Time","432","1","1","1"
"No","1998","Employed","Not Working","","","",""
"Yes","1999","Not Employed","Full Time","","","",""
"Yes","1999","Not Employed","Part Time","","","",""
"Yes","1999","Not Employed","Not Working","","","",""
"Yes","1999","Employed","Full Time","","","",""
"Yes","1999","Employed","Part Time","","","",""
"Yes","1999","Employed","Not Working","","","",""
"No","1999","Not Employed","Full Time","","","",""
"No","1999","Not Employed","Part Time","","","",""
"No","1999","Not Employed","Not Working","17","","",""
"No","1999","Employed","Full Time","1003","1","1","1"
"No","1999","Employed","Part Time","393","1","1","1"
"No","1999","Employed","Not Working","","","",""
"Yes","2000","Not Employed","Full Time","","","",""
"Yes","2000","Not Employed","Part Time","","","",""
"Yes","2000","Not Employed","Not Working","","","",""
"Yes","2000","Employed","Full Time","","","",""
"Yes","2000","Employed","Part Time","","","",""
"Yes","2000","Employed","Not Working","","","",""
"No","2000","Not Employed","Full Time","","","",""
"No","2000","Not Employed","Part Time","","","",""
"No","2000","Not Employed","Not Working","38","1","1","1"
"No","2000","Employed","Full Time","1842","1","1","1"
"No","2000","Employed","Part Time","642","1","1","1"
"No","2000","Employed","Not Working","","","",""
"Yes","2001","Not Employed","Full Time","","","",""
"Yes","2001","Not Employed","Part Time","","","",""
"Yes","2001","Not Employed","Not Working","","","",""
"Yes","2001","Employed","Full Time","","","",""
"Yes","2001","Employed","Part Time","","","",""
"Yes","2001","Employed","Not Working","","","",""
"No","2001","Not Employed","Full Time","","","",""
"No","2001","Not Employed","Part Time","","","",""
"No","2001","Not Employed","Not Working","31","1","1","1"
"No","2001","Employed","Full Time","1658","1","1","1"
"No","2001","Employed","Part Time","670","1","1","1"
"No","2001","Employed","Not Working","","","",""
"Yes","2002","Not Employed","Full Time","","","",""
"Yes","2002","Not Employed","Part Time","","","",""
"Yes","2002","Not Employed","Not Working","24","","",""
"Yes","2002","Employed","Full Time","4516","0.719683089488238","0.708475794400341","0.730890384576135"
"Yes","2002","Employed","Part Time","1072","0.598903024016518","0.575780744752982","0.622025303280054"
"Yes","2002","Employed","Not Working","","","",""
"No","2002","Not Employed","Full Time","","","",""
"No","2002","Not Employed","Part Time","","","",""
"No","2002","Not Employed","Not Working","33","0.544306196996971","0.415015027481482","0.673597366512459"
"No","2002","Employed","Full Time","1654","0.280316910511762","0.269109615423865","0.291524205599659"
"No","2002","Employed","Part Time","654","0.401096975983482","0.377974696719946","0.424219255247018"
"No","2002","Employed","Not Working","","","",""
"Yes","2003","Not Employed","Full Time","","","",""
"Yes","2003","Not Employed","Part Time","","","",""
"Yes","2003","Not Employed","Not Working","31","0.475541107482353","0.354134821955846","0.596947393008861"
"Yes","2003","Employed","Full Time","4233","0.723339999911181","0.711845087673727","0.734834912148634"
"Yes","2003","Employed","Part Time","1053","0.614030856834553","0.590868723310819","0.637192990358287"
"Yes","2003","Employed","Not Working","","","",""
"No","2003","Not Employed","Full Time","","","",""
"No","2003","Not Employed","Part Time","","","",""
"No","2003","Not Employed","Not Working","34","0.524458892517647","0.403052606991139","0.645865178044154"
"No","2003","Employed","Full Time","1585","0.276660000088819","0.265165087851366","0.288154912326273"
"No","2003","Employed","Part Time","644","0.385969143165447","0.362807009641713","0.409131276689181"
"No","2003","Employed","Not Working","","","",""
"Yes","2004","Not Employed","Full Time","","","",""
