"plb0196_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1986","16-34 y.","(0) in school","","","",""
"Yes","1986","16-34 y.","(1a) inadequately completed","","","",""
"Yes","1986","16-34 y.","(1b) general elementary school","","","",""
"Yes","1986","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","1986","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","1986","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","1986","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","1986","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","1986","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","1986","35-65 y.","(0) in school","","","",""
"Yes","1986","35-65 y.","(1a) inadequately completed","","","",""
"Yes","1986","35-65 y.","(1b) general elementary school","","","",""
"Yes","1986","35-65 y.","(1c) basic vocational qualification","","","",""
"Yes","1986","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","1986","35-65 y.","(2a) intermediate vocational","","","",""
"Yes","1986","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","1986","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","35-65 y.","(3a) lower tertiary education","","","",""
"Yes","1986","35-65 y.","(3b) higher tertiary education","","","",""
"Yes","1986","66 and older","(0) in school","","","",""
"Yes","1986","66 and older","(1a) inadequately completed","","","",""
"Yes","1986","66 and older","(1b) general elementary school","","","",""
"Yes","1986","66 and older","(1c) basic vocational qualification","","","",""
"Yes","1986","66 and older","(2b) intermediate general qualification","","","",""
"Yes","1986","66 and older","(2a) intermediate vocational","","","",""
"Yes","1986","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","1986","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","66 and older","(3a) lower tertiary education","","","",""
"Yes","1986","66 and older","(3b) higher tertiary education","","","",""
"No","1986","16-34 y.","(0) in school","5","","",""
"No","1986","16-34 y.","(1a) inadequately completed","85","1","1","1"
"No","1986","16-34 y.","(1b) general elementary school","386","1","1","1"
"No","1986","16-34 y.","(1c) basic vocational qualification","566","1","1","1"
"No","1986","16-34 y.","(2b) intermediate general qualification","148","1","1","1"
"No","1986","16-34 y.","(2a) intermediate vocational","296","1","1","1"
"No","1986","16-34 y.","(2c_gen) general maturity certificate","106","1","1","1"
"No","1986","16-34 y.","(2c_voc) vocational maturity certificate","88","1","1","1"
"No","1986","16-34 y.","(3a) lower tertiary education","30","1","1","1"
"No","1986","16-34 y.","(3b) higher tertiary education","67","1","1","1"
"No","1986","35-65 y.","(0) in school","","","",""
"No","1986","35-65 y.","(1a) inadequately completed","306","1","1","1"
"No","1986","35-65 y.","(1b) general elementary school","558","1","1","1"
"No","1986","35-65 y.","(1c) basic vocational qualification","1007","1","1","1"
"No","1986","35-65 y.","(2b) intermediate general qualification","23","","",""
"No","1986","35-65 y.","(2a) intermediate vocational","242","1","1","1"
"No","1986","35-65 y.","(2c_gen) general maturity certificate","25","","",""
"No","1986","35-65 y.","(2c_voc) vocational maturity certificate","72","1","1","1"
"No","1986","35-65 y.","(3a) lower tertiary education","66","1","1","1"
"No","1986","35-65 y.","(3b) higher tertiary education","156","1","1","1"
"No","1986","66 and older","(0) in school","","","",""
"No","1986","66 and older","(1a) inadequately completed","","","",""
"No","1986","66 and older","(1b) general elementary school","7","","",""
"No","1986","66 and older","(1c) basic vocational qualification","8","","",""
"No","1986","66 and older","(2b) intermediate general qualification","1","","",""
"No","1986","66 and older","(2a) intermediate vocational","5","","",""
"No","1986","66 and older","(2c_gen) general maturity certificate","","","",""
"No","1986","66 and older","(2c_voc) vocational maturity certificate","3","","",""
"No","1986","66 and older","(3a) lower tertiary education","1","","",""
"No","1986","66 and older","(3b) higher tertiary education","4","","",""
"Yes","1987","16-34 y.","(0) in school","","","",""
"Yes","1987","16-34 y.","(1a) inadequately completed","","","",""
"Yes","1987","16-34 y.","(1b) general elementary school","","","",""
"Yes","1987","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","1987","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","1987","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","1987","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","1987","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","1987","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","1987","35-65 y.","(0) in school","","","",""
"Yes","1987","35-65 y.","(1a) inadequately completed","","","",""
"Yes","1987","35-65 y.","(1b) general elementary school","","","",""
"Yes","1987","35-65 y.","(1c) basic vocational qualification","","","",""
"Yes","1987","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","1987","35-65 y.","(2a) intermediate vocational","","","",""
"Yes","1987","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","1987","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
