"plb0196_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1986","66 and older","general elemantary","8","","","","2"
"No","1986","66 and older","inadequately","","","","","2"
"No","1986","66 and older","in school","","","","","2"
"No","1986","66 and older","higher vocational","3","","","","2"
"No","1986","66 and older","higher education","5","","","","2"
"No","1986","16-34 y.","higher education","97","1","1","1","2"
"No","1986","66 and older","middle vocational","12","","","","2"
"No","1986","66 and older","vocational + Abi","1","","","","2"
"No","1986","16-34 y.","higher vocational","90","1","1","1","2"
"No","1986","35-65 y.","vocational + Abi","52","1","1","1","2"
"No","1986","16-34 y.","middle vocational","921","1","1","1","2"
"No","1986","35-65 y.","middle vocational","1191","1","1","1","2"
"No","1986","35-65 y.","higher vocational","140","1","1","1","2"
"No","1986","35-65 y.","higher education","222","1","1","1","2"
"No","1986","16-34 y.","inadequately","85","1","1","1","2"
"No","1986","16-34 y.","general elemantary","521","1","1","1","2"
"No","1986","16-34 y.","in school","4","","","","2"
"No","1986","16-34 y.","vocational + Abi","65","1","1","1","2"
"No","1986","35-65 y.","in school","","","","","2"
"No","1986","35-65 y.","inadequately","274","1","1","1","2"
"No","1986","35-65 y.","general elemantary","580","1","1","1","2"
"Yes","1986","16-34 y.","in school","","","","","1"
"Yes","1986","16-34 y.","inadequately","","","","","1"
"Yes","1986","16-34 y.","general elemantary","","","","","1"
"Yes","1986","16-34 y.","middle vocational","","","","","1"
"Yes","1986","16-34 y.","vocational + Abi","","","","","1"
"Yes","1986","16-34 y.","higher vocational","","","","","1"
"Yes","1986","16-34 y.","higher education","","","","","1"
"Yes","1986","35-65 y.","in school","","","","","1"
"Yes","1986","35-65 y.","inadequately","","","","","1"
"Yes","1986","35-65 y.","general elemantary","","","","","1"
"Yes","1986","35-65 y.","middle vocational","","","","","1"
"Yes","1986","35-65 y.","vocational + Abi","","","","","1"
"Yes","1986","35-65 y.","higher vocational","","","","","1"
"Yes","1986","35-65 y.","higher education","","","","","1"
"Yes","1986","66 and older","in school","","","","","1"
"Yes","1986","66 and older","inadequately","","","","","1"
"Yes","1986","66 and older","general elemantary","","","","","1"
"Yes","1986","66 and older","middle vocational","","","","","1"
"Yes","1986","66 and older","vocational + Abi","","","","","1"
"Yes","1986","66 and older","higher vocational","","","","","1"
"Yes","1986","66 and older","higher education","","","","","1"
"No","1987","66 and older","higher education","","","","","2"
"No","1987","66 and older","vocational + Abi","","","","","2"
"No","1987","66 and older","general elemantary","","","","","2"
"No","1987","66 and older","inadequately","","","","","2"
"No","1987","66 and older","in school","","","","","2"
"No","1987","66 and older","higher vocational","","","","","2"
"No","1987","66 and older","middle vocational","","","","","2"
"No","1987","16-34 y.","higher education","","","","","2"
"No","1987","16-34 y.","general elemantary","","","","","2"
"No","1987","35-65 y.","higher vocational","","","","","2"
"No","1987","35-65 y.","higher education","","","","","2"
"No","1987","16-34 y.","middle vocational","","","","","2"
"No","1987","16-34 y.","higher vocational","","","","","2"
"No","1987","35-65 y.","middle vocational","","","","","2"
"No","1987","35-65 y.","vocational + Abi","","","","","2"
"No","1987","16-34 y.","inadequately","","","","","2"
"No","1987","16-34 y.","in school","","","","","2"
"No","1987","16-34 y.","vocational + Abi","","","","","2"
"No","1987","35-65 y.","in school","","","","","2"
"No","1987","35-65 y.","inadequately","","","","","2"
"No","1987","35-65 y.","general elemantary","","","","","2"
"Yes","1987","16-34 y.","in school","","","","","1"
"Yes","1987","16-34 y.","inadequately","","","","","1"
"Yes","1987","16-34 y.","general elemantary","","","","","1"
"Yes","1987","16-34 y.","middle vocational","","","","","1"
"Yes","1987","16-34 y.","vocational + Abi","","","","","1"
"Yes","1987","16-34 y.","higher vocational","","","","","1"
"Yes","1987","16-34 y.","higher education","","","","","1"
"Yes","1987","35-65 y.","in school","","","","","1"
"Yes","1987","35-65 y.","inadequately","","","","","1"
"Yes","1987","35-65 y.","general elemantary","","","","","1"
"Yes","1987","35-65 y.","middle vocational","","","","","1"
"Yes","1987","35-65 y.","vocational + Abi","","","","","1"
"Yes","1987","35-65 y.","higher vocational","","","","","1"
"Yes","1987","35-65 y.","higher education","","","","","1"
"Yes","1987","66 and older","in school","","","","","1"
"Yes","1987","66 and older","inadequately","","","","","1"
"Yes","1987","66 and older","general elemantary","","","","","1"
"Yes","1987","66 and older","middle vocational","","","","","1"
"Yes","1987","66 and older","vocational + Abi","","","","","1"
"Yes","1987","66 and older","higher vocational","","","","","1"
"Yes","1987","66 and older","higher education","","","","","1"
"No","1988","66 and older","in school","","","","","2"
"No","1988","66 and older","higher vocational","3","","","","2"
"No","1988","66 and older","higher education","10","","","","2"
"No","1988","16-34 y.","general elemantary","504","1","1","1","2"
"No","1988","16-34 y.","higher education","77","1","1","1","2"
"No","1988","66 and older","inadequately","","","","","2"
"No","1988","66 and older","general elemantary","8","","","","2"
"No","1988","16-34 y.","higher vocational","76","1","1","1","2"
"No","1988","16-34 y.","inadequately","68","1","1","1","2"
"No","1988","66 and older","vocational + Abi","1","","","","2"
"No","1988","66 and older","middle vocational","9","","","","2"
"No","1988","16-34 y.","in school","5","","","","2"
"No","1988","35-65 y.","general elemantary","542","1","1","1","2"
"No","1988","35-65 y.","middle vocational","1139","1","1","1","2"
"No","1988","35-65 y.","vocational + Abi","44","1","1","1","2"
"No","1988","35-65 y.","higher vocational","134","1","1","1","2"
"No","1988","35-65 y.","higher education","223","1","1","1","2"
"No","1988","16-34 y.","middle vocational","823","1","1","1","2"
"No","1988","16-34 y.","vocational + Abi","65","1","1","1","2"
"No","1988","35-65 y.","in school","","","","","2"
"No","1988","35-65 y.","inadequately","227","1","1","1","2"
"Yes","1988","16-34 y.","in school","","","","","1"
"Yes","1988","16-34 y.","inadequately","","","","","1"
"Yes","1988","16-34 y.","general elemantary","","","","","1"
"Yes","1988","16-34 y.","middle vocational","","","","","1"
"Yes","1988","16-34 y.","vocational + Abi","","","","","1"
"Yes","1988","16-34 y.","higher vocational","","","","","1"
"Yes","1988","16-34 y.","higher education","","","","","1"
"Yes","1988","35-65 y.","in school","","","","","1"
"Yes","1988","35-65 y.","inadequately","","","","","1"
"Yes","1988","35-65 y.","general elemantary","","","","","1"
"Yes","1988","35-65 y.","middle vocational","","","","","1"
"Yes","1988","35-65 y.","vocational + Abi","","","","","1"
"Yes","1988","35-65 y.","higher vocational","","","","","1"
"Yes","1988","35-65 y.","higher education","","","","","1"
"Yes","1988","66 and older","in school","","","","","1"
"Yes","1988","66 and older","inadequately","","","","","1"
"Yes","1988","66 and older","general elemantary","","","","","1"
"Yes","1988","66 and older","middle vocational","","","","","1"
"Yes","1988","66 and older","vocational + Abi","","","","","1"
"Yes","1988","66 and older","higher vocational","","","","","1"
"Yes","1988","66 and older","higher education","","","","","1"
"No","1989","66 and older","general elemantary","9","","","","2"
"No","1989","16-34 y.","higher education","76","1","1","1","2"
"No","1989","16-34 y.","higher vocational","85","1","1","1","2"
"No","1989","66 and older","inadequately","","","","","2"
"No","1989","66 and older","higher vocational","4","","","","2"
"No","1989","66 and older","in school","","","","","2"
"No","1989","66 and older","higher education","10","","","","2"
"No","1989","16-34 y.","general elemantary","499","1","1","1","2"
"No","1989","16-34 y.","middle vocational","803","1","1","1","2"
"No","1989","16-34 y.","vocational + Abi","56","1","1","1","2"
"No","1989","16-34 y.","inadequately","58","1","1","1","2"
"No","1989","66 and older","middle vocational","6","","","","2"
"No","1989","66 and older","vocational + Abi","3","","","","2"
"No","1989","16-34 y.","in school","10","","","","2"
"No","1989","35-65 y.","in school","","","","","2"
"No","1989","35-65 y.","inadequately","203","1","1","1","2"
"No","1989","35-65 y.","general elemantary","510","1","1","1","2"
"No","1989","35-65 y.","middle vocational","1075","1","1","1","2"
"No","1989","35-65 y.","vocational + Abi","49","1","1","1","2"
"No","1989","35-65 y.","higher vocational","123","1","1","1","2"
"No","1989","35-65 y.","higher education","210","1","1","1","2"
"Yes","1989","16-34 y.","in school","","","","","1"
"Yes","1989","16-34 y.","inadequately","","","","","1"
"Yes","1989","16-34 y.","general elemantary","","","","","1"
"Yes","1989","16-34 y.","middle vocational","","","","","1"
"Yes","1989","16-34 y.","vocational + Abi","","","","","1"
"Yes","1989","16-34 y.","higher vocational","","","","","1"
"Yes","1989","16-34 y.","higher education","","","","","1"
"Yes","1989","35-65 y.","in school","","","","","1"
"Yes","1989","35-65 y.","inadequately","","","","","1"
"Yes","1989","35-65 y.","general elemantary","","","","","1"
"Yes","1989","35-65 y.","middle vocational","","","","","1"
"Yes","1989","35-65 y.","vocational + Abi","","","","","1"
"Yes","1989","35-65 y.","higher vocational","","","","","1"
"Yes","1989","35-65 y.","higher education","","","","","1"
"Yes","1989","66 and older","in school","","","","","1"
"Yes","1989","66 and older","inadequately","","","","","1"
"Yes","1989","66 and older","general elemantary","","","","","1"
"Yes","1989","66 and older","middle vocational","","","","","1"
"Yes","1989","66 and older","vocational + Abi","","","","","1"
"Yes","1989","66 and older","higher vocational","","","","","1"
"Yes","1989","66 and older","higher education","","","","","1"
"No","1990","16-34 y.","higher education","67","1","1","1","2"
"No","1990","66 and older","in school","","","","","2"
"No","1990","66 and older","general elemantary","4","","","","2"
"No","1990","16-34 y.","higher vocational","78","1","1","1","2"
"No","1990","66 and older","inadequately","","","","","2"
"No","1990","66 and older","higher education","9","","","","2"
"No","1990","66 and older","higher vocational","4","","","","2"
"No","1990","16-34 y.","vocational + Abi","55","1","1","1","2"
"No","1990","16-34 y.","inadequately","60","1","1","1","2"
"No","1990","16-34 y.","general elemantary","456","1","1","1","2"
"No","1990","16-34 y.","middle vocational","794","1","1","1","2"
"No","1990","66 and older","middle vocational","7","","","","2"
"No","1990","66 and older","vocational + Abi","3","","","","2"
"No","1990","16-34 y.","in school","6","","","","2"
"No","1990","35-65 y.","in school","","","","","2"
"No","1990","35-65 y.","inadequately","211","1","1","1","2"
"No","1990","35-65 y.","general elemantary","501","1","1","1","2"
"No","1990","35-65 y.","middle vocational","1026","1","1","1","2"
"No","1990","35-65 y.","vocational + Abi","49","1","1","1","2"
"No","1990","35-65 y.","higher vocational","115","1","1","1","2"
"No","1990","35-65 y.","higher education","191","1","1","1","2"
"Yes","1990","16-34 y.","in school","","","","","1"
"Yes","1990","16-34 y.","inadequately","","","","","1"
"Yes","1990","16-34 y.","general elemantary","","","","","1"
"Yes","1990","16-34 y.","middle vocational","","","","","1"
"Yes","1990","16-34 y.","vocational + Abi","","","","","1"
"Yes","1990","16-34 y.","higher vocational","","","","","1"
"Yes","1990","16-34 y.","higher education","","","","","1"
"Yes","1990","35-65 y.","in school","","","","","1"
"Yes","1990","35-65 y.","inadequately","","","","","1"
"Yes","1990","35-65 y.","general elemantary","","","","","1"
"Yes","1990","35-65 y.","middle vocational","","","","","1"
"Yes","1990","35-65 y.","vocational + Abi","","","","","1"
"Yes","1990","35-65 y.","higher vocational","","","","","1"
"Yes","1990","35-65 y.","higher education","","","","","1"
"Yes","1990","66 and older","in school","","","","","1"
"Yes","1990","66 and older","inadequately","","","","","1"
"Yes","1990","66 and older","general elemantary","","","","","1"
"Yes","1990","66 and older","middle vocational","","","","","1"
"Yes","1990","66 and older","vocational + Abi","","","","","1"
"Yes","1990","66 and older","higher vocational","","","","","1"
"Yes","1990","66 and older","higher education","","","","","1"
"No","1991","16-34 y.","higher vocational","107","1","1","1","2"
"No","1991","16-34 y.","higher education","205","1","1","1","2"
"No","1991","16-34 y.","inadequately","63","1","1","1","2"
"No","1991","66 and older","in school","","","","","2"
"No","1991","16-34 y.","general elemantary","535","1","1","1","2"
"No","1991","16-34 y.","middle vocational","1266","1","1","1","2"
"No","1991","16-34 y.","vocational + Abi","88","1","1","1","2"
"No","1991","66 and older","inadequately","","","","","2"
"No","1991","66 and older","general elemantary","3","","","","2"
"No","1991","66 and older","higher education","9","","","","2"
"No","1991","66 and older","higher vocational","5","","","","2"
"No","1991","16-34 y.","in school","17","","","","2"
"No","1991","66 and older","vocational + Abi","4","","","","2"
"No","1991","66 and older","middle vocational","15","","","","2"
"No","1991","35-65 y.","in school","","","","","2"
"No","1991","35-65 y.","inadequately","211","1","1","1","2"
"No","1991","35-65 y.","general elemantary","555","1","1","1","2"
"No","1991","35-65 y.","middle vocational","1668","1","1","1","2"
"No","1991","35-65 y.","vocational + Abi","68","1","1","1","2"
"No","1991","35-65 y.","higher vocational","235","1","1","1","2"
"No","1991","35-65 y.","higher education","515","1","1","1","2"
"Yes","1991","16-34 y.","in school","","","","","1"
"Yes","1991","16-34 y.","inadequately","","","","","1"
"Yes","1991","16-34 y.","general elemantary","","","","","1"
"Yes","1991","16-34 y.","middle vocational","","","","","1"
"Yes","1991","16-34 y.","vocational + Abi","","","","","1"
"Yes","1991","16-34 y.","higher vocational","","","","","1"
"Yes","1991","16-34 y.","higher education","","","","","1"
"Yes","1991","35-65 y.","in school","","","","","1"
"Yes","1991","35-65 y.","inadequately","","","","","1"
"Yes","1991","35-65 y.","general elemantary","","","","","1"
"Yes","1991","35-65 y.","middle vocational","","","","","1"
"Yes","1991","35-65 y.","vocational + Abi","","","","","1"
"Yes","1991","35-65 y.","higher vocational","","","","","1"
"Yes","1991","35-65 y.","higher education","","","","","1"
"Yes","1991","66 and older","in school","","","","","1"
"Yes","1991","66 and older","inadequately","","","","","1"
"Yes","1991","66 and older","general elemantary","","","","","1"
"Yes","1991","66 and older","middle vocational","","","","","1"
"Yes","1991","66 and older","vocational + Abi","","","","","1"
"Yes","1991","66 and older","higher vocational","","","","","1"
"Yes","1991","66 and older","higher education","","","","","1"
"No","1992","16-34 y.","general elemantary","522","1","1","1","2"
"No","1992","16-34 y.","inadequately","45","1","1","1","2"
"No","1992","16-34 y.","middle vocational","1044","1","1","1","2"
"No","1992","16-34 y.","higher education","167","1","1","1","2"
"No","1992","16-34 y.","vocational + Abi","75","1","1","1","2"
"No","1992","16-34 y.","higher vocational","101","1","1","1","2"
"No","1992","16-34 y.","in school","17","","","","2"
"No","1992","66 and older","inadequately","","","","","2"
"No","1992","66 and older","in school","","","","","2"
"No","1992","66 and older","general elemantary","","","","","2"
"No","1992","66 and older","higher vocational","5","","","","2"
"No","1992","66 and older","higher education","7","","","","2"
"No","1992","66 and older","middle vocational","10","","","","2"
"No","1992","66 and older","vocational + Abi","1","","","","2"
"No","1992","35-65 y.","in school","","","","","2"
"No","1992","35-65 y.","inadequately","192","1","1","1","2"
"No","1992","35-65 y.","general elemantary","518","1","1","1","2"
"No","1992","35-65 y.","middle vocational","1530","1","1","1","2"
"No","1992","35-65 y.","vocational + Abi","62","1","1","1","2"
"No","1992","35-65 y.","higher vocational","221","1","1","1","2"
"No","1992","35-65 y.","higher education","439","1","1","1","2"
"Yes","1992","16-34 y.","in school","","","","","1"
"Yes","1992","16-34 y.","inadequately","","","","","1"
"Yes","1992","16-34 y.","general elemantary","","","","","1"
"Yes","1992","16-34 y.","middle vocational","","","","","1"
"Yes","1992","16-34 y.","vocational + Abi","","","","","1"
"Yes","1992","16-34 y.","higher vocational","","","","","1"
"Yes","1992","16-34 y.","higher education","","","","","1"
"Yes","1992","35-65 y.","in school","","","","","1"
"Yes","1992","35-65 y.","inadequately","","","","","1"
"Yes","1992","35-65 y.","general elemantary","","","","","1"
"Yes","1992","35-65 y.","middle vocational","","","","","1"
"Yes","1992","35-65 y.","vocational + Abi","","","","","1"
"Yes","1992","35-65 y.","higher vocational","","","","","1"
"Yes","1992","35-65 y.","higher education","","","","","1"
"Yes","1992","66 and older","in school","","","","","1"
"Yes","1992","66 and older","inadequately","","","","","1"
"Yes","1992","66 and older","general elemantary","","","","","1"
"Yes","1992","66 and older","middle vocational","","","","","1"
"Yes","1992","66 and older","vocational + Abi","","","","","1"
"Yes","1992","66 and older","higher vocational","","","","","1"
"Yes","1992","66 and older","higher education","","","","","1"
"No","1993","16-34 y.","middle vocational","1082","1","1","1","2"
"No","1993","16-34 y.","inadequately","55","1","1","1","2"
"No","1993","16-34 y.","general elemantary","494","1","1","1","2"
"No","1993","16-34 y.","higher education","162","1","1","1","2"
"No","1993","16-34 y.","vocational + Abi","85","1","1","1","2"
"No","1993","16-34 y.","higher vocational","106","1","1","1","2"
"No","1993","66 and older","general elemantary","5","","","","2"
"No","1993","16-34 y.","in school","9","","","","2"
"No","1993","66 and older","in school","","","","","2"
"No","1993","66 and older","inadequately","","","","","2"
"No","1993","66 and older","higher vocational","3","","","","2"
"No","1993","66 and older","higher education","7","","","","2"
"No","1993","66 and older","middle vocational","9","","","","2"
"No","1993","66 and older","vocational + Abi","2","","","","2"
"No","1993","35-65 y.","in school","","","","","2"
"No","1993","35-65 y.","inadequately","191","1","1","1","2"
"No","1993","35-65 y.","general elemantary","494","1","1","1","2"
"No","1993","35-65 y.","middle vocational","1467","1","1","1","2"
"No","1993","35-65 y.","vocational + Abi","70","1","1","1","2"
"No","1993","35-65 y.","higher vocational","211","1","1","1","2"
"No","1993","35-65 y.","higher education","413","1","1","1","2"
"Yes","1993","16-34 y.","in school","","","","","1"
"Yes","1993","16-34 y.","inadequately","","","","","1"
"Yes","1993","16-34 y.","general elemantary","","","","","1"
"Yes","1993","16-34 y.","middle vocational","","","","","1"
"Yes","1993","16-34 y.","vocational + Abi","","","","","1"
"Yes","1993","16-34 y.","higher vocational","","","","","1"
"Yes","1993","16-34 y.","higher education","","","","","1"
"Yes","1993","35-65 y.","in school","","","","","1"
"Yes","1993","35-65 y.","inadequately","","","","","1"
"Yes","1993","35-65 y.","general elemantary","","","","","1"
"Yes","1993","35-65 y.","middle vocational","","","","","1"
"Yes","1993","35-65 y.","vocational + Abi","","","","","1"
"Yes","1993","35-65 y.","higher vocational","","","","","1"
"Yes","1993","35-65 y.","higher education","","","","","1"
"Yes","1993","66 and older","in school","","","","","1"
"Yes","1993","66 and older","inadequately","","","","","1"
"Yes","1993","66 and older","general elemantary","","","","","1"
"Yes","1993","66 and older","middle vocational","","","","","1"
"Yes","1993","66 and older","vocational + Abi","","","","","1"
"Yes","1993","66 and older","higher vocational","","","","","1"
"Yes","1993","66 and older","higher education","","","","","1"
"No","1994","16-34 y.","higher vocational","98","1","1","1","2"
"No","1994","16-34 y.","higher education","159","1","1","1","2"
"No","1994","16-34 y.","in school","10","","","","2"
"No","1994","16-34 y.","middle vocational","1004","1","1","1","2"
"No","1994","16-34 y.","vocational + Abi","73","1","1","1","2"
"No","1994","16-34 y.","inadequately","43","1","1","1","2"
"No","1994","16-34 y.","general elemantary","406","1","1","1","2"
"No","1994","66 and older","in school","","","","","2"
"No","1994","66 and older","inadequately","","","","","2"
"No","1994","66 and older","general elemantary","4","","","","2"
"No","1994","66 and older","higher vocational","4","","","","2"
"No","1994","66 and older","higher education","8","","","","2"
"No","1994","66 and older","middle vocational","7","","","","2"
"No","1994","66 and older","vocational + Abi","2","","","","2"
"No","1994","35-65 y.","in school","","","","","2"
"No","1994","35-65 y.","inadequately","176","1","1","1","2"
"No","1994","35-65 y.","general elemantary","434","1","1","1","2"
"No","1994","35-65 y.","middle vocational","1367","1","1","1","2"
"No","1994","35-65 y.","vocational + Abi","57","1","1","1","2"
"No","1994","35-65 y.","higher vocational","221","1","1","1","2"
"No","1994","35-65 y.","higher education","425","1","1","1","2"
"Yes","1994","16-34 y.","in school","","","","","1"
"Yes","1994","16-34 y.","inadequately","","","","","1"
"Yes","1994","16-34 y.","general elemantary","","","","","1"
"Yes","1994","16-34 y.","middle vocational","","","","","1"
"Yes","1994","16-34 y.","vocational + Abi","","","","","1"
"Yes","1994","16-34 y.","higher vocational","","","","","1"
"Yes","1994","16-34 y.","higher education","","","","","1"
"Yes","1994","35-65 y.","in school","","","","","1"
"Yes","1994","35-65 y.","inadequately","","","","","1"
