"plb0196_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1986","(0) in school","","","",""
"Yes","1986","(1a) inadequately completed","","","",""
"Yes","1986","(1b) general elementary school","","","",""
"Yes","1986","(1c) basic vocational qualification","","","",""
"Yes","1986","(2b) intermediate general qualification","","","",""
"Yes","1986","(2a) intermediate vocational","","","",""
"Yes","1986","(2c_gen) general maturity certificate","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","(3a) lower tertiary education","","","",""
"Yes","1986","(3b) higher tertiary education","","","",""
"No","1986","(0) in school","5","","",""
"No","1986","(1a) inadequately completed","391","1","1","1"
"No","1986","(1b) general elementary school","951","1","1","1"
"No","1986","(1c) basic vocational qualification","1581","1","1","1"
"No","1986","(2b) intermediate general qualification","172","1","1","1"
"No","1986","(2a) intermediate vocational","543","1","1","1"
"No","1986","(2c_gen) general maturity certificate","131","1","1","1"
"No","1986","(2c_voc) vocational maturity certificate","163","1","1","1"
"No","1986","(3a) lower tertiary education","97","1","1","1"
"No","1986","(3b) higher tertiary education","227","1","1","1"
"Yes","1987","(0) in school","","","",""
"Yes","1987","(1a) inadequately completed","","","",""
"Yes","1987","(1b) general elementary school","","","",""
"Yes","1987","(1c) basic vocational qualification","","","",""
"Yes","1987","(2b) intermediate general qualification","","","",""
"Yes","1987","(2a) intermediate vocational","","","",""
"Yes","1987","(2c_gen) general maturity certificate","","","",""
"Yes","1987","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","(3a) lower tertiary education","","","",""
"Yes","1987","(3b) higher tertiary education","","","",""
"No","1987","(0) in school","","","",""
"No","1987","(1a) inadequately completed","","","",""
"No","1987","(1b) general elementary school","","","",""
"No","1987","(1c) basic vocational qualification","","","",""
"No","1987","(2b) intermediate general qualification","","","",""
"No","1987","(2a) intermediate vocational","","","",""
"No","1987","(2c_gen) general maturity certificate","","","",""
"No","1987","(2c_voc) vocational maturity certificate","","","",""
"No","1987","(3a) lower tertiary education","","","",""
"No","1987","(3b) higher tertiary education","","","",""
"Yes","1988","(0) in school","","","",""
"Yes","1988","(1a) inadequately completed","","","",""
"Yes","1988","(1b) general elementary school","","","",""
"Yes","1988","(1c) basic vocational qualification","","","",""
"Yes","1988","(2b) intermediate general qualification","","","",""
"Yes","1988","(2a) intermediate vocational","","","",""
"Yes","1988","(2c_gen) general maturity certificate","","","",""
"Yes","1988","(2c_voc) vocational maturity certificate","","","",""
"Yes","1988","(3a) lower tertiary education","","","",""
"Yes","1988","(3b) higher tertiary education","","","",""
"No","1988","(0) in school","5","","",""
"No","1988","(1a) inadequately completed","325","1","1","1"
"No","1988","(1b) general elementary school","887","1","1","1"
"No","1988","(1c) basic vocational qualification","1442","1","1","1"
"No","1988","(2b) intermediate general qualification","177","1","1","1"
"No","1988","(2a) intermediate vocational","542","1","1","1"
"No","1988","(2c_gen) general maturity certificate","107","1","1","1"
"No","1988","(2c_voc) vocational maturity certificate","147","1","1","1"
"No","1988","(3a) lower tertiary education","93","1","1","1"
"No","1988","(3b) higher tertiary education","217","1","1","1"
"Yes","1989","(0) in school","","","",""
"Yes","1989","(1a) inadequately completed","","","",""
"Yes","1989","(1b) general elementary school","","","",""
