"plb0196_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Schleswig-Holstein","Urban Area","","","",""
"Yes","1986","Schleswig-Holstein","Rural Area","","","",""
"Yes","1986","Hamburg","Urban Area","","","",""
"Yes","1986","Hamburg","Rural Area","","","",""
"Yes","1986","Lower Saxony","Urban Area","","","",""
"Yes","1986","Lower Saxony","Rural Area","","","",""
"Yes","1986","Bremen","Urban Area","","","",""
"Yes","1986","Bremen","Rural Area","","","",""
"Yes","1986","North Rhine-Westphalia","Urban Area","","","",""
"Yes","1986","North Rhine-Westphalia","Rural Area","","","",""
"Yes","1986","Hesse","Urban Area","","","",""
"Yes","1986","Hesse","Rural Area","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Yes","1986","Baden-Württemberg","Urban Area","","","",""
"Yes","1986","Baden-Württemberg","Rural Area","","","",""
"Yes","1986","Bavaria","Urban Area","","","",""
"Yes","1986","Bavaria","Rural Area","","","",""
"Yes","1986","Berlin","Urban Area","","","",""
"Yes","1986","Berlin","Rural Area","","","",""
"Yes","1986","Brandenburg","Urban Area","","","",""
"Yes","1986","Brandenburg","Rural Area","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Yes","1986","Saxony","Urban Area","","","",""
"Yes","1986","Saxony","Rural Area","","","",""
"Yes","1986","Saxony-Anhalt","Urban Area","","","",""
"Yes","1986","Saxony-Anhalt","Rural Area","","","",""
"Yes","1986","Thuringia","Urban Area","","","",""
"Yes","1986","Thuringia","Rural Area","","","",""
"No","1986","Schleswig-Holstein","Urban Area","64","1","1","1"
"No","1986","Schleswig-Holstein","Rural Area","60","1","1","1"
"No","1986","Hamburg","Urban Area","93","1","1","1"
"No","1986","Hamburg","Rural Area","1","","",""
"No","1986","Lower Saxony","Urban Area","213","1","1","1"
"No","1986","Lower Saxony","Rural Area","185","1","1","1"
"No","1986","Bremen","Urban Area","35","1","1","1"
"No","1986","Bremen","Rural Area","","","",""
"No","1986","North Rhine-Westphalia","Urban Area","1111","1","1","1"
"No","1986","North Rhine-Westphalia","Rural Area","32","1","1","1"
"No","1986","Hesse","Urban Area","378","1","1","1"
"No","1986","Hesse","Rural Area","47","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","Urban Area","247","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","Rural Area","51","1","1","1"
"No","1986","Baden-Württemberg","Urban Area","770","1","1","1"
"No","1986","Baden-Württemberg","Rural Area","119","1","1","1"
"No","1986","Bavaria","Urban Area","385","1","1","1"
"No","1986","Bavaria","Rural Area","377","1","1","1"
"No","1986","Berlin","Urban Area","162","1","1","1"
"No","1986","Berlin","Rural Area","","","",""
"No","1986","Brandenburg","Urban Area","","","",""
"No","1986","Brandenburg","Rural Area","","","",""
"No","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No","1986","Saxony","Urban Area","","","",""
"No","1986","Saxony","Rural Area","","","",""
"No","1986","Saxony-Anhalt","Urban Area","","","",""
"No","1986","Saxony-Anhalt","Rural Area","","","",""
"No","1986","Thuringia","Urban Area","","","",""
"No","1986","Thuringia","Rural Area","","","",""
"Yes","1987","Schleswig-Holstein","Urban Area","","","",""
"Yes","1987","Schleswig-Holstein","Rural Area","","","",""
"Yes","1987","Hamburg","Urban Area","","","",""
"Yes","1987","Hamburg","Rural Area","","","",""
"Yes","1987","Lower Saxony","Urban Area","","","",""
"Yes","1987","Lower Saxony","Rural Area","","","",""
"Yes","1987","Bremen","Urban Area","","","",""
"Yes","1987","Bremen","Rural Area","","","",""
"Yes","1987","North Rhine-Westphalia","Urban Area","","","",""
"Yes","1987","North Rhine-Westphalia","Rural Area","","","",""
"Yes","1987","Hesse","Urban Area","","","",""
"Yes","1987","Hesse","Rural Area","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Yes","1987","Baden-Württemberg","Urban Area","","","",""
"Yes","1987","Baden-Württemberg","Rural Area","","","",""
"Yes","1987","Bavaria","Urban Area","","","",""
"Yes","1987","Bavaria","Rural Area","","","",""
"Yes","1987","Berlin","Urban Area","","","",""
"Yes","1987","Berlin","Rural Area","","","",""
"Yes","1987","Brandenburg","Urban Area","","","",""
"Yes","1987","Brandenburg","Rural Area","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Yes","1987","Saxony","Urban Area","","","",""
"Yes","1987","Saxony","Rural Area","","","",""
"Yes","1987","Saxony-Anhalt","Urban Area","","","",""
"Yes","1987","Saxony-Anhalt","Rural Area","","","",""
"Yes","1987","Thuringia","Urban Area","","","",""
"Yes","1987","Thuringia","Rural Area","","","",""
"No","1987","Schleswig-Holstein","Urban Area","","","",""
"No","1987","Schleswig-Holstein","Rural Area","","","",""
"No","1987","Hamburg","Urban Area","","","",""
"No","1987","Hamburg","Rural Area","","","",""
"No","1987","Lower Saxony","Urban Area","","","",""
"No","1987","Lower Saxony","Rural Area","","","",""
"No","1987","Bremen","Urban Area","","","",""
"No","1987","Bremen","Rural Area","","","",""
"No","1987","North Rhine-Westphalia","Urban Area","","","",""
"No","1987","North Rhine-Westphalia","Rural Area","","","",""
"No","1987","Hesse","Urban Area","","","",""
"No","1987","Hesse","Rural Area","","","",""
"No","1987","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"No","1987","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"No","1987","Baden-Württemberg","Urban Area","","","",""
"No","1987","Baden-Württemberg","Rural Area","","","",""
"No","1987","Bavaria","Urban Area","","","",""
"No","1987","Bavaria","Rural Area","","","",""
"No","1987","Berlin","Urban Area","","","",""
"No","1987","Berlin","Rural Area","","","",""
"No","1987","Brandenburg","Urban Area","","","",""
"No","1987","Brandenburg","Rural Area","","","",""
"No","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No","1987","Saxony","Urban Area","","","",""
"No","1987","Saxony","Rural Area","","","",""
"No","1987","Saxony-Anhalt","Urban Area","","","",""
"No","1987","Saxony-Anhalt","Rural Area","","","",""
"No","1987","Thuringia","Urban Area","","","",""
"No","1987","Thuringia","Rural Area","","","",""
"Yes","1988","Schleswig-Holstein","Urban Area","","","",""
"Yes","1988","Schleswig-Holstein","Rural Area","","","",""
"Yes","1988","Hamburg","Urban Area","","","",""
"Yes","1988","Hamburg","Rural Area","","","",""
"Yes","1988","Lower Saxony","Urban Area","","","",""
"Yes","1988","Lower Saxony","Rural Area","","","",""
"Yes","1988","Bremen","Urban Area","","","",""
"Yes","1988","Bremen","Rural Area","","","",""
"Yes","1988","North Rhine-Westphalia","Urban Area","","","",""
"Yes","1988","North Rhine-Westphalia","Rural Area","","","",""
"Yes","1988","Hesse","Urban Area","","","",""
"Yes","1988","Hesse","Rural Area","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Yes","1988","Baden-Württemberg","Urban Area","","","",""
"Yes","1988","Baden-Württemberg","Rural Area","","","",""
"Yes","1988","Bavaria","Urban Area","","","",""
"Yes","1988","Bavaria","Rural Area","","","",""
"Yes","1988","Berlin","Urban Area","","","",""
"Yes","1988","Berlin","Rural Area","","","",""
"Yes","1988","Brandenburg","Urban Area","","","",""
"Yes","1988","Brandenburg","Rural Area","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Yes","1988","Saxony","Urban Area","","","",""
"Yes","1988","Saxony","Rural Area","","","",""
"Yes","1988","Saxony-Anhalt","Urban Area","","","",""
"Yes","1988","Saxony-Anhalt","Rural Area","","","",""
"Yes","1988","Thuringia","Urban Area","","","",""
"Yes","1988","Thuringia","Rural Area","","","",""
"No","1988","Schleswig-Holstein","Urban Area","61","1","1","1"
"No","1988","Schleswig-Holstein","Rural Area","57","1","1","1"
"No","1988","Hamburg","Urban Area","62","1","1","1"
"No","1988","Hamburg","Rural Area","1","","",""
"No","1988","Lower Saxony","Urban Area","215","1","1","1"
"No","1988","Lower Saxony","Rural Area","184","1","1","1"
"No","1988","Bremen","Urban Area","26","","",""
"No","1988","Bremen","Rural Area","","","",""
"No","1988","North Rhine-Westphalia","Urban Area","1003","1","1","1"
"No","1988","North Rhine-Westphalia","Rural Area","23","","",""
"No","1988","Hesse","Urban Area","390","1","1","1"
"No","1988","Hesse","Rural Area","42","1","1","1"
"No","1988","Rhineland-Palatinate,Saarland","Urban Area","217","1","1","1"
"No","1988","Rhineland-Palatinate,Saarland","Rural Area","48","1","1","1"
"No","1988","Baden-Württemberg","Urban Area","709","1","1","1"
"No","1988","Baden-Württemberg","Rural Area","101","1","1","1"
"No","1988","Bavaria","Urban Area","370","1","1","1"
"No","1988","Bavaria","Rural Area","360","1","1","1"
"No","1988","Berlin","Urban Area","158","1","1","1"
"No","1988","Berlin","Rural Area","","","",""
"No","1988","Brandenburg","Urban Area","","","",""
"No","1988","Brandenburg","Rural Area","","","",""
"No","1988","Mecklenburg-Western Pomerania","Urban Area","","","",""
"No","1988","Mecklenburg-Western Pomerania","Rural Area","","","",""
"No","1988","Saxony","Urban Area","","","",""
"No","1988","Saxony","Rural Area","","","",""
"No","1988","Saxony-Anhalt","Urban Area","","","",""
"No","1988","Saxony-Anhalt","Rural Area","","","",""
"No","1988","Thuringia","Urban Area","","","",""
"No","1988","Thuringia","Rural Area","","","",""
"Yes","1989","Schleswig-Holstein","Urban Area","","","",""
"Yes","1989","Schleswig-Holstein","Rural Area","","","",""
"Yes","1989","Hamburg","Urban Area","","","",""
"Yes","1989","Hamburg","Rural Area","","","",""
"Yes","1989","Lower Saxony","Urban Area","","","",""
"Yes","1989","Lower Saxony","Rural Area","","","",""
"Yes","1989","Bremen","Urban Area","","","",""
"Yes","1989","Bremen","Rural Area","","","",""
"Yes","1989","North Rhine-Westphalia","Urban Area","","","",""
"Yes","1989","North Rhine-Westphalia","Rural Area","","","",""
"Yes","1989","Hesse","Urban Area","","","",""
"Yes","1989","Hesse","Rural Area","","","",""
"Yes","1989","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Yes","1989","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Yes","1989","Baden-Württemberg","Urban Area","","","",""
"Yes","1989","Baden-Württemberg","Rural Area","","","",""
"Yes","1989","Bavaria","Urban Area","","","",""
"Yes","1989","Bavaria","Rural Area","","","",""
"Yes","1989","Berlin","Urban Area","","","",""
"Yes","1989","Berlin","Rural Area","","","",""
"Yes","1989","Brandenburg","Urban Area","","","",""
"Yes","1989","Brandenburg","Rural Area","","","",""
