"plb0196_h","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1986","1-pers.-HH","Urban Area","288","1","1","1","2"
"No","1986","1-pers.-HH","Rural Area","41","1","1","1","2"
"No","1986","(Married) couple without C. ","Urban Area","719","1","1","1","2"
"No","1986","Single parent ","Urban Area","162","1","1","1","2"
"No","1986","(Married) couple without C. ","Rural Area","143","1","1","1","2"
"No","1986","Couple + C. LE 16 ","Rural Area","240","1","1","1","2"
"No","1986","Single parent ","Rural Area","59","1","1","1","2"
"No","1986","Couple + C. GT 16 ","Urban Area","750","1","1","1","2"
"No","1986","Couple + C. LE 16 ","Urban Area","869","1","1","1","2"
"No","1986","Couple + C. GT 16 ","Rural Area","183","1","1","1","2"
"No","1986","Couple + C. LE and GT 16","Urban Area","498","1","1","1","2"
"No","1986","Couple + C. LE and GT 16","Rural Area","133","1","1","1","2"
"Yes","1986","1-pers.-HH","Urban Area","","","","","1"
"Yes","1986","1-pers.-HH","Rural Area","","","","","1"
"Yes","1986","(Married) couple without C. ","Urban Area","","","","","1"
"Yes","1986","(Married) couple without C. ","Rural Area","","","","","1"
"Yes","1986","Single parent ","Urban Area","","","","","1"
"Yes","1986","Single parent ","Rural Area","","","","","1"
"Yes","1986","Couple + C. LE 16 ","Urban Area","","","","","1"
"Yes","1986","Couple + C. LE 16 ","Rural Area","","","","","1"
"Yes","1986","Couple + C. GT 16 ","Urban Area","","","","","1"
"Yes","1986","Couple + C. GT 16 ","Rural Area","","","","","1"
"Yes","1986","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Yes","1986","Couple + C. LE and GT 16","Rural Area","","","","","1"
"No","1987","1-pers.-HH","Rural Area","","","","","2"
"No","1987","1-pers.-HH","Urban Area","","","","","2"
"No","1987","(Married) couple without C. ","Urban Area","","","","","2"
"No","1987","(Married) couple without C. ","Rural Area","","","","","2"
"No","1987","Single parent ","Urban Area","","","","","2"
"No","1987","Couple + C. LE 16 ","Rural Area","","","","","2"
"No","1987","Single parent ","Rural Area","","","","","2"
"No","1987","Couple + C. GT 16 ","Urban Area","","","","","2"
"No","1987","Couple + C. LE 16 ","Urban Area","","","","","2"
"No","1987","Couple + C. GT 16 ","Rural Area","","","","","2"
"No","1987","Couple + C. LE and GT 16","Urban Area","","","","","2"
"No","1987","Couple + C. LE and GT 16","Rural Area","","","","","2"
"Yes","1987","1-pers.-HH","Urban Area","","","","","1"
"Yes","1987","1-pers.-HH","Rural Area","","","","","1"
"Yes","1987","(Married) couple without C. ","Urban Area","","","","","1"
"Yes","1987","(Married) couple without C. ","Rural Area","","","","","1"
"Yes","1987","Single parent ","Urban Area","","","","","1"
"Yes","1987","Single parent ","Rural Area","","","","","1"
"Yes","1987","Couple + C. LE 16 ","Urban Area","","","","","1"
"Yes","1987","Couple + C. LE 16 ","Rural Area","","","","","1"
"Yes","1987","Couple + C. GT 16 ","Urban Area","","","","","1"
"Yes","1987","Couple + C. GT 16 ","Rural Area","","","","","1"
"Yes","1987","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Yes","1987","Couple + C. LE and GT 16","Rural Area","","","","","1"
"No","1988","1-pers.-HH","Urban Area","287","1","1","1","2"
"No","1988","(Married) couple without C. ","Rural Area","129","1","1","1","2"
"No","1988","1-pers.-HH","Rural Area","43","1","1","1","2"
"No","1988","(Married) couple without C. ","Urban Area","664","1","1","1","2"
"No","1988","Single parent ","Rural Area","66","1","1","1","2"
"No","1988","Couple + C. LE 16 ","Rural Area","212","1","1","1","2"
"No","1988","Single parent ","Urban Area","148","1","1","1","2"
"No","1988","Couple + C. LE 16 ","Urban Area","767","1","1","1","2"
"No","1988","Couple + C. GT 16 ","Urban Area","763","1","1","1","2"
"No","1988","Couple + C. GT 16 ","Rural Area","197","1","1","1","2"
"No","1988","Couple + C. LE and GT 16","Urban Area","403","1","1","1","2"
"No","1988","Couple + C. LE and GT 16","Rural Area","103","1","1","1","2"
"Yes","1988","Single parent ","Urban Area","","","","","1"
"Yes","1988","Single parent ","Rural Area","","","","","1"
"Yes","1988","Couple + C. LE 16 ","Urban Area","","","","","1"
"Yes","1988","Couple + C. LE 16 ","Rural Area","","","","","1"
"Yes","1988","Couple + C. GT 16 ","Urban Area","","","","","1"
"Yes","1988","Couple + C. GT 16 ","Rural Area","","","","","1"
"Yes","1988","1-pers.-HH","Urban Area","","","","","1"
"Yes","1988","1-pers.-HH","Rural Area","","","","","1"
"Yes","1988","(Married) couple without C. ","Urban Area","","","","","1"
"Yes","1988","(Married) couple without C. ","Rural Area","","","","","1"
"Yes","1988","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Yes","1988","Couple + C. LE and GT 16","Rural Area","","","","","1"
"No","1989","1-pers.-HH","Urban Area","278","1","1","1","2"
"No","1989","Couple + C. LE 16 ","Rural Area","208","1","1","1","2"
"No","1989","1-pers.-HH","Rural Area","40","1","1","1","2"
"No","1989","(Married) couple without C. ","Rural Area","138","1","1","1","2"
"No","1989","(Married) couple without C. ","Urban Area","658","1","1","1","2"
"No","1989","Single parent ","Urban Area","157","1","1","1","2"
"No","1989","Single parent ","Rural Area","55","1","1","1","2"
"No","1989","Couple + C. LE 16 ","Urban Area","744","1","1","1","2"
"No","1989","Couple + C. GT 16 ","Urban Area","716","1","1","1","2"
"No","1989","Couple + C. GT 16 ","Rural Area","172","1","1","1","2"
"No","1989","Couple + C. LE and GT 16","Urban Area","368","1","1","1","2"
"No","1989","Couple + C. LE and GT 16","Rural Area","93","1","1","1","2"
"Yes","1989","Single parent ","Urban Area","","","","","1"
"Yes","1989","Single parent ","Rural Area","","","","","1"
"Yes","1989","Couple + C. LE 16 ","Urban Area","","","","","1"
"Yes","1989","Couple + C. LE 16 ","Rural Area","","","","","1"
"Yes","1989","Couple + C. GT 16 ","Urban Area","","","","","1"
"Yes","1989","Couple + C. GT 16 ","Rural Area","","","","","1"
"Yes","1989","1-pers.-HH","Urban Area","","","","","1"
"Yes","1989","1-pers.-HH","Rural Area","","","","","1"
"Yes","1989","(Married) couple without C. ","Urban Area","","","","","1"
"Yes","1989","(Married) couple without C. ","Rural Area","","","","","1"
"Yes","1989","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Yes","1989","Couple + C. LE and GT 16","Rural Area","","","","","1"
"No","1990","1-pers.-HH","Urban Area","253","1","1","1","2"
"No","1990","1-pers.-HH","Rural Area","47","1","1","1","2"
"No","1990","Couple + C. LE 16 ","Rural Area","208","1","1","1","2"
"No","1990","(Married) couple without C. ","Rural Area","143","1","1","1","2"
"No","1990","(Married) couple without C. ","Urban Area","642","1","1","1","2"
"No","1990","Single parent ","Urban Area","160","1","1","1","2"
"No","1990","Single parent ","Rural Area","39","1","1","1","2"
"No","1990","Couple + C. LE 16 ","Urban Area","734","1","1","1","2"
"No","1990","Couple + C. GT 16 ","Urban Area","644","1","1","1","2"
"No","1990","Couple + C. GT 16 ","Rural Area","193","1","1","1","2"
"No","1990","Couple + C. LE and GT 16","Urban Area","319","1","1","1","2"
"No","1990","Couple + C. LE and GT 16","Rural Area","81","1","1","1","2"
"Yes","1990","1-pers.-HH","Urban Area","","","","","1"
"Yes","1990","1-pers.-HH","Rural Area","","","","","1"
"Yes","1990","Single parent ","Urban Area","","","","","1"
"Yes","1990","Single parent ","Rural Area","","","","","1"
"Yes","1990","Couple + C. LE 16 ","Urban Area","","","","","1"
"Yes","1990","Couple + C. LE 16 ","Rural Area","","","","","1"
"Yes","1990","Couple + C. GT 16 ","Urban Area","","","","","1"
"Yes","1990","Couple + C. GT 16 ","Rural Area","","","","","1"
"Yes","1990","(Married) couple without C. ","Urban Area","","","","","1"
"Yes","1990","(Married) couple without C. ","Rural Area","","","","","1"
"Yes","1990","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Yes","1990","Couple + C. LE and GT 16","Rural Area","","","","","1"
"No","1991","1-pers.-HH","Urban Area","286","1","1","1","2"
"No","1991","1-pers.-HH","Rural Area","73","1","1","1","2"
"No","1991","(Married) couple without C. ","Urban Area","746","1","1","1","2"
"No","1991","Couple + C. LE 16 ","Rural Area","682","1","1","1","2"
"No","1991","(Married) couple without C. ","Rural Area","361","1","1","1","2"
"No","1991","Single parent ","Urban Area","202","1","1","1","2"
"No","1991","Couple + C. LE 16 ","Urban Area","973","1","1","1","2"
"No","1991","Single parent ","Rural Area","98","1","1","1","2"
"No","1991","Couple + C. GT 16 ","Urban Area","741","1","1","1","2"
"No","1991","Couple + C. GT 16 ","Rural Area","477","1","1","1","2"
"No","1991","Couple + C. LE and GT 16","Urban Area","401","1","1","1","2"
"No","1991","Couple + C. LE and GT 16","Rural Area","204","1","1","1","2"
"Yes","1991","1-pers.-HH","Urban Area","","","","","1"
"Yes","1991","1-pers.-HH","Rural Area","","","","","1"
"Yes","1991","Single parent ","Urban Area","","","","","1"
"Yes","1991","Single parent ","Rural Area","","","","","1"
"Yes","1991","Couple + C. LE 16 ","Urban Area","","","","","1"
"Yes","1991","Couple + C. LE 16 ","Rural Area","","","","","1"
"Yes","1991","Couple + C. GT 16 ","Urban Area","","","","","1"
"Yes","1991","Couple + C. GT 16 ","Rural Area","","","","","1"
"Yes","1991","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Yes","1991","(Married) couple without C. ","Urban Area","","","","","1"
"Yes","1991","(Married) couple without C. ","Rural Area","","","","","1"
"Yes","1991","Couple + C. LE and GT 16","Rural Area","","","","","1"
"No","1992","1-pers.-HH","Urban Area","255","1","1","1","2"
"No","1992","1-pers.-HH","Rural Area","68","1","1","1","2"
"No","1992","Couple + C. LE 16 ","Rural Area","523","1","1","1","2"
"No","1992","(Married) couple without C. ","Urban Area","740","1","1","1","2"
"No","1992","(Married) couple without C. ","Rural Area","258","1","1","1","2"
"No","1992","Single parent ","Urban Area","189","1","1","1","2"
"No","1992","Single parent ","Rural Area","73","1","1","1","2"
"No","1992","Couple + C. LE 16 ","Urban Area","904","1","1","1","2"
"No","1992","Couple + C. GT 16 ","Urban Area","714","1","1","1","2"
"No","1992","Couple + C. GT 16 ","Rural Area","426","1","1","1","2"
"No","1992","Couple + C. LE and GT 16","Urban Area","336","1","1","1","2"
"No","1992","Couple + C. LE and GT 16","Rural Area","187","1","1","1","2"
"Yes","1992","1-pers.-HH","Urban Area","","","","","1"
"Yes","1992","1-pers.-HH","Rural Area","","","","","1"
"Yes","1992","Single parent ","Urban Area","","","","","1"
"Yes","1992","Single parent ","Rural Area","","","","","1"
"Yes","1992","Couple + C. LE 16 ","Urban Area","","","","","1"
"Yes","1992","Couple + C. LE 16 ","Rural Area","","","","","1"
"Yes","1992","Couple + C. GT 16 ","Urban Area","","","","","1"
"Yes","1992","Couple + C. GT 16 ","Rural Area","","","","","1"
