"plb0196_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Full Time","West Germany","3078","1","1","1","2"
"No","1986","Full Time","East Germany","","","","","2"
"No","1986","Part Time","East Germany","","","","","2"
"No","1986","Part Time","West Germany","1132","1","1","1","2"
"No","1986","Not Working","West Germany","120","1","1","1","2"
"No","1986","Not Working","East Germany","","","","","2"
"Yes","1986","Full Time","West Germany","","","","","1"
"Yes","1986","Full Time","East Germany","","","","","1"
"Yes","1986","Part Time","West Germany","","","","","1"
"Yes","1986","Part Time","East Germany","","","","","1"
"Yes","1986","Not Working","West Germany","","","","","1"
"Yes","1986","Not Working","East Germany","","","","","1"
"No","1987","Full Time","West Germany","","","","","2"
"No","1987","Full Time","East Germany","","","","","2"
"No","1987","Part Time","East Germany","","","","","2"
"No","1987","Part Time","West Germany","","","","","2"
"No","1987","Not Working","West Germany","","","","","2"
"No","1987","Not Working","East Germany","","","","","2"
"Yes","1987","Full Time","West Germany","","","","","1"
"Yes","1987","Full Time","East Germany","","","","","1"
"Yes","1987","Part Time","West Germany","","","","","1"
"Yes","1987","Part Time","East Germany","","","","","1"
"Yes","1987","Not Working","West Germany","","","","","1"
"Yes","1987","Not Working","East Germany","","","","","1"
"No","1988","Full Time","West Germany","2882","1","1","1","2"
"No","1988","Full Time","East Germany","","","","","2"
"No","1988","Part Time","West Germany","1059","1","1","1","2"
"No","1988","Part Time","East Germany","","","","","2"
"No","1988","Not Working","West Germany","86","1","1","1","2"
"No","1988","Not Working","East Germany","","","","","2"
"Yes","1988","Full Time","West Germany","","","","","1"
"Yes","1988","Full Time","East Germany","","","","","1"
"Yes","1988","Part Time","West Germany","","","","","1"
"Yes","1988","Part Time","East Germany","","","","","1"
"Yes","1988","Not Working","West Germany","","","","","1"
"Yes","1988","Not Working","East Germany","","","","","1"
"No","1989","Full Time","West Germany","2734","1","1","1","2"
"No","1989","Full Time","East Germany","","","","","2"
"No","1989","Part Time","West Germany","1032","1","1","1","2"
"No","1989","Part Time","East Germany","","","","","2"
"No","1989","Not Working","West Germany","90","1","1","1","2"
"No","1989","Not Working","East Germany","","","","","2"
"Yes","1989","Full Time","West Germany","","","","","1"
"Yes","1989","Full Time","East Germany","","","","","1"
"Yes","1989","Part Time","West Germany","","","","","1"
"Yes","1989","Part Time","East Germany","","","","","1"
"Yes","1989","Not Working","West Germany","","","","","1"
"Yes","1989","Not Working","East Germany","","","","","1"
"No","1990","Full Time","West Germany","2567","1","1","1","2"
"No","1990","Full Time","East Germany","","","","","2"
"No","1990","Part Time","West Germany","1062","1","1","1","2"
"No","1990","Part Time","East Germany","","","","","2"
"No","1990","Not Working","West Germany","85","1","1","1","2"
"No","1990","Not Working","East Germany","","","","","2"
"Yes","1990","Full Time","West Germany","","","","","1"
"Yes","1990","Full Time","East Germany","","","","","1"
"Yes","1990","Part Time","West Germany","","","","","1"
"Yes","1990","Part Time","East Germany","","","","","1"
"Yes","1990","Not Working","West Germany","","","","","1"
"Yes","1990","Not Working","East Germany","","","","","1"
"No","1991","Full Time","West Germany","2488","1","1","1","2"
"No","1991","Full Time","East Germany","","","","","2"
"No","1991","Part Time","West Germany","1073","1","1","1","2"
"No","1991","Part Time","East Germany","","","","","2"
"No","1991","Not Working","West Germany","111","1","1","1","2"
"No","1991","Not Working","East Germany","","","","","2"
"Yes","1991","Full Time","West Germany","","","","","1"
"Yes","1991","Full Time","East Germany","","","","","1"
"Yes","1991","Part Time","West Germany","","","","","1"
"Yes","1991","Part Time","East Germany","","","","","1"
"Yes","1991","Not Working","West Germany","","","","","1"
"Yes","1991","Not Working","East Germany","","","","","1"
"No","1992","Full Time","West Germany","2499","1","1","1","2"
"No","1992","Full Time","East Germany","1096","1","1","1","2"
"No","1992","Part Time","West Germany","1034","1","1","1","2"
"No","1992","Part Time","East Germany","308","1","1","1","2"
"No","1992","Not Working","West Germany","70","1","1","1","2"
"No","1992","Not Working","East Germany","31","1","1","1","2"
"Yes","1992","Full Time","West Germany","","","","","1"
"Yes","1992","Full Time","East Germany","","","","","1"
"Yes","1992","Part Time","West Germany","","","","","1"
"Yes","1992","Part Time","East Germany","","","","","1"
"Yes","1992","Not Working","West Germany","","","","","1"
"Yes","1992","Not Working","East Germany","","","","","1"
"No","1993","Full Time","West Germany","2563","1","1","1","2"
"No","1993","Full Time","East Germany","953","1","1","1","2"
"No","1993","Part Time","West Germany","1045","1","1","1","2"
"No","1993","Part Time","East Germany","254","1","1","1","2"
"No","1993","Not Working","West Germany","97","1","1","1","2"
"No","1993","Not Working","East Germany","51","1","1","1","2"
"Yes","1993","Full Time","West Germany","","","","","1"
"Yes","1993","Full Time","East Germany","","","","","1"
"Yes","1993","Part Time","West Germany","","","","","1"
"Yes","1993","Part Time","East Germany","","","","","1"
"Yes","1993","Not Working","West Germany","","","","","1"
"Yes","1993","Not Working","East Germany","","","","","1"
"No","1994","Full Time","West Germany","2337","1","1","1","2"
"No","1994","Full Time","East Germany","882","1","1","1","2"
"No","1994","Part Time","West Germany","1000","1","1","1","2"
"No","1994","Part Time","East Germany","254","1","1","1","2"
"No","1994","Not Working","West Germany","90","1","1","1","2"
"No","1994","Not Working","East Germany","41","1","1","1","2"
"Yes","1994","Full Time","West Germany","","","","","1"
"Yes","1994","Full Time","East Germany","","","","","1"
"Yes","1994","Part Time","West Germany","","","","","1"
"Yes","1994","Part Time","East Germany","","","","","1"
"Yes","1994","Not Working","West Germany","","","","","1"
"Yes","1994","Not Working","East Germany","","","","","1"
"No","1995","Full Time","West Germany","2190","1","1","1","2"
"No","1995","Full Time","East Germany","828","1","1","1","2"
"No","1995","Part Time","West Germany","1129","1","1","1","2"
"No","1995","Part Time","East Germany","301","1","1","1","2"
"No","1995","Not Working","West Germany","96","1","1","1","2"
"No","1995","Not Working","East Germany","56","1","1","1","2"
"Yes","1995","Full Time","West Germany","","","","","1"
"Yes","1995","Full Time","East Germany","","","","","1"
"Yes","1995","Part Time","West Germany","","","","","1"
"Yes","1995","Part Time","East Germany","","","","","1"
"Yes","1995","Not Working","West Germany","","","","","1"
"Yes","1995","Not Working","East Germany","","","","","1"
"No","1996","Full Time","West Germany","2002","1","1","1","2"
"No","1996","Full Time","East Germany","836","1","1","1","2"
"No","1996","Part Time","West Germany","1223","1","1","1","2"
"No","1996","Part Time","East Germany","283","1","1","1","2"
"No","1996","Not Working","West Germany","78","1","1","1","2"
"No","1996","Not Working","East Germany","43","1","1","1","2"
"Yes","1996","Full Time","West Germany","","","","","1"
"Yes","1996","Full Time","East Germany","","","","","1"
"Yes","1996","Part Time","West Germany","","","","","1"
"Yes","1996","Part Time","East Germany","","","","","1"
"Yes","1996","Not Working","West Germany","","","","","1"
"Yes","1996","Not Working","East Germany","","","","","1"
"No","1997","Full Time","West Germany","723","1","1","1","2"
"No","1997","Full Time","East Germany","328","1","1","1","2"
"No","1997","Part Time","West Germany","249","1","1","1","2"
"No","1997","Part Time","East Germany","106","1","1","1","2"
"No","1997","Not Working","West Germany","13","","","","2"
"No","1997","Not Working","East Germany","7","","","","2"
"Yes","1997","Full Time","West Germany","","","","","1"
"Yes","1997","Full Time","East Germany","","","","","1"
"Yes","1997","Part Time","West Germany","","","","","1"
"Yes","1997","Part Time","East Germany","","","","","1"
"Yes","1997","Not Working","West Germany","","","","","1"
"Yes","1997","Not Working","East Germany","","","","","1"
"No","1998","Full Time","West Germany","674","1","1","1","2"
"No","1998","Full Time","East Germany","376","1","1","1","2"
"No","1998","Part Time","West Germany","325","1","1","1","2"
"No","1998","Part Time","East Germany","107","1","1","1","2"
"No","1998","Not Working","West Germany","15","","","","2"
"No","1998","Not Working","East Germany","8","","","","2"
"Yes","1998","Full Time","West Germany","","","","","1"
"Yes","1998","Full Time","East Germany","","","","","1"
"Yes","1998","Part Time","West Germany","","","","","1"
"Yes","1998","Part Time","East Germany","","","","","1"
"Yes","1998","Not Working","West Germany","","","","","1"
"Yes","1998","Not Working","East Germany","","","","","1"
"No","1999","Full Time","West Germany","656","1","1","1","2"
"No","1999","Full Time","East Germany","347","1","1","1","2"
"No","1999","Not Working","West Germany","12","","","","2"
"No","1999","Part Time","West Germany","279","1","1","1","2"
"No","1999","Part Time","East Germany","114","1","1","1","2"
"No","1999","Not Working","East Germany","5","","","","2"
"Yes","1999","Full Time","West Germany","","","","","1"
"Yes","1999","Full Time","East Germany","","","","","1"
"Yes","1999","Part Time","West Germany","","","","","1"
"Yes","1999","Part Time","East Germany","","","","","1"
"Yes","1999","Not Working","West Germany","","","","","1"
"Yes","1999","Not Working","East Germany","","","","","1"
"No","2000","Full Time","West Germany","1309","1","1","1","2"
