"plb0196_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1986","16-34 y.","Male","","","",""
"Yes","1986","16-34 y.","Female","","","",""
"Yes","1986","35-65 y.","Male","","","",""
"Yes","1986","35-65 y.","Female","","","",""
"Yes","1986","66 and older","Male","","","",""
"Yes","1986","66 and older","Female","","","",""
"No","1986","16-34 y.","Male","972","1","1","1"
"No","1986","16-34 y.","Female","844","1","1","1"
"No","1986","35-65 y.","Male","1459","1","1","1"
"No","1986","35-65 y.","Female","1026","1","1","1"
"No","1986","66 and older","Male","16","","",""
"No","1986","66 and older","Female","13","","",""
"Yes","1987","16-34 y.","Male","","","",""
"Yes","1987","16-34 y.","Female","","","",""
"Yes","1987","35-65 y.","Male","","","",""
"Yes","1987","35-65 y.","Female","","","",""
"Yes","1987","66 and older","Male","","","",""
"Yes","1987","66 and older","Female","","","",""
"No","1987","16-34 y.","Male","","","",""
"No","1987","16-34 y.","Female","","","",""
"No","1987","35-65 y.","Male","","","",""
"No","1987","35-65 y.","Female","","","",""
"No","1987","66 and older","Male","","","",""
"No","1987","66 and older","Female","","","",""
"Yes","1988","16-34 y.","Male","","","",""
"Yes","1988","16-34 y.","Female","","","",""
"Yes","1988","35-65 y.","Male","","","",""
"Yes","1988","35-65 y.","Female","","","",""
"Yes","1988","66 and older","Male","","","",""
"Yes","1988","66 and older","Female","","","",""
"No","1988","16-34 y.","Male","918","1","1","1"
"No","1988","16-34 y.","Female","745","1","1","1"
"No","1988","35-65 y.","Male","1351","1","1","1"
"No","1988","35-65 y.","Female","982","1","1","1"
"No","1988","66 and older","Male","19","","",""
"No","1988","66 and older","Female","12","","",""
"Yes","1989","16-34 y.","Male","","","",""
"Yes","1989","16-34 y.","Female","","","",""
"Yes","1989","35-65 y.","Male","","","",""
"Yes","1989","35-65 y.","Female","","","",""
"Yes","1989","66 and older","Male","","","",""
"Yes","1989","66 and older","Female","","","",""
"No","1989","16-34 y.","Male","913","1","1","1"
"No","1989","16-34 y.","Female","722","1","1","1"
"No","1989","35-65 y.","Male","1239","1","1","1"
"No","1989","35-65 y.","Female","950","1","1","1"
"No","1989","66 and older","Male","19","","",""
"No","1989","66 and older","Female","13","","",""
"Yes","1990","16-34 y.","Male","","","",""
"Yes","1990","16-34 y.","Female","","","",""
"Yes","1990","35-65 y.","Male","","","",""
"Yes","1990","35-65 y.","Female","","","",""
"Yes","1990","66 and older","Male","","","",""
"Yes","1990","66 and older","Female","","","",""
"No","1990","16-34 y.","Male","826","1","1","1"
"No","1990","16-34 y.","Female","742","1","1","1"
"No","1990","35-65 y.","Male","1184","1","1","1"
"No","1990","35-65 y.","Female","935","1","1","1"
"No","1990","66 and older","Male","19","","",""
"No","1990","66 and older","Female","8","","",""
"Yes","1991","16-34 y.","Male","","","",""
"Yes","1991","16-34 y.","Female","","","",""
"Yes","1991","35-65 y.","Male","","","",""
"Yes","1991","35-65 y.","Female","","","",""
"Yes","1991","66 and older","Male","","","",""
"Yes","1991","66 and older","Female","","","",""
"No","1991","16-34 y.","Male","1253","1","1","1"
"No","1991","16-34 y.","Female","1090","1","1","1"
"No","1991","35-65 y.","Male","1730","1","1","1"
"No","1991","35-65 y.","Female","1552","1","1","1"
"No","1991","66 and older","Male","22","","",""
"No","1991","66 and older","Female","14","","",""
"Yes","1992","16-34 y.","Male","","","",""
"Yes","1992","16-34 y.","Female","","","",""
"Yes","1992","35-65 y.","Male","","","",""
"Yes","1992","35-65 y.","Female","","","",""
"Yes","1992","66 and older","Male","","","",""
"Yes","1992","66 and older","Female","","","",""
"No","1992","16-34 y.","Male","1110","1","1","1"
"No","1992","16-34 y.","Female","916","1","1","1"
"No","1992","35-65 y.","Male","1597","1","1","1"
"No","1992","35-65 y.","Female","1391","1","1","1"
"No","1992","66 and older","Male","16","","",""
"No","1992","66 and older","Female","8","","",""
"Yes","1993","16-34 y.","Male","","","",""
"Yes","1993","16-34 y.","Female","","","",""
"Yes","1993","35-65 y.","Male","","","",""
"Yes","1993","35-65 y.","Female","","","",""
"Yes","1993","66 and older","Male","","","",""
"Yes","1993","66 and older","Female","","","",""
"No","1993","16-34 y.","Male","1119","1","1","1"
"No","1993","16-34 y.","Female","949","1","1","1"
"No","1993","35-65 y.","Male","1538","1","1","1"
"No","1993","35-65 y.","Female","1331","1","1","1"
"No","1993","66 and older","Male","17","","",""
"No","1993","66 and older","Female","9","","",""
"Yes","1994","16-34 y.","Male","","","",""
"Yes","1994","16-34 y.","Female","","","",""
"Yes","1994","35-65 y.","Male","","","",""
"Yes","1994","35-65 y.","Female","","","",""
"Yes","1994","66 and older","Male","","","",""
"Yes","1994","66 and older","Female","","","",""
"No","1994","16-34 y.","Male","980","1","1","1"
"No","1994","16-34 y.","Female","889","1","1","1"
"No","1994","35-65 y.","Male","1460","1","1","1"
"No","1994","35-65 y.","Female","1250","1","1","1"
"No","1994","66 and older","Male","17","","",""
"No","1994","66 and older","Female","8","","",""
"Yes","1995","16-34 y.","Male","","","",""
"Yes","1995","16-34 y.","Female","","","",""
"Yes","1995","35-65 y.","Male","","","",""
"Yes","1995","35-65 y.","Female","","","",""
"Yes","1995","66 and older","Male","","","",""
"Yes","1995","66 and older","Female","","","",""
"No","1995","16-34 y.","Male","955","1","1","1"
"No","1995","16-34 y.","Female","873","1","1","1"
"No","1995","35-65 y.","Male","1459","1","1","1"
"No","1995","35-65 y.","Female","1282","1","1","1"
"No","1995","66 and older","Male","19","","",""
"No","1995","66 and older","Female","12","","",""
"Yes","1996","16-34 y.","Male","","","",""
"Yes","1996","16-34 y.","Female","","","",""
