"plb0196_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","1986","in school","Urban Area","","","",""
"Yes","1986","in school","Rural Area","","","",""
"Yes","1986","inadequately","Urban Area","","","",""
"Yes","1986","inadequately","Rural Area","","","",""
"Yes","1986","general elemantary","Urban Area","","","",""
"Yes","1986","general elemantary","Rural Area","","","",""
"Yes","1986","middle vocational","Urban Area","","","",""
"Yes","1986","middle vocational","Rural Area","","","",""
"Yes","1986","vocational + Abi","Urban Area","","","",""
"Yes","1986","vocational + Abi","Rural Area","","","",""
"Yes","1986","higher vocational","Urban Area","","","",""
"Yes","1986","higher vocational","Rural Area","","","",""
"Yes","1986","higher education","Urban Area","","","",""
"Yes","1986","higher education","Rural Area","","","",""
"No","1986","in school","Urban Area","3","","",""
"No","1986","in school","Rural Area","1","","",""
"No","1986","inadequately","Urban Area","322","1","1","1"
"No","1986","inadequately","Rural Area","37","1","1","1"
"No","1986","general elemantary","Urban Area","865","1","1","1"
"No","1986","general elemantary","Rural Area","244","1","1","1"
"No","1986","middle vocational","Urban Area","1663","1","1","1"
"No","1986","middle vocational","Rural Area","461","1","1","1"
"No","1986","vocational + Abi","Urban Area","101","1","1","1"
"No","1986","vocational + Abi","Rural Area","17","","",""
"No","1986","higher vocational","Urban Area","179","1","1","1"
"No","1986","higher vocational","Rural Area","54","1","1","1"
"No","1986","higher education","Urban Area","274","1","1","1"
"No","1986","higher education","Rural Area","50","1","1","1"
"Yes","1987","in school","Urban Area","","","",""
"Yes","1987","in school","Rural Area","","","",""
"Yes","1987","inadequately","Urban Area","","","",""
"Yes","1987","inadequately","Rural Area","","","",""
"Yes","1987","general elemantary","Urban Area","","","",""
"Yes","1987","general elemantary","Rural Area","","","",""
"Yes","1987","middle vocational","Urban Area","","","",""
"Yes","1987","middle vocational","Rural Area","","","",""
"Yes","1987","vocational + Abi","Urban Area","","","",""
"Yes","1987","vocational + Abi","Rural Area","","","",""
"Yes","1987","higher vocational","Urban Area","","","",""
"Yes","1987","higher vocational","Rural Area","","","",""
"Yes","1987","higher education","Urban Area","","","",""
"Yes","1987","higher education","Rural Area","","","",""
"No","1987","in school","Urban Area","","","",""
"No","1987","in school","Rural Area","","","",""
"No","1987","inadequately","Urban Area","","","",""
"No","1987","inadequately","Rural Area","","","",""
"No","1987","general elemantary","Urban Area","","","",""
"No","1987","general elemantary","Rural Area","","","",""
"No","1987","middle vocational","Urban Area","","","",""
"No","1987","middle vocational","Rural Area","","","",""
"No","1987","vocational + Abi","Urban Area","","","",""
"No","1987","vocational + Abi","Rural Area","","","",""
"No","1987","higher vocational","Urban Area","","","",""
"No","1987","higher vocational","Rural Area","","","",""
"No","1987","higher education","Urban Area","","","",""
"No","1987","higher education","Rural Area","","","",""
"Yes","1988","in school","Urban Area","","","",""
"Yes","1988","in school","Rural Area","","","",""
"Yes","1988","inadequately","Urban Area","","","",""
"Yes","1988","inadequately","Rural Area","","","",""
"Yes","1988","general elemantary","Urban Area","","","",""
"Yes","1988","general elemantary","Rural Area","","","",""
"Yes","1988","middle vocational","Urban Area","","","",""
"Yes","1988","middle vocational","Rural Area","","","",""
"Yes","1988","vocational + Abi","Urban Area","","","",""
