"plb0196_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Schleswig-Holstein","lower secondary degree","","","",""
"Yes","1986","Schleswig-Holstein","secondary school degree","","","",""
"Yes","1986","Schleswig-Holstein","college entrance qualification","","","",""
"Yes","1986","Schleswig-Holstein","Other degree","","","",""
"Yes","1986","Schleswig-Holstein","no degree/no degree yet","","","",""
"Yes","1986","Hamburg","lower secondary degree","","","",""
"Yes","1986","Hamburg","secondary school degree","","","",""
"Yes","1986","Hamburg","college entrance qualification","","","",""
"Yes","1986","Hamburg","Other degree","","","",""
"Yes","1986","Hamburg","no degree/no degree yet","","","",""
"Yes","1986","Lower Saxony","lower secondary degree","","","",""
"Yes","1986","Lower Saxony","secondary school degree","","","",""
"Yes","1986","Lower Saxony","college entrance qualification","","","",""
"Yes","1986","Lower Saxony","Other degree","","","",""
"Yes","1986","Lower Saxony","no degree/no degree yet","","","",""
"Yes","1986","Bremen","lower secondary degree","","","",""
"Yes","1986","Bremen","secondary school degree","","","",""
"Yes","1986","Bremen","college entrance qualification","","","",""
"Yes","1986","Bremen","Other degree","","","",""
"Yes","1986","Bremen","no degree/no degree yet","","","",""
"Yes","1986","North Rhine-Westphalia","lower secondary degree","","","",""
"Yes","1986","North Rhine-Westphalia","secondary school degree","","","",""
"Yes","1986","North Rhine-Westphalia","college entrance qualification","","","",""
"Yes","1986","North Rhine-Westphalia","Other degree","","","",""
"Yes","1986","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Yes","1986","Hesse","lower secondary degree","","","",""
"Yes","1986","Hesse","secondary school degree","","","",""
"Yes","1986","Hesse","college entrance qualification","","","",""
"Yes","1986","Hesse","Other degree","","","",""
"Yes","1986","Hesse","no degree/no degree yet","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Yes","1986","Baden-Württemberg","lower secondary degree","","","",""
"Yes","1986","Baden-Württemberg","secondary school degree","","","",""
"Yes","1986","Baden-Württemberg","college entrance qualification","","","",""
"Yes","1986","Baden-Württemberg","Other degree","","","",""
"Yes","1986","Baden-Württemberg","no degree/no degree yet","","","",""
"Yes","1986","Bavaria","lower secondary degree","","","",""
"Yes","1986","Bavaria","secondary school degree","","","",""
"Yes","1986","Bavaria","college entrance qualification","","","",""
"Yes","1986","Bavaria","Other degree","","","",""
"Yes","1986","Bavaria","no degree/no degree yet","","","",""
