"plb0196_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1986","lower secondary degree","(0) in school","","","",""
"Yes","1986","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","1986","lower secondary degree","(1b) general elementary school","","","",""
"Yes","1986","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","1986","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","1986","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","1986","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","1986","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","1986","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","1986","secondary school degree","(0) in school","","","",""
"Yes","1986","secondary school degree","(1a) inadequately completed","","","",""
"Yes","1986","secondary school degree","(1b) general elementary school","","","",""
"Yes","1986","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","1986","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","1986","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","1986","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","1986","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","1986","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","1986","college entrance qualification","(0) in school","","","",""
"Yes","1986","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","1986","college entrance qualification","(1b) general elementary school","","","",""
"Yes","1986","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","1986","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","1986","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","1986","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","1986","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","1986","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","1986","Other degree","(0) in school","","","",""
"Yes","1986","Other degree","(1a) inadequately completed","","","",""
"Yes","1986","Other degree","(1b) general elementary school","","","",""
"Yes","1986","Other degree","(1c) basic vocational qualification","","","",""
"Yes","1986","Other degree","(2b) intermediate general qualification","","","",""
"Yes","1986","Other degree","(2a) intermediate vocational","","","",""
"Yes","1986","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Other degree","(3a) lower tertiary education","","","",""
"Yes","1986","Other degree","(3b) higher tertiary education","","","",""
"Yes","1986","no degree/no degree yet","(0) in school","","","",""
"Yes","1986","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","1986","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","1986","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","1986","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","1986","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","1986","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","1986","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","1986","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","1986","lower secondary degree","(0) in school","","","",""
"No","1986","lower secondary degree","(1a) inadequately completed","","","",""
"No","1986","lower secondary degree","(1b) general elementary school","623","1","1","1"
"No","1986","lower secondary degree","(1c) basic vocational qualification","1369","1","1","1"
"No","1986","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","1986","lower secondary degree","(2a) intermediate vocational","","","",""
"No","1986","lower secondary degree","(2c_gen) general maturity certificate","3","","",""
"No","1986","lower secondary degree","(2c_voc) vocational maturity certificate","4","","",""
"No","1986","lower secondary degree","(3a) lower tertiary education","6","","",""
"No","1986","lower secondary degree","(3b) higher tertiary education","2","","",""
"No","1986","secondary school degree","(0) in school","","","",""
"No","1986","secondary school degree","(1a) inadequately completed","","","",""
"No","1986","secondary school degree","(1b) general elementary school","","","",""
"No","1986","secondary school degree","(1c) basic vocational qualification","","","",""
"No","1986","secondary school degree","(2b) intermediate general qualification","172","1","1","1"
"No","1986","secondary school degree","(2a) intermediate vocational","543","1","1","1"
"No","1986","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"No","1986","secondary school degree","(2c_voc) vocational maturity certificate","1","","",""
"No","1986","secondary school degree","(3a) lower tertiary education","19","","",""
"No","1986","secondary school degree","(3b) higher tertiary education","7","","",""
"No","1986","college entrance qualification","(0) in school","","","",""
"No","1986","college entrance qualification","(1a) inadequately completed","","","",""
"No","1986","college entrance qualification","(1b) general elementary school","","","",""
"No","1986","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","1986","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","1986","college entrance qualification","(2a) intermediate vocational","","","",""
"No","1986","college entrance qualification","(2c_gen) general maturity certificate","93","1","1","1"
"No","1986","college entrance qualification","(2c_voc) vocational maturity certificate","111","1","1","1"
"No","1986","college entrance qualification","(3a) lower tertiary education","70","1","1","1"
"No","1986","college entrance qualification","(3b) higher tertiary education","188","1","1","1"
"No","1986","Other degree","(0) in school","","","",""
"No","1986","Other degree","(1a) inadequately completed","","","",""
"No","1986","Other degree","(1b) general elementary school","328","1","1","1"
"No","1986","Other degree","(1c) basic vocational qualification","212","1","1","1"
"No","1986","Other degree","(2b) intermediate general qualification","","","",""
"No","1986","Other degree","(2a) intermediate vocational","","","",""
"No","1986","Other degree","(2c_gen) general maturity certificate","34","1","1","1"
"No","1986","Other degree","(2c_voc) vocational maturity certificate","47","1","1","1"
"No","1986","Other degree","(3a) lower tertiary education","1","","",""
"No","1986","Other degree","(3b) higher tertiary education","29","","",""
"No","1986","no degree/no degree yet","(0) in school","5","","",""
"No","1986","no degree/no degree yet","(1a) inadequately completed","389","1","1","1"
"No","1986","no degree/no degree yet","(1b) general elementary school","","","",""
