"plb0196_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1986","no migration background","Male","1530","1","1","1","2"
"No","1986","no migration background","Female","1289","1","1","1","2"
"No","1986","direct migration background","Female","555","1","1","1","2"
"No","1986","direct migration background","Male","886","1","1","1","2"
"No","1986","indirect migration background","Male","31","1","1","1","2"
"No","1986","indirect migration background","Female","39","1","1","1","2"
"Yes","1986","no migration background","Male","","","","","1"
"Yes","1986","no migration background","Female","","","","","1"
"Yes","1986","direct migration background","Male","","","","","1"
"Yes","1986","direct migration background","Female","","","","","1"
"Yes","1986","indirect migration background","Male","","","","","1"
"Yes","1986","indirect migration background","Female","","","","","1"
"No","1987","no migration background","Male","","","","","2"
"No","1987","no migration background","Female","","","","","2"
"No","1987","direct migration background","Female","","","","","2"
"No","1987","direct migration background","Male","","","","","2"
"No","1987","indirect migration background","Male","","","","","2"
"No","1987","indirect migration background","Female","","","","","2"
"Yes","1987","no migration background","Male","","","","","1"
"Yes","1987","no migration background","Female","","","","","1"
"Yes","1987","direct migration background","Male","","","","","1"
"Yes","1987","direct migration background","Female","","","","","1"
"Yes","1987","indirect migration background","Male","","","","","1"
"Yes","1987","indirect migration background","Female","","","","","1"
"No","1988","no migration background","Male","1453","1","1","1","2"
"No","1988","no migration background","Female","1194","1","1","1","2"
"No","1988","direct migration background","Male","787","1","1","1","2"
"No","1988","direct migration background","Female","504","1","1","1","2"
"No","1988","indirect migration background","Male","48","1","1","1","2"
"No","1988","indirect migration background","Female","41","1","1","1","2"
"Yes","1988","no migration background","Male","","","","","1"
"Yes","1988","no migration background","Female","","","","","1"
"Yes","1988","direct migration background","Male","","","","","1"
"Yes","1988","direct migration background","Female","","","","","1"
"Yes","1988","indirect migration background","Male","","","","","1"
"Yes","1988","indirect migration background","Female","","","","","1"
"No","1989","no migration background","Male","1378","1","1","1","2"
"No","1989","no migration background","Female","1157","1","1","1","2"
"No","1989","direct migration background","Male","743","1","1","1","2"
"No","1989","direct migration background","Female","480","1","1","1","2"
"No","1989","indirect migration background","Male","50","1","1","1","2"
"No","1989","indirect migration background","Female","48","1","1","1","2"
"Yes","1989","no migration background","Male","","","","","1"
"Yes","1989","no migration background","Female","","","","","1"
"Yes","1989","direct migration background","Male","","","","","1"
"Yes","1989","direct migration background","Female","","","","","1"
"Yes","1989","indirect migration background","Male","","","","","1"
"Yes","1989","indirect migration background","Female","","","","","1"
"No","1990","no migration background","Male","1252","1","1","1","2"
"No","1990","no migration background","Female","1147","1","1","1","2"
"No","1990","direct migration background","Male","719","1","1","1","2"
"No","1990","direct migration background","Female","478","1","1","1","2"
"No","1990","indirect migration background","Male","58","1","1","1","2"
"No","1990","indirect migration background","Female","60","1","1","1","2"
"Yes","1990","no migration background","Male","","","","","1"
"Yes","1990","no migration background","Female","","","","","1"
"Yes","1990","direct migration background","Male","","","","","1"
"Yes","1990","direct migration background","Female","","","","","1"
"Yes","1990","indirect migration background","Male","","","","","1"
"Yes","1990","indirect migration background","Female","","","","","1"
"No","1991","no migration background","Male","2216","1","1","1","2"
"No","1991","no migration background","Female","2051","1","1","1","2"
"No","1991","direct migration background","Male","713","1","1","1","2"
"No","1991","direct migration background","Female","533","1","1","1","2"
"No","1991","indirect migration background","Male","76","1","1","1","2"
"No","1991","indirect migration background","Female","72","1","1","1","2"
"Yes","1991","no migration background","Male","","","","","1"
"Yes","1991","no migration background","Female","","","","","1"
"Yes","1991","direct migration background","Male","","","","","1"
"Yes","1991","direct migration background","Female","","","","","1"
"Yes","1991","indirect migration background","Male","","","","","1"
"Yes","1991","indirect migration background","Female","","","","","1"
"No","1992","no migration background","Male","1928","1","1","1","2"
"No","1992","no migration background","Female","1755","1","1","1","2"
"No","1992","direct migration background","Male","712","1","1","1","2"
"No","1992","direct migration background","Female","476","1","1","1","2"
"No","1992","indirect migration background","Male","83","1","1","1","2"
"No","1992","indirect migration background","Female","84","1","1","1","2"
"Yes","1992","no migration background","Male","","","","","1"
"Yes","1992","no migration background","Female","","","","","1"
"Yes","1992","direct migration background","Male","","","","","1"
"Yes","1992","direct migration background","Female","","","","","1"
"Yes","1992","indirect migration background","Male","","","","","1"
"Yes","1992","indirect migration background","Female","","","","","1"
"No","1993","no migration background","Male","1872","1","1","1","2"
"No","1993","no migration background","Female","1723","1","1","1","2"
"No","1993","direct migration background","Male","697","1","1","1","2"
"No","1993","direct migration background","Female","472","1","1","1","2"
"No","1993","indirect migration background","Male","105","1","1","1","2"
"No","1993","indirect migration background","Female","94","1","1","1","2"
"Yes","1993","no migration background","Male","","","","","1"
"Yes","1993","no migration background","Female","","","","","1"
"Yes","1993","direct migration background","Male","","","","","1"
"Yes","1993","direct migration background","Female","","","","","1"
"Yes","1993","indirect migration background","Male","","","","","1"
"Yes","1993","indirect migration background","Female","","","","","1"
"No","1994","no migration background","Male","1754","1","1","1","2"
"No","1994","no migration background","Female","1632","1","1","1","2"
"No","1994","direct migration background","Male","595","1","1","1","2"
"No","1994","direct migration background","Female","419","1","1","1","2"
"No","1994","indirect migration background","Male","108","1","1","1","2"
"No","1994","indirect migration background","Female","96","1","1","1","2"
"Yes","1994","no migration background","Male","","","","","1"
"Yes","1994","no migration background","Female","","","","","1"
"Yes","1994","direct migration background","Male","","","","","1"
"Yes","1994","direct migration background","Female","","","","","1"
"Yes","1994","indirect migration background","Male","","","","","1"
"Yes","1994","indirect migration background","Female","","","","","1"
"No","1995","no migration background","Male","1710","1","1","1","2"
"No","1995","no migration background","Female","1616","1","1","1","2"
"No","1995","direct migration background","Male","620","1","1","1","2"
"No","1995","direct migration background","Female","458","1","1","1","2"
"No","1995","indirect migration background","Male","103","1","1","1","2"
"No","1995","indirect migration background","Female","93","1","1","1","2"
"Yes","1995","no migration background","Male","","","","","1"
"Yes","1995","no migration background","Female","","","","","1"
"Yes","1995","direct migration background","Male","","","","","1"
"Yes","1995","direct migration background","Female","","","","","1"
"Yes","1995","indirect migration background","Male","","","","","1"
"Yes","1995","indirect migration background","Female","","","","","1"
"No","1996","no migration background","Male","1669","1","1","1","2"
"No","1996","no migration background","Female","1606","1","1","1","2"
"No","1996","direct migration background","Male","573","1","1","1","2"
"No","1996","direct migration background","Female","416","1","1","1","2"
"No","1996","indirect migration background","Male","109","1","1","1","2"
"No","1996","indirect migration background","Female","92","1","1","1","2"
"Yes","1996","no migration background","Male","","","","","1"
"Yes","1996","no migration background","Female","","","","","1"
"Yes","1996","direct migration background","Male","","","","","1"
"Yes","1996","direct migration background","Female","","","","","1"
"Yes","1996","indirect migration background","Male","","","","","1"
"Yes","1996","indirect migration background","Female","","","","","1"
"No","1997","no migration background","Male","625","1","1","1","2"
"No","1997","no migration background","Female","496","1","1","1","2"
"No","1997","direct migration background","Male","170","1","1","1","2"
"No","1997","direct migration background","Female","70","1","1","1","2"
"No","1997","indirect migration background","Male","42","1","1","1","2"
"No","1997","indirect migration background","Female","23","","","","2"
"Yes","1997","no migration background","Male","","","","","1"
"Yes","1997","no migration background","Female","","","","","1"
"Yes","1997","direct migration background","Male","","","","","1"
"Yes","1997","direct migration background","Female","","","","","1"
"Yes","1997","indirect migration background","Male","","","","","1"
"Yes","1997","indirect migration background","Female","","","","","1"
"No","1998","no migration background","Male","709","1","1","1","2"
"No","1998","no migration background","Female","543","1","1","1","2"
"No","1998","direct migration background","Male","126","1","1","1","2"
"No","1998","direct migration background","Female","79","1","1","1","2"
"No","1998","indirect migration background","Male","28","","","","2"
"No","1998","indirect migration background","Female","20","","","","2"
"Yes","1998","no migration background","Male","","","","","1"
"Yes","1998","no migration background","Female","","","","","1"
"Yes","1998","direct migration background","Male","","","","","1"
"Yes","1998","direct migration background","Female","","","","","1"
"Yes","1998","indirect migration background","Male","","","","","1"
"Yes","1998","indirect migration background","Female","","","","","1"
"No","1999","no migration background","Male","661","1","1","1","2"
"No","1999","no migration background","Female","526","1","1","1","2"
"No","1999","indirect migration background","Male","38","1","1","1","2"
"No","1999","direct migration background","Male","112","1","1","1","2"
"No","1999","direct migration background","Female","57","1","1","1","2"
"No","1999","indirect migration background","Female","19","","","","2"
"Yes","1999","no migration background","Male","","","","","1"
"Yes","1999","no migration background","Female","","","","","1"
"Yes","1999","direct migration background","Male","","","","","1"
"Yes","1999","direct migration background","Female","","","","","1"
"Yes","1999","indirect migration background","Male","","","","","1"
"Yes","1999","indirect migration background","Female","","","","","1"
"No","2000","no migration background","Male","1192","1","1","1","2"
"No","2000","no migration background","Female","935","1","1","1","2"
"No","2000","indirect migration background","Male","40","1","1","1","2"
"No","2000","direct migration background","Male","202","1","1","1","2"
"No","2000","direct migration background","Female","120","1","1","1","2"
"No","2000","indirect migration background","Female","33","1","1","1","2"
"Yes","2000","no migration background","Male","","","","","1"
"Yes","2000","direct migration background","Male","","","","","1"
"Yes","2000","no migration background","Female","","","","","1"
"Yes","2000","direct migration background","Female","","","","","1"
"Yes","2000","indirect migration background","Male","","","","","1"
"Yes","2000","indirect migration background","Female","","","","","1"
"No","2001","no migration background","Male","","","","","2"
"No","2001","no migration background","Female","","","","","2"
"No","2001","indirect migration background","Male","","","","","2"
"No","2001","direct migration background","Male","","","","","2"
"No","2001","direct migration background","Female","","","","","2"
"No","2001","indirect migration background","Female","","","","","2"
"Yes","2001","no migration background","Male","","","","","1"
"Yes","2001","direct migration background","Male","","","","","1"
"Yes","2001","no migration background","Female","","","","","1"
"Yes","2001","direct migration background","Female","","","","","1"
"Yes","2001","indirect migration background","Male","","","","","1"
"Yes","2001","indirect migration background","Female","","","","","1"
"No","2002","no migration background","Male","1117","0.290119808262115","0.27608590769948","0.30415370882475","2"
"No","2002","no migration background","Female","898","0.311987045879117","0.295316266408276","0.328657825349959","2"
"No","2002","indirect migration background","Male","41","0.321300127155199","0.244493578293525","0.398106676016873","2"
"No","2002","direct migration background","Male","164","0.388635792415234","0.343798274105994","0.433473310724474","2"
"No","2002","direct migration background","Female","88","0.361300495815245","0.302797140151885","0.419803851478606","2"
"No","2002","indirect migration background","Female","33","0.354566506515581","0.266751190450606","0.442381822580555","2"
"Yes","2002","no migration background","Male","2900","0.709880191737885","0.69584629117525","0.72391409230052","1"
"Yes","2002","direct migration background","Male","290","0.611364207584766","0.566526689275526","0.656201725894005","1"
"Yes","2002","no migration background","Female","2069","0.688012954120883","0.671342174650041","0.704683733591724","1"
"Yes","2002","direct migration background","Female","171","0.638699504184754","0.580196148521394","0.697202859848115","1"
"Yes","2002","indirect migration background","Male","101","0.678699872844801","0.601893323983127","0.755506421706475","1"
"Yes","2002","indirect migration background","Female","81","0.645433493484419","0.557618177419445","0.733248809549394","1"
"No","2003","no migration background","Male","981","0.279396901785491","0.265001091026704","0.293792712544278","2"
"No","2003","no migration background","Female","961","0.323639957983957","0.306725100723111","0.340554815244802","2"
"No","2003","direct migration background","Male","152","0.36566598506306","0.318409335772311","0.412922634353808","2"
"No","2003","indirect migration background","Male","45","0.314927778515123","0.238798145525778","0.391057411504468","2"
"No","2003","direct migration background","Female","82","0.313294231609179","0.25568262791027","0.370905835308088","2"
"No","2003","indirect migration background","Female","42","0.317744589326469","0.233736779250084","0.401752399402854","2"
"Yes","2003","no migration background","Male","2751","0.720603098214509","0.706207287455722","0.734998908973296","1"
"Yes","2003","direct migration background","Male","247","0.63433401493694","0.587077365646192","0.681590664227689","1"
"Yes","2003","direct migration background","Female","167","0.686705768390821","0.629094164691911","0.74431737208973","1"
"Yes","2003","no migration background","Female","1978","0.676360042016043","0.659445184755198","0.693274899276888","1"
"Yes","2003","indirect migration background","Male","98","0.685072221484877","0.608942588495532","0.761201854474222","1"
"Yes","2003","indirect migration background","Female","76","0.682255410673531","0.598247600597146","0.766263220749916","1"
"No","2004","no migration background","Male","943","0.268862758999869","0.254421714479952","0.283303803519785","2"
"No","2004","no migration background","Female","898","0.333602141198255","0.316203002138318","0.351001280258191","2"
"No","2004","direct migration background","Male","140","0.38369382431157","0.334736333576509","0.432651315046632","2"
"No","2004","indirect migration background","Male","35","0.226099102343117","0.154467521218316","0.297730683467918","2"
"No","2004","direct migration background","Female","68","0.294284345084073","0.235769159584257","0.35279953058389","2"
"No","2004","indirect migration background","Female","32","0.3473235488371","0.259537610440537","0.435109487233664","2"
"Yes","2004","no migration background","Male","2678","0.731137241000131","0.716696196480215","0.745578285520048","1"
"Yes","2004","direct migration background","Male","239","0.61630617568843","0.567348684953368","0.665263666423491","1"
"Yes","2004","direct migration background","Female","165","0.705715654915927","0.64720046941611","0.764230840415743","1"
"Yes","2004","no migration background","Female","1923","0.666397858801745","0.648998719741809","0.683796997861682","1"
"Yes","2004","indirect migration background","Male","96","0.773900897656883","0.702269316532082","0.845532478781684","1"
"Yes","2004","indirect migration background","Female","81","0.6526764511629","0.564890512766336","0.740462389559463","1"
"No","2005","no migration background","Male","881","0.277961269122613","0.26271095761865","0.293211580626576","2"
"No","2005","no migration background","Female","824","0.318431844021327","0.300627207653094","0.336236480389559","2"
"No","2005","direct migration background","Male","100","0.340783291342648","0.29047678574041","0.391089796944886","2"
"No","2005","indirect migration background","Male","33","0.215019354223284","0.149052889810507","0.28098581863606","2"
"No","2005","direct migration background","Female","85","0.404364608160013","0.340801201367246","0.467928014952779","2"
"No","2005","indirect migration background","Female","32","0.285208086378793","0.198011353808196","0.372404818949389","2"
"Yes","2005","no migration background","Male","2434","0.722038730877387","0.706788419373424","0.73728904238135","1"
"Yes","2005","direct migration background","Male","241","0.659216708657352","0.608910203055115","0.70952321425959","1"
