"plb0196_h","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Not Employed","lower secondary degree","","","",""
"Yes","1986","Not Employed","secondary school degree","","","",""
"Yes","1986","Not Employed","college entrance qualification","","","",""
"Yes","1986","Not Employed","Other degree","","","",""
"Yes","1986","Not Employed","no degree/no degree yet","","","",""
"Yes","1986","Employed","lower secondary degree","","","",""
"Yes","1986","Employed","secondary school degree","","","",""
"Yes","1986","Employed","college entrance qualification","","","",""
"Yes","1986","Employed","Other degree","","","",""
"Yes","1986","Employed","no degree/no degree yet","","","",""
"No","1986","Not Employed","lower secondary degree","65","1","1","1"
"No","1986","Not Employed","secondary school degree","17","","",""
"No","1986","Not Employed","college entrance qualification","16","","",""
"No","1986","Not Employed","Other degree","7","","",""
"No","1986","Not Employed","no degree/no degree yet","12","","",""
"No","1986","Employed","lower secondary degree","1942","1","1","1"
"No","1986","Employed","secondary school degree","726","1","1","1"
"No","1986","Employed","college entrance qualification","446","1","1","1"
"No","1986","Employed","Other degree","644","1","1","1"
"No","1986","Employed","no degree/no degree yet","383","1","1","1"
"Yes","1987","Not Employed","lower secondary degree","","","",""
"Yes","1987","Not Employed","secondary school degree","","","",""
"Yes","1987","Not Employed","college entrance qualification","","","",""
"Yes","1987","Not Employed","Other degree","","","",""
"Yes","1987","Not Employed","no degree/no degree yet","","","",""
"Yes","1987","Employed","lower secondary degree","","","",""
"Yes","1987","Employed","secondary school degree","","","",""
"Yes","1987","Employed","college entrance qualification","","","",""
"Yes","1987","Employed","Other degree","","","",""
"Yes","1987","Employed","no degree/no degree yet","","","",""
"No","1987","Not Employed","lower secondary degree","","","",""
"No","1987","Not Employed","secondary school degree","","","",""
"No","1987","Not Employed","college entrance qualification","","","",""
"No","1987","Not Employed","Other degree","","","",""
"No","1987","Not Employed","no degree/no degree yet","","","",""
"No","1987","Employed","lower secondary degree","","","",""
"No","1987","Employed","secondary school degree","","","",""
"No","1987","Employed","college entrance qualification","","","",""
"No","1987","Employed","Other degree","","","",""
"No","1987","Employed","no degree/no degree yet","","","",""
"Yes","1988","Not Employed","lower secondary degree","","","",""
"Yes","1988","Not Employed","secondary school degree","","","",""
"Yes","1988","Not Employed","college entrance qualification","","","",""
"Yes","1988","Not Employed","Other degree","","","",""
"Yes","1988","Not Employed","no degree/no degree yet","","","",""
"Yes","1988","Employed","lower secondary degree","","","",""
"Yes","1988","Employed","secondary school degree","","","",""
"Yes","1988","Employed","college entrance qualification","","","",""
"Yes","1988","Employed","Other degree","","","",""
"Yes","1988","Employed","no degree/no degree yet","","","",""
"No","1988","Not Employed","lower secondary degree","35","1","1","1"
"No","1988","Not Employed","secondary school degree","17","","",""
"No","1988","Not Employed","college entrance qualification","15","","",""
"No","1988","Not Employed","Other degree","6","","",""
"No","1988","Not Employed","no degree/no degree yet","9","","",""
"No","1988","Employed","lower secondary degree","1808","1","1","1"
"No","1988","Employed","secondary school degree","731","1","1","1"
"No","1988","Employed","college entrance qualification","426","1","1","1"
"No","1988","Employed","Other degree","571","1","1","1"
"No","1988","Employed","no degree/no degree yet","315","1","1","1"
"Yes","1989","Not Employed","lower secondary degree","","","",""
"Yes","1989","Not Employed","secondary school degree","","","",""
"Yes","1989","Not Employed","college entrance qualification","","","",""
"Yes","1989","Not Employed","Other degree","","","",""
"Yes","1989","Not Employed","no degree/no degree yet","","","",""
"Yes","1989","Employed","lower secondary degree","","","",""
"Yes","1989","Employed","secondary school degree","","","",""
"Yes","1989","Employed","college entrance qualification","","","",""
"Yes","1989","Employed","Other degree","","","",""
"Yes","1989","Employed","no degree/no degree yet","","","",""
"No","1989","Not Employed","lower secondary degree","29","","",""
"No","1989","Not Employed","secondary school degree","17","","",""
"No","1989","Not Employed","college entrance qualification","16","","",""
"No","1989","Not Employed","Other degree","10","","",""
"No","1989","Not Employed","no degree/no degree yet","13","","",""
"No","1989","Employed","lower secondary degree","1749","1","1","1"
"No","1989","Employed","secondary school degree","680","1","1","1"
"No","1989","Employed","college entrance qualification","425","1","1","1"
"No","1989","Employed","Other degree","536","1","1","1"
"No","1989","Employed","no degree/no degree yet","294","1","1","1"
"Yes","1990","Not Employed","lower secondary degree","","","",""
"Yes","1990","Not Employed","secondary school degree","","","",""
"Yes","1990","Not Employed","college entrance qualification","","","",""
