"plb0196_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1986","West Germany","","","",""
"Yes","1986","East Germany","","","",""
"No","1986","West Germany","4330","1","1","1"
"No","1986","East Germany","","","",""
"Yes","1987","West Germany","","","",""
"Yes","1987","East Germany","","","",""
"No","1987","West Germany","","","",""
"No","1987","East Germany","","","",""
"Yes","1988","West Germany","","","",""
"Yes","1988","East Germany","","","",""
"No","1988","West Germany","4027","1","1","1"
"No","1988","East Germany","","","",""
"Yes","1989","West Germany","","","",""
"Yes","1989","East Germany","","","",""
"No","1989","West Germany","3856","1","1","1"
"No","1989","East Germany","","","",""
"Yes","1990","West Germany","","","",""
"Yes","1990","East Germany","","","",""
"No","1990","West Germany","3714","1","1","1"
"No","1990","East Germany","","","",""
"Yes","1991","West Germany","","","",""
"Yes","1991","East Germany","","","",""
"No","1991","West Germany","3686","1","1","1"
"No","1991","East Germany","1975","1","1","1"
"Yes","1992","West Germany","","","",""
"Yes","1992","East Germany","","","",""
"No","1992","West Germany","3603","1","1","1"
"No","1992","East Germany","1435","1","1","1"
"Yes","1993","West Germany","","","",""
"Yes","1993","East Germany","","","",""
"No","1993","West Germany","3705","1","1","1"
"No","1993","East Germany","1258","1","1","1"
"Yes","1994","West Germany","","","",""
"Yes","1994","East Germany","","","",""
"No","1994","West Germany","3427","1","1","1"
"No","1994","East Germany","1177","1","1","1"
"Yes","1995","West Germany","","","",""
"Yes","1995","East Germany","","","",""
"No","1995","West Germany","3415","1","1","1"
"No","1995","East Germany","1185","1","1","1"
"Yes","1996","West Germany","","","",""
"Yes","1996","East Germany","","","",""
"No","1996","West Germany","3303","1","1","1"
"No","1996","East Germany","1162","1","1","1"
"Yes","1997","West Germany","","","",""
"Yes","1997","East Germany","","","",""
"No","1997","West Germany","985","1","1","1"
"No","1997","East Germany","441","1","1","1"
"Yes","1998","West Germany","","","",""
"Yes","1998","East Germany","","","",""
"No","1998","West Germany","1014","1","1","1"
"No","1998","East Germany","491","1","1","1"
"Yes","1999","West Germany","","","",""
"Yes","1999","East Germany","","","",""
