"plb0196_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Urban Area","West Germany","","","",""
"Yes","1986","Urban Area","East Germany","","","",""
"Yes","1986","Rural Area","West Germany","","","",""
"Yes","1986","Rural Area","East Germany","","","",""
"No","1986","Urban Area","West Germany","3458","1","1","1"
"No","1986","Urban Area","East Germany","","","",""
"No","1986","Rural Area","West Germany","872","1","1","1"
"No","1986","Rural Area","East Germany","","","",""
"Yes","1987","Urban Area","West Germany","","","",""
"Yes","1987","Urban Area","East Germany","","","",""
"Yes","1987","Rural Area","West Germany","","","",""
"Yes","1987","Rural Area","East Germany","","","",""
"No","1987","Urban Area","West Germany","","","",""
"No","1987","Urban Area","East Germany","","","",""
"No","1987","Rural Area","West Germany","","","",""
"No","1987","Rural Area","East Germany","","","",""
"Yes","1988","Urban Area","West Germany","","","",""
"Yes","1988","Urban Area","East Germany","","","",""
"Yes","1988","Rural Area","West Germany","","","",""
"Yes","1988","Rural Area","East Germany","","","",""
"No","1988","Urban Area","West Germany","3211","1","1","1"
"No","1988","Urban Area","East Germany","","","",""
"No","1988","Rural Area","West Germany","816","1","1","1"
"No","1988","Rural Area","East Germany","","","",""
"Yes","1989","Urban Area","West Germany","","","",""
"Yes","1989","Urban Area","East Germany","","","",""
"Yes","1989","Rural Area","West Germany","","","",""
"Yes","1989","Rural Area","East Germany","","","",""
"No","1989","Urban Area","West Germany","3095","1","1","1"
"No","1989","Urban Area","East Germany","","","",""
"No","1989","Rural Area","West Germany","761","1","1","1"
"No","1989","Rural Area","East Germany","","","",""
"Yes","1990","Urban Area","West Germany","","","",""
"Yes","1990","Urban Area","East Germany","","","",""
"Yes","1990","Rural Area","West Germany","","","",""
"Yes","1990","Rural Area","East Germany","","","",""
"No","1990","Urban Area","West Germany","2946","1","1","1"
"No","1990","Urban Area","East Germany","","","",""
"No","1990","Rural Area","West Germany","768","1","1","1"
"No","1990","Rural Area","East Germany","","","",""
"Yes","1991","Urban Area","West Germany","","","",""
"Yes","1991","Urban Area","East Germany","","","",""
"Yes","1991","Rural Area","West Germany","","","",""
"Yes","1991","Rural Area","East Germany","","","",""
"No","1991","Urban Area","West Germany","2931","1","1","1"
"No","1991","Urban Area","East Germany","640","1","1","1"
"No","1991","Rural Area","West Germany","755","1","1","1"
"No","1991","Rural Area","East Germany","1296","1","1","1"
"Yes","1992","Urban Area","West Germany","","","",""
"Yes","1992","Urban Area","East Germany","","","",""
"Yes","1992","Rural Area","West Germany","","","",""
"Yes","1992","Rural Area","East Germany","","","",""
"No","1992","Urban Area","West Germany","2846","1","1","1"
"No","1992","Urban Area","East Germany","480","1","1","1"
"No","1992","Rural Area","West Germany","753","1","1","1"
"No","1992","Rural Area","East Germany","909","1","1","1"
"Yes","1993","Urban Area","West Germany","","","",""
"Yes","1993","Urban Area","East Germany","","","",""
"Yes","1993","Rural Area","West Germany","","","",""
"Yes","1993","Rural Area","East Germany","","","",""
"No","1993","Urban Area","West Germany","2927","1","1","1"
"No","1993","Urban Area","East Germany","441","1","1","1"
"No","1993","Rural Area","West Germany","778","1","1","1"
"No","1993","Rural Area","East Germany","817","1","1","1"
"Yes","1994","Urban Area","West Germany","","","",""
"Yes","1994","Urban Area","East Germany","","","",""
"Yes","1994","Rural Area","West Germany","","","",""
"Yes","1994","Rural Area","East Germany","","","",""
"No","1994","Urban Area","West Germany","2696","1","1","1"
"No","1994","Urban Area","East Germany","402","1","1","1"
"No","1994","Rural Area","West Germany","731","1","1","1"
"No","1994","Rural Area","East Germany","775","1","1","1"
"Yes","1995","Urban Area","West Germany","","","",""
"Yes","1995","Urban Area","East Germany","","","",""
"Yes","1995","Rural Area","West Germany","","","",""
"Yes","1995","Rural Area","East Germany","","","",""
"No","1995","Urban Area","West Germany","2641","1","1","1"
"No","1995","Urban Area","East Germany","365","1","1","1"
"No","1995","Rural Area","West Germany","774","1","1","1"
"No","1995","Rural Area","East Germany","820","1","1","1"
"Yes","1996","Urban Area","West Germany","","","",""
"Yes","1996","Urban Area","East Germany","","","",""
"Yes","1996","Rural Area","West Germany","","","",""
"Yes","1996","Rural Area","East Germany","","","",""
"No","1996","Urban Area","West Germany","2558","1","1","1"
"No","1996","Urban Area","East Germany","372","1","1","1"
"No","1996","Rural Area","West Germany","745","1","1","1"
"No","1996","Rural Area","East Germany","790","1","1","1"
"Yes","1997","Urban Area","West Germany","","","",""
"Yes","1997","Urban Area","East Germany","","","",""
"Yes","1997","Rural Area","West Germany","","","",""
"Yes","1997","Rural Area","East Germany","","","",""
"No","1997","Urban Area","West Germany","732","1","1","1"
"No","1997","Urban Area","East Germany","142","1","1","1"
"No","1997","Rural Area","West Germany","253","1","1","1"
"No","1997","Rural Area","East Germany","299","1","1","1"
"Yes","1998","Urban Area","West Germany","","","",""
"Yes","1998","Urban Area","East Germany","","","",""
"Yes","1998","Rural Area","West Germany","","","",""
"Yes","1998","Rural Area","East Germany","","","",""
"No","1998","Urban Area","West Germany","735","1","1","1"
"No","1998","Urban Area","East Germany","155","1","1","1"
"No","1998","Rural Area","West Germany","279","1","1","1"
"No","1998","Rural Area","East Germany","336","1","1","1"
"Yes","1999","Urban Area","West Germany","","","",""
"Yes","1999","Urban Area","East Germany","","","",""
"Yes","1999","Rural Area","West Germany","","","",""
"Yes","1999","Rural Area","East Germany","","","",""
"No","1999","Urban Area","West Germany","676","1","1","1"
"No","1999","Urban Area","East Germany","170","1","1","1"
"No","1999","Rural Area","West Germany","271","1","1","1"
"No","1999","Rural Area","East Germany","296","1","1","1"
"Yes","2000","Urban Area","West Germany","","","",""
"Yes","2000","Urban Area","East Germany","","","",""
"Yes","2000","Rural Area","West Germany","","","",""
"Yes","2000","Rural Area","East Germany","","","",""
"No","2000","Urban Area","West Germany","1371","1","1","1"
"No","2000","Urban Area","East Germany","227","1","1","1"
"No","2000","Rural Area","West Germany","470","1","1","1"
"No","2000","Rural Area","East Germany","454","1","1","1"
"Yes","2001","Urban Area","West Germany","","","",""
"Yes","2001","Urban Area","East Germany","","","",""
"Yes","2001","Rural Area","West Germany","","","",""
"Yes","2001","Rural Area","East Germany","","","",""
"No","2001","Urban Area","West Germany","1269","1","1","1"
"No","2001","Urban Area","East Germany","215","1","1","1"
"No","2001","Rural Area","West Germany","456","1","1","1"
"No","2001","Rural Area","East Germany","419","1","1","1"
"Yes","2002","Urban Area","West Germany","3324","0.708937560498031","0.695814815812843","0.72206030518322"
"Yes","2002","Urban Area","East Germany","501","0.680481455299152","0.645889384469254","0.715073526129051"
"Yes","2002","Rural Area","West Germany","959","0.673160774328743","0.648430977029907","0.697890571627579"
"Yes","2002","Rural Area","East Germany","828","0.644962124545289","0.618644258063905","0.671279991026673"
"No","2002","Urban Area","West Germany","1279","0.291062439501969","0.27793969481678","0.304185184187157"
"No","2002","Urban Area","East Germany","197","0.319518544700848","0.284926473870949","0.354110615530746"
"No","2002","Rural Area","West Germany","423","0.326839225671257","0.302109428372421","0.351569022970093"
"No","2002","Rural Area","East Germany","442","0.355037875454711","0.328720008973327","0.381355741936095"
"Yes","2003","Urban Area","West Germany","3111","0.708830485822924","0.695351728169343","0.722309243476506"
"Yes","2003","Urban Area","East Germany","497","0.724618515577334","0.691018824400328","0.758218206754341"
"Yes","2003","Rural Area","West Germany","927","0.685576465586125","0.660837321744892","0.710315609427359"
"Yes","2003","Rural Area","East Germany","782","0.638566046319836","0.611201413485378","0.665930679154295"
"No","2003","Urban Area","West Germany","1253","0.291169514177076","0.277690756523494","0.304648271830657"
"No","2003","Urban Area","East Germany","182","0.275381484422666","0.241781793245659","0.308981175599672"
"No","2003","Rural Area","West Germany","426","0.314423534413875","0.289684390572641","0.339162678255108"
"No","2003","Rural Area","East Germany","402","0.361433953680163","0.334069320845705","0.388798586514622"
"Yes","2004","Urban Area","West Germany","3025","0.70481248426669","0.691039179780487","0.718585788752893"
"Yes","2004","Urban Area","East Germany","468","0.708557665493014","0.67359619736782","0.743519133618209"
"Yes","2004","Rural Area","West Germany","902","0.699425034174575","0.674257539336659","0.724592529012491"
"Yes","2004","Rural Area","East Germany","787","0.668851673303964","0.641780431843432","0.695922914764496"
"No","2004","Urban Area","West Germany","1188","0.29518751573331","0.281414211247107","0.308960820219513"
"No","2004","Urban Area","East Germany","181","0.291442334506986","0.256480866381791","0.32640380263218"
"No","2004","Rural Area","West Germany","373","0.300574965825425","0.275407470987509","0.325742460663341"
"No","2004","Rural Area","East Germany","374","0.331148326696036","0.304077085235504","0.358219568156568"
"Yes","2005","Urban Area","West Germany","2856","0.716188381630856","0.70202241558891","0.730354347672803"
"Yes","2005","Urban Area","East Germany","444","0.724264289867543","0.688771961706674","0.759756618028411"
"Yes","2005","Rural Area","West Germany","803","0.679337772323808","0.65276384763318","0.705911697014436"
"Yes","2005","Rural Area","East Germany","709","0.628064183843225","0.599265643548929","0.656862724137521"
"No","2005","Urban Area","West Germany","1035","0.283811618369144","0.269645652327197","0.29797758441109"
"No","2005","Urban Area","East Germany","165","0.275735710132458","0.240243381971589","0.311228038293327"
"No","2005","Rural Area","West Germany","382","0.320662227676192","0.294088302985564","0.34723615236682"
"No","2005","Rural Area","East Germany","373","0.371935816156775","0.343137275862479","0.400734356451071"
"Yes","2006","Urban Area","West Germany","3241","0.741692477507853","0.728617469086668","0.754767485929038"
"Yes","2006","Urban Area","East Germany","479","0.702871837712898","0.667900990717237","0.737842684708558"
"Yes","2006","Rural Area","West Germany","927","0.690632151830912","0.665901656343694","0.715362647318129"
"Yes","2006","Rural Area","East Germany","808","0.68358593180916","0.656856933463254","0.710314930155066"
"No","2006","Urban Area","West Germany","1064","0.258307522492147","0.245232514070962","0.271382530913332"
"No","2006","Urban Area","East Germany","177","0.297128162287102","0.262157315291442","0.332099009282763"
"No","2006","Rural Area","West Germany","415","0.309367848169088","0.284637352681871","0.334098343656306"
"No","2006","Rural Area","East Germany","355","0.31641406819084","0.289685069844934","0.343143066536746"
"Yes","2007","Urban Area","West Germany","3023","0.774084612538149","0.761020266666016","0.787148958410282"
"Yes","2007","Urban Area","East Germany","460","0.727556088819334","0.692482956030907","0.762629221607761"
"Yes","2007","Rural Area","West Germany","889","0.703429372763965","0.678027741322941","0.72883100420499"
"Yes","2007","Rural Area","East Germany","784","0.667543852200389","0.640434060486608","0.694653643914169"
"No","2007","Urban Area","West Germany","913","0.225915387461851","0.212851041589718","0.238979733333985"
"No","2007","Urban Area","East Germany","159","0.272443911180666","0.237370778392239","0.307517043969093"
"No","2007","Rural Area","West Germany","353","0.296570627236034","0.27116899579501","0.321972258677059"
"No","2007","Rural Area","East Germany","376","0.332456147799611","0.305346356085831","0.359565939513392"
"Yes","2008","Urban Area","West Germany","2900","0.750365008889441","0.73673621889099","0.763993798887891"
"Yes","2008","Urban Area","East Germany","460","0.738899350111011","0.704353259355007","0.773445440867015"
"Yes","2008","Rural Area","West Germany","859","0.670282437597181","0.643999608566163","0.696565266628199"
"Yes","2008","Rural Area","East Germany","756","0.644891012236181","0.61682727542456","0.672954749047802"
"No","2008","Urban Area","West Germany","974","0.249634991110559","0.236006201112109","0.26326378110901"
"No","2008","Urban Area","East Germany","161","0.261100649888989","0.226554559132985","0.295646740644993"
"No","2008","Rural Area","West Germany","370","0.329717562402819","0.303434733371801","0.356000391433837"
"No","2008","Rural Area","East Germany","361","0.355108987763819","0.327045250952198","0.38317272457544"
"Yes","2009","Urban Area","West Germany","2445","0.735610902468431","0.720679289411094","0.750542515525769"
"Yes","2009","Urban Area","East Germany","412","0.739964273292225","0.70350293699754","0.776425609586911"
"Yes","2009","Rural Area","West Germany","759","0.64945857471294","0.621626439751832","0.677290709674047"
"Yes","2009","Rural Area","East Germany","676","0.641027680453287","0.611531206064015","0.670524154842558"
"No","2009","Urban Area","West Germany","906","0.264389097531569","0.249457484474231","0.279320710588906"
"No","2009","Urban Area","East Germany","144","0.260035726707775","0.223574390413089","0.29649706300246"
"No","2009","Rural Area","West Germany","370","0.35054142528706","0.322709290325953","0.378373560248168"
"No","2009","Rural Area","East Germany","340","0.358972319546714","0.329475845157442","0.388468793935985"
"Yes","2010","Urban Area","West Germany","3329","0.703567540872172","0.690561113502653","0.716573968241691"
"Yes","2010","Urban Area","East Germany","499","0.713927973000756","0.6802809713316","0.747574974669911"
"Yes","2010","Rural Area","West Germany","1150","0.63470865493788","0.611873126856688","0.657544183019072"
"Yes","2010","Rural Area","East Germany","807","0.622164645917892","0.595123905883196","0.649205385952588"
"No","2010","Urban Area","West Germany","1407","0.296432459127828","0.283426031758309","0.309438886497347"
"No","2010","Urban Area","East Germany","194","0.286072026999244","0.252425025330089","0.3197190286684"
"No","2010","Rural Area","West Germany","558","0.36529134506212","0.342455816980928","0.388126873143312"
"No","2010","Rural Area","East Germany","428","0.377835354082108","0.350794614047412","0.404876094116804"
"Yes","2011","Urban Area","West Germany","4322","0.769504859342083","0.758517554888473","0.780492163795694"
"Yes","2011","Urban Area","East Germany","608","0.722781859693701","0.692547102154542","0.75301661723286"
"Yes","2011","Rural Area","West Germany","1588","0.692381863818847","0.673184110196292","0.711579617441401"
"Yes","2011","Rural Area","East Germany","992","0.691504191746968","0.667598816925474","0.715409566568462"
"No","2011","Urban Area","West Germany","1322","0.230495140657917","0.219507836204306","0.241482445111527"
"No","2011","Urban Area","East Germany","234","0.277218140306299","0.24698338276714","0.307452897845458"
"No","2011","Rural Area","West Germany","632","0.307618136181153","0.288420382558599","0.326815889803708"
"No","2011","Rural Area","East Germany","442","0.308495808253032","0.284590433431538","0.332401183074526"
"Yes","2012","Urban Area","West Germany","4217","0.728134817082499","0.716676614151656","0.739593020013341"
"Yes","2012","Urban Area","East Germany","587","0.704621842563554","0.673300777186198","0.73594290794091"
"Yes","2012","Rural Area","West Germany","1639","0.71593721409978","0.697511071772931","0.734363356426629"
"Yes","2012","Rural Area","East Germany","984","0.655068560643421","0.630568130278359","0.679568991008484"
"No","2012","Urban Area","West Germany","1575","0.271865182917501","0.260406979986659","0.283323385848344"
"No","2012","Urban Area","East Germany","228","0.295378157436446","0.26405709205909","0.326699222813802"
"No","2012","Rural Area","West Germany","662","0.28406278590022","0.265636643573371","0.302488928227069"
"No","2012","Rural Area","East Germany","462","0.344931439356578","0.320431008991516","0.369431869721641"
"Yes","2013","Urban Area","West Germany","4752","0.744801652854952","0.734149606200991","0.755453699508913"
"Yes","2013","Urban Area","East Germany","595","0.724098339155544","0.693505689170433","0.754690989140655"
"Yes","2013","Rural Area","West Germany","1699","0.689993066493218","0.671524305631646","0.70846182735479"
"Yes","2013","Rural Area","East Germany","937","0.692228299396344","0.667551577096427","0.716905021696262"
"No","2013","Urban Area","West Germany","1683","0.255198347145048","0.244546300491088","0.265850393799009"
"No","2013","Urban Area","East Germany","225","0.275901660844456","0.245309010859345","0.306494310829567"
