"plb0196_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1986","no migration background","","","",""
"Yes","1986","direct migration background","","","",""
"Yes","1986","indirect migration background","","","",""
"No","1986","no migration background","2819","1","1","1"
"No","1986","direct migration background","1441","1","1","1"
"No","1986","indirect migration background","70","1","1","1"
"Yes","1987","no migration background","","","",""
"Yes","1987","direct migration background","","","",""
"Yes","1987","indirect migration background","","","",""
"No","1987","no migration background","","","",""
"No","1987","direct migration background","","","",""
"No","1987","indirect migration background","","","",""
"Yes","1988","no migration background","","","",""
"Yes","1988","direct migration background","","","",""
"Yes","1988","indirect migration background","","","",""
"No","1988","no migration background","2647","1","1","1"
"No","1988","direct migration background","1291","1","1","1"
"No","1988","indirect migration background","89","1","1","1"
"Yes","1989","no migration background","","","",""
"Yes","1989","direct migration background","","","",""
"Yes","1989","indirect migration background","","","",""
"No","1989","no migration background","2535","1","1","1"
"No","1989","direct migration background","1223","1","1","1"
"No","1989","indirect migration background","98","1","1","1"
"Yes","1990","no migration background","","","",""
"Yes","1990","direct migration background","","","",""
"Yes","1990","indirect migration background","","","",""
"No","1990","no migration background","2399","1","1","1"
"No","1990","direct migration background","1197","1","1","1"
"No","1990","indirect migration background","118","1","1","1"
"Yes","1991","no migration background","","","",""
"Yes","1991","direct migration background","","","",""
"Yes","1991","indirect migration background","","","",""
"No","1991","no migration background","4267","1","1","1"
"No","1991","direct migration background","1246","1","1","1"
"No","1991","indirect migration background","148","1","1","1"
"Yes","1992","no migration background","","","",""
"Yes","1992","direct migration background","","","",""
"Yes","1992","indirect migration background","","","",""
"No","1992","no migration background","3683","1","1","1"
"No","1992","direct migration background","1188","1","1","1"
"No","1992","indirect migration background","167","1","1","1"
"Yes","1993","no migration background","","","",""
"Yes","1993","direct migration background","","","",""
"Yes","1993","indirect migration background","","","",""
"No","1993","no migration background","3595","1","1","1"
"No","1993","direct migration background","1169","1","1","1"
"No","1993","indirect migration background","199","1","1","1"
"Yes","1994","no migration background","","","",""
"Yes","1994","direct migration background","","","",""
"Yes","1994","indirect migration background","","","",""
"No","1994","no migration background","3386","1","1","1"
"No","1994","direct migration background","1014","1","1","1"
"No","1994","indirect migration background","204","1","1","1"
"Yes","1995","no migration background","","","",""
"Yes","1995","direct migration background","","","",""
"Yes","1995","indirect migration background","","","",""
"No","1995","no migration background","3326","1","1","1"
"No","1995","direct migration background","1078","1","1","1"
"No","1995","indirect migration background","196","1","1","1"
"Yes","1996","no migration background","","","",""
"Yes","1996","direct migration background","","","",""
"Yes","1996","indirect migration background","","","",""
"No","1996","no migration background","3275","1","1","1"
"No","1996","direct migration background","989","1","1","1"
"No","1996","indirect migration background","201","1","1","1"
"Yes","1997","no migration background","","","",""
"Yes","1997","direct migration background","","","",""
"Yes","1997","indirect migration background","","","",""
