"plb0196_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","1986","35-65 y.","indirect migration background","9","","","","2"
"No","1986","16-34 y.","indirect migration background","61","1","1","1","2"
"No","1986","66 and older","no migration background","29","","","","2"
"No","1986","16-34 y.","no migration background","1235","1","1","1","2"
"No","1986","35-65 y.","no migration background","1555","1","1","1","2"
"No","1986","35-65 y.","direct migration background","921","1","1","1","2"
"No","1986","66 and older","indirect migration background","","","","","2"
"No","1986","16-34 y.","direct migration background","520","1","1","1","2"
"No","1986","66 and older","direct migration background","","","","","2"
"Yes","1986","16-34 y.","no migration background","","","","","1"
"Yes","1986","16-34 y.","direct migration background","","","","","1"
"Yes","1986","16-34 y.","indirect migration background","","","","","1"
"Yes","1986","35-65 y.","no migration background","","","","","1"
"Yes","1986","35-65 y.","direct migration background","","","","","1"
"Yes","1986","35-65 y.","indirect migration background","","","","","1"
"Yes","1986","66 and older","no migration background","","","","","1"
"Yes","1986","66 and older","direct migration background","","","","","1"
"Yes","1986","66 and older","indirect migration background","","","","","1"
"No","1987","16-34 y.","no migration background","","","","","2"
"No","1987","16-34 y.","indirect migration background","","","","","2"
"No","1987","35-65 y.","direct migration background","","","","","2"
"No","1987","35-65 y.","indirect migration background","","","","","2"
"No","1987","66 and older","no migration background","","","","","2"
"No","1987","35-65 y.","no migration background","","","","","2"
"No","1987","66 and older","indirect migration background","","","","","2"
"No","1987","16-34 y.","direct migration background","","","","","2"
"No","1987","66 and older","direct migration background","","","","","2"
"Yes","1987","16-34 y.","no migration background","","","","","1"
"Yes","1987","16-34 y.","direct migration background","","","","","1"
"Yes","1987","16-34 y.","indirect migration background","","","","","1"
"Yes","1987","35-65 y.","no migration background","","","","","1"
"Yes","1987","35-65 y.","direct migration background","","","","","1"
"Yes","1987","35-65 y.","indirect migration background","","","","","1"
"Yes","1987","66 and older","no migration background","","","","","1"
"Yes","1987","66 and older","direct migration background","","","","","1"
"Yes","1987","66 and older","indirect migration background","","","","","1"
"No","1988","16-34 y.","no migration background","1109","1","1","1","2"
"No","1988","35-65 y.","indirect migration background","10","","","","2"
"No","1988","16-34 y.","indirect migration background","79","1","1","1","2"
"No","1988","66 and older","no migration background","31","1","1","1","2"
"No","1988","35-65 y.","no migration background","1507","1","1","1","2"
"No","1988","35-65 y.","direct migration background","816","1","1","1","2"
"No","1988","66 and older","direct migration background","","","","","2"
