"plb0196_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Not Employed","Rural Area","25","","","","2"
"No","1986","Employed","Rural Area","847","1","1","1","2"
"No","1986","Not Employed","Urban Area","95","1","1","1","2"
"No","1986","Employed","Urban Area","3363","1","1","1","2"
"Yes","1986","Not Employed","Urban Area","","","","","1"
"Yes","1986","Not Employed","Rural Area","","","","","1"
"Yes","1986","Employed","Urban Area","","","","","1"
"Yes","1986","Employed","Rural Area","","","","","1"
"No","1987","Not Employed","Rural Area","","","","","2"
"No","1987","Employed","Rural Area","","","","","2"
"No","1987","Not Employed","Urban Area","","","","","2"
"No","1987","Employed","Urban Area","","","","","2"
"Yes","1987","Not Employed","Urban Area","","","","","1"
"Yes","1987","Not Employed","Rural Area","","","","","1"
"Yes","1987","Employed","Urban Area","","","","","1"
"Yes","1987","Employed","Rural Area","","","","","1"
"No","1988","Not Employed","Rural Area","20","","","","2"
"No","1988","Employed","Rural Area","796","1","1","1","2"
"No","1988","Not Employed","Urban Area","66","1","1","1","2"
"No","1988","Employed","Urban Area","3145","1","1","1","2"
"Yes","1988","Not Employed","Rural Area","","","","","1"
"Yes","1988","Employed","Urban Area","","","","","1"
"Yes","1988","Employed","Rural Area","","","","","1"
"Yes","1988","Not Employed","Urban Area","","","","","1"
"No","1989","Not Employed","Urban Area","78","1","1","1","2"
"No","1989","Not Employed","Rural Area","12","","","","2"
"No","1989","Employed","Rural Area","749","1","1","1","2"
"No","1989","Employed","Urban Area","3017","1","1","1","2"
"Yes","1989","Not Employed","Rural Area","","","","","1"
"Yes","1989","Employed","Urban Area","","","","","1"
"Yes","1989","Employed","Rural Area","","","","","1"
"Yes","1989","Not Employed","Urban Area","","","","","1"
"No","1990","Employed","Rural Area","756","1","1","1","2"
"No","1990","Not Employed","Urban Area","73","1","1","1","2"
"No","1990","Not Employed","Rural Area","12","","","","2"
"No","1990","Employed","Urban Area","2873","1","1","1","2"
"Yes","1990","Not Employed","Rural Area","","","","","1"
"Yes","1990","Not Employed","Urban Area","","","","","1"
"Yes","1990","Employed","Urban Area","","","","","1"
"Yes","1990","Employed","Rural Area","","","","","1"
"No","1991","Employed","Rural Area","732","1","1","1","2"
"No","1991","Not Employed","Urban Area","89","1","1","1","2"
"No","1991","Not Employed","Rural Area","22","","","","2"
"No","1991","Employed","Urban Area","2829","1","1","1","2"
"Yes","1991","Not Employed","Rural Area","","","","","1"
"Yes","1991","Employed","Rural Area","","","","","1"
"Yes","1991","Not Employed","Urban Area","","","","","1"
"Yes","1991","Employed","Urban Area","","","","","1"
"No","1992","Not Employed","Urban Area","63","1","1","1","2"
"No","1992","Not Employed","Rural Area","35","1","1","1","2"
"No","1992","Employed","Urban Area","3263","1","1","1","2"
"No","1992","Employed","Rural Area","1627","1","1","1","2"
"Yes","1992","Not Employed","Rural Area","","","","","1"
"Yes","1992","Employed","Rural Area","","","","","1"
"Yes","1992","Not Employed","Urban Area","","","","","1"
"Yes","1992","Employed","Urban Area","","","","","1"
"No","1993","Not Employed","Urban Area","103","1","1","1","2"
"No","1993","Not Employed","Rural Area","45","1","1","1","2"
"No","1993","Employed","Urban Area","3265","1","1","1","2"
"No","1993","Employed","Rural Area","1550","1","1","1","2"
"Yes","1993","Not Employed","Rural Area","","","","","1"
"Yes","1993","Employed","Rural Area","","","","","1"
"Yes","1993","Not Employed","Urban Area","","","","","1"
"Yes","1993","Employed","Urban Area","","","","","1"
"No","1994","Not Employed","Urban Area","87","1","1","1","2"
"No","1994","Not Employed","Rural Area","44","1","1","1","2"
"No","1994","Employed","Urban Area","3011","1","1","1","2"
"No","1994","Employed","Rural Area","1462","1","1","1","2"
"Yes","1994","Not Employed","Rural Area","","","","","1"
"Yes","1994","Employed","Rural Area","","","","","1"
"Yes","1994","Not Employed","Urban Area","","","","","1"
"Yes","1994","Employed","Urban Area","","","","","1"
"No","1995","Not Employed","Rural Area","62","1","1","1","2"
"No","1995","Employed","Urban Area","2916","1","1","1","2"
"No","1995","Employed","Rural Area","1532","1","1","1","2"
"No","1995","Not Employed","Urban Area","90","1","1","1","2"
"Yes","1995","Not Employed","Urban Area","","","","","1"
"Yes","1995","Not Employed","Rural Area","","","","","1"
"Yes","1995","Employed","Rural Area","","","","","1"
"Yes","1995","Employed","Urban Area","","","","","1"
"No","1996","Not Employed","Rural Area","52","1","1","1","2"
"No","1996","Employed","Urban Area","2861","1","1","1","2"
