"plb0196_h","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1986","lower secondary degree","West Germany","","","",""
"Yes","1986","lower secondary degree","East Germany","","","",""
"Yes","1986","secondary school degree","West Germany","","","",""
"Yes","1986","secondary school degree","East Germany","","","",""
"Yes","1986","college entrance qualification","West Germany","","","",""
"Yes","1986","college entrance qualification","East Germany","","","",""
"Yes","1986","Other degree","West Germany","","","",""
"Yes","1986","Other degree","East Germany","","","",""
"Yes","1986","no degree/no degree yet","West Germany","","","",""
"Yes","1986","no degree/no degree yet","East Germany","","","",""
"No","1986","lower secondary degree","West Germany","2007","1","1","1"
"No","1986","lower secondary degree","East Germany","","","",""
"No","1986","secondary school degree","West Germany","743","1","1","1"
"No","1986","secondary school degree","East Germany","","","",""
"No","1986","college entrance qualification","West Germany","462","1","1","1"
"No","1986","college entrance qualification","East Germany","","","",""
"No","1986","Other degree","West Germany","651","1","1","1"
"No","1986","Other degree","East Germany","","","",""
"No","1986","no degree/no degree yet","West Germany","395","1","1","1"
"No","1986","no degree/no degree yet","East Germany","","","",""
"Yes","1987","lower secondary degree","West Germany","","","",""
"Yes","1987","lower secondary degree","East Germany","","","",""
"Yes","1987","secondary school degree","West Germany","","","",""
"Yes","1987","secondary school degree","East Germany","","","",""
"Yes","1987","college entrance qualification","West Germany","","","",""
"Yes","1987","college entrance qualification","East Germany","","","",""
"Yes","1987","Other degree","West Germany","","","",""
"Yes","1987","Other degree","East Germany","","","",""
"Yes","1987","no degree/no degree yet","West Germany","","","",""
"Yes","1987","no degree/no degree yet","East Germany","","","",""
"No","1987","lower secondary degree","West Germany","","","",""
"No","1987","lower secondary degree","East Germany","","","",""
"No","1987","secondary school degree","West Germany","","","",""
"No","1987","secondary school degree","East Germany","","","",""
"No","1987","college entrance qualification","West Germany","","","",""
"No","1987","college entrance qualification","East Germany","","","",""
"No","1987","Other degree","West Germany","","","",""
"No","1987","Other degree","East Germany","","","",""
"No","1987","no degree/no degree yet","West Germany","","","",""
"No","1987","no degree/no degree yet","East Germany","","","",""
"Yes","1988","lower secondary degree","West Germany","","","",""
"Yes","1988","lower secondary degree","East Germany","","","",""
"Yes","1988","secondary school degree","West Germany","","","",""
"Yes","1988","secondary school degree","East Germany","","","",""
"Yes","1988","college entrance qualification","West Germany","","","",""
"Yes","1988","college entrance qualification","East Germany","","","",""
"Yes","1988","Other degree","West Germany","","","",""
"Yes","1988","Other degree","East Germany","","","",""
"Yes","1988","no degree/no degree yet","West Germany","","","",""
"Yes","1988","no degree/no degree yet","East Germany","","","",""
"No","1988","lower secondary degree","West Germany","1843","1","1","1"
"No","1988","lower secondary degree","East Germany","","","",""
"No","1988","secondary school degree","West Germany","748","1","1","1"
"No","1988","secondary school degree","East Germany","","","",""
"No","1988","college entrance qualification","West Germany","441","1","1","1"
"No","1988","college entrance qualification","East Germany","","","",""
"No","1988","Other degree","West Germany","577","1","1","1"
"No","1988","Other degree","East Germany","","","",""
"No","1988","no degree/no degree yet","West Germany","324","1","1","1"
"No","1988","no degree/no degree yet","East Germany","","","",""
"Yes","1989","lower secondary degree","West Germany","","","",""
"Yes","1989","lower secondary degree","East Germany","","","",""
"Yes","1989","secondary school degree","West Germany","","","",""
"Yes","1989","secondary school degree","East Germany","","","",""
"Yes","1989","college entrance qualification","West Germany","","","",""
"Yes","1989","college entrance qualification","East Germany","","","",""
"Yes","1989","Other degree","West Germany","","","",""
"Yes","1989","Other degree","East Germany","","","",""
"Yes","1989","no degree/no degree yet","West Germany","","","",""
"Yes","1989","no degree/no degree yet","East Germany","","","",""
"No","1989","lower secondary degree","West Germany","1778","1","1","1"
"No","1989","lower secondary degree","East Germany","","","",""
"No","1989","secondary school degree","West Germany","697","1","1","1"
"No","1989","secondary school degree","East Germany","","","",""
"No","1989","college entrance qualification","West Germany","441","1","1","1"
"No","1989","college entrance qualification","East Germany","","","",""
"No","1989","Other degree","West Germany","546","1","1","1"
"No","1989","Other degree","East Germany","","","",""
"No","1989","no degree/no degree yet","West Germany","307","1","1","1"
"No","1989","no degree/no degree yet","East Germany","","","",""
"Yes","1990","lower secondary degree","West Germany","","","",""
"Yes","1990","lower secondary degree","East Germany","","","",""
"Yes","1990","secondary school degree","West Germany","","","",""
"Yes","1990","secondary school degree","East Germany","","","",""
"Yes","1990","college entrance qualification","West Germany","","","",""
"Yes","1990","college entrance qualification","East Germany","","","",""
"Yes","1990","Other degree","West Germany","","","",""
"Yes","1990","Other degree","East Germany","","","",""
"Yes","1990","no degree/no degree yet","West Germany","","","",""
"Yes","1990","no degree/no degree yet","East Germany","","","",""
"No","1990","lower secondary degree","West Germany","1685","1","1","1"
"No","1990","lower secondary degree","East Germany","","","",""
"No","1990","secondary school degree","West Germany","686","1","1","1"
"No","1990","secondary school degree","East Germany","","","",""
"No","1990","college entrance qualification","West Germany","420","1","1","1"
"No","1990","college entrance qualification","East Germany","","","",""
"No","1990","Other degree","West Germany","523","1","1","1"
"No","1990","Other degree","East Germany","","","",""
"No","1990","no degree/no degree yet","West Germany","297","1","1","1"
"No","1990","no degree/no degree yet","East Germany","","","",""
"Yes","1991","lower secondary degree","West Germany","","","",""
"Yes","1991","lower secondary degree","East Germany","","","",""
"Yes","1991","secondary school degree","West Germany","","","",""
"Yes","1991","secondary school degree","East Germany","","","",""
"Yes","1991","college entrance qualification","West Germany","","","",""
"Yes","1991","college entrance qualification","East Germany","","","",""
"Yes","1991","Other degree","West Germany","","","",""
"Yes","1991","Other degree","East Germany","","","",""
"Yes","1991","no degree/no degree yet","West Germany","","","",""
"Yes","1991","no degree/no degree yet","East Germany","","","",""
"No","1991","lower secondary degree","West Germany","1671","1","1","1"
