"plb0196_h","year","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Male","","","",""
"Yes","1986","Female","","","",""
"No","1986","Male","2447","1","1","1"
"No","1986","Female","1883","1","1","1"
"Yes","1987","Male","","","",""
"Yes","1987","Female","","","",""
"No","1987","Male","","","",""
"No","1987","Female","","","",""
"Yes","1988","Male","","","",""
"Yes","1988","Female","","","",""
"No","1988","Male","2288","1","1","1"
"No","1988","Female","1739","1","1","1"
"Yes","1989","Male","","","",""
"Yes","1989","Female","","","",""
"No","1989","Male","2171","1","1","1"
"No","1989","Female","1685","1","1","1"
"Yes","1990","Male","","","",""
"Yes","1990","Female","","","",""
"No","1990","Male","2029","1","1","1"
"No","1990","Female","1685","1","1","1"
"Yes","1991","Male","","","",""
"Yes","1991","Female","","","",""
"No","1991","Male","3005","1","1","1"
"No","1991","Female","2656","1","1","1"
"Yes","1992","Male","","","",""
"Yes","1992","Female","","","",""
"No","1992","Male","2723","1","1","1"
"No","1992","Female","2315","1","1","1"
"Yes","1993","Male","","","",""
"Yes","1993","Female","","","",""
"No","1993","Male","2674","1","1","1"
"No","1993","Female","2289","1","1","1"
"Yes","1994","Male","","","",""
"Yes","1994","Female","","","",""
"No","1994","Male","2457","1","1","1"
"No","1994","Female","2147","1","1","1"
"Yes","1995","Male","","","",""
"Yes","1995","Female","","","",""
"No","1995","Male","2433","1","1","1"
"No","1995","Female","2167","1","1","1"
"Yes","1996","Male","","","",""
"Yes","1996","Female","","","",""
"No","1996","Male","2351","1","1","1"
"No","1996","Female","2114","1","1","1"
"Yes","1997","Male","","","",""
"Yes","1997","Female","","","",""
"No","1997","Male","837","1","1","1"
"No","1997","Female","589","1","1","1"
"Yes","1998","Male","","","",""
"Yes","1998","Female","","","",""
"No","1998","Male","863","1","1","1"
"No","1998","Female","642","1","1","1"
"Yes","1999","Male","","","",""
"Yes","1999","Female","","","",""
"No","1999","Male","811","1","1","1"
"No","1999","Female","602","1","1","1"
"Yes","2000","Male","","","",""
"Yes","2000","Female","","","",""
"No","2000","Male","1434","1","1","1"
"No","2000","Female","1088","1","1","1"
"Yes","2001","Male","","","",""
"Yes","2001","Female","","","",""
"No","2001","Male","1325","1","1","1"
"No","2001","Female","1034","1","1","1"
"Yes","2002","Male","3291","0.699518440964068","0.686288288175335","0.712748593752802"
"Yes","2002","Female","2321","0.681992355977809","0.666198673928439","0.69778603802718"
"No","2002","Male","1322","0.300481559035931","0.287251406247198","0.313711711824665"
"No","2002","Female","1019","0.318007644022191","0.30221396197282","0.333801326071561"
"Yes","2003","Male","3096","0.710665935062578","0.697071431098644","0.724260439026511"
"Yes","2003","Female","2221","0.677537995397971","0.661604804167864","0.693471186628078"
"No","2003","Male","1178","0.289334064937423","0.275739560973489","0.302928568901356"
"No","2003","Female","1085","0.322462004602029","0.306528813371922","0.338395195832136"
"Yes","2004","Male","3013","0.721401546959296","0.707730606920539","0.735072486998053"
"Yes","2004","Female","2169","0.669667260077535","0.653286675269772","0.686047844885297"
"No","2004","Male","1118","0.278598453040704","0.264927513001947","0.292269393079461"
"No","2004","Female","998","0.330332739922465","0.313952155114703","0.346713324730228"
"Yes","2005","Male","2791","0.718497968648405","0.704208229556239","0.732787707740571"
"Yes","2005","Female","2021","0.672890314338221","0.655994683792298","0.689785944884144"
"No","2005","Male","1014","0.281502031351595","0.267212292259429","0.295791770443761"
"No","2005","Female","941","0.327109685661779","0.310214055115856","0.344005316207702"
"Yes","2006","Male","3055","0.736317635372308","0.722765593346983","0.749869677397633"
"Yes","2006","Female","2400","0.703604050141484","0.688265305030556","0.718942795252411"
"No","2006","Male","1006","0.263682364627692","0.250130322602367","0.277234406653017"
"No","2006","Female","1005","0.296395949858516","0.281057204747589","0.311734694969444"
"Yes","2007","Male","2935","0.764443714521251","0.751015171419885","0.777872257622617"
"Yes","2007","Female","2221","0.716324516996932","0.700509596391667","0.732139437602197"
"No","2007","Male","901","0.235556285478749","0.222127742377383","0.248984828580115"
