"plb0196_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Schleswig-Holstein","","","",""
"Yes","1986","Hamburg","","","",""
"Yes","1986","Lower Saxony","","","",""
"Yes","1986","Bremen","","","",""
"Yes","1986","North Rhine-Westphalia","","","",""
"Yes","1986","Hesse","","","",""
"Yes","1986","Rhineland-Palatinate,Saarland","","","",""
"Yes","1986","Baden-Württemberg","","","",""
"Yes","1986","Bavaria","","","",""
"Yes","1986","Berlin","","","",""
"Yes","1986","Brandenburg","","","",""
"Yes","1986","Mecklenburg-Western Pomerania","","","",""
"Yes","1986","Saxony","","","",""
"Yes","1986","Saxony-Anhalt","","","",""
"Yes","1986","Thuringia","","","",""
"No","1986","Schleswig-Holstein","124","1","1","1"
"No","1986","Hamburg","94","1","1","1"
"No","1986","Lower Saxony","398","1","1","1"
"No","1986","Bremen","35","1","1","1"
"No","1986","North Rhine-Westphalia","1143","1","1","1"
"No","1986","Hesse","425","1","1","1"
"No","1986","Rhineland-Palatinate,Saarland","298","1","1","1"
"No","1986","Baden-Württemberg","889","1","1","1"
"No","1986","Bavaria","762","1","1","1"
"No","1986","Berlin","162","1","1","1"
"No","1986","Brandenburg","","","",""
"No","1986","Mecklenburg-Western Pomerania","","","",""
"No","1986","Saxony","","","",""
"No","1986","Saxony-Anhalt","","","",""
"No","1986","Thuringia","","","",""
"Yes","1987","Schleswig-Holstein","","","",""
"Yes","1987","Hamburg","","","",""
"Yes","1987","Lower Saxony","","","",""
"Yes","1987","Bremen","","","",""
"Yes","1987","North Rhine-Westphalia","","","",""
"Yes","1987","Hesse","","","",""
"Yes","1987","Rhineland-Palatinate,Saarland","","","",""
"Yes","1987","Baden-Württemberg","","","",""
"Yes","1987","Bavaria","","","",""
"Yes","1987","Berlin","","","",""
"Yes","1987","Brandenburg","","","",""
"Yes","1987","Mecklenburg-Western Pomerania","","","",""
"Yes","1987","Saxony","","","",""
"Yes","1987","Saxony-Anhalt","","","",""
"Yes","1987","Thuringia","","","",""
"No","1987","Schleswig-Holstein","","","",""
"No","1987","Hamburg","","","",""
"No","1987","Lower Saxony","","","",""
"No","1987","Bremen","","","",""
"No","1987","North Rhine-Westphalia","","","",""
"No","1987","Hesse","","","",""
"No","1987","Rhineland-Palatinate,Saarland","","","",""
"No","1987","Baden-Württemberg","","","",""
"No","1987","Bavaria","","","",""
"No","1987","Berlin","","","",""
"No","1987","Brandenburg","","","",""
"No","1987","Mecklenburg-Western Pomerania","","","",""
"No","1987","Saxony","","","",""
"No","1987","Saxony-Anhalt","","","",""
"No","1987","Thuringia","","","",""
"Yes","1988","Schleswig-Holstein","","","",""
"Yes","1988","Hamburg","","","",""
"Yes","1988","Lower Saxony","","","",""
"Yes","1988","Bremen","","","",""
"Yes","1988","North Rhine-Westphalia","","","",""
"Yes","1988","Hesse","","","",""
"Yes","1988","Rhineland-Palatinate,Saarland","","","",""
"Yes","1988","Baden-Württemberg","","","",""
"Yes","1988","Bavaria","","","",""
"Yes","1988","Berlin","","","",""
"Yes","1988","Brandenburg","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","","","",""
"Yes","1988","Saxony","","","",""
"Yes","1988","Saxony-Anhalt","","","",""
"Yes","1988","Thuringia","","","",""
"No","1988","Schleswig-Holstein","118","1","1","1"
"No","1988","Hamburg","63","1","1","1"
"No","1988","Lower Saxony","399","1","1","1"
"No","1988","Bremen","26","","",""
"No","1988","North Rhine-Westphalia","1026","1","1","1"
"No","1988","Hesse","432","1","1","1"
"No","1988","Rhineland-Palatinate,Saarland","265","1","1","1"
"No","1988","Baden-Württemberg","810","1","1","1"
"No","1988","Bavaria","730","1","1","1"
"No","1988","Berlin","158","1","1","1"
"No","1988","Brandenburg","","","",""
"No","1988","Mecklenburg-Western Pomerania","","","",""
"No","1988","Saxony","","","",""
"No","1988","Saxony-Anhalt","","","",""
"No","1988","Thuringia","","","",""
"Yes","1989","Schleswig-Holstein","","","",""
"Yes","1989","Hamburg","","","",""
"Yes","1989","Lower Saxony","","","",""
"Yes","1989","Bremen","","","",""
"Yes","1989","North Rhine-Westphalia","","","",""
"Yes","1989","Hesse","","","",""
"Yes","1989","Rhineland-Palatinate,Saarland","","","",""
"Yes","1989","Baden-Württemberg","","","",""
"Yes","1989","Bavaria","","","",""
"Yes","1989","Berlin","","","",""
"Yes","1989","Brandenburg","","","",""
"Yes","1989","Mecklenburg-Western Pomerania","","","",""
"Yes","1989","Saxony","","","",""
"Yes","1989","Saxony-Anhalt","","","",""
"Yes","1989","Thuringia","","","",""
"No","1989","Schleswig-Holstein","121","1","1","1"
"No","1989","Hamburg","68","1","1","1"
"No","1989","Lower Saxony","345","1","1","1"
"No","1989","Bremen","30","1","1","1"
"No","1989","North Rhine-Westphalia","986","1","1","1"
"No","1989","Hesse","419","1","1","1"
"No","1989","Rhineland-Palatinate,Saarland","253","1","1","1"
"No","1989","Baden-Württemberg","794","1","1","1"
"No","1989","Bavaria","679","1","1","1"
"No","1989","Berlin","161","1","1","1"
"No","1989","Brandenburg","","","",""
"No","1989","Mecklenburg-Western Pomerania","","","",""
"No","1989","Saxony","","","",""
"No","1989","Saxony-Anhalt","","","",""
"No","1989","Thuringia","","","",""
"Yes","1990","Schleswig-Holstein","","","",""
"Yes","1990","Hamburg","","","",""
"Yes","1990","Lower Saxony","","","",""
