"plb0196_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","1986","Saxony-Anhalt","Male","","","","","1"
"Yes","1986","Saxony-Anhalt","Female","","","","","1"
"Yes","1986","Thuringia","Male","","","","","1"
"Yes","1986","Thuringia","Female","","","","","1"
"No","1987","Hamburg","Male","","","","","2"
"No","1987","Schleswig-Holstein","Male","","","","","2"
"No","1987","Schleswig-Holstein","Female","","","","","2"
"No","1987","Hamburg","Female","","","","","2"
"No","1987","Lower Saxony","Male","","","","","2"
"No","1987","Lower Saxony","Female","","","","","2"
"No","1987","Bremen","Male","","","","","2"
"No","1987","Bremen","Female","","","","","2"
"No","1987","North Rhine-Westphalia","Female","","","","","2"
"No","1987","North Rhine-Westphalia","Male","","","","","2"
"No","1987","Baden-Württemberg","Male","","","","","2"
"No","1987","Bavaria","Female","","","","","2"
"No","1987","Bavaria","Male","","","","","2"
"No","1987","Baden-Württemberg","Female","","","","","2"
"No","1987","Hesse","Male","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","Male","","","","","2"
"No","1987","Rhineland-Palatinate,Saarland","Female","","","","","2"
"No","1987","Hesse","Female","","","","","2"
"No","1987","Berlin","Male","","","","","2"
"No","1987","Berlin","Female","","","","","2"
"No","1987","Brandenburg","Male","","","","","2"
"No","1987","Brandenburg","Female","","","","","2"
"No","1987","Saxony","Male","","","","","2"
"No","1987","Saxony","Female","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1987","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1987","Saxony-Anhalt","Male","","","","","2"
"No","1987","Saxony-Anhalt","Female","","","","","2"
"No","1987","Thuringia","Male","","","","","2"
"No","1987","Thuringia","Female","","","","","2"
"Yes","1987","Hesse","Male","","","","","1"
"Yes","1987","Hesse","Female","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Yes","1987","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Yes","1987","Baden-Württemberg","Male","","","","","1"
"Yes","1987","Baden-Württemberg","Female","","","","","1"
"Yes","1987","Bavaria","Male","","","","","1"
"Yes","1987","Bavaria","Female","","","","","1"
"Yes","1987","Berlin","Male","","","","","1"
"Yes","1987","Schleswig-Holstein","Male","","","","","1"
"Yes","1987","Schleswig-Holstein","Female","","","","","1"
"Yes","1987","Hamburg","Male","","","","","1"
"Yes","1987","Hamburg","Female","","","","","1"
"Yes","1987","Lower Saxony","Male","","","","","1"
"Yes","1987","Lower Saxony","Female","","","","","1"
"Yes","1987","Bremen","Male","","","","","1"
"Yes","1987","Bremen","Female","","","","","1"
"Yes","1987","North Rhine-Westphalia","Male","","","","","1"
"Yes","1987","North Rhine-Westphalia","Female","","","","","1"
"Yes","1987","Berlin","Female","","","","","1"
"Yes","1987","Brandenburg","Male","","","","","1"
"Yes","1987","Brandenburg","Female","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1987","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1987","Saxony","Male","","","","","1"
"Yes","1987","Saxony","Female","","","","","1"
"Yes","1987","Saxony-Anhalt","Male","","","","","1"
"Yes","1987","Saxony-Anhalt","Female","","","","","1"
"Yes","1987","Thuringia","Male","","","","","1"
"Yes","1987","Thuringia","Female","","","","","1"
"No","1988","Schleswig-Holstein","Male","74","1","1","1","2"
"No","1988","Schleswig-Holstein","Female","44","1","1","1","2"
"No","1988","Hamburg","Male","36","1","1","1","2"
"No","1988","Hamburg","Female","27","","","","2"
"No","1988","Lower Saxony","Female","180","1","1","1","2"
"No","1988","Lower Saxony","Male","219","1","1","1","2"
"No","1988","North Rhine-Westphalia","Male","606","1","1","1","2"
"No","1988","Bremen","Male","15","","","","2"
"No","1988","Bremen","Female","11","","","","2"
"No","1988","North Rhine-Westphalia","Female","420","1","1","1","2"
"No","1988","Baden-Württemberg","Male","457","1","1","1","2"
"No","1988","Baden-Württemberg","Female","353","1","1","1","2"
"No","1988","Bavaria","Male","385","1","1","1","2"
"No","1988","Bavaria","Female","345","1","1","1","2"
"No","1988","Hesse","Male","249","1","1","1","2"
"No","1988","Hesse","Female","183","1","1","1","2"
"No","1988","Rhineland-Palatinate,Saarland","Male","153","1","1","1","2"
"No","1988","Rhineland-Palatinate,Saarland","Female","112","1","1","1","2"
"No","1988","Berlin","Male","94","1","1","1","2"
"No","1988","Berlin","Female","64","1","1","1","2"
"No","1988","Brandenburg","Male","","","","","2"
"No","1988","Brandenburg","Female","","","","","2"
"No","1988","Saxony","Male","","","","","2"
"No","1988","Saxony","Female","","","","","2"
"No","1988","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1988","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1988","Saxony-Anhalt","Male","","","","","2"
"No","1988","Saxony-Anhalt","Female","","","","","2"
"No","1988","Thuringia","Male","","","","","2"
"No","1988","Thuringia","Female","","","","","2"
"Yes","1988","Hesse","Male","","","","","1"
"Yes","1988","Hesse","Female","","","","","1"
"Yes","1988","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Yes","1988","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Yes","1988","Baden-Württemberg","Male","","","","","1"
"Yes","1988","Baden-Württemberg","Female","","","","","1"
"Yes","1988","Bavaria","Male","","","","","1"
"Yes","1988","Bavaria","Female","","","","","1"
"Yes","1988","Berlin","Male","","","","","1"
"Yes","1988","Berlin","Female","","","","","1"
"Yes","1988","Schleswig-Holstein","Male","","","","","1"
"Yes","1988","Schleswig-Holstein","Female","","","","","1"
"Yes","1988","Hamburg","Male","","","","","1"
"Yes","1988","Hamburg","Female","","","","","1"
"Yes","1988","Lower Saxony","Male","","","","","1"
"Yes","1988","Lower Saxony","Female","","","","","1"
"Yes","1988","Bremen","Male","","","","","1"
"Yes","1988","Bremen","Female","","","","","1"
"Yes","1988","North Rhine-Westphalia","Male","","","","","1"
"Yes","1988","North Rhine-Westphalia","Female","","","","","1"
"Yes","1988","Brandenburg","Male","","","","","1"
"Yes","1988","Brandenburg","Female","","","","","1"
"Yes","1988","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1988","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1988","Saxony","Male","","","","","1"
"Yes","1988","Saxony","Female","","","","","1"
"Yes","1988","Saxony-Anhalt","Male","","","","","1"
"Yes","1988","Saxony-Anhalt","Female","","","","","1"
"Yes","1988","Thuringia","Male","","","","","1"
"Yes","1988","Thuringia","Female","","","","","1"
"No","1989","Schleswig-Holstein","Female","46","1","1","1","2"
"No","1989","Lower Saxony","Male","200","1","1","1","2"
"No","1989","Schleswig-Holstein","Male","75","1","1","1","2"
"No","1989","Hamburg","Male","32","1","1","1","2"
"No","1989","Hamburg","Female","36","1","1","1","2"
"No","1989","Bavaria","Male","353","1","1","1","2"
"No","1989","Lower Saxony","Female","145","1","1","1","2"
"No","1989","Bremen","Male","20","","","","2"
"No","1989","North Rhine-Westphalia","Female","396","1","1","1","2"
"No","1989","Bavaria","Female","326","1","1","1","2"
"No","1989","North Rhine-Westphalia","Male","590","1","1","1","2"
"No","1989","Bremen","Female","10","","","","2"
"No","1989","Rhineland-Palatinate,Saarland","Male","135","1","1","1","2"
"No","1989","Hesse","Female","180","1","1","1","2"
"No","1989","Hesse","Male","239","1","1","1","2"
"No","1989","Rhineland-Palatinate,Saarland","Female","118","1","1","1","2"
"No","1989","Berlin","Female","66","1","1","1","2"
"No","1989","Brandenburg","Male","","","","","2"
"No","1989","Berlin","Male","95","1","1","1","2"
"No","1989","Baden-Württemberg","Male","432","1","1","1","2"
"No","1989","Baden-Württemberg","Female","362","1","1","1","2"
"No","1989","Brandenburg","Female","","","","","2"
"No","1989","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1989","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1989","Saxony","Male","","","","","2"
"No","1989","Saxony","Female","","","","","2"
"No","1989","Saxony-Anhalt","Male","","","","","2"
"No","1989","Saxony-Anhalt","Female","","","","","2"
"No","1989","Thuringia","Male","","","","","2"
"No","1989","Thuringia","Female","","","","","2"
"Yes","1989","Hesse","Male","","","","","1"
"Yes","1989","Hesse","Female","","","","","1"
"Yes","1989","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Yes","1989","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Yes","1989","Baden-Württemberg","Male","","","","","1"
"Yes","1989","Baden-Württemberg","Female","","","","","1"
"Yes","1989","Bavaria","Male","","","","","1"
"Yes","1989","Bavaria","Female","","","","","1"
"Yes","1989","Berlin","Male","","","","","1"
"Yes","1989","Berlin","Female","","","","","1"
"Yes","1989","Brandenburg","Male","","","","","1"
"Yes","1989","Schleswig-Holstein","Male","","","","","1"
"Yes","1989","Schleswig-Holstein","Female","","","","","1"
"Yes","1989","Hamburg","Male","","","","","1"
"Yes","1989","Hamburg","Female","","","","","1"
"Yes","1989","Lower Saxony","Male","","","","","1"
"Yes","1989","Lower Saxony","Female","","","","","1"
"Yes","1989","Bremen","Male","","","","","1"
"Yes","1989","Bremen","Female","","","","","1"
"Yes","1989","North Rhine-Westphalia","Male","","","","","1"
"Yes","1989","North Rhine-Westphalia","Female","","","","","1"
"Yes","1989","Brandenburg","Female","","","","","1"
"Yes","1989","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1989","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1989","Saxony","Male","","","","","1"
"Yes","1989","Saxony","Female","","","","","1"
"Yes","1989","Saxony-Anhalt","Male","","","","","1"
"Yes","1989","Saxony-Anhalt","Female","","","","","1"
"Yes","1989","Thuringia","Male","","","","","1"
"Yes","1989","Thuringia","Female","","","","","1"
"No","1990","Schleswig-Holstein","Male","62","1","1","1","2"
"No","1990","Schleswig-Holstein","Female","49","1","1","1","2"
"No","1990","Hamburg","Male","28","","","","2"
"No","1990","Lower Saxony","Female","164","1","1","1","2"
"No","1990","Lower Saxony","Male","178","1","1","1","2"
"No","1990","North Rhine-Westphalia","Male","552","1","1","1","2"
"No","1990","Hamburg","Female","27","","","","2"
"No","1990","Bavaria","Male","363","1","1","1","2"
"No","1990","Bavaria","Female","312","1","1","1","2"
"No","1990","Bremen","Female","11","","","","2"
"No","1990","Bremen","Male","14","","","","2"
"No","1990","Hesse","Male","217","1","1","1","2"
"No","1990","North Rhine-Westphalia","Female","411","1","1","1","2"
"No","1990","Rhineland-Palatinate,Saarland","Male","128","1","1","1","2"
"No","1990","Rhineland-Palatinate,Saarland","Female","99","1","1","1","2"
"No","1990","Hesse","Female","184","1","1","1","2"
"No","1990","Berlin","Male","87","1","1","1","2"
"No","1990","Berlin","Female","69","1","1","1","2"
"No","1990","Brandenburg","Male","","","","","2"
"No","1990","Brandenburg","Female","","","","","2"
"No","1990","Baden-Württemberg","Male","400","1","1","1","2"
"No","1990","Baden-Württemberg","Female","359","1","1","1","2"
"No","1990","Mecklenburg-Western Pomerania","Male","","","","","2"
"No","1990","Mecklenburg-Western Pomerania","Female","","","","","2"
"No","1990","Saxony","Male","","","","","2"
"No","1990","Saxony","Female","","","","","2"
"No","1990","Saxony-Anhalt","Male","","","","","2"
"No","1990","Saxony-Anhalt","Female","","","","","2"
"No","1990","Thuringia","Male","","","","","2"
"No","1990","Thuringia","Female","","","","","2"
"Yes","1990","Hesse","Male","","","","","1"
"Yes","1990","Hesse","Female","","","","","1"
"Yes","1990","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Yes","1990","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Yes","1990","Baden-Württemberg","Male","","","","","1"
"Yes","1990","Baden-Württemberg","Female","","","","","1"
"Yes","1990","Bavaria","Male","","","","","1"
"Yes","1990","Bavaria","Female","","","","","1"
"Yes","1990","Berlin","Male","","","","","1"
"Yes","1990","Berlin","Female","","","","","1"
"Yes","1990","Schleswig-Holstein","Male","","","","","1"
"Yes","1990","Brandenburg","Male","","","","","1"
"Yes","1990","Brandenburg","Female","","","","","1"
"Yes","1990","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1990","Schleswig-Holstein","Female","","","","","1"
"Yes","1990","Hamburg","Male","","","","","1"
"Yes","1990","Hamburg","Female","","","","","1"
"Yes","1990","Lower Saxony","Male","","","","","1"
"Yes","1990","Lower Saxony","Female","","","","","1"
"Yes","1990","Bremen","Male","","","","","1"
"Yes","1990","Bremen","Female","","","","","1"
"Yes","1990","North Rhine-Westphalia","Male","","","","","1"
"Yes","1990","North Rhine-Westphalia","Female","","","","","1"
"Yes","1990","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1990","Saxony","Male","","","","","1"
"Yes","1990","Saxony","Female","","","","","1"
"Yes","1990","Saxony-Anhalt","Male","","","","","1"
"Yes","1990","Saxony-Anhalt","Female","","","","","1"
"Yes","1990","Thuringia","Male","","","","","1"
"Yes","1990","Thuringia","Female","","","","","1"
"No","1991","Schleswig-Holstein","Female","53","1","1","1","2"
"No","1991","Lower Saxony","Male","177","1","1","1","2"
"No","1991","Schleswig-Holstein","Male","61","1","1","1","2"
"No","1991","Hamburg","Female","30","1","1","1","2"
"No","1991","Hamburg","Male","27","","","","2"
"No","1991","Bavaria","Male","365","1","1","1","2"
"No","1991","Lower Saxony","Female","158","1","1","1","2"
"No","1991","Bremen","Male","10","","","","2"
"No","1991","North Rhine-Westphalia","Female","446","1","1","1","2"
"No","1991","Bavaria","Female","294","1","1","1","2"
"No","1991","North Rhine-Westphalia","Male","518","1","1","1","2"
"No","1991","Bremen","Female","13","","","","2"
"No","1991","Hesse","Female","178","1","1","1","2"
"No","1991","Rhineland-Palatinate,Saarland","Male","126","1","1","1","2"
"No","1991","Hesse","Male","222","1","1","1","2"
"No","1991","Rhineland-Palatinate,Saarland","Female","118","1","1","1","2"
"No","1991","Brandenburg","Male","171","1","1","1","2"
"No","1991","Berlin","Male","140","1","1","1","2"
"No","1991","Berlin","Female","118","1","1","1","2"
"No","1991","Brandenburg","Female","160","1","1","1","2"
"No","1991","Baden-Württemberg","Male","403","1","1","1","2"
"No","1991","Baden-Württemberg","Female","352","1","1","1","2"
"No","1991","Mecklenburg-Western Pomerania","Male","131","1","1","1","2"
"No","1991","Mecklenburg-Western Pomerania","Female","108","1","1","1","2"
"No","1991","Saxony","Male","296","1","1","1","2"
"No","1991","Saxony","Female","272","1","1","1","2"
"No","1991","Saxony-Anhalt","Male","204","1","1","1","2"
"No","1991","Saxony-Anhalt","Female","194","1","1","1","2"
"No","1991","Thuringia","Male","154","1","1","1","2"
"No","1991","Thuringia","Female","162","1","1","1","2"
"Yes","1991","Hesse","Male","","","","","1"
"Yes","1991","Hesse","Female","","","","","1"
"Yes","1991","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Yes","1991","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Yes","1991","Baden-Württemberg","Male","","","","","1"
"Yes","1991","Baden-Württemberg","Female","","","","","1"
"Yes","1991","Bavaria","Male","","","","","1"
"Yes","1991","Bavaria","Female","","","","","1"
"Yes","1991","Berlin","Male","","","","","1"
"Yes","1991","Berlin","Female","","","","","1"
"Yes","1991","Brandenburg","Male","","","","","1"
"Yes","1991","Schleswig-Holstein","Male","","","","","1"
"Yes","1991","Schleswig-Holstein","Female","","","","","1"
"Yes","1991","Hamburg","Male","","","","","1"
"Yes","1991","Brandenburg","Female","","","","","1"
"Yes","1991","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1991","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1991","Hamburg","Female","","","","","1"
"Yes","1991","Lower Saxony","Male","","","","","1"
"Yes","1991","Lower Saxony","Female","","","","","1"
"Yes","1991","Bremen","Male","","","","","1"
"Yes","1991","Bremen","Female","","","","","1"
"Yes","1991","North Rhine-Westphalia","Male","","","","","1"
"Yes","1991","North Rhine-Westphalia","Female","","","","","1"
"Yes","1991","Saxony","Male","","","","","1"
"Yes","1991","Saxony","Female","","","","","1"
"Yes","1991","Saxony-Anhalt","Male","","","","","1"
"Yes","1991","Saxony-Anhalt","Female","","","","","1"
"Yes","1991","Thuringia","Male","","","","","1"
"Yes","1991","Thuringia","Female","","","","","1"
"No","1992","Schleswig-Holstein","Male","51","1","1","1","2"
"No","1992","Schleswig-Holstein","Female","52","1","1","1","2"
"No","1992","Hamburg","Male","30","1","1","1","2"
"No","1992","Lower Saxony","Male","180","1","1","1","2"
"No","1992","Lower Saxony","Female","130","1","1","1","2"
"No","1992","Hamburg","Female","31","1","1","1","2"
"No","1992","Bavaria","Female","301","1","1","1","2"
"No","1992","Bremen","Female","12","","","","2"
"No","1992","North Rhine-Westphalia","Male","539","1","1","1","2"
"No","1992","Bavaria","Male","394","1","1","1","2"
"No","1992","Bremen","Male","10","","","","2"
"No","1992","North Rhine-Westphalia","Female","428","1","1","1","2"
"No","1992","Hesse","Male","207","1","1","1","2"
"No","1992","Hesse","Female","172","1","1","1","2"
"No","1992","Rhineland-Palatinate,Saarland","Male","128","1","1","1","2"
"No","1992","Rhineland-Palatinate,Saarland","Female","93","1","1","1","2"
"No","1992","Berlin","Male","106","1","1","1","2"
"No","1992","Berlin","Female","113","1","1","1","2"
"No","1992","Brandenburg","Male","132","1","1","1","2"
"No","1992","Brandenburg","Female","116","1","1","1","2"
"No","1992","Baden-Württemberg","Male","389","1","1","1","2"
"No","1992","Baden-Württemberg","Female","332","1","1","1","2"
"No","1992","Mecklenburg-Western Pomerania","Male","89","1","1","1","2"
"No","1992","Mecklenburg-Western Pomerania","Female","70","1","1","1","2"
"No","1992","Saxony","Male","205","1","1","1","2"
"No","1992","Saxony","Female","189","1","1","1","2"
"No","1992","Saxony-Anhalt","Male","145","1","1","1","2"
"No","1992","Saxony-Anhalt","Female","150","1","1","1","2"
"No","1992","Thuringia","Male","118","1","1","1","2"
"No","1992","Thuringia","Female","126","1","1","1","2"
"Yes","1992","Hesse","Male","","","","","1"
"Yes","1992","Hesse","Female","","","","","1"
"Yes","1992","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Yes","1992","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Yes","1992","Baden-Württemberg","Male","","","","","1"
"Yes","1992","Baden-Württemberg","Female","","","","","1"
"Yes","1992","Bavaria","Male","","","","","1"
"Yes","1992","Bavaria","Female","","","","","1"
"Yes","1992","Berlin","Male","","","","","1"
"Yes","1992","Berlin","Female","","","","","1"
"Yes","1992","Schleswig-Holstein","Male","","","","","1"
"Yes","1992","Brandenburg","Male","","","","","1"
"Yes","1992","Brandenburg","Female","","","","","1"
"Yes","1992","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1992","Schleswig-Holstein","Female","","","","","1"
"Yes","1992","Hamburg","Male","","","","","1"
"Yes","1992","Hamburg","Female","","","","","1"
"Yes","1992","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1992","Saxony","Male","","","","","1"
"Yes","1992","Lower Saxony","Male","","","","","1"
"Yes","1992","Lower Saxony","Female","","","","","1"
"Yes","1992","Bremen","Male","","","","","1"
"Yes","1992","Bremen","Female","","","","","1"
"Yes","1992","North Rhine-Westphalia","Male","","","","","1"
"Yes","1992","North Rhine-Westphalia","Female","","","","","1"
"Yes","1992","Saxony","Female","","","","","1"
"Yes","1992","Saxony-Anhalt","Male","","","","","1"
"Yes","1992","Saxony-Anhalt","Female","","","","","1"
"Yes","1992","Thuringia","Male","","","","","1"
"Yes","1992","Thuringia","Female","","","","","1"
"No","1993","Schleswig-Holstein","Female","50","1","1","1","2"
"No","1993","Schleswig-Holstein","Male","48","1","1","1","2"
"No","1993","Hamburg","Female","32","1","1","1","2"
"No","1993","Hamburg","Male","25","","","","2"
"No","1993","Lower Saxony","Male","198","1","1","1","2"
"No","1993","Lower Saxony","Female","153","1","1","1","2"
"No","1993","Bremen","Male","13","","","","2"
"No","1993","Bavaria","Female","309","1","1","1","2"
"No","1993","North Rhine-Westphalia","Male","553","1","1","1","2"
"No","1993","Bavaria","Male","379","1","1","1","2"
"No","1993","Bremen","Female","11","","","","2"
"No","1993","North Rhine-Westphalia","Female","455","1","1","1","2"
"No","1993","Hesse","Male","211","1","1","1","2"
"No","1993","Hesse","Female","179","1","1","1","2"
"No","1993","Rhineland-Palatinate,Saarland","Male","124","1","1","1","2"
"No","1993","Rhineland-Palatinate,Saarland","Female","100","1","1","1","2"
"No","1993","Berlin","Male","115","1","1","1","2"
"No","1993","Berlin","Female","100","1","1","1","2"
"No","1993","Brandenburg","Male","126","1","1","1","2"
"No","1993","Baden-Württemberg","Male","411","1","1","1","2"
"No","1993","Baden-Württemberg","Female","340","1","1","1","2"
"No","1993","Brandenburg","Female","107","1","1","1","2"
"No","1993","Mecklenburg-Western Pomerania","Male","73","1","1","1","2"
"No","1993","Mecklenburg-Western Pomerania","Female","60","1","1","1","2"
"No","1993","Saxony","Male","168","1","1","1","2"
"No","1993","Saxony","Female","161","1","1","1","2"
"No","1993","Saxony-Anhalt","Male","120","1","1","1","2"
"No","1993","Saxony-Anhalt","Female","122","1","1","1","2"
"No","1993","Thuringia","Male","110","1","1","1","2"
"No","1993","Thuringia","Female","110","1","1","1","2"
"Yes","1993","Schleswig-Holstein","Male","","","","","1"
"Yes","1993","Schleswig-Holstein","Female","","","","","1"
"Yes","1993","Hamburg","Male","","","","","1"
"Yes","1993","Hamburg","Female","","","","","1"
"Yes","1993","Hesse","Male","","","","","1"
"Yes","1993","Hesse","Female","","","","","1"
"Yes","1993","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Yes","1993","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Yes","1993","Baden-Württemberg","Male","","","","","1"
"Yes","1993","Baden-Württemberg","Female","","","","","1"
"Yes","1993","Bavaria","Male","","","","","1"
"Yes","1993","Bavaria","Female","","","","","1"
"Yes","1993","Berlin","Male","","","","","1"
"Yes","1993","Berlin","Female","","","","","1"
"Yes","1993","Brandenburg","Male","","","","","1"
"Yes","1993","Brandenburg","Female","","","","","1"
"Yes","1993","Mecklenburg-Western Pomerania","Male","","","","","1"
"Yes","1993","Mecklenburg-Western Pomerania","Female","","","","","1"
"Yes","1993","Lower Saxony","Male","","","","","1"
"Yes","1993","Saxony","Male","","","","","1"
"Yes","1993","Saxony","Female","","","","","1"
"Yes","1993","Saxony-Anhalt","Male","","","","","1"
"Yes","1993","Lower Saxony","Female","","","","","1"
"Yes","1993","Bremen","Male","","","","","1"
"Yes","1993","Bremen","Female","","","","","1"
"Yes","1993","North Rhine-Westphalia","Male","","","","","1"
"Yes","1993","North Rhine-Westphalia","Female","","","","","1"
"Yes","1993","Saxony-Anhalt","Female","","","","","1"
"Yes","1993","Thuringia","Male","","","","","1"
"Yes","1993","Thuringia","Female","","","","","1"
"No","1994","Schleswig-Holstein","Male","54","1","1","1","2"
"No","1994","Schleswig-Holstein","Female","55","1","1","1","2"
"No","1994","Hamburg","Male","25","","","","2"
"No","1994","Hamburg","Female","21","","","","2"
"No","1994","Lower Saxony","Male","185","1","1","1","2"
"No","1994","Lower Saxony","Female","156","1","1","1","2"
"No","1994","Bremen","Male","13","","","","2"
"No","1994","Bremen","Female","8","","","","2"
"No","1994","Bavaria","Male","342","1","1","1","2"
"No","1994","North Rhine-Westphalia","Male","514","1","1","1","2"
"No","1994","Bavaria","Female","289","1","1","1","2"
"No","1994","North Rhine-Westphalia","Female","416","1","1","1","2"
"No","1994","Hesse","Male","196","1","1","1","2"
"No","1994","Hesse","Female","163","1","1","1","2"
"No","1994","Rhineland-Palatinate,Saarland","Male","115","1","1","1","2"
"No","1994","Rhineland-Palatinate,Saarland","Female","96","1","1","1","2"
"No","1994","Berlin","Male","96","1","1","1","2"
"No","1994","Baden-Württemberg","Male","365","1","1","1","2"
"No","1994","Berlin","Female","93","1","1","1","2"
"No","1994","Brandenburg","Male","107","1","1","1","2"
"No","1994","Brandenburg","Female","92","1","1","1","2"
"No","1994","Baden-Württemberg","Female","316","1","1","1","2"
"No","1994","Mecklenburg-Western Pomerania","Male","78","1","1","1","2"
"No","1994","Mecklenburg-Western Pomerania","Female","55","1","1","1","2"
"No","1994","Saxony","Male","163","1","1","1","2"
"No","1994","Saxony","Female","167","1","1","1","2"
"No","1994","Saxony-Anhalt","Male","105","1","1","1","2"
"No","1994","Saxony-Anhalt","Female","116","1","1","1","2"
"No","1994","Thuringia","Male","99","1","1","1","2"
"No","1994","Thuringia","Female","104","1","1","1","2"
"Yes","1994","Schleswig-Holstein","Male","","","","","1"
"Yes","1994","Schleswig-Holstein","Female","","","","","1"
"Yes","1994","Hamburg","Male","","","","","1"
"Yes","1994","Hamburg","Female","","","","","1"
"Yes","1994","Hesse","Male","","","","","1"
