"plb0196_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Full Time","Male","","","",""
"Yes","1986","Full Time","Female","","","",""
"Yes","1986","Part Time","Male","","","",""
"Yes","1986","Part Time","Female","","","",""
"Yes","1986","Not Working","Male","","","",""
"Yes","1986","Not Working","Female","","","",""
"No","1986","Full Time","Male","2090","1","1","1"
"No","1986","Full Time","Female","988","1","1","1"
"No","1986","Part Time","Male","308","1","1","1"
"No","1986","Part Time","Female","824","1","1","1"
"No","1986","Not Working","Male","49","1","1","1"
"No","1986","Not Working","Female","71","1","1","1"
"Yes","1987","Full Time","Male","","","",""
"Yes","1987","Full Time","Female","","","",""
"Yes","1987","Part Time","Male","","","",""
"Yes","1987","Part Time","Female","","","",""
"Yes","1987","Not Working","Male","","","",""
"Yes","1987","Not Working","Female","","","",""
"No","1987","Full Time","Male","","","",""
"No","1987","Full Time","Female","","","",""
"No","1987","Part Time","Male","","","",""
"No","1987","Part Time","Female","","","",""
"No","1987","Not Working","Male","","","",""
"No","1987","Not Working","Female","","","",""
"Yes","1988","Full Time","Male","","","",""
"Yes","1988","Full Time","Female","","","",""
"Yes","1988","Part Time","Male","","","",""
"Yes","1988","Part Time","Female","","","",""
"Yes","1988","Not Working","Male","","","",""
"Yes","1988","Not Working","Female","","","",""
"No","1988","Full Time","Male","1983","1","1","1"
"No","1988","Full Time","Female","899","1","1","1"
"No","1988","Part Time","Male","272","1","1","1"
"No","1988","Part Time","Female","787","1","1","1"
"No","1988","Not Working","Male","33","1","1","1"
"No","1988","Not Working","Female","53","1","1","1"
"Yes","1989","Full Time","Male","","","",""
"Yes","1989","Full Time","Female","","","",""
"Yes","1989","Part Time","Male","","","",""
"Yes","1989","Part Time","Female","","","",""
"Yes","1989","Not Working","Male","","","",""
"Yes","1989","Not Working","Female","","","",""
"No","1989","Full Time","Male","1860","1","1","1"
"No","1989","Full Time","Female","874","1","1","1"
"No","1989","Part Time","Male","269","1","1","1"
"No","1989","Part Time","Female","763","1","1","1"
"No","1989","Not Working","Male","42","1","1","1"
"No","1989","Not Working","Female","48","1","1","1"
"Yes","1990","Full Time","Male","","","",""
