"plb0196_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Full Time","Urban Area","2456","1","1","1","2"
"No","1986","Full Time","Rural Area","622","1","1","1","2"
"No","1986","Part Time","Rural Area","225","1","1","1","2"
"No","1986","Part Time","Urban Area","907","1","1","1","2"
"No","1986","Not Working","Urban Area","95","1","1","1","2"
"No","1986","Not Working","Rural Area","25","","","","2"
"Yes","1986","Full Time","Urban Area","","","","","1"
"Yes","1986","Full Time","Rural Area","","","","","1"
"Yes","1986","Part Time","Urban Area","","","","","1"
"Yes","1986","Part Time","Rural Area","","","","","1"
"Yes","1986","Not Working","Urban Area","","","","","1"
"Yes","1986","Not Working","Rural Area","","","","","1"
"No","1987","Full Time","Urban Area","","","","","2"
"No","1987","Full Time","Rural Area","","","","","2"
"No","1987","Part Time","Rural Area","","","","","2"
"No","1987","Part Time","Urban Area","","","","","2"
"No","1987","Not Working","Urban Area","","","","","2"
"No","1987","Not Working","Rural Area","","","","","2"
"Yes","1987","Full Time","Urban Area","","","","","1"
"Yes","1987","Full Time","Rural Area","","","","","1"
"Yes","1987","Part Time","Urban Area","","","","","1"
"Yes","1987","Part Time","Rural Area","","","","","1"
"Yes","1987","Not Working","Urban Area","","","","","1"
"Yes","1987","Not Working","Rural Area","","","","","1"
"No","1988","Full Time","Urban Area","2328","1","1","1","2"
"No","1988","Full Time","Rural Area","554","1","1","1","2"
"No","1988","Part Time","Urban Area","817","1","1","1","2"
"No","1988","Part Time","Rural Area","242","1","1","1","2"
"No","1988","Not Working","Urban Area","66","1","1","1","2"
"No","1988","Not Working","Rural Area","20","","","","2"
"Yes","1988","Full Time","Urban Area","","","","","1"
"Yes","1988","Full Time","Rural Area","","","","","1"
"Yes","1988","Part Time","Urban Area","","","","","1"
"Yes","1988","Part Time","Rural Area","","","","","1"
"Yes","1988","Not Working","Urban Area","","","","","1"
"Yes","1988","Not Working","Rural Area","","","","","1"
"No","1989","Full Time","Urban Area","2205","1","1","1","2"
"No","1989","Full Time","Rural Area","529","1","1","1","2"
"No","1989","Part Time","Urban Area","812","1","1","1","2"
"No","1989","Part Time","Rural Area","220","1","1","1","2"
"No","1989","Not Working","Urban Area","78","1","1","1","2"
"No","1989","Not Working","Rural Area","12","","","","2"
"Yes","1989","Full Time","Urban Area","","","","","1"
"Yes","1989","Full Time","Rural Area","","","","","1"
"Yes","1989","Part Time","Urban Area","","","","","1"
"Yes","1989","Part Time","Rural Area","","","","","1"
"Yes","1989","Not Working","Urban Area","","","","","1"
"Yes","1989","Not Working","Rural Area","","","","","1"
"No","1990","Full Time","Urban Area","2047","1","1","1","2"
"No","1990","Full Time","Rural Area","520","1","1","1","2"
"No","1990","Part Time","Urban Area","826","1","1","1","2"
"No","1990","Part Time","Rural Area","236","1","1","1","2"
"No","1990","Not Working","Urban Area","73","1","1","1","2"
"No","1990","Not Working","Rural Area","12","","","","2"
"Yes","1990","Full Time","Urban Area","","","","","1"
"Yes","1990","Full Time","Rural Area","","","","","1"
"Yes","1990","Part Time","Urban Area","","","","","1"
"Yes","1990","Part Time","Rural Area","","","","","1"
"Yes","1990","Not Working","Urban Area","","","","","1"
"Yes","1990","Not Working","Rural Area","","","","","1"
"No","1991","Full Time","Urban Area","1980","1","1","1","2"
"No","1991","Full Time","Rural Area","508","1","1","1","2"
"No","1991","Part Time","Urban Area","849","1","1","1","2"
"No","1991","Part Time","Rural Area","224","1","1","1","2"
"No","1991","Not Working","Urban Area","89","1","1","1","2"
"No","1991","Not Working","Rural Area","22","","","","2"
"Yes","1991","Full Time","Urban Area","","","","","1"
"Yes","1991","Full Time","Rural Area","","","","","1"
"Yes","1991","Part Time","Urban Area","","","","","1"
"Yes","1991","Part Time","Rural Area","","","","","1"
"Yes","1991","Not Working","Urban Area","","","","","1"
"Yes","1991","Not Working","Rural Area","","","","","1"
"No","1992","Full Time","Urban Area","2373","1","1","1","2"
"No","1992","Full Time","Rural Area","1184","1","1","1","2"
"No","1992","Part Time","Urban Area","890","1","1","1","2"
"No","1992","Part Time","Rural Area","443","1","1","1","2"
"No","1992","Not Working","Urban Area","63","1","1","1","2"
"No","1992","Not Working","Rural Area","35","1","1","1","2"
"Yes","1992","Full Time","Urban Area","","","","","1"
"Yes","1992","Full Time","Rural Area","","","","","1"
"Yes","1992","Part Time","Urban Area","","","","","1"
"Yes","1992","Part Time","Rural Area","","","","","1"
"Yes","1992","Not Working","Urban Area","","","","","1"
"Yes","1992","Not Working","Rural Area","","","","","1"
"No","1993","Full Time","Urban Area","2369","1","1","1","2"
"No","1993","Full Time","Rural Area","1147","1","1","1","2"
"No","1993","Part Time","Urban Area","896","1","1","1","2"
"No","1993","Part Time","Rural Area","403","1","1","1","2"
"No","1993","Not Working","Urban Area","103","1","1","1","2"
"No","1993","Not Working","Rural Area","45","1","1","1","2"
"Yes","1993","Full Time","Urban Area","","","","","1"
"Yes","1993","Full Time","Rural Area","","","","","1"
"Yes","1993","Part Time","Urban Area","","","","","1"
"Yes","1993","Part Time","Rural Area","","","","","1"
