"plb0196_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"No","1986","16-34 y.","Not Employed","76","1","1","1","2"
"No","1986","16-34 y.","Employed","1740","1","1","1","2"
"No","1986","35-65 y.","Employed","2444","1","1","1","2"
"No","1986","35-65 y.","Not Employed","41","1","1","1","2"
"No","1986","66 and older","Not Employed","3","","","","2"
"No","1986","66 and older","Employed","26","","","","2"
"Yes","1986","16-34 y.","Not Employed","","","","","1"
"Yes","1986","16-34 y.","Employed","","","","","1"
"Yes","1986","35-65 y.","Not Employed","","","","","1"
"Yes","1986","35-65 y.","Employed","","","","","1"
"Yes","1986","66 and older","Not Employed","","","","","1"
"Yes","1986","66 and older","Employed","","","","","1"
"No","1987","16-34 y.","Not Employed","","","","","2"
"No","1987","16-34 y.","Employed","","","","","2"
"No","1987","35-65 y.","Employed","","","","","2"
"No","1987","35-65 y.","Not Employed","","","","","2"
"No","1987","66 and older","Not Employed","","","","","2"
"No","1987","66 and older","Employed","","","","","2"
"Yes","1987","16-34 y.","Not Employed","","","","","1"
"Yes","1987","16-34 y.","Employed","","","","","1"
"Yes","1987","35-65 y.","Not Employed","","","","","1"
"Yes","1987","35-65 y.","Employed","","","","","1"
"Yes","1987","66 and older","Not Employed","","","","","1"
"Yes","1987","66 and older","Employed","","","","","1"
"No","1988","16-34 y.","Not Employed","59","1","1","1","2"
"No","1988","16-34 y.","Employed","1604","1","1","1","2"
"No","1988","35-65 y.","Not Employed","27","","","","2"
"No","1988","35-65 y.","Employed","2306","1","1","1","2"
"No","1988","66 and older","Not Employed","","","","","2"
"No","1988","66 and older","Employed","31","1","1","1","2"
"Yes","1988","16-34 y.","Not Employed","","","","","1"
"Yes","1988","16-34 y.","Employed","","","","","1"
"Yes","1988","35-65 y.","Not Employed","","","","","1"
"Yes","1988","35-65 y.","Employed","","","","","1"
"Yes","1988","66 and older","Not Employed","","","","","1"
"Yes","1988","66 and older","Employed","","","","","1"
"No","1989","16-34 y.","Not Employed","62","1","1","1","2"
"No","1989","16-34 y.","Employed","1573","1","1","1","2"
"No","1989","35-65 y.","Not Employed","27","","","","2"
"No","1989","35-65 y.","Employed","2162","1","1","1","2"
"No","1989","66 and older","Not Employed","1","","","","2"
"No","1989","66 and older","Employed","31","1","1","1","2"
"Yes","1989","16-34 y.","Not Employed","","","","","1"
"Yes","1989","16-34 y.","Employed","","","","","1"
"Yes","1989","35-65 y.","Not Employed","","","","","1"
"Yes","1989","35-65 y.","Employed","","","","","1"
"Yes","1989","66 and older","Not Employed","","","","","1"
"Yes","1989","66 and older","Employed","","","","","1"
"No","1990","16-34 y.","Not Employed","53","1","1","1","2"
"No","1990","16-34 y.","Employed","1515","1","1","1","2"
"No","1990","35-65 y.","Not Employed","31","1","1","1","2"
"No","1990","35-65 y.","Employed","2088","1","1","1","2"
"No","1990","66 and older","Not Employed","1","","","","2"
"No","1990","66 and older","Employed","26","","","","2"
"Yes","1990","16-34 y.","Not Employed","","","","","1"
"Yes","1990","16-34 y.","Employed","","","","","1"
"Yes","1990","35-65 y.","Not Employed","","","","","1"
"Yes","1990","35-65 y.","Employed","","","","","1"
