"plb0196_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Full Time","in school","","","",""
"Yes","1986","Full Time","inadequately","","","",""
"Yes","1986","Full Time","general elemantary","","","",""
"Yes","1986","Full Time","middle vocational","","","",""
"Yes","1986","Full Time","vocational + Abi","","","",""
"Yes","1986","Full Time","higher vocational","","","",""
"Yes","1986","Full Time","higher education","","","",""
"Yes","1986","Part Time","in school","","","",""
"Yes","1986","Part Time","inadequately","","","",""
"Yes","1986","Part Time","general elemantary","","","",""
"Yes","1986","Part Time","middle vocational","","","",""
"Yes","1986","Part Time","vocational + Abi","","","",""
"Yes","1986","Part Time","higher vocational","","","",""
"Yes","1986","Part Time","higher education","","","",""
"Yes","1986","Not Working","in school","","","",""
"Yes","1986","Not Working","inadequately","","","",""
"Yes","1986","Not Working","general elemantary","","","",""
"Yes","1986","Not Working","middle vocational","","","",""
"Yes","1986","Not Working","vocational + Abi","","","",""
"Yes","1986","Not Working","higher vocational","","","",""
"Yes","1986","Not Working","higher education","","","",""
"No","1986","Full Time","in school","","","",""
"No","1986","Full Time","inadequately","285","1","1","1"
"No","1986","Full Time","general elemantary","719","1","1","1"
"No","1986","Full Time","middle vocational","1544","1","1","1"
"No","1986","Full Time","vocational + Abi","88","1","1","1"
"No","1986","Full Time","higher vocational","169","1","1","1"
"No","1986","Full Time","higher education","231","1","1","1"
"No","1986","Part Time","in school","1","","",""
"No","1986","Part Time","inadequately","66","1","1","1"
"No","1986","Part Time","general elemantary","354","1","1","1"
"No","1986","Part Time","middle vocational","526","1","1","1"
"No","1986","Part Time","vocational + Abi","27","","",""
"No","1986","Part Time","higher vocational","56","1","1","1"
"No","1986","Part Time","higher education","87","1","1","1"
"No","1986","Not Working","in school","3","","",""
"No","1986","Not Working","inadequately","8","","",""
"No","1986","Not Working","general elemantary","36","1","1","1"
"No","1986","Not Working","middle vocational","54","1","1","1"
"No","1986","Not Working","vocational + Abi","3","","",""
"No","1986","Not Working","higher vocational","8","","",""
"No","1986","Not Working","higher education","6","","",""
"Yes","1987","Full Time","in school","","","",""
"Yes","1987","Full Time","inadequately","","","",""
