"plb0196_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1986","(0) in school","West Germany","","","",""
"Yes","1986","(0) in school","East Germany","","","",""
"Yes","1986","(1a) inadequately completed","West Germany","","","",""
"Yes","1986","(1a) inadequately completed","East Germany","","","",""
"Yes","1986","(1b) general elementary school","West Germany","","","",""
"Yes","1986","(1b) general elementary school","East Germany","","","",""
"Yes","1986","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1986","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1986","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1986","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1986","(2a) intermediate vocational","West Germany","","","",""
"Yes","1986","(2a) intermediate vocational","East Germany","","","",""
"Yes","1986","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1986","(3a) lower tertiary education","West Germany","","","",""
"Yes","1986","(3a) lower tertiary education","East Germany","","","",""
"Yes","1986","(3b) higher tertiary education","West Germany","","","",""
"Yes","1986","(3b) higher tertiary education","East Germany","","","",""
"No","1986","(0) in school","West Germany","5","","",""
"No","1986","(0) in school","East Germany","","","",""
"No","1986","(1a) inadequately completed","West Germany","391","1","1","1"
"No","1986","(1a) inadequately completed","East Germany","","","",""
"No","1986","(1b) general elementary school","West Germany","951","1","1","1"
"No","1986","(1b) general elementary school","East Germany","","","",""
"No","1986","(1c) basic vocational qualification","West Germany","1581","1","1","1"
"No","1986","(1c) basic vocational qualification","East Germany","","","",""
"No","1986","(2b) intermediate general qualification","West Germany","172","1","1","1"
"No","1986","(2b) intermediate general qualification","East Germany","","","",""
"No","1986","(2a) intermediate vocational","West Germany","543","1","1","1"
"No","1986","(2a) intermediate vocational","East Germany","","","",""
"No","1986","(2c_gen) general maturity certificate","West Germany","131","1","1","1"
"No","1986","(2c_gen) general maturity certificate","East Germany","","","",""
"No","1986","(2c_voc) vocational maturity certificate","West Germany","163","1","1","1"
"No","1986","(2c_voc) vocational maturity certificate","East Germany","","","",""
"No","1986","(3a) lower tertiary education","West Germany","97","1","1","1"
"No","1986","(3a) lower tertiary education","East Germany","","","",""
"No","1986","(3b) higher tertiary education","West Germany","227","1","1","1"
"No","1986","(3b) higher tertiary education","East Germany","","","",""
"Yes","1987","(0) in school","West Germany","","","",""
"Yes","1987","(0) in school","East Germany","","","",""
"Yes","1987","(1a) inadequately completed","West Germany","","","",""
"Yes","1987","(1a) inadequately completed","East Germany","","","",""
"Yes","1987","(1b) general elementary school","West Germany","","","",""
"Yes","1987","(1b) general elementary school","East Germany","","","",""
"Yes","1987","(1c) basic vocational qualification","West Germany","","","",""
"Yes","1987","(1c) basic vocational qualification","East Germany","","","",""
"Yes","1987","(2b) intermediate general qualification","West Germany","","","",""
"Yes","1987","(2b) intermediate general qualification","East Germany","","","",""
"Yes","1987","(2a) intermediate vocational","West Germany","","","",""
"Yes","1987","(2a) intermediate vocational","East Germany","","","",""
"Yes","1987","(2c_gen) general maturity certificate","West Germany","","","",""
"Yes","1987","(2c_gen) general maturity certificate","East Germany","","","",""
"Yes","1987","(2c_voc) vocational maturity certificate","West Germany","","","",""
"Yes","1987","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Yes","1987","(3a) lower tertiary education","West Germany","","","",""
"Yes","1987","(3a) lower tertiary education","East Germany","","","",""
"Yes","1987","(3b) higher tertiary education","West Germany","","","",""
"Yes","1987","(3b) higher tertiary education","East Germany","","","",""
"No","1987","(0) in school","West Germany","","","",""
"No","1987","(0) in school","East Germany","","","",""
"No","1987","(1a) inadequately completed","West Germany","","","",""
"No","1987","(1a) inadequately completed","East Germany","","","",""
"No","1987","(1b) general elementary school","West Germany","","","",""
"No","1987","(1b) general elementary school","East Germany","","","",""
"No","1987","(1c) basic vocational qualification","West Germany","","","",""
"No","1987","(1c) basic vocational qualification","East Germany","","","",""
"No","1987","(2b) intermediate general qualification","West Germany","","","",""
"No","1987","(2b) intermediate general qualification","East Germany","","","",""
"No","1987","(2a) intermediate vocational","West Germany","","","",""
"No","1987","(2a) intermediate vocational","East Germany","","","",""
