"plb0196_h","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Not Employed","(0) in school","","","",""
"Yes","1986","Not Employed","(1a) inadequately completed","","","",""
"Yes","1986","Not Employed","(1b) general elementary school","","","",""
"Yes","1986","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","1986","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","1986","Not Employed","(2a) intermediate vocational","","","",""
"Yes","1986","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Not Employed","(3a) lower tertiary education","","","",""
"Yes","1986","Not Employed","(3b) higher tertiary education","","","",""
"Yes","1986","Employed","(0) in school","","","",""
"Yes","1986","Employed","(1a) inadequately completed","","","",""
"Yes","1986","Employed","(1b) general elementary school","","","",""
"Yes","1986","Employed","(1c) basic vocational qualification","","","",""
"Yes","1986","Employed","(2b) intermediate general qualification","","","",""
"Yes","1986","Employed","(2a) intermediate vocational","","","",""
"Yes","1986","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Employed","(3a) lower tertiary education","","","",""
"Yes","1986","Employed","(3b) higher tertiary education","","","",""
"No","1986","Not Employed","(0) in school","4","","",""
"No","1986","Not Employed","(1a) inadequately completed","9","","",""
"No","1986","Not Employed","(1b) general elementary school","32","1","1","1"
"No","1986","Not Employed","(1c) basic vocational qualification","38","1","1","1"
"No","1986","Not Employed","(2b) intermediate general qualification","4","","",""
"No","1986","Not Employed","(2a) intermediate vocational","12","","",""
"No","1986","Not Employed","(2c_gen) general maturity certificate","9","","",""
"No","1986","Not Employed","(2c_voc) vocational maturity certificate","4","","",""
"No","1986","Not Employed","(3a) lower tertiary education","2","","",""
"No","1986","Not Employed","(3b) higher tertiary education","4","","",""
"No","1986","Employed","(0) in school","1","","",""
"No","1986","Employed","(1a) inadequately completed","382","1","1","1"
"No","1986","Employed","(1b) general elementary school","919","1","1","1"
"No","1986","Employed","(1c) basic vocational qualification","1543","1","1","1"
"No","1986","Employed","(2b) intermediate general qualification","168","1","1","1"
"No","1986","Employed","(2a) intermediate vocational","531","1","1","1"
"No","1986","Employed","(2c_gen) general maturity certificate","122","1","1","1"
"No","1986","Employed","(2c_voc) vocational maturity certificate","159","1","1","1"
"No","1986","Employed","(3a) lower tertiary education","95","1","1","1"
"No","1986","Employed","(3b) higher tertiary education","223","1","1","1"
"Yes","1987","Not Employed","(0) in school","","","",""
"Yes","1987","Not Employed","(1a) inadequately completed","","","",""
"Yes","1987","Not Employed","(1b) general elementary school","","","",""
"Yes","1987","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","1987","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","1987","Not Employed","(2a) intermediate vocational","","","",""
"Yes","1987","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Not Employed","(3a) lower tertiary education","","","",""
"Yes","1987","Not Employed","(3b) higher tertiary education","","","",""
"Yes","1987","Employed","(0) in school","","","",""
"Yes","1987","Employed","(1a) inadequately completed","","","",""
"Yes","1987","Employed","(1b) general elementary school","","","",""
"Yes","1987","Employed","(1c) basic vocational qualification","","","",""
"Yes","1987","Employed","(2b) intermediate general qualification","","","",""
"Yes","1987","Employed","(2a) intermediate vocational","","","",""
"Yes","1987","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","1987","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","1987","Employed","(3a) lower tertiary education","","","",""
"Yes","1987","Employed","(3b) higher tertiary education","","","",""
"No","1987","Not Employed","(0) in school","","","",""
"No","1987","Not Employed","(1a) inadequately completed","","","",""
"No","1987","Not Employed","(1b) general elementary school","","","",""
"No","1987","Not Employed","(1c) basic vocational qualification","","","",""
"No","1987","Not Employed","(2b) intermediate general qualification","","","",""
"No","1987","Not Employed","(2a) intermediate vocational","","","",""
"No","1987","Not Employed","(2c_gen) general maturity certificate","","","",""
