"plb0196_h","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","1986","Urban Area","3458","1","1","1","2"
"No","1986","Rural Area","872","1","1","1","2"
"Yes","1986","Urban Area","","","","","1"
"Yes","1986","Rural Area","","","","","1"
"No","1987","Urban Area","","","","","2"
"No","1987","Rural Area","","","","","2"
"Yes","1987","Urban Area","","","","","1"
"Yes","1987","Rural Area","","","","","1"
"No","1988","Urban Area","3211","1","1","1","2"
"No","1988","Rural Area","816","1","1","1","2"
"Yes","1988","Urban Area","","","","","1"
"Yes","1988","Rural Area","","","","","1"
"No","1989","Urban Area","3095","1","1","1","2"
"No","1989","Rural Area","761","1","1","1","2"
"Yes","1989","Urban Area","","","","","1"
"Yes","1989","Rural Area","","","","","1"
"No","1990","Urban Area","2946","1","1","1","2"
"No","1990","Rural Area","768","1","1","1","2"
"Yes","1990","Urban Area","","","","","1"
"Yes","1990","Rural Area","","","","","1"
"No","1991","Urban Area","3571","1","1","1","2"
"No","1991","Rural Area","2051","1","1","1","2"
"Yes","1991","Urban Area","","","","","1"
"Yes","1991","Rural Area","","","","","1"
"No","1992","Urban Area","3326","1","1","1","2"
"No","1992","Rural Area","1662","1","1","1","2"
"Yes","1992","Urban Area","","","","","1"
"Yes","1992","Rural Area","","","","","1"
"No","1993","Urban Area","3368","1","1","1","2"
"No","1993","Rural Area","1595","1","1","1","2"
"Yes","1993","Urban Area","","","","","1"
"Yes","1993","Rural Area","","","","","1"
"No","1994","Urban Area","3098","1","1","1","2"
"No","1994","Rural Area","1506","1","1","1","2"
"Yes","1994","Urban Area","","","","","1"
"Yes","1994","Rural Area","","","","","1"
"No","1995","Urban Area","3006","1","1","1","2"
"No","1995","Rural Area","1594","1","1","1","2"
"Yes","1995","Urban Area","","","","","1"
"Yes","1995","Rural Area","","","","","1"
"No","1996","Urban Area","2930","1","1","1","2"
"No","1996","Rural Area","1535","1","1","1","2"
"Yes","1996","Urban Area","","","","","1"
"Yes","1996","Rural Area","","","","","1"
"No","1997","Urban Area","874","1","1","1","2"
