"plb0196_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1986","16-34 y.","(Married) couple without C. ","343","1","1","1","2"
"No","1986","16-34 y.","Couple + C. GT 16 ","361","1","1","1","2"
"No","1986","16-34 y.","Single parent ","106","1","1","1","2"
"No","1986","16-34 y.","Couple + C. LE and GT 16","249","1","1","1","2"
"No","1986","16-34 y.","1-pers.-HH","148","1","1","1","2"
"No","1986","35-65 y.","1-pers.-HH","174","1","1","1","2"
"No","1986","16-34 y.","Couple + C. LE 16 ","498","1","1","1","2"
"No","1986","35-65 y.","Couple + C. LE 16 ","611","1","1","1","2"
"No","1986","35-65 y.","Single parent ","114","1","1","1","2"
"No","1986","35-65 y.","(Married) couple without C. ","502","1","1","1","2"
"No","1986","35-65 y.","Couple + C. GT 16 ","570","1","1","1","2"
"No","1986","35-65 y.","Couple + C. LE and GT 16","382","1","1","1","2"
"No","1986","66 and older","1-pers.-HH","7","","","","2"
"No","1986","66 and older","(Married) couple without C. ","17","","","","2"
"No","1986","66 and older","Single parent ","1","","","","2"
"No","1986","66 and older","Couple + C. LE 16 ","","","","","2"
"No","1986","66 and older","Couple + C. GT 16 ","2","","","","2"
"No","1986","66 and older","Couple + C. LE and GT 16","","","","","2"
"Yes","1986","16-34 y.","1-pers.-HH","","","","","1"
"Yes","1986","16-34 y.","(Married) couple without C. ","","","","","1"
"Yes","1986","16-34 y.","Single parent ","","","","","1"
"Yes","1986","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1986","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1986","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","35-65 y.","1-pers.-HH","","","","","1"
"Yes","1986","35-65 y.","(Married) couple without C. ","","","","","1"
"Yes","1986","35-65 y.","Single parent ","","","","","1"
"Yes","1986","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Yes","1986","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Yes","1986","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Yes","1986","66 and older","1-pers.-HH","","","","","1"
"Yes","1986","66 and older","(Married) couple without C. ","","","","","1"
"Yes","1986","66 and older","Single parent ","","","","","1"
"Yes","1986","66 and older","Couple + C. LE 16 ","","","","","1"
"Yes","1986","66 and older","Couple + C. GT 16 ","","","","","1"
"Yes","1986","66 and older","Couple + C. LE and GT 16","","","","","1"
"No","1987","16-34 y.","(Married) couple without C. ","","","","","2"
"No","1987","16-34 y.","Couple + C. GT 16 ","","","","","2"
"No","1987","16-34 y.","1-pers.-HH","","","","","2"
"No","1987","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"No","1987","16-34 y.","Single parent ","","","","","2"
"No","1987","16-34 y.","Couple + C. LE 16 ","","","","","2"
