"plb0196_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1986","1-pers.-HH","West Germany","","","",""
"Yes","1986","1-pers.-HH","East Germany","","","",""
"Yes","1986","(Married) couple without C. ","West Germany","","","",""
"Yes","1986","(Married) couple without C. ","East Germany","","","",""
"Yes","1986","Single parent ","West Germany","","","",""
"Yes","1986","Single parent ","East Germany","","","",""
"Yes","1986","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1986","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1986","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1986","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1986","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1986","Couple + C. LE and GT 16","East Germany","","","",""
"No","1986","1-pers.-HH","West Germany","329","1","1","1"
"No","1986","1-pers.-HH","East Germany","","","",""
"No","1986","(Married) couple without C. ","West Germany","862","1","1","1"
"No","1986","(Married) couple without C. ","East Germany","","","",""
"No","1986","Single parent ","West Germany","221","1","1","1"
"No","1986","Single parent ","East Germany","","","",""
"No","1986","Couple + C. LE 16 ","West Germany","1109","1","1","1"
"No","1986","Couple + C. LE 16 ","East Germany","","","",""
"No","1986","Couple + C. GT 16 ","West Germany","933","1","1","1"
"No","1986","Couple + C. GT 16 ","East Germany","","","",""
"No","1986","Couple + C. LE and GT 16","West Germany","631","1","1","1"
"No","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Yes","1987","1-pers.-HH","West Germany","","","",""
"Yes","1987","1-pers.-HH","East Germany","","","",""
"Yes","1987","(Married) couple without C. ","West Germany","","","",""
"Yes","1987","(Married) couple without C. ","East Germany","","","",""
"Yes","1987","Single parent ","West Germany","","","",""
"Yes","1987","Single parent ","East Germany","","","",""
"Yes","1987","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1987","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1987","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1987","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1987","Couple + C. LE and GT 16","East Germany","","","",""
"No","1987","1-pers.-HH","West Germany","","","",""
"No","1987","1-pers.-HH","East Germany","","","",""
"No","1987","(Married) couple without C. ","West Germany","","","",""
"No","1987","(Married) couple without C. ","East Germany","","","",""
"No","1987","Single parent ","West Germany","","","",""
"No","1987","Single parent ","East Germany","","","",""
"No","1987","Couple + C. LE 16 ","West Germany","","","",""
"No","1987","Couple + C. LE 16 ","East Germany","","","",""
"No","1987","Couple + C. GT 16 ","West Germany","","","",""
"No","1987","Couple + C. GT 16 ","East Germany","","","",""
"No","1987","Couple + C. LE and GT 16","West Germany","","","",""
"No","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Yes","1988","1-pers.-HH","West Germany","","","",""
"Yes","1988","1-pers.-HH","East Germany","","","",""
"Yes","1988","(Married) couple without C. ","West Germany","","","",""
"Yes","1988","(Married) couple without C. ","East Germany","","","",""
"Yes","1988","Single parent ","West Germany","","","",""
"Yes","1988","Single parent ","East Germany","","","",""
"Yes","1988","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1988","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1988","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1988","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1988","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1988","Couple + C. LE and GT 16","East Germany","","","",""
"No","1988","1-pers.-HH","West Germany","330","1","1","1"
"No","1988","1-pers.-HH","East Germany","","","",""
"No","1988","(Married) couple without C. ","West Germany","793","1","1","1"
"No","1988","(Married) couple without C. ","East Germany","","","",""
"No","1988","Single parent ","West Germany","214","1","1","1"
"No","1988","Single parent ","East Germany","","","",""
"No","1988","Couple + C. LE 16 ","West Germany","979","1","1","1"
"No","1988","Couple + C. LE 16 ","East Germany","","","",""
"No","1988","Couple + C. GT 16 ","West Germany","960","1","1","1"
"No","1988","Couple + C. GT 16 ","East Germany","","","",""
"No","1988","Couple + C. LE and GT 16","West Germany","506","1","1","1"
"No","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Yes","1989","1-pers.-HH","West Germany","","","",""
"Yes","1989","1-pers.-HH","East Germany","","","",""
"Yes","1989","(Married) couple without C. ","West Germany","","","",""
"Yes","1989","(Married) couple without C. ","East Germany","","","",""
"Yes","1989","Single parent ","West Germany","","","",""
"Yes","1989","Single parent ","East Germany","","","",""
"Yes","1989","Couple + C. LE 16 ","West Germany","","","",""
"Yes","1989","Couple + C. LE 16 ","East Germany","","","",""
"Yes","1989","Couple + C. GT 16 ","West Germany","","","",""
"Yes","1989","Couple + C. GT 16 ","East Germany","","","",""
"Yes","1989","Couple + C. LE and GT 16","West Germany","","","",""
"Yes","1989","Couple + C. LE and GT 16","East Germany","","","",""
"No","1989","1-pers.-HH","West Germany","318","1","1","1"
"No","1989","1-pers.-HH","East Germany","","","",""
