"plb0196_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1986","Schleswig-Holstein","(0) in school","","","",""
"Yes","1986","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Yes","1986","Schleswig-Holstein","(1b) general elementary school","","","",""
"Yes","1986","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Yes","1986","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Yes","1986","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Yes","1986","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Yes","1986","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Yes","1986","Hamburg","(0) in school","","","",""
"Yes","1986","Hamburg","(1a) inadequately completed","","","",""
"Yes","1986","Hamburg","(1b) general elementary school","","","",""
"Yes","1986","Hamburg","(1c) basic vocational qualification","","","",""
"Yes","1986","Hamburg","(2b) intermediate general qualification","","","",""
"Yes","1986","Hamburg","(2a) intermediate vocational","","","",""
"Yes","1986","Hamburg","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Hamburg","(3a) lower tertiary education","","","",""
"Yes","1986","Hamburg","(3b) higher tertiary education","","","",""
"Yes","1986","Lower Saxony","(0) in school","","","",""
"Yes","1986","Lower Saxony","(1a) inadequately completed","","","",""
"Yes","1986","Lower Saxony","(1b) general elementary school","","","",""
"Yes","1986","Lower Saxony","(1c) basic vocational qualification","","","",""
"Yes","1986","Lower Saxony","(2b) intermediate general qualification","","","",""
"Yes","1986","Lower Saxony","(2a) intermediate vocational","","","",""
"Yes","1986","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Lower Saxony","(3a) lower tertiary education","","","",""
"Yes","1986","Lower Saxony","(3b) higher tertiary education","","","",""
"Yes","1986","Bremen","(0) in school","","","",""
"Yes","1986","Bremen","(1a) inadequately completed","","","",""
"Yes","1986","Bremen","(1b) general elementary school","","","",""
"Yes","1986","Bremen","(1c) basic vocational qualification","","","",""
"Yes","1986","Bremen","(2b) intermediate general qualification","","","",""
"Yes","1986","Bremen","(2a) intermediate vocational","","","",""
"Yes","1986","Bremen","(2c_gen) general maturity certificate","","","",""
"Yes","1986","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","Bremen","(3a) lower tertiary education","","","",""
"Yes","1986","Bremen","(3b) higher tertiary education","","","",""
"Yes","1986","North Rhine-Westphalia","(0) in school","","","",""
"Yes","1986","North Rhine-Westphalia","(1a) inadequately completed","","","",""
"Yes","1986","North Rhine-Westphalia","(1b) general elementary school","","","",""
"Yes","1986","North Rhine-Westphalia","(1c) basic vocational qualification","","","",""
"Yes","1986","North Rhine-Westphalia","(2b) intermediate general qualification","","","",""
"Yes","1986","North Rhine-Westphalia","(2a) intermediate vocational","","","",""
"Yes","1986","North Rhine-Westphalia","(2c_gen) general maturity certificate","","","",""
"Yes","1986","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","","","",""
"Yes","1986","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"Yes","1986","North Rhine-Westphalia","(3b) higher tertiary education","","","",""
"Yes","1986","Hesse","(0) in school","","","",""
"Yes","1986","Hesse","(1a) inadequately completed","","","",""
"Yes","1986","Hesse","(1b) general elementary school","","","",""
"Yes","1986","Hesse","(1c) basic vocational qualification","","","",""
"Yes","1986","Hesse","(2b) intermediate general qualification","","","",""
