"plb0196_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1986","(0) in school","Male","","","",""
"Yes","1986","(0) in school","Female","","","",""
"Yes","1986","(1a) inadequately completed","Male","","","",""
"Yes","1986","(1a) inadequately completed","Female","","","",""
"Yes","1986","(1b) general elementary school","Male","","","",""
"Yes","1986","(1b) general elementary school","Female","","","",""
"Yes","1986","(1c) basic vocational qualification","Male","","","",""
"Yes","1986","(1c) basic vocational qualification","Female","","","",""
"Yes","1986","(2b) intermediate general qualification","Male","","","",""
"Yes","1986","(2b) intermediate general qualification","Female","","","",""
"Yes","1986","(2a) intermediate vocational","Male","","","",""
"Yes","1986","(2a) intermediate vocational","Female","","","",""
"Yes","1986","(2c_gen) general maturity certificate","Male","","","",""
"Yes","1986","(2c_gen) general maturity certificate","Female","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","1986","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","1986","(3a) lower tertiary education","Male","","","",""
"Yes","1986","(3a) lower tertiary education","Female","","","",""
"Yes","1986","(3b) higher tertiary education","Male","","","",""
"Yes","1986","(3b) higher tertiary education","Female","","","",""
"No","1986","(0) in school","Male","3","","",""
"No","1986","(0) in school","Female","2","","",""
"No","1986","(1a) inadequately completed","Male","210","1","1","1"
"No","1986","(1a) inadequately completed","Female","181","1","1","1"
"No","1986","(1b) general elementary school","Male","451","1","1","1"
"No","1986","(1b) general elementary school","Female","500","1","1","1"
"No","1986","(1c) basic vocational qualification","Male","1038","1","1","1"
"No","1986","(1c) basic vocational qualification","Female","543","1","1","1"
"No","1986","(2b) intermediate general qualification","Male","77","1","1","1"
"No","1986","(2b) intermediate general qualification","Female","95","1","1","1"
"No","1986","(2a) intermediate vocational","Male","254","1","1","1"
"No","1986","(2a) intermediate vocational","Female","289","1","1","1"
"No","1986","(2c_gen) general maturity certificate","Male","66","1","1","1"
"No","1986","(2c_gen) general maturity certificate","Female","65","1","1","1"
"No","1986","(2c_voc) vocational maturity certificate","Male","82","1","1","1"
"No","1986","(2c_voc) vocational maturity certificate","Female","81","1","1","1"
"No","1986","(3a) lower tertiary education","Male","74","1","1","1"
"No","1986","(3a) lower tertiary education","Female","23","","",""
"No","1986","(3b) higher tertiary education","Male","154","1","1","1"
"No","1986","(3b) higher tertiary education","Female","73","1","1","1"
