"plb0196_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1986","in school","Male","","","",""
"Yes","1986","in school","Female","","","",""
"Yes","1986","inadequately","Male","","","",""
"Yes","1986","inadequately","Female","","","",""
"Yes","1986","general elemantary","Male","","","",""
"Yes","1986","general elemantary","Female","","","",""
"Yes","1986","middle vocational","Male","","","",""
"Yes","1986","middle vocational","Female","","","",""
"Yes","1986","vocational + Abi","Male","","","",""
"Yes","1986","vocational + Abi","Female","","","",""
"Yes","1986","higher vocational","Male","","","",""
"Yes","1986","higher vocational","Female","","","",""
"Yes","1986","higher education","Male","","","",""
"Yes","1986","higher education","Female","","","",""
"No","1986","in school","Male","2","","",""
"No","1986","in school","Female","2","","",""
"No","1986","inadequately","Male","185","1","1","1"
"No","1986","inadequately","Female","174","1","1","1"
"No","1986","general elemantary","Male","520","1","1","1"
"No","1986","general elemantary","Female","589","1","1","1"
"No","1986","middle vocational","Male","1276","1","1","1"
"No","1986","middle vocational","Female","848","1","1","1"
"No","1986","vocational + Abi","Male","60","1","1","1"
"No","1986","vocational + Abi","Female","58","1","1","1"
"No","1986","higher vocational","Male","143","1","1","1"
"No","1986","higher vocational","Female","90","1","1","1"
"No","1986","higher education","Male","228","1","1","1"
"No","1986","higher education","Female","96","1","1","1"
"Yes","1987","in school","Male","","","",""
"Yes","1987","in school","Female","","","",""
"Yes","1987","inadequately","Male","","","",""
"Yes","1987","inadequately","Female","","","",""
"Yes","1987","general elemantary","Male","","","",""
"Yes","1987","general elemantary","Female","","","",""
"Yes","1987","middle vocational","Male","","","",""
"Yes","1987","middle vocational","Female","","","",""
"Yes","1987","vocational + Abi","Male","","","",""
"Yes","1987","vocational + Abi","Female","","","",""
"Yes","1987","higher vocational","Male","","","",""
"Yes","1987","higher vocational","Female","","","",""
"Yes","1987","higher education","Male","","","",""
"Yes","1987","higher education","Female","","","",""
"No","1987","in school","Male","","","",""
"No","1987","in school","Female","","","",""
"No","1987","inadequately","Male","","","",""
"No","1987","inadequately","Female","","","",""
"No","1987","general elemantary","Male","","","",""
"No","1987","general elemantary","Female","","","",""
"No","1987","middle vocational","Male","","","",""
"No","1987","middle vocational","Female","","","",""
"No","1987","vocational + Abi","Male","","","",""
"No","1987","vocational + Abi","Female","","","",""
"No","1987","higher vocational","Male","","","",""
"No","1987","higher vocational","Female","","","",""
"No","1987","higher education","Male","","","",""
"No","1987","higher education","Female","","","",""
"Yes","1988","in school","Male","","","",""
"Yes","1988","in school","Female","","","",""
"Yes","1988","inadequately","Male","","","",""
"Yes","1988","inadequately","Female","","","",""
"Yes","1988","general elemantary","Male","","","",""
"Yes","1988","general elemantary","Female","","","",""
"Yes","1988","middle vocational","Male","","","",""
"Yes","1988","middle vocational","Female","","","",""
"Yes","1988","vocational + Abi","Male","","","",""
"Yes","1988","vocational + Abi","Female","","","",""
"Yes","1988","higher vocational","Male","","","",""
"Yes","1988","higher vocational","Female","","","",""
"Yes","1988","higher education","Male","","","",""
"Yes","1988","higher education","Female","","","",""
"No","1988","in school","Male","3","","",""
"No","1988","in school","Female","2","","",""
"No","1988","inadequately","Male","150","1","1","1"
"No","1988","inadequately","Female","145","1","1","1"
"No","1988","general elemantary","Male","520","1","1","1"
"No","1988","general elemantary","Female","534","1","1","1"
"No","1988","middle vocational","Male","1173","1","1","1"
"No","1988","middle vocational","Female","798","1","1","1"
"No","1988","vocational + Abi","Male","59","1","1","1"
"No","1988","vocational + Abi","Female","51","1","1","1"
"No","1988","higher vocational","Male","138","1","1","1"
"No","1988","higher vocational","Female","75","1","1","1"
"No","1988","higher education","Male","206","1","1","1"
"No","1988","higher education","Female","104","1","1","1"
"Yes","1989","in school","Male","","","",""
"Yes","1989","in school","Female","","","",""
"Yes","1989","inadequately","Male","","","",""
"Yes","1989","inadequately","Female","","","",""
"Yes","1989","general elemantary","Male","","","",""
"Yes","1989","general elemantary","Female","","","",""
"Yes","1989","middle vocational","Male","","","",""
"Yes","1989","middle vocational","Female","","","",""
"Yes","1989","vocational + Abi","Male","","","",""
"Yes","1989","vocational + Abi","Female","","","",""
"Yes","1989","higher vocational","Male","","","",""
"Yes","1989","higher vocational","Female","","","",""
"Yes","1989","higher education","Male","","","",""
"Yes","1989","higher education","Female","","","",""
"No","1989","in school","Male","6","","",""
"No","1989","in school","Female","4","","",""
"No","1989","inadequately","Male","137","1","1","1"
"No","1989","inadequately","Female","124","1","1","1"
"No","1989","general elemantary","Male","497","1","1","1"
"No","1989","general elemantary","Female","521","1","1","1"
"No","1989","middle vocational","Male","1102","1","1","1"
"No","1989","middle vocational","Female","782","1","1","1"
"No","1989","vocational + Abi","Male","63","1","1","1"
"No","1989","vocational + Abi","Female","45","1","1","1"
"No","1989","higher vocational","Male","133","1","1","1"
"No","1989","higher vocational","Female","79","1","1","1"
"No","1989","higher education","Male","194","1","1","1"
"No","1989","higher education","Female","102","1","1","1"
"Yes","1990","in school","Male","","","",""
"Yes","1990","in school","Female","","","",""
"Yes","1990","inadequately","Male","","","",""
"Yes","1990","inadequately","Female","","","",""
"Yes","1990","general elemantary","Male","","","",""
"Yes","1990","general elemantary","Female","","","",""
"Yes","1990","middle vocational","Male","","","",""
"Yes","1990","middle vocational","Female","","","",""
"Yes","1990","vocational + Abi","Male","","","",""
"Yes","1990","vocational + Abi","Female","","","",""
"Yes","1990","higher vocational","Male","","","",""
"Yes","1990","higher vocational","Female","","","",""
"Yes","1990","higher education","Male","","","",""
"Yes","1990","higher education","Female","","","",""
"No","1990","in school","Male","5","","",""
"No","1990","in school","Female","1","","",""
"No","1990","inadequately","Male","137","1","1","1"
"No","1990","inadequately","Female","134","1","1","1"
"No","1990","general elemantary","Male","458","1","1","1"
"No","1990","general elemantary","Female","503","1","1","1"
"No","1990","middle vocational","Male","1047","1","1","1"
